,blockNumber,timeStamp,hash,nonce,blockHash,from,contractAddress,to,value,tokenName,tokenSymbol,tokenDecimal,transactionIndex,gas,gasPrice,gasUsed,cumulativeGasUsed,input,confirmations
0,10789956,2020-09-03 18:35:41,0xaa50fdd11b0d6567af6f8dcd92197cd2b174d48c454b4e323086cf95f7d4805b,951071,0x1fb5013022ad5182188aaedc642f21c4efa967b97d940086c640cc3e9dd9b348,0x0a98fb70939162725ae66e626fe4b52cff62c2e5,0xdac17f958d2ee523a2206206994597c13d831ec7,0x72bf15589535db1d550ba399e49ffc968eaae0cc,4657048746.0,Tether USD,USDT,6,54,100000,610000000000,56221,1351412,deprecated,4394132
1,10790103,2020-09-03 19:08:40,0xd05ea9c96974337102f6f99a50d17c5af3bced5e22e4ae7685f7bc2b46df0a71,1,0xfb0c41266aafce6f3991b8ee346998da1a41a330e8ba05e52db19a40076cbe93,0x72bf15589535db1d550ba399e49ffc968eaae0cc,0x6b175474e89094c44da98b954eedeac495271d0f,0xa5407eae9ba41422680e2e00537571bcc53efbfd,0.0,Dai Stablecoin,DAI,18,50,600000,487000000000,331762,5060237,deprecated,4393985
2,10790103,2020-09-03 19:08:40,0xd05ea9c96974337102f6f99a50d17c5af3bced5e22e4ae7685f7bc2b46df0a71,1,0xfb0c41266aafce6f3991b8ee346998da1a41a330e8ba05e52db19a40076cbe93,0x72bf15589535db1d550ba399e49ffc968eaae0cc,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0xa5407eae9ba41422680e2e00537571bcc53efbfd,0.0,USD Coin,USDC,6,50,600000,487000000000,331762,5060237,deprecated,4393985
3,10790103,2020-09-03 19:08:40,0xd05ea9c96974337102f6f99a50d17c5af3bced5e22e4ae7685f7bc2b46df0a71,1,0xfb0c41266aafce6f3991b8ee346998da1a41a330e8ba05e52db19a40076cbe93,0x72bf15589535db1d550ba399e49ffc968eaae0cc,0xdac17f958d2ee523a2206206994597c13d831ec7,0xa5407eae9ba41422680e2e00537571bcc53efbfd,4657000000.0,Tether USD,USDT,6,50,600000,487000000000,331762,5060237,deprecated,4393985
4,10790103,2020-09-03 19:08:40,0xd05ea9c96974337102f6f99a50d17c5af3bced5e22e4ae7685f7bc2b46df0a71,1,0xfb0c41266aafce6f3991b8ee346998da1a41a330e8ba05e52db19a40076cbe93,0x72bf15589535db1d550ba399e49ffc968eaae0cc,0x57ab1ec28d129707052df4df418d58a2d46d5f51,0xa5407eae9ba41422680e2e00537571bcc53efbfd,0.0,Synth sUSD,sUSD,18,50,600000,487000000000,331762,5060237,deprecated,4393985
5,10790103,2020-09-03 19:08:40,0xd05ea9c96974337102f6f99a50d17c5af3bced5e22e4ae7685f7bc2b46df0a71,1,0xfb0c41266aafce6f3991b8ee346998da1a41a330e8ba05e52db19a40076cbe93,0x0000000000000000000000000000000000000000,0xc25a3a3b969415c80451098fa907ec722572917f,0x72bf15589535db1d550ba399e49ffc968eaae0cc,4.545189977526331e+21,Curve.fi DAI/USDC/USDT/sUSD,crvPlain3andSUSD,18,50,600000,487000000000,331762,5060237,deprecated,4393985
6,10790119,2020-09-03 19:11:30,0x57e345ed878bd1a6358b61338c7436a9b535365ed64b5d9b20c74656b88140dd,4,0xfdc1010a084bad24e9eb0d4f7bd10cb0ec21ab6443e692c2ee70edcc21704ff4,0x72bf15589535db1d550ba399e49ffc968eaae0cc,0xc25a3a3b969415c80451098fa907ec722572917f,0x0d233d0006dcf791731a731a360590d751835358,4.54518e+21,Curve.fi DAI/USDC/USDT/sUSD,crvPlain3andSUSD,18,47,200000,484000000000,128823,3439700,deprecated,4393969
7,10790300,2020-09-03 19:52:44,0xffab8987657bef295dacf50d5758c10ee7b201f3f94225828673649b1427ba74,5,0xbb6e91970b12906ba6cf9b539c14f7ade239e34e35775c2d1b3d57e36293c063,0x0d233d0006dcf791731a731a360590d751835358,0xc25a3a3b969415c80451098fa907ec722572917f,0x72bf15589535db1d550ba399e49ffc968eaae0cc,4.54518e+21,Curve.fi DAI/USDC/USDT/sUSD,crvPlain3andSUSD,18,151,178998,250000000000,144798,12378273,deprecated,4393788
8,10790300,2020-09-03 19:52:44,0xffab8987657bef295dacf50d5758c10ee7b201f3f94225828673649b1427ba74,5,0xbb6e91970b12906ba6cf9b539c14f7ade239e34e35775c2d1b3d57e36293c063,0x0d233d0006dcf791731a731a360590d751835358,0x41efc0253ee7ea44400abb5f907fdbfdebc82bec,0x72bf15589535db1d550ba399e49ffc968eaae0cc,8.527559838463974e+16,$AAPL,$AAPL,18,151,178998,250000000000,144798,12378273,deprecated,4393788
9,10790347,2020-09-03 20:03:20,0x653c7cccf2670e62de8f739cc3ffff969fdf6747d5612a977c449f854b99cc79,7,0x7c74f9c2e8629dc190dde82245efda56ee4ec827ced2120d8fffe4a7725c046c,0x72bf15589535db1d550ba399e49ffc968eaae0cc,0xc25a3a3b969415c80451098fa907ec722572917f,0xfcba3e75865d2d561be8d220616520c171f12851,4.545189977526331e+21,Curve.fi DAI/USDC/USDT/sUSD,crvPlain3andSUSD,18,23,800000,439000000000,461493,2242356,deprecated,4393741
