,blockNumber,timeStamp,hash,nonce,blockHash,from,contractAddress,to,value,tokenName,tokenSymbol,tokenDecimal,transactionIndex,gas,gasPrice,gasUsed,cumulativeGasUsed,input,confirmations
0,10773727,2020-09-01 06:47:13,0x2c44e0b6b76ee086beed233959d9bc75ac715b0b522fb950a3ece0264a07f3f2,0,0x977f4b8a07302b18bf555ac99943d441b1b59863861c7dff0e7c3efeddfa5174,0x12d4444f96c644385d8ab355f6ddf801315b6254,0x38e4adb44ef08f22f5b5b76a8f0c2d0dcbe7dca1,0x776bb9b605d2766e706e5addbcc479a57b34bb32,1.4414567003818612e+20,Concentrated Voting Power,CVP,18,145,156901,399000000000,117184,9961385,deprecated,4410235
1,10774097,2020-09-01 08:09:52,0x2b22a2135a9d68b47c5b28ecdddd49a8e1d0066ac7f78eaa8b936bf6131be0f5,1,0x04d42dac0d78738e052f39ef579ba88a58acac0d5845e31fba25ecef17d45bcf,0x5741a1ceff6148c8aaca0f0456c03c88817e05f5,0x31024a4c3e9aeeb256b825790f5cb7ac645e7cd5,0x776bb9b605d2766e706e5addbcc479a57b34bb32,678.0,Xiotri,XIOT,3,151,166083,426000000000,125399,10307563,deprecated,4409865
2,10779552,2020-09-02 04:03:14,0x042ff8180c87a4964a067685508d7ee440d0eeac546651a1e04fcc5171c1839f,3,0x9eb0d1be2c526771e359be9a12d329173448af5008084747ff5e1ebeb57423f0,0x776bb9b605d2766e706e5addbcc479a57b34bb32,0x31024a4c3e9aeeb256b825790f5cb7ac645e7cd5,0x5741a1ceff6148c8aaca0f0456c03c88817e05f5,678.0,Xiotri,XIOT,3,48,169294,494000000000,113622,3722366,deprecated,4404410
3,10780202,2020-09-02 06:33:35,0xd016c74b1e37ff3dd8e52a0f92596fad7dda71aec007f725561a0977ec744921,4,0xd7866618fa7e13f42d4b2712f53695e210735e8df77aee2f613082919e6637e2,0xd89fbe528f16f7d8286b84df7741a71f633e88f0,0x47eb79217f42f92dbd741add1b1a6783a2c873cf,0x776bb9b605d2766e706e5addbcc479a57b34bb32,7.327541543548426e+18,Bast,bast,18,71,164858,480000000000,124304,5620107,deprecated,4403760
4,10780284,2020-09-02 06:49:11,0xd26713824d66e5b835960ef0dcfa42f6bc88f76fdf0d80d4e572b5492eff08c3,6,0x771940c2d043884dcd2dd554b5cb5638b44054c1a3824d4a019cd0c38193c5e5,0x776bb9b605d2766e706e5addbcc479a57b34bb32,0x47eb79217f42f92dbd741add1b1a6783a2c873cf,0x36737fa57c5441c7f020ff2bcf224f79794af178,7e+18,Bast,bast,18,97,84051,400000000000,84051,5421798,deprecated,4403678
5,10780339,2020-09-02 07:00:11,0x3f4dbf822795ac00b1f4b9d3b59aadde120cce70c2c5ac1d8f718fe1d8d096b1,7,0x84def9e879f6614303dccb6d6eeaecf5f1f3076c41b08db1f8f425e0a89f2363,0x36737fa57c5441c7f020ff2bcf224f79794af178,0x47eb79217f42f92dbd741add1b1a6783a2c873cf,0x776bb9b605d2766e706e5addbcc479a57b34bb32,7e+18,Bast,bast,18,226,57586,475000000000,42586,10662741,deprecated,4403623
6,10780860,2020-09-02 08:56:58,0x1859e0283946328ff61bf849672cdd0ef1c8f82bfb1f652770827f57a3917c60,8,0x4c3d7c690d834b615d26cfccc89c54e1bae3339abeb0b1fc96045dc3fd905e8b,0x776bb9b605d2766e706e5addbcc479a57b34bb32,0x47eb79217f42f92dbd741add1b1a6783a2c873cf,0x36737fa57c5441c7f020ff2bcf224f79794af178,7e+18,Bast,bast,18,128,84051,471000000000,84051,10819373,deprecated,4403102
7,10781814,2020-09-02 12:36:12,0x42ad46b7ab505fcbfaef3b3c47e8b2761deb57b7dc2d38108ec579c0d7393db3,9,0x36767bfae903e792243816e9c222f25c872f302de7cfb364993d8dbce9713f29,0x36737fa57c5441c7f020ff2bcf224f79794af178,0x47eb79217f42f92dbd741add1b1a6783a2c873cf,0x776bb9b605d2766e706e5addbcc479a57b34bb32,7e+18,Bast,bast,18,168,61654,500000000000,46601,10350422,deprecated,4402148
8,10781819,2020-09-02 12:36:46,0x773f9a423e715f524c17b0bf1f6a7a4bbd9cbac3d31fd31d4f26e40eb104e78b,10,0xa3e7070472c424f19538902125e6b0d2e054bb5bc73c454f1752aacf4a478c3c,0x776bb9b605d2766e706e5addbcc479a57b34bb32,0x47eb79217f42f92dbd741add1b1a6783a2c873cf,0xd89fbe528f16f7d8286b84df7741a71f633e88f0,7.32e+18,Bast,bast,18,201,178154,494100000000,136677,9992131,deprecated,4402143
9,10783473,2020-09-02 18:27:22,0x2d4337d7bf986f7a661586a3edfa0a83ff7cd7dd0f1a07e5ba40978cf15dd846,14,0x821d86a390285de31e20a83d0c59be1cead0784a7e6a171db7eeca5b5be4bd2a,0x776bb9b605d2766e706e5addbcc479a57b34bb32,0x38e4adb44ef08f22f5b5b76a8f0c2d0dcbe7dca1,0x12d4444f96c644385d8ab355f6ddf801315b6254,1.4414567003818612e+20,Concentrated Voting Power,CVP,18,57,196973,482000000000,153807,4990844,deprecated,4400489
10,10783473,2020-09-02 18:27:22,0x2d4337d7bf986f7a661586a3edfa0a83ff7cd7dd0f1a07e5ba40978cf15dd846,14,0x821d86a390285de31e20a83d0c59be1cead0784a7e6a171db7eeca5b5be4bd2a,0xd89fbe528f16f7d8286b84df7741a71f633e88f0,0x47eb79217f42f92dbd741add1b1a6783a2c873cf,0x776bb9b605d2766e706e5addbcc479a57b34bb32,4.61393964351725e+18,Bast,bast,18,57,196973,482000000000,153807,4990844,deprecated,4400489
