,blockNumber,timeStamp,hash,nonce,blockHash,from,contractAddress,to,value,tokenName,tokenSymbol,tokenDecimal,transactionIndex,gas,gasPrice,gasUsed,cumulativeGasUsed,input,confirmations
0,10689269,2020-08-19 07:45:34,0xe161ecb7ff44c654bbd51f1d662460c226c84034b213b2a90a44e1bcd20b6820,3445,0x8ad83e96a7a97806b443c7cc8469fd8a178a0d6c931bc273d31b4b8016b1d360,0xa930251ac9a83f939739d399eca988d74f86336b,0x6b175474e89094c44da98b954eedeac495271d0f,0x78296edfc56ab82f06a8d862cf800ee97713f690,6.85140254e+20,Dai Stablecoin,DAI,18,175,60000,169000000000,52030,9752699,deprecated,4495085
1,10689324,2020-08-19 07:57:46,0xdb0e5a9513b5c30f28002f271a48e751911f0747506c55ad1c4b68a9078cbad8,2,0xbc8249872dfb773c3371bfe41c4064a7ced1b858da30d770edb98821207839b1,0x78296edfc56ab82f06a8d862cf800ee97713f690,0x6b175474e89094c44da98b954eedeac495271d0f,0x6317c5e82a06e1d8bf200d21f4510ac2c038ac81,6.8514e+20,Dai Stablecoin,DAI,18,122,217833,169000000000,169700,6652509,deprecated,4495030
2,10689324,2020-08-19 07:57:46,0xdb0e5a9513b5c30f28002f271a48e751911f0747506c55ad1c4b68a9078cbad8,2,0xbc8249872dfb773c3371bfe41c4064a7ced1b858da30d770edb98821207839b1,0x6317c5e82a06e1d8bf200d21f4510ac2c038ac81,0xa1d0e215a23d7030842fc67ce582a6afa3ccab83,0x78296edfc56ab82f06a8d862cf800ee97713f690,3.797572656807415e+18,YFII.finance,YFII,18,122,217833,169000000000,169700,6652509,deprecated,4495030
3,10689324,2020-08-19 07:57:46,0xdb0e5a9513b5c30f28002f271a48e751911f0747506c55ad1c4b68a9078cbad8,2,0xbc8249872dfb773c3371bfe41c4064a7ced1b858da30d770edb98821207839b1,0x6317c5e82a06e1d8bf200d21f4510ac2c038ac81,0x6b175474e89094c44da98b954eedeac495271d0f,0x78296edfc56ab82f06a8d862cf800ee97713f690,0.0,Dai Stablecoin,DAI,18,122,217833,169000000000,169700,6652509,deprecated,4495030
4,10690409,2020-08-19 11:52:12,0x0b98b8238a0306ee6fefd49ccca1273b2d5af813c05e543cfeff66c9c449b064,4,0x6eb2336183bc80027aac697b21c2631a30055caae70ce0af3a1622f272f984d8,0x78296edfc56ab82f06a8d862cf800ee97713f690,0xa1d0e215a23d7030842fc67ce582a6afa3ccab83,0x6317c5e82a06e1d8bf200d21f4510ac2c038ac81,3.7975e+18,YFII.finance,YFII,18,53,220200,132000000000,172067,3396574,deprecated,4493945
5,10690409,2020-08-19 11:52:12,0x0b98b8238a0306ee6fefd49ccca1273b2d5af813c05e543cfeff66c9c449b064,4,0x6eb2336183bc80027aac697b21c2631a30055caae70ce0af3a1622f272f984d8,0x6317c5e82a06e1d8bf200d21f4510ac2c038ac81,0x6b175474e89094c44da98b954eedeac495271d0f,0x78296edfc56ab82f06a8d862cf800ee97713f690,1.0290879250086604e+21,Dai Stablecoin,DAI,18,53,220200,132000000000,172067,3396574,deprecated,4493945
6,10690409,2020-08-19 11:52:12,0x0b98b8238a0306ee6fefd49ccca1273b2d5af813c05e543cfeff66c9c449b064,4,0x6eb2336183bc80027aac697b21c2631a30055caae70ce0af3a1622f272f984d8,0x6317c5e82a06e1d8bf200d21f4510ac2c038ac81,0xa1d0e215a23d7030842fc67ce582a6afa3ccab83,0x78296edfc56ab82f06a8d862cf800ee97713f690,0.0,YFII.finance,YFII,18,53,220200,132000000000,172067,3396574,deprecated,4493945
7,10690583,2020-08-19 12:39:16,0xb271a5686a5c78d66c339ab31c9837d2f4ce342040d8b3f68b8729288f9e622a,5,0x06156bb49d48b8863d66f5152e11e5fe420a6795f5e22434a5739860893fb24c,0x78296edfc56ab82f06a8d862cf800ee97713f690,0x6b175474e89094c44da98b954eedeac495271d0f,0x0f7802941e880a642105e37df4763d49608d4de9,1.029088179e+21,Dai Stablecoin,DAI,18,139,52030,132000000000,52030,9027254,deprecated,4493771
8,10694968,2020-08-20 04:42:35,0x53eca44837258f432f74917bdee2237b1940d457c82d89b2cbad7d6cdbcb5442,1034641,0x1120f132a170228612b7342c25a61c6c5926cbca1f978f4d1feddb067300c5fb,0xe93381fb4c4f14bda253907b18fad305d799241a,0x6b175474e89094c44da98b954eedeac495271d0f,0x78296edfc56ab82f06a8d862cf800ee97713f690,2.389806999e+21,Dai Stablecoin,DAI,18,3,100000,133000000000,37030,168650,deprecated,4489386
9,10695008,2020-08-20 04:53:07,0xf0b4adbb8830e9e5fdf1ecb259ae55186dd5215214d2a917abc21c1924b7b0b3,7,0x03071151d76512d8e604f72e5cdd0074b4bd788247cc18e7f6b4d7d08748b51b,0x78296edfc56ab82f06a8d862cf800ee97713f690,0x6b175474e89094c44da98b954eedeac495271d0f,0x6317c5e82a06e1d8bf200d21f4510ac2c038ac81,2.3898e+21,Dai Stablecoin,DAI,18,118,202833,109000000000,154700,6512509,deprecated,4489346
