,blockNumber,timeStamp,hash,nonce,blockHash,from,contractAddress,to,value,tokenName,tokenSymbol,tokenDecimal,transactionIndex,gas,gasPrice,gasUsed,cumulativeGasUsed,input,confirmations
0,10774276,2020-09-01 08:46:25,0x6247adc1c79dc957511e6043fe3176a6083572165b834004a7c248e52b619147,0,0x8616f7170a1fb5d10074212c14a0a22747d19b448a0984cf2d1d47d3b27fc884,0x4dc02e1bb2ec1ce4c50c351e6e06505e7b1dce8d,0x84ca8bc7997272c7cfb4d0cd3d55cd942b3c9419,0x7bf6830ae2dd299316294e824ef98aa2732dc411,1e+19,DIAToken,DIA,18,134,173542,426000001459,132482,11017696,deprecated,4409703
1,10783629,2020-09-02 19:07:37,0xf8245609da7c02f4a1a788d85097f3caa707411327ba602e9224c62f86def2ee,3,0xfb2ace480793e81125f89749e0521fc2c1eb9c095c00509aedf6117586824666,0x7bf6830ae2dd299316294e824ef98aa2732dc411,0x84ca8bc7997272c7cfb4d0cd3d55cd942b3c9419,0x4dc02e1bb2ec1ce4c50c351e6e06505e7b1dce8d,1e+19,DIAToken,DIA,18,123,168401,433000000000,112810,4586337,deprecated,4400350
2,10814514,2020-09-07 12:28:24,0xd6ad92ff519104782e1b3a8ad5a69c4c81da509ee0752a63ebf4cb35f106a959,6,0x08da09cc3f7e310ce3d20bb0ac0b98e18ad3924a2474d36f0c9d86fea693e397,0xd58b1b5d2148f744e9eb3a87f20bebf3ca5f8974,0x45f24baeef268bb6d63aee5129015d69702bcdfa,0x7bf6830ae2dd299316294e824ef98aa2732dc411,1.2263845982907312e+19,YFValue,YFV,18,133,231063,103000000000,180339,9447093,deprecated,4369465
3,10821958,2020-09-08 16:00:44,0x5f9a56632df77ac1a9d6e82f540152206e8d4363b4f77998c069238fc1c4c048,7,0xdcd3a4a5d124840fa6be3b310ec14104044fe8f14dfa54ea4bb29851ff5a6858,0x3b3d4eefdc603b232907a7f3d0ed1eea5c62b5f7,0x0ae055097c6d159879521c384f1d2123d1f195e6,0x7bf6830ae2dd299316294e824ef98aa2732dc411,1.35e+19,STAKE,STAKE,18,102,177115,110000000000,123714,8007461,deprecated,4362021
4,10868833,2020-09-15 20:29:51,0x20447743d05e6c52ec4c9f9eac94bd717ef6f803af70910ee410c5ac1acddc61,8,0x9446b6086bd0cedad0e85a7d81aeab186890252224d23d853e70344ac8874219,0xed643618dd5194f243a8f23c7bd786a37a6dcf8b,0x89ee58af4871b474c30001982c3d7439c933c838,0x7bf6830ae2dd299316294e824ef98aa2732dc411,3.1e+17,yfBETA,YFBETA,18,38,175393,104000000000,134165,5859962,deprecated,4315146
5,10912789,2020-09-22 14:14:47,0x1dadb2d11eb4549bf408bc09ca933562402146a25659a9a5aa72e118c01b07a9,14,0x44baaeb6f9b90c1a50e0924d86fbe35a6888d7b4acc473370b5a0202fd8326ef,0x7bf6830ae2dd299316294e824ef98aa2732dc411,0x0ae055097c6d159879521c384f1d2123d1f195e6,0x3b3d4eefdc603b232907a7f3d0ed1eea5c62b5f7,1.35e+19,STAKE,STAKE,18,205,170798,193000000000,114989,11864767,deprecated,4271190
6,10984986,2020-10-03 20:07:28,0x118f8f3a5bbf4c9f8cfcb74b5509ebcaec91511bd37a06d8b6067bb50337dc93,16,0x29a8710ee950ccd2f309c056d61f64821fd1ea0a7b1e0a3e42bc1502f91f0de3,0x7bf6830ae2dd299316294e824ef98aa2732dc411,0x45f24baeef268bb6d63aee5129015d69702bcdfa,0xcb4f983e705caeb7217c5c3785001cb138115f0b,1.2263845982907312e+19,YFValue,YFV,18,136,216345,41000000000,171177,10075563,deprecated,4198993
7,10984986,2020-10-03 20:07:28,0x118f8f3a5bbf4c9f8cfcb74b5509ebcaec91511bd37a06d8b6067bb50337dc93,16,0x29a8710ee950ccd2f309c056d61f64821fd1ea0a7b1e0a3e42bc1502f91f0de3,0xd9159376499936868a5b061a4633481131e70732,0x49e833337ece7afe375e44f4e3e8481029218e5c,0x7bf6830ae2dd299316294e824ef98aa2732dc411,1.3293904656639461e+19,Value Liquidity,VALUE,18,136,216345,41000000000,171177,10075563,deprecated,4198993
8,10988008,2020-10-04 07:24:05,0xb94eb3de89f2cfc98decdbab23b00d4c136a2ba61eb3456b743f73354674993d,17,0xdb22656a26cd7969fb3bdfb66f7221762cd47b578ea1cf9b948e9312c366ccb2,0xed643618dd5194f243a8f23c7bd786a37a6dcf8b,0x89ee58af4871b474c30001982c3d7439c933c838,0x7bf6830ae2dd299316294e824ef98aa2732dc411,1.202832366272794e+18,yfBETA,YFBETA,18,181,150199,53000000000,111186,9623172,deprecated,4195971
9,11015084,2020-10-08 13:09:55,0xff4bd548d5204c32017d6ae2cd997f92dde08e8f7c525f486c400a1140d7cb86,18,0xe91129a4f31281bdd5a707fe351ba08766b9691a397158e301677efd64ad21f1,0xb96cb1920f0cca03081c56baabeb9608ea9805fc,0x062f90480551379791fbe2ed74c1fe69821b30d3,0x7bf6830ae2dd299316294e824ef98aa2732dc411,3.4387816061577416e+18,YMAX,YMAX,18,81,169279,66000000000,128260,6973650,deprecated,4168895
