,blockNumber,timeStamp,hash,nonce,blockHash,from,contractAddress,to,value,tokenName,tokenSymbol,tokenDecimal,transactionIndex,gas,gasPrice,gasUsed,cumulativeGasUsed,input,confirmations
0,5562226,2018-05-05 19:50:46,0x6f932b7697a39f28863f434dbc45f47b31069c735781a3fd3fa55d736eaad227,34,0xe6a1803f58f82c5106bc09d9a12f8aa08e00a0c030403212be8e66239e7aebc7,0xb9a7db6bb18a6429c6a18d256b0e55e3160dbc3a,0xf230b790e05390fc8295f4d3f60332c93bed42e2,0x7bff2f87779a8e73c07e9be4252a9e67231bb9da,42000000.0,Tronix,TRX,6,21,1655542,2000000000,1645257,2694461,deprecated,9621753
1,5798936,2018-06-16 12:11:47,0x67cc3d0ed9ebc02a7e3ff0eb4b8c3c3dab871a3155852454f72cbb0f9fbbdb31,132,0x2473564c74d2460707cae525030195752c7c85ca1750a0223744f3f492d5d529,0x0000000000000000000000000000000000000000,0x7b2f9706cd8473b4f5b7758b0171a9933fc6c4d6,0x7bff2f87779a8e73c07e9be4252a9e67231bb9da,911.0,An Etheal Promo,HEALP,0,17,1800000,3000000000,1708485,4526358,deprecated,9385043
2,6333096,2018-09-15 00:17:11,0x3e9422745de0204237a2b5770b6e36507c265fc80401f6eeb7352159f7e10f71,1306,0xee9504c1007c1fefe1b36af3cbaea6939b746b79cf8c3689058002f0d85c8551,0x8e306b005773bee6ba6a6e8972bc79d766cc15c8,0x58b6a8a3302369daec383334672404ee733ab239,0x7bff2f87779a8e73c07e9be4252a9e67231bb9da,2.1496722346848873e+18,Livepeer Token,LPT,18,6,2400000,4000000000,2153884,3578945,deprecated,8850883
3,8154847,2019-07-15 09:36:34,0x4a97f0e628709c8be69dcb9fe876a7afdbaa3c75ea45c7bb74c0e073d951f98a,3,0xef6b75a776c6e06ac50f46e0041515c43e1c7a47b832491e4d13e70dfb04c2b5,0x04427facce019761d7734c4344585684a4660e5c,0x4135bd2e8b092c7fed20d2e7a75afa9e17e0850b,0x7bff2f87779a8e73c07e9be4252a9e67231bb9da,1e+24,DEFI Token,DFT,18,68,60000,10000000000,53495,2860679,deprecated,7029132
4,8263739,2019-08-01 08:19:32,0x155725a7cc18a8409ba76819bbeb669a6a6c1df55c5aa98228681c0499482f41,1767,0x83c79176c66929f260abb3f1f89fde573f8f38210cc6606c2574cdab4d47df16,0xbec03f39c7c29e461006c042aa1bd4814f4d38a1,0xe38168d5d51b2373fa0ef76bcbe85f8bcf63a1bc,0x7bff2f87779a8e73c07e9be4252a9e67231bb9da,2e+20,Axonomy,AXON,18,120,90000,15000000000,53488,6707470,deprecated,6920240
5,8269020,2019-08-02 04:11:29,0x5ca157d74fbf90e96f3f7d7dd69660d846e044062894c88e28a57bb4ef8a3963,7,0x2e20c7a9fb305109662c3e15f22362fd41733af40823e6db53f2a53f2170719f,0x57de940c78f53802d79338b6e493a973722f58b2,0xe38168d5d51b2373fa0ef76bcbe85f8bcf63a1bc,0x7bff2f87779a8e73c07e9be4252a9e67231bb9da,5e+21,Axonomy,AXON,18,89,60000,10000000000,23552,3189239,deprecated,6914959
6,8269209,2019-08-02 04:52:52,0x920bcde84b2bf672f5eb2190905660249c707263a51e884246713cb6a6c97c66,5,0x59ec72e7ac1a4be935b9aef51d5921b123c028c417f50309f1ad3dfe73e5dcf0,0x7bff2f87779a8e73c07e9be4252a9e67231bb9da,0xe38168d5d51b2373fa0ef76bcbe85f8bcf63a1bc,0xf64d23a390c02d860459c34a77f61da5ae24dc0f,5.2e+21,Axonomy,AXON,18,134,60000,10000000000,23552,5075492,deprecated,6914770
7,8675424,2019-10-04 11:36:09,0x55ea223694c8f57642a5168cf78f849a4f7a3394061d514e77b88a6152cd7ac9,3116,0x0edc4be81449976cafc3151ddfe19a3d1f67b1717312f6b421577d53de321181,0xe5ccfca59acd6a3dea18a97a8d12a1fc5be09b13,0xbddab785b306bcd9fb056da189615cc8ece1d823,0x7bff2f87779a8e73c07e9be4252a9e67231bb9da,3.079446555979009e+18,Ebakus,EBK,18,24,698049,1010000000,693739,6209515,deprecated,6508555
8,9364056,2020-01-27 12:38:47,0x13ed23f08342188ea5420217ed0445f6162e13308b131ec83fe0b92f028ba4c4,6973,0x624656707ea166d3cf2ebbbdd0945a7cfb72cd24d8787467ff8e572f16aa7125,0xc12d1c73ee7dc3615ba4e37e4abfdbddfa38907e,0xc12d1c73ee7dc3615ba4e37e4abfdbddfa38907e,0x7bff2f87779a8e73c07e9be4252a9e67231bb9da,88888800000000.0,KickToken,KICK,8,5,7000000,1000000000,2727994,3252880,deprecated,5819923
9,10776331,2020-09-01 16:18:38,0x5c3c21c915db4ef21e416515793a3d188329526e0af746ba7e0e1733e93db330,408180,0x3ac76e9467c1f9805bce1fae3fccaeda6f2ac723b981bc0875ee912eeeb1409c,0x5041ed759dd4afc3a72b8192c143f72f4724081a,0xdac17f958d2ee523a2206206994597c13d831ec7,0x7bff2f87779a8e73c07e9be4252a9e67231bb9da,1488003000.0,Tether USD,USDT,6,98,420000,498000000000,56209,5839677,deprecated,4407648
10,10776384,2020-09-01 16:28:42,0x0477ccb3c038062e478c8ed9c3509c47474152576446ac5bebb3cf9007770c1a,45329,0x090df50912a710d53c1d06679eab5aae409baad6f92f5a04c030a8295038e6b9,0x7bff2f87779a8e73c07e9be4252a9e67231bb9da,0xdac17f958d2ee523a2206206994597c13d831ec7,0x41f8d14c9475444f30a80431c68cf24dc9a8369a,1070654653.0,Tether USD,USDT,6,200,450000,477000000000,274444,11549851,deprecated,4407595
11,10776466,2020-09-01 16:46:43,0x42ac82640172cc63afd21c16c958e0c394633a4ee50134c48184771375170bf4,408249,0xa220a86d78443d5b582c6328fdfe0b606a817719d3a2009c54e1d1673bc2fc6e,0x5041ed759dd4afc3a72b8192c143f72f4724081a,0xdac17f958d2ee523a2206206994597c13d831ec7,0x7bff2f87779a8e73c07e9be4252a9e67231bb9da,690000000.0,Tether USD,USDT,6,49,420000,500000000000,41209,2843246,deprecated,4407513
12,10776633,2020-09-01 17:23:47,0xc4b5ae9fd8a76060aec95babbd50ffbc611524c81bee68d738fc0e08691badd8,15,0x9c62018fcb815eb3c1185d5021c51eb8fe6c2caee752f5befd40e429922dade7,0x7bff2f87779a8e73c07e9be4252a9e67231bb9da,0xdac17f958d2ee523a2206206994597c13d831ec7,0x0d4a11d5eeaac28ec3f61d100daf4d40471f1852,1024824848.0,Tether USD,USDT,6,219,190983,508200000233,135809,7383813,deprecated,4407346
13,10776633,2020-09-01 17:23:47,0xc4b5ae9fd8a76060aec95babbd50ffbc611524c81bee68d738fc0e08691badd8,15,0x9c62018fcb815eb3c1185d5021c51eb8fe6c2caee752f5befd40e429922dade7,0x0000000000000000000000000000000000000000,0x0d4a11d5eeaac28ec3f61d100daf4d40471f1852,0x7bff2f87779a8e73c07e9be4252a9e67231bb9da,39019589888114.0,Uniswap V2,UNI-V2,18,219,190983,508200000233,135809,7383813,deprecated,4407346
14,10776693,2020-09-01 17:36:43,0x59f4a74c9e15072f9689f51e3239048227fc86b9c159717c63adade5fd52154b,16,0x7b671a076f6c2c05d41d34a4b04a226ee2aca57f5d7226ecbc29bcdb037766e8,0x7bff2f87779a8e73c07e9be4252a9e67231bb9da,0x0d4a11d5eeaac28ec3f61d100daf4d40471f1852,0xc2edad668740f1aa35e4d8f227fb8e17dca888cd,39019589888114.0,Uniswap V2,UNI-V2,18,119,151566,477333804110,126566,8844744,deprecated,4407286
15,10781104,2020-09-02 09:50:30,0x98027d3c55494e22bb1e5174a567de83092e9900f5722c77e1b520458d292232,17,0x0074e0129b9bf57fb5e9b3d60b4a33c50acaabe58ed3bd184d219b45e305b214,0xc4da39e646e7f5d233b89ca0f7b75344e7ddb2cc,0x1e18821e69b9faa8e6e75dffe54e7e25754beda0,0x7bff2f87779a8e73c07e9be4252a9e67231bb9da,1.7195197687327205e+20,KIMCHI.finance,KIMCHI,18,36,151440,518100000233,124313,1207439,deprecated,4402875
