,blockNumber,timeStamp,hash,nonce,blockHash,from,contractAddress,to,value,tokenName,tokenSymbol,tokenDecimal,transactionIndex,gas,gasPrice,gasUsed,cumulativeGasUsed,input,confirmations
0,10781073,2020-09-02 09:43:06,0x2c271d0914a1ea8f6d192792ac0f54b9db45240b5e55fbc33e3b8590f3884e11,2,0x3809260a82530025eb4225f8ceb6894d3c7c773d3ea806957fb90cd53ddfb347,0xb4e16d0168e52d35cacd2c6185b44281ec28c9dc,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0x7c8ba7f07710168408cc3d886522623ddcff6cf9,4176255450.0,USD Coin,USDC,6,197,161515,480000000000,121312,9300909,deprecated,4402657
1,10781157,2020-09-02 10:00:32,0x1fd2336f40073f99f0c56e5fe825a877290942134c04abb0706ac08283063ee6,2,0xe540ce1dbd32414c94722c6376e81660bcfa8b024efdab34005490ee376c80c7,0x7c8ba7f07710168408cc3d886522623ddcff6cf9,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0xae461ca67b15dc8dc81ce7615e0320da1a9ab8d5,4176255450.0,USD Coin,USDC,6,90,250457,480000000000,183277,5742078,deprecated,4402573
2,10781169,2020-09-02 10:03:26,0x56e713debc8c506d8726fb7d8f93b4384e7e6b1dce54adfc051c8d69ab73d310,3,0x340551e1c560f4fc4437c09b84d15d21f1cd90be263f6195fa821d85f929e671,0x0000000000000000000000000000000000000000,0xcfc7e8edf38fa4b7808b014c1594d83d724a9c0f,0x7c8ba7f07710168408cc3d886522623ddcff6cf9,1e+28,Kombucha Finance,BOOCH,18,34,1557655,480000000000,1557655,4292457,deprecated,4402561
3,10781192,2020-09-02 10:07:25,0xfa2bd49184a09f7dc62937bd588f2e5f25b7a628c10f83bc141e1c1a72cde808,5,0xec117fc36f2052d76f780c0fb176e35646c0cc206114ba30b2a626dcf32ee54c,0x7c8ba7f07710168408cc3d886522623ddcff6cf9,0xcfc7e8edf38fa4b7808b014c1594d83d724a9c0f,0x5cb12c679f490ae2e2caec951f35916e2a1e564f,9.96875e+24,Kombucha Finance,BOOCH,18,108,3032517,273800000000,2716459,9446941,deprecated,4402538
4,10781192,2020-09-02 10:07:25,0xfa2bd49184a09f7dc62937bd588f2e5f25b7a628c10f83bc141e1c1a72cde808,5,0xec117fc36f2052d76f780c0fb176e35646c0cc206114ba30b2a626dcf32ee54c,0x7c8ba7f07710168408cc3d886522623ddcff6cf9,0xcfc7e8edf38fa4b7808b014c1594d83d724a9c0f,0x0000000000000000000000000000000000000000,3.125e+22,Kombucha Finance,BOOCH,18,108,3032517,273800000000,2716459,9446941,deprecated,4402538
5,10781192,2020-09-02 10:07:25,0xfa2bd49184a09f7dc62937bd588f2e5f25b7a628c10f83bc141e1c1a72cde808,5,0xec117fc36f2052d76f780c0fb176e35646c0cc206114ba30b2a626dcf32ee54c,0x0000000000000000000000000000000000000000,0x5cb12c679f490ae2e2caec951f35916e2a1e564f,0x7c8ba7f07710168408cc3d886522623ddcff6cf9,8.353517223301811e+21,Uniswap V2,UNI-V2,18,108,3032517,273800000000,2716459,9446941,deprecated,4402538
6,10781202,2020-09-02 10:09:46,0x814819fce9f1d05e2a084589ca53b308735ebeac0589e73e073599bd8279d6b4,7,0x21800f7e3d56a221b6cf7726f9c522790b765f655985715ff798aa498e76ba4f,0x7c8ba7f07710168408cc3d886522623ddcff6cf9,0xcfc7e8edf38fa4b7808b014c1594d83d724a9c0f,0x2eb966795d13433a22d56eb43f38db7fb56a59e7,9.95878125e+27,Kombucha Finance,BOOCH,18,110,91077,480000000000,45718,4147559,deprecated,4402528
7,10781202,2020-09-02 10:09:46,0x814819fce9f1d05e2a084589ca53b308735ebeac0589e73e073599bd8279d6b4,7,0x21800f7e3d56a221b6cf7726f9c522790b765f655985715ff798aa498e76ba4f,0x7c8ba7f07710168408cc3d886522623ddcff6cf9,0xcfc7e8edf38fa4b7808b014c1594d83d724a9c0f,0x0000000000000000000000000000000000000000,3.121875e+25,Kombucha Finance,BOOCH,18,110,91077,480000000000,45718,4147559,deprecated,4402528
8,12628544,2021-06-13 21:26:40,0x4046cf6dc4aa9a73a7e4476f089b35130ad3b6f18d0ca6d75695474c45611f83,11,0x042968a382f26e57f250f2f62eed83769c93967436ab7183aa0743b58044f188,0x7c8ba7f07710168408cc3d886522623ddcff6cf9,0x5cb12c679f490ae2e2caec951f35916e2a1e564f,0x5cb12c679f490ae2e2caec951f35916e2a1e564f,8.353517223301811e+21,Uniswap V2,UNI-V2,18,25,319488,27000000000,190943,2015120,deprecated,2555186
9,12628544,2021-06-13 21:26:40,0x4046cf6dc4aa9a73a7e4476f089b35130ad3b6f18d0ca6d75695474c45611f83,11,0x042968a382f26e57f250f2f62eed83769c93967436ab7183aa0743b58044f188,0x7a250d5630b4cf539739df2c5dacb4c659f2488d,0xcfc7e8edf38fa4b7808b014c1594d83d724a9c0f,0x7c8ba7f07710168408cc3d886522623ddcff6cf9,2.7448646648784258e+26,Kombucha Finance,BOOCH,18,25,319488,27000000000,190943,2015120,deprecated,2555186
