,blockNumber,timeStamp,hash,nonce,blockHash,from,contractAddress,to,value,tokenName,tokenSymbol,tokenDecimal,transactionIndex,gas,gasPrice,gasUsed,cumulativeGasUsed,input,confirmations
0,10757302,2020-08-29 18:28:29,0xc128380a1abb6b3d0180fc5228eb600e0fe23eadc7ac38eeb9ee2a0b6c982269,0,0x15784ebd37efcb9447359fd7e7b1253ca58a2922d1fdddae2fc4692e9bb308dd,0x6489a2c06cbad614b279979229544197ac75599f,0xfca59cd816ab1ead66534d82bc21e7515ce441cf,0x7d1a292d3947c858233dc714e5cb79637c0ab77f,1e+20,Rarible,RARI,18,45,240549,86000000000,189268,3479449,deprecated,4427042
1,10761969,2020-08-30 11:44:12,0xd017088b0af3e496bcf0ec7a186c576b0711b2a516aa71a5e853969fddb451f4,2,0x1e42359a1e8ac715c2cb8f6d7ae1c2d0110543d07e62cc59ff079e56d9300400,0x7d1a292d3947c858233dc714e5cb79637c0ab77f,0xfca59cd816ab1ead66534d82bc21e7515ce441cf,0x86fef14c27c78deaeb4349fd959caa11fc5b5d75,1e+20,Rarible,RARI,18,167,169249,137000001235,113581,12313607,deprecated,4422375
2,10761989,2020-08-30 11:49:52,0x994f91ebf000adeadca05a3dfa61bf00373172ff825b88bd9b0002a3ea52e788,3,0xfbac28a64b22fdec30c8b2fc2a3ba740d3f9733219680b44dcd96d79f6b3f081,0x302ac87b1b5ef18485971ed0115a17403ea30911,0x4a57e687b9126435a9b19e4a802113e266adebde,0x7d1a292d3947c858233dc714e5cb79637c0ab77f,4e+22,Flexacoin,FXC,18,111,176198,137000001235,134896,5503010,deprecated,4422355
3,10762277,2020-08-30 12:51:53,0xb485355da85605f8c3f07c57f9541a5f57ccb7fa1e5e37c25156961d72a84d42,4,0x7c2a1ecd754913ccfe941a3abc84939cb0ded1d802382b0dec573dde56209cd5,0x6e07a1c50d4db0979a0a65bc8b13744a8a1501de,0xcee1d3c3a02267e37e6b373060f79d5d7b9e1669,0x7d1a292d3947c858233dc714e5cb79637c0ab77f,9e+17,yffi.finance,YFFI,18,41,160020,168000000000,132205,4240534,deprecated,4422067
4,10770251,2020-08-31 18:13:40,0xaaced63fd6e4b837776e311aaf66c9da5502246bdcf9451596e901ddb9cd9bb8,6,0xc4b24aee3a53a206dbf54abfaca07a3b17832c5a0483a05d2e14a992f01d9d44,0x5741a1ceff6148c8aaca0f0456c03c88817e05f5,0x31024a4c3e9aeeb256b825790f5cb7ac645e7cd5,0x7d1a292d3947c858233dc714e5cb79637c0ab77f,2000.0,Xiotri,XIOT,3,34,174554,301000000000,133402,3350926,deprecated,4414093
5,10770269,2020-08-31 18:17:55,0x4cd19af34d0539c52af9e83e2d7976bf77f747ecdbe703ef280709128bf8f23c,9,0xc67da56b429a3ebecb1c72986eee14164fe83d660129e8eef508c4e33626ac26,0x2d069ae9c55c7b2829aa40d3beb3fdb29308566e,0x26b3038a7fc10b36c426846a9086ef87328da702,0x7d1a292d3947c858233dc714e5cb79637c0ab77f,2e+17,Yield Farming Token,YFT,18,68,280882,301000000000,230064,4357768,deprecated,4414075
6,10770274,2020-08-31 18:18:56,0x6bdefa9f16dafd711846af117512ded846558438d3644227330eb6b3cdc68d06,11,0x81f7051df0e3edabeaee1fbdc1644d9955fb4c0fce0afc1dfb2e24b42c2f013c,0x6e07a1c50d4db0979a0a65bc8b13744a8a1501de,0xcee1d3c3a02267e37e6b373060f79d5d7b9e1669,0x7d1a292d3947c858233dc714e5cb79637c0ab77f,1.1e+18,yffi.finance,YFFI,18,71,143520,301000000000,117205,5544045,deprecated,4414070
7,10770349,2020-08-31 18:32:16,0x69e651addb096991b3eded58da0fac69c4deddcfc7c3c94c038ea0ebd1244edf,14,0xfbd5a83d1ecf463a9bd54a7583d6bec72b966410ec7ca94062a7a90aa8a2612f,0x7d1a292d3947c858233dc714e5cb79637c0ab77f,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0x6e07a1c50d4db0979a0a65bc8b13744a8a1501de,1.8e+18,Wrapped Ether,WETH,18,63,106357,240000000000,90753,4108731,deprecated,4413995
8,10770349,2020-08-31 18:32:16,0x69e651addb096991b3eded58da0fac69c4deddcfc7c3c94c038ea0ebd1244edf,14,0xfbd5a83d1ecf463a9bd54a7583d6bec72b966410ec7ca94062a7a90aa8a2612f,0x6e07a1c50d4db0979a0a65bc8b13744a8a1501de,0xcee1d3c3a02267e37e6b373060f79d5d7b9e1669,0x7d1a292d3947c858233dc714e5cb79637c0ab77f,2.4297556123907297e+18,yffi.finance,YFFI,18,63,106357,240000000000,90753,4108731,deprecated,4413995
9,10782875,2020-09-02 16:22:33,0xeaa810d4059f989dbd6de6942c871a029605d1aab0f9d9a7a72d110d091f21a1,15,0x4705844223b0523e4c3d4953b368ae7ad7424ba763451c0db506e68a947a5b17,0x501e6621f0eff056345efd1d3ac4181ea01474ed,0x03829f5675f3b51d0f8c2a74417a757625acf22f,0x7d1a292d3947c858233dc714e5cb79637c0ab77f,1.5806153769152109e+19,YFIBALANCER.FINANCE,YFIB,18,83,171763,500000000000,130484,7315947,deprecated,4401469
10,10800177,2020-09-05 08:04:13,0x7a5c3330da013f7c2ba28e2b204fe3f97327edf8e64c8e43cc2424cfdc04ae45,17,0xa26deb39b9b8b36b34a12b1978453e1829de698259b2df98405d2d4f3c8d4d35,0xeb305caf30172e44372b801d15ebf20f0e7ef14e,0x978e500e1a13fe0a52882d5bdaabc9bef7dc95ad,0x7d1a292d3947c858233dc714e5cb79637c0ab77f,1.1238382338297707e+20,YFI-b,YFIb,18,100,165287,217000000000,124688,9513000,deprecated,4384167
11,10804659,2020-09-06 00:22:41,0x7c4025577562c71c231c71e3a1c03a791891ba3a62213f5e8ea303bd6806a230,1,0x4955bb9e97edd52ba4700b4053ff1356724154ddd0e6b6457b892405dbafb8f3,0xa5025faba6e70b84f74e9b1113e5f7f4e7f4859f,0x5c4ac68aac56ebe098d621cd8ce9f43270aaa355,0x7d1a292d3947c858233dc714e5cb79637c0ab77f,111906800.0,bXIOT Token,bXIOT,6,40,7887097,122000000000,7251077,9443682,deprecated,4379685
12,10846021,2020-09-12 08:24:24,0x45a8e2c70a5db950a3dabc91c0cf8e4f15a98e5cb28c194c34e531e2a9874fbc,30,0xbde1519bc7afbb5e199c39371950ccf0a270e3808e948b726581f9715000a448,0xa1858c7238dc38b3b8e9d84cf44d394b0c7e22f5,0x8a6f3bf52a26a21531514e23016eeae8ba7e7018,0x7d1a292d3947c858233dc714e5cb79637c0ab77f,57278285916.0,Multiplier,MXX,8,182,165200,83000000000,112593,10671146,deprecated,4338323
13,10846035,2020-09-12 08:27:59,0x911ce348d6ab24c3b34989f2b72ddd1a4a37d098f3ea51b8f7338b45e9dec539,32,0x2c07c92ba2b69dac9e63ef5cc866625e23cfd5c459eeefdee21dcf9b861f29f3,0x7d1a292d3947c858233dc714e5cb79637c0ab77f,0x8a6f3bf52a26a21531514e23016eeae8ba7e7018,0x19b292c1a84379aab41564283e7f75bf20e45f91,14667710371.0,Multiplier,MXX,8,139,281691,82000001459,182110,12057211,deprecated,4338309
14,10846058,2020-09-12 08:32:21,0x957ec857079738cdbc39da4983f05f8665879e2db281db23a38d06b507d1b787,33,0xcb5ecc18503d54cdb5f9f1e5e55995bf5fbbec34bb62ce60b0dbc0278858e330,0x927a4aae0c92cdd84b3bb6a2034a299eccb27f7f,0x8a6f3bf52a26a21531514e23016eeae8ba7e7018,0x7d1a292d3947c858233dc714e5cb79637c0ab77f,138520913652.0,Multiplier,MXX,8,138,227856,80000000000,165640,9548850,deprecated,4338286
15,10846070,2020-09-12 08:34:05,0xdfc09bbce931e4fef47344ba7f753618a96b71bea68ac6eca7572ae680fbfeea,34,0xb503a9a5bd660ec36ee24c6e5853b7f65d80f446ddc30219d1b27e788c65ae06,0x7d1a292d3947c858233dc714e5cb79637c0ab77f,0x8a6f3bf52a26a21531514e23016eeae8ba7e7018,0x19b292c1a84379aab41564283e7f75bf20e45f91,176012524461.0,Multiplier,MXX,8,125,281709,82000001459,182122,8290708,deprecated,4338274
