,blockNumber,timeStamp,hash,nonce,blockHash,from,contractAddress,to,value,tokenName,tokenSymbol,tokenDecimal,transactionIndex,gas,gasPrice,gasUsed,cumulativeGasUsed,input,confirmations
0,10769791,2020-08-31 16:32:07,0xf2ff3d61f966d0adbd14d2097a6d13dec05b1f2b10376f7b971bbc40d6b7163b,409,0x5fb7efc5b1b1bac72788287de1d7847135b1c15291325d75f1553f6f76c5284d,0x4085e9fb679dd2f60c2e64afe9533107fa1c18f2,0x6f87d756daf0503d08eb8993686c7fc01dc44fb1,0x83a3828a61a952f7ddb6e0f12b5126ca1a19b7b7,1.891649586870661e+21,UniTrade,TRADE,18,148,77104,300000000000,36403,6881422,deprecated,4414875
1,10770418,2020-08-31 18:46:42,0x312e52be661e66c9ea38405a69a0a188a28b6a49718d7394e2ebbfa317e4eefe,2,0x4a08085a970aafe1c03de476e74f8235db8d10fd4f06848ea394de07ad517c76,0x83a3828a61a952f7ddb6e0f12b5126ca1a19b7b7,0x6f87d756daf0503d08eb8993686c7fc01dc44fb1,0xd2e0c4928789e5db620e53af29f5fc7bca262635,1.891649586870661e+21,UniTrade,TRADE,18,152,168457,250000000000,112861,9412715,deprecated,4414248
2,10770489,2020-08-31 19:01:58,0xc372901a28afc3afa6a2e8ac4a3aef1661f36bcb0ae338d0852057902e63a8b8,3,0x2ab119e72f57f7edf3c216e832796dfe8bfb8391e2ab5c6b19da40634120b643,0x88d97d199b9ed37c29d846d00d443de980832a22,0x04fa0d235c4abf4bcf4787af4cf447de572ef828,0x83a3828a61a952f7ddb6e0f12b5126ca1a19b7b7,2.989175728905729e+19,UMA Voting Token v1,UMA,18,102,230930,240000000000,195448,8390424,deprecated,4414177
3,10770527,2020-08-31 19:09:03,0xc1e8ba9e500b967b7bb1d399b8a85e4ce3a175bdf66e65afabcefea5779bebe7,5,0x286d27d2c9dc92b993985756a02ad54d6f35eb7cab3394e50078b449521e5651,0x83a3828a61a952f7ddb6e0f12b5126ca1a19b7b7,0x04fa0d235c4abf4bcf4787af4cf447de572ef828,0x88d97d199b9ed37c29d846d00d443de980832a22,2.989035628637575e+19,UMA Voting Token v1,UMA,18,114,204699,233310000000,160314,5627411,deprecated,4414139
4,10770527,2020-08-31 19:09:03,0xc1e8ba9e500b967b7bb1d399b8a85e4ce3a175bdf66e65afabcefea5779bebe7,5,0x286d27d2c9dc92b993985756a02ad54d6f35eb7cab3394e50078b449521e5651,0x0000000000000000000000000000000000000000,0x88d97d199b9ed37c29d846d00d443de980832a22,0x83a3828a61a952f7ddb6e0f12b5126ca1a19b7b7,6.348741951391731e+18,Uniswap V2,UNI-V2,18,114,204699,233310000000,160314,5627411,deprecated,4414139
5,10770550,2020-08-31 19:15:19,0x9267168aef202afc67bb0c009afa7ac4e1809a6dfeedc7ed7c6aa11a6c896754,7,0x046b206ecf09902440e23659eea507cce5a1a4856d9ca8ee697443494872a4d9,0x83a3828a61a952f7ddb6e0f12b5126ca1a19b7b7,0x88d97d199b9ed37c29d846d00d443de980832a22,0xc2edad668740f1aa35e4d8f227fb8e17dca888cd,6.348741951391731e+18,Uniswap V2,UNI-V2,18,239,212403,255000000000,73078,9607193,deprecated,4414116
6,10770670,2020-08-31 19:40:31,0x80f511279443c86afd775282440a629daeb02ef2b7f0f8c9a50b261171be8ce5,8,0xcd9edeee1d3d48e1e3078e67d7c62cb35d1b952a49fa04b680d290946388582c,0xcfb8cf118b4f0abb2e8ce6dbeb90d6bc0a62693d,0x1453dbb8a29551ade11d89825ca812e05317eaeb,0x83a3828a61a952f7ddb6e0f12b5126ca1a19b7b7,2.381805280082619e+20,Tendies Token,TEND,18,38,166262,281600000000,125561,2072818,deprecated,4413996
7,10773166,2020-09-01 04:38:22,0x593fd77796585a8bbc6b1d80dc8ddf79ba14ccb5fbf5d1cd1160020f2a5f9044,10,0x3a636fed2dc70464c3fc7b4c1592957ac1d64ffb1dee7b178a794bf1fb99dd34,0x83a3828a61a952f7ddb6e0f12b5126ca1a19b7b7,0xc5be99a02c6857f9eac67bbce58df5572498f40c,0xc2edad668740f1aa35e4d8f227fb8e17dca888cd,0.0,Uniswap V2,UNI-V2,18,163,141991,315000000000,94661,11540617,deprecated,4411500
8,10789726,2020-09-03 17:43:17,0xe7f4b7e15058bd3185a3bcc3568eb0a19df22847586f4dc47c71fca0ddde7e5b,11,0xfafa931d75283a73e6746d128493cedf809f21b8ca15d6fbf11c1cebfe933058,0xc2edad668740f1aa35e4d8f227fb8e17dca888cd,0x6b3595068778dd592e39a122f4f5a5cf09c90fe2,0x83a3828a61a952f7ddb6e0f12b5126ca1a19b7b7,3.722884167052804e+19,SushiToken,SUSHI,18,71,240177,470700000000,130118,3559141,deprecated,4394940
9,10789726,2020-09-03 17:43:17,0xe7f4b7e15058bd3185a3bcc3568eb0a19df22847586f4dc47c71fca0ddde7e5b,11,0xfafa931d75283a73e6746d128493cedf809f21b8ca15d6fbf11c1cebfe933058,0xc2edad668740f1aa35e4d8f227fb8e17dca888cd,0x88d97d199b9ed37c29d846d00d443de980832a22,0x83a3828a61a952f7ddb6e0f12b5126ca1a19b7b7,6.348741951391731e+18,Uniswap V2,UNI-V2,18,71,240177,470700000000,130118,3559141,deprecated,4394940
