,blockNumber,timeStamp,hash,nonce,blockHash,from,contractAddress,to,value,tokenName,tokenSymbol,tokenDecimal,transactionIndex,gas,gasPrice,gasUsed,cumulativeGasUsed,input,confirmations
0,10763649,2020-08-30 17:49:05,0x8bc15e18268bc7f3498f673f9598a6af17c0fd6c49a4c4238242cb1e1022a955,0,0x8896fa1a269313828a67670b83e314c64f82beaf408169a1d47c11ccd8d1e429,0xae461ca67b15dc8dc81ce7615e0320da1a9ab8d5,0x6b175474e89094c44da98b954eedeac495271d0f,0x84e82582b2f5ce5cb3fd6ac82aa65e8fae5bc6ff,4e+19,Dai Stablecoin,DAI,18,125,245614,240000000000,205889,5521367,deprecated,4420713
1,10763681,2020-08-30 17:56:45,0x42fb63bad8996182ca3f69a6c222716b3507b83ef5f3be58d3ed566f264fc2a1,1,0x18bfddec704e525ff254808d4844100f6c32aaae81f8b91fe1380162afff6528,0x4dc02e1bb2ec1ce4c50c351e6e06505e7b1dce8d,0x84ca8bc7997272c7cfb4d0cd3d55cd942b3c9419,0x84e82582b2f5ce5cb3fd6ac82aa65e8fae5bc6ff,1e+19,DIAToken,DIA,18,138,173542,240000000000,132482,9935510,deprecated,4420681
2,10763698,2020-08-30 18:01:03,0x13b13e9ecd5871f9870ca826b586100e084905c11192b49261116f74ebff58e9,2,0x970c404c9233ddbd7f67c6ac911a88af12d8a23c440ff216a296681db86b5b4f,0xf421c3f2e695c2d4c0765379ccace8ade4a480d9,0xba11d00c5f74255f56a5e366f4f77f5a186d7f55,0x84e82582b2f5ce5cb3fd6ac82aa65e8fae5bc6ff,3e+18,BandToken,BAND,18,67,259630,240000000000,210744,5652797,deprecated,4420664
3,10764019,2020-08-30 19:13:43,0x4a2ede2ac3fd182f532fbed0eb09c77951847da0a528cefb7399e7e39ca20c92,4,0x59ed0e33bec76d052a6c6f720c84863a28d9e82f59202447a232171431412986,0xcb4f983e705caeb7217c5c3785001cb138115f0b,0x45f24baeef268bb6d63aee5129015d69702bcdfa,0x84e82582b2f5ce5cb3fd6ac82aa65e8fae5bc6ff,3e+18,YFValue,YFV,18,129,173314,157000000000,132275,10542331,deprecated,4420343
4,10764566,2020-08-30 21:14:21,0x37f7c91bad62a2e97e84381aab43fd06baf5ce173a516ff471b79fe75c458908,0,0xfd2c58b6e718314313cec3ca6483836894ce2f7eabb52135a062260a52ae3177,0x34fdfe53ca4e0d798d851fd480b46265b4472dee,0x514910771af9ca656af840dff83e8264ecf986ca,0x84e82582b2f5ce5cb3fd6ac82aa65e8fae5bc6ff,2.49122621e+18,ChainLink Token,LINK,18,26,200000,156000000000,36589,1626318,deprecated,4419796
5,10790341,2020-09-03 20:02:31,0xe0773c422139e67df4539e6ddb0845fa1b21f7c3996d56d121ee24095ce1abb2,7,0x7e3c14980e28aa20387060d026deaa6dee6b2f83ebe0d7f37da5db40b8dac472,0xd99ddad712f60c6cc8fda09e0c292aed68047216,0x90d702f071d2af33032943137ad0ab4280705817,0x84e82582b2f5ce5cb3fd6ac82aa65e8fae5bc6ff,1e+18,yffs.finance,YFFS,18,3,243338,303000000000,203820,407141,deprecated,4394021
6,10795408,2020-09-04 14:25:45,0xc89d4365e06d23a1005839b6beb5381af734cd50e94c78462bb11aff43174a64,9,0x7b2efdd03666dc0d93c3b5ee4bed8212b16f4fe579e7205d62922660ca2e1648,0x84e82582b2f5ce5cb3fd6ac82aa65e8fae5bc6ff,0x6b175474e89094c44da98b954eedeac495271d0f,0x6248896403d6e4bfd29126964da93962d2f9034e,4e+19,Dai Stablecoin,DAI,18,41,78027,202000000000,37018,3183529,deprecated,4388954
7,10809251,2020-09-06 17:04:02,0xdeabc0a21b5ef116c64c7c369a06c631c81cd65d02e94ad6c7ae7f93d6873768,10,0x21afdb929c34a86e46e1326e062d6f331ec6c334856cea9cc2a2fc4f4286dffb,0x6e07a1c50d4db0979a0a65bc8b13744a8a1501de,0xcee1d3c3a02267e37e6b373060f79d5d7b9e1669,0x84e82582b2f5ce5cb3fd6ac82aa65e8fae5bc6ff,4.1062609978203456e+17,yffi.finance,YFFI,18,103,164772,116000000000,124226,9721712,deprecated,4375111
8,10848013,2020-09-12 15:43:52,0xbcaaa0acb129d760391a8ae3eb5ad45312bf2ddc16b69f1be1e6c57c0bebf07a,11,0xba990afc31e0c2d97dcbaae8f8b92110113d9c40aa0c6560fc578e901eb113c5,0xea8091470479b457792f2f56a4e58c7329bc1b1d,0xea004e8fa3701b8e58e41b78d50996e0f7176cbd,0x84e82582b2f5ce5cb3fd6ac82aa65e8fae5bc6ff,1e+18,yffc.finance,YFFC,18,104,173452,100000000000,132400,9737905,deprecated,4336349
9,10848024,2020-09-12 15:45:55,0x4763777d08976ff87a2f1073858573ccb8a0be1578d7775129aebf8928f2f8ed,12,0x3feecf5e92380c17fc5b6508c5e89a473bce24f1a0f4eb53a4d851b03b79477b,0x8927616110cf23c4e87dc98614eb9fbaae95216c,0x68a3637ba6e75c0f66b61a42639c4e9fcd3d4824,0x84e82582b2f5ce5cb3fd6ac82aa65e8fae5bc6ff,2e+18,MoonToken,MOON,18,36,162350,100000000000,134323,2869556,deprecated,4336338
