,blockNumber,timeStamp,hash,nonce,blockHash,from,contractAddress,to,value,tokenName,tokenSymbol,tokenDecimal,transactionIndex,gas,gasPrice,gasUsed,cumulativeGasUsed,input,confirmations
0,10759586,2020-08-30 02:50:26,0x6c93387bb9da1a0ca04ce964434bb3ffd8be67c86de34eff27034202f5371baa,0,0x7e2b9360275f0c5cfb8913365ee990c4cbbb2c5b06286c662788d82f027d7999,0x2fdbadf3c4d5a8666bc06645b8358ab803996e28,0x0bc529c00c6401aef6d220be8c6ea1667f6ad93e,0x85d67e0b19ce1fa3e0d4d64b7978bb1b7629b5cb,4.627151040721997e+16,yearn.finance,YFI,18,85,151640,144000000000,124491,8324724,deprecated,4424695
1,10759998,2020-08-30 04:15:50,0xdf0cf1896f043a4bb198d79d308505c9f6a9eff4d5d68730d5d296bf179b2cc3,1,0x98ad0343b1b782dd66b60883a9e865a6504d52f6ffcbc5c4d4405d73de22c533,0x2fdbadf3c4d5a8666bc06645b8358ab803996e28,0x0bc529c00c6401aef6d220be8c6ea1667f6ad93e,0x85d67e0b19ce1fa3e0d4d64b7978bb1b7629b5cb,1.5712005243879197e+17,yearn.finance,YFI,18,100,148318,249000000000,97487,6455882,deprecated,4424283
2,10777326,2020-09-01 19:52:49,0x5bbbf424d45c8d1b761590aeeced92a0bd1bf09679a40ddb070af33f4166d60d,4,0x3f33ac00dd7aaa9c7d8e039eacf9d14cb462e101e62bd9ae552b1d2e0dd65fda,0x85d67e0b19ce1fa3e0d4d64b7978bb1b7629b5cb,0x0bc529c00c6401aef6d220be8c6ea1667f6ad93e,0x2fdbadf3c4d5a8666bc06645b8358ab803996e28,2.0339156284601194e+17,yearn.finance,YFI,18,126,168451,476000000000,112856,11287017,deprecated,4406955
3,10778080,2020-09-01 22:34:57,0x47aacdfb809ebc1ee785967fa07b8f499999b1921dc1996ce1056ca4d85ceaa8,7,0x5835590d1aa5e1975562fac340f1650dc5f1c05246b8c67c96a779e5c33965bb,0xc4da39e646e7f5d233b89ca0f7b75344e7ddb2cc,0x1e18821e69b9faa8e6e75dffe54e7e25754beda0,0x85d67e0b19ce1fa3e0d4d64b7978bb1b7629b5cb,9.211177116888306e+20,KIMCHI.finance,KIMCHI,18,88,151440,477000000000,112297,7684016,deprecated,4406201
4,10778237,2020-09-01 23:09:36,0x20d82d9a2c51f4ebe06336ede2aa92a8a35b0bcbaca9b5ae701bb74849594ebd,8,0x714e726c1c27be254821a6633d5877dfbf098ea4720462fc31e3a824adffcf26,0x85d67e0b19ce1fa3e0d4d64b7978bb1b7629b5cb,0x1f4e87f70002867ab5df276d6a09a94e3eda4f9a,0x9dd5b5c71842a4fd51533532e5470298bfa398fd,0.0,Uniswap V2,UNI-V2,18,78,64707,471000100000,43138,5716827,deprecated,4406044
5,10778325,2020-09-01 23:29:41,0x2dab37ec7f5e3a9f42c0781961d7756735ecaf19a62bb8ec11149f0b129a7d87,10,0x9bdf597746cf3b720939512c52e3300745c0da834190bc78a309b4f403463c8f,0x85d67e0b19ce1fa3e0d4d64b7978bb1b7629b5cb,0x1e18821e69b9faa8e6e75dffe54e7e25754beda0,0x80c5e6908368cb9db503ba968d7ec5a565bfb389,9.211177e+20,KIMCHI.finance,KIMCHI,18,125,480879,528000000000,303734,8056693,deprecated,4405956
6,10778325,2020-09-01 23:29:41,0x2dab37ec7f5e3a9f42c0781961d7756735ecaf19a62bb8ec11149f0b129a7d87,10,0x9bdf597746cf3b720939512c52e3300745c0da834190bc78a309b4f403463c8f,0x80c5e6908368cb9db503ba968d7ec5a565bfb389,0xc4da39e646e7f5d233b89ca0f7b75344e7ddb2cc,0x85d67e0b19ce1fa3e0d4d64b7978bb1b7629b5cb,5.753274050155751e+19,Uniswap V2,UNI-V2,18,125,480879,528000000000,303734,8056693,deprecated,4405956
7,10778340,2020-09-01 23:33:47,0xc6d444d131543ae2e31f74c190e135ddf12ceb21526b8628b1056c1e96b1f16b,12,0x7f4668f0ba0ce986d3e1121f77e7b9b58eb4077122c45766dede011137547455,0x9dd5b5c71842a4fd51533532e5470298bfa398fd,0x1e18821e69b9faa8e6e75dffe54e7e25754beda0,0x85d67e0b19ce1fa3e0d4d64b7978bb1b7629b5cb,0.0,KIMCHI.finance,KIMCHI,18,11,160291,480000000000,106861,1331670,deprecated,4405941
8,10778340,2020-09-01 23:33:47,0xc6d444d131543ae2e31f74c190e135ddf12ceb21526b8628b1056c1e96b1f16b,12,0x7f4668f0ba0ce986d3e1121f77e7b9b58eb4077122c45766dede011137547455,0x9dd5b5c71842a4fd51533532e5470298bfa398fd,0xc4da39e646e7f5d233b89ca0f7b75344e7ddb2cc,0x85d67e0b19ce1fa3e0d4d64b7978bb1b7629b5cb,0.0,Uniswap V2,UNI-V2,18,11,160291,480000000000,106861,1331670,deprecated,4405941
9,10778395,2020-09-01 23:47:41,0x3e0739970b209230fae82b92dc15a3465efe215a162b99858345a92e0dea9fd7,15,0x425f5380c79e3574c56a0e13e96aed42f527e602bd1c6d135109192aae3f1eea,0x85d67e0b19ce1fa3e0d4d64b7978bb1b7629b5cb,0xc4da39e646e7f5d233b89ca0f7b75344e7ddb2cc,0x9dd5b5c71842a4fd51533532e5470298bfa398fd,5.753274050155651e+19,Uniswap V2,UNI-V2,18,120,141400,480000000000,94267,9344343,deprecated,4405886
