,blockNumber,timeStamp,hash,nonce,blockHash,from,contractAddress,to,value,tokenName,tokenSymbol,tokenDecimal,transactionIndex,gas,gasPrice,gasUsed,cumulativeGasUsed,input,confirmations
0,10779420,2020-09-02 03:35:10,0x8cc4052cb9e6f2c1eeb0a5dd0f34c12fed889a2ff51ee4044241b05f56840bcf,0,0x2bd0fb8db77cdbb7792ffb9bca38edda4a5e56116a9245bbcc8793be910cc8cb,0xce84867c3c02b05dc570d0135103d3fb9cc19433,0x6b3595068778dd592e39a122f4f5a5cf09c90fe2,0x897b93c8b75b9b29b768ec37e339ee84c17386ff,5e+19,SushiToken,SUSHI,18,50,160239,489600000000,132404,3585123,deprecated,4404771
1,10780635,2020-09-02 08:07:41,0x55fa3d24b92600ceae17a68af691f72f550b56c55b40dac69548305c21615da1,3,0x5b7cebeb7ba57e252434d0c06d6c80a0d1c4d41408b390f6144a38dfc19e214f,0x897b93c8b75b9b29b768ec37e339ee84c17386ff,0x6b3595068778dd592e39a122f4f5a5cf09c90fe2,0xce84867c3c02b05dc570d0135103d3fb9cc19433,4.995813981270569e+19,SushiToken,SUSHI,18,149,192683,476000000000,137374,11982957,deprecated,4403556
2,10780635,2020-09-02 08:07:41,0x55fa3d24b92600ceae17a68af691f72f550b56c55b40dac69548305c21615da1,3,0x5b7cebeb7ba57e252434d0c06d6c80a0d1c4d41408b390f6144a38dfc19e214f,0x0000000000000000000000000000000000000000,0xce84867c3c02b05dc570d0135103d3fb9cc19433,0x897b93c8b75b9b29b768ec37e339ee84c17386ff,6.055032345141264e+18,Uniswap V2,UNI-V2,18,149,192683,476000000000,137374,11982957,deprecated,4403556
3,10780647,2020-09-02 08:09:50,0x068288a726651c55075af50eb692c2044aad74bc944138605d5e58d340be01aa,4,0x9ee81162884dd11384ded3c801b608a51ecaa7bfb96d730b7ad0250c1424a368,0x897b93c8b75b9b29b768ec37e339ee84c17386ff,0xce84867c3c02b05dc570d0135103d3fb9cc19433,0xc2edad668740f1aa35e4d8f227fb8e17dca888cd,6.055032345141264e+18,Uniswap V2,UNI-V2,18,130,132117,474000000000,73078,8213795,deprecated,4403544
4,10782700,2020-09-02 15:44:23,0xf42a75081beea478df5f98752dd88d8788de27c15b2c23c06434bbf1da1c7677,6,0x1135fe1c5e235e1fe203d134fff6e2ddee8ac0bb724fa6417ad90af17ee68b98,0x9c5999653f44672336c2ef0a0008587fa8b9957e,0x0e29e5abbb5fd88e28b2d355774e73bd47de3bcd,0x897b93c8b75b9b29b768ec37e339ee84c17386ff,3e+21,Hakka Finance,HAKKA,18,93,160945,500000000000,133046,8391080,deprecated,4401491
5,10786806,2020-09-03 06:45:52,0xdf450624aeb7e3bca4a9919f3f2b7bb030783c2c8ed9dcc9b2907439848c842a,8627,0x82e06578c3f405cce46466a501504e4b17c7ae54853d35286853ae18d63c57ce,0x6cc8dcbca746a6e4fdefb98e1d0df903b107fd21,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0x897b93c8b75b9b29b768ec37e339ee84c17386ff,998070000.0,USD Coin,USDC,6,29,78860,415000000000,57381,1102874,deprecated,4397385
6,10786843,2020-09-03 06:53:53,0x189a42e54e6b6b0251ed2c976c4d739296a4b83c83e5b837b0b87ffaa04a93c2,1105264,0xc1d7a785ed750e6e04ef9b82ddc94fb3496fecff05cb0624867f03b3e68d4199,0xe93381fb4c4f14bda253907b18fad305d799241a,0x6b175474e89094c44da98b954eedeac495271d0f,0x897b93c8b75b9b29b768ec37e339ee84c17386ff,9.83931e+20,Dai Stablecoin,DAI,18,59,100000,488000000000,52030,3043734,deprecated,4397348
7,10788880,2020-09-03 14:33:34,0x79479993a779532408b7c3c05b65a9a1e51f1987bf9c216d90f790d1311678f1,9,0x24e144e1bd489d5b188bbbad0d112db821cba2677f71ee4858084af64e247ff5,0x0000000000000000000000000000000000000000,0x35101c731b1548b5e48bb23f99edbc2f5c341935,0x897b93c8b75b9b29b768ec37e339ee84c17386ff,1.5e+21,BlackHoleSwap-Compound DAI/USDC v1,BHSc$,18,138,1559562,466000000000,1323715,8092826,deprecated,4395311
8,10788880,2020-09-03 14:33:34,0x79479993a779532408b7c3c05b65a9a1e51f1987bf9c216d90f790d1311678f1,9,0x24e144e1bd489d5b188bbbad0d112db821cba2677f71ee4858084af64e247ff5,0x897b93c8b75b9b29b768ec37e339ee84c17386ff,0x6b175474e89094c44da98b954eedeac495271d0f,0x35101c731b1548b5e48bb23f99edbc2f5c341935,6.677271235408454e+20,Dai Stablecoin,DAI,18,138,1559562,466000000000,1323715,8092826,deprecated,4395311
9,10788880,2020-09-03 14:33:34,0x79479993a779532408b7c3c05b65a9a1e51f1987bf9c216d90f790d1311678f1,9,0x24e144e1bd489d5b188bbbad0d112db821cba2677f71ee4858084af64e247ff5,0x897b93c8b75b9b29b768ec37e339ee84c17386ff,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0x35101c731b1548b5e48bb23f99edbc2f5c341935,839627825.0,USD Coin,USDC,6,138,1559562,466000000000,1323715,8092826,deprecated,4395311
