,blockNumber,timeStamp,hash,nonce,blockHash,from,contractAddress,to,value,tokenName,tokenSymbol,tokenDecimal,transactionIndex,gas,gasPrice,gasUsed,cumulativeGasUsed,input,confirmations
0,10770124,2020-08-31 17:44:49,0xde0f2a3f7e2bef387f362cc3f0acdeff83d2f6cd5daa432f62556ddb0a2d91b1,1,0xcd088c8fe4389e6768317b814dc4ed235265dde399218135efb29fb07ceea622,0xce84867c3c02b05dc570d0135103d3fb9cc19433,0x6b3595068778dd592e39a122f4f5a5cf09c90fe2,0x8af08f60245c50b5c36fa2aaa1d774b08002741c,7.108550864448754e+21,SushiToken,SUSHI,18,22,151578,301000000000,112421,1664421,deprecated,4414169
1,10770129,2020-08-31 17:45:56,0x46cb294168b2b8dc4912dcdd0ee8f62b5b143eeb20508d56e64ea86f165679e2,2,0xb4ffe0687425b791f2f0758fba1754a991475aed10f23008dc4d6dbbac853bfd,0xce84867c3c02b05dc570d0135103d3fb9cc19433,0x6b3595068778dd592e39a122f4f5a5cf09c90fe2,0x8af08f60245c50b5c36fa2aaa1d774b08002741c,7.333975703452564e+19,SushiToken,SUSHI,18,106,134803,301000000000,97409,8613599,deprecated,4414164
2,10773317,2020-09-01 05:15:16,0x42182f6b588af9419dcfe0bda61a7c863bb66fb444332708003cff80ad3e59e8,6,0x2e6169fa7e0e3f062acabb6f26a9ece088111f0a4bd610b1a00b37a353d89a9b,0x2d97755d2d18a77ef9ead977dd0c3ca7c840d5fc,0x9f284e1337a815fe77d2ff4ae46544645b20c5ff,0x8af08f60245c50b5c36fa2aaa1d774b08002741c,2.3794708424268964e+19,Darwinia Commitment Token,KTON,18,189,155283,356000000000,127752,12121968,deprecated,4410976
3,10773323,2020-09-01 05:16:49,0x29583652eb31fb7c762b01552d3d7764a95d32108bac94f3228fe39f367c7968,7,0x6beb3224a343c520104bb5c2b99a203201395448fdda3fdf0192a4631e4e2a17,0x447f8d287120b66f39856ae5ceb01512a7a47444,0xf80d589b3dbe130c270a69f1a69d050f268786df,0x8af08f60245c50b5c36fa2aaa1d774b08002741c,4.2480198993620396e+21,Datamine,DAM,18,47,177081,355500000000,135241,4286632,deprecated,4410970
4,10773343,2020-09-01 05:21:04,0xd613bb897e749c579b5763474564fd8b3d0f3531405ab9259e5cf6146eac6732,9,0x278d4219da418711ae5b4f0bc8a0a19013c5ccb74c8baa952fe9af9f997f14db,0x2caccf71bdf8fff97c06a46eca29b611b1a74b5e,0xba21ef4c9f433ede00badefcc2754b8e74bd538a,0x8af08f60245c50b5c36fa2aaa1d774b08002741c,1.3868272158901927e+22,Swapfolio,SWFL,18,101,165287,355500000000,124688,11428565,deprecated,4410950
5,10773371,2020-09-01 05:26:55,0x6e07728dfa85fb970d3881863951f8c664eb4e9d5736735d568308f814fd6fad,10,0x877153d844d067869741dd27e4703c701822b23ca032be25c475a384649d10ec,0xa5904961f61bae7c4dd8478077556c91bf291cfd,0xaba8cac6866b83ae4eec97dd07ed254282f6ad8a,0x8af08f60245c50b5c36fa2aaa1d774b08002741c,9.208045231645079e+25,YAMv2,YAMv2,24,74,151369,355500000000,124250,7161655,deprecated,4410922
6,10774976,2020-09-01 11:22:00,0xafd2ab20e6625e1bdf60edb5bd64f172c19f45738a15142cead344b347c8454c,11,0x5ac111b99427c2afc82bcb407efe8cec7c688543daaea7930201a1de27545697,0x8af08f60245c50b5c36fa2aaa1d774b08002741c,0x6b3595068778dd592e39a122f4f5a5cf09c90fe2,0x4b68906e570aeb2fc0f20c8297b19de6ff547e0d,7.18189062148328e+21,SushiToken,SUSHI,18,164,76807,462000000000,36205,11846609,deprecated,4409317
7,10776541,2020-09-01 17:04:54,0x12aedb00f2b7971c1c417584337e51d86db027496a8e1de058a222784813342d,1096949,0x06e64d7b9a867be95f0d672f4c29f71e8838263cdd506c100d96d545da8027e1,0xe93381fb4c4f14bda253907b18fad305d799241a,0x6b3595068778dd592e39a122f4f5a5cf09c90fe2,0x8af08f60245c50b5c36fa2aaa1d774b08002741c,7.18174962148e+21,SushiToken,SUSHI,18,18,90000,592000000000,51193,1271436,deprecated,4407752
8,10776799,2020-09-01 18:01:36,0xccbc209e23955912423470027e5c2394865d75ff090d779df969f77c0df98919,13,0x92554d1a1d26ee26ff7a9fa7af2586fb822b4f7f3716c8aa496db7eb0bac293d,0x8af08f60245c50b5c36fa2aaa1d774b08002741c,0x6b3595068778dd592e39a122f4f5a5cf09c90fe2,0xce84867c3c02b05dc570d0135103d3fb9cc19433,3.507200830188373e+21,SushiToken,SUSHI,18,64,168289,479000000000,115692,4761373,deprecated,4407494
9,10776806,2020-09-01 18:02:32,0x6e4607bf5a8c771b8d6ace5888bc19690e7cf3aaa1f2d8cc1ffd40a994cab9ed,14,0xd72fe89cf7a15bb8c9a9ddf630263f15ac5a6663bbd5cbec24ccd52fa4673d66,0x73282a63f0e3d7e9604575420f777361eca3c86a,0xe8f2a236100aaf1bcb50bde0f77a5cd54ff996f9,0x8af08f60245c50b5c36fa2aaa1d774b08002741c,1.14e+21,Yield Farm Genie,YFG,18,54,298428,479000000000,196264,5120552,deprecated,4407487
10,10777906,2020-09-01 22:01:19,0x11a618c851032876d0d1ed7217c01bc500fa132fd019ca7381757c89765843fe,16,0x50548ee0e31522ecd460d01a39489232afd6b8b155abe83fef9d739138ae2e9b,0x8af08f60245c50b5c36fa2aaa1d774b08002741c,0x6b3595068778dd592e39a122f4f5a5cf09c90fe2,0xce84867c3c02b05dc570d0135103d3fb9cc19433,3.674548791291627e+21,SushiToken,SUSHI,18,93,155090,400000000000,100709,5456380,deprecated,4406387
11,10777914,2020-09-01 22:02:15,0x08a502999b298467daacb4c21b2f8b843433fcd306a5d618a38670acf59d11da,17,0x16764f016d6ef645497f05c6c8c6bc57b648a90a8b5164ec16ca6fc688e06ca9,0xc4da39e646e7f5d233b89ca0f7b75344e7ddb2cc,0x1e18821e69b9faa8e6e75dffe54e7e25754beda0,0x8af08f60245c50b5c36fa2aaa1d774b08002741c,5.587861568651682e+21,KIMCHI.finance,KIMCHI,18,83,151453,400000000000,112309,4747402,deprecated,4406379
