,blockNumber,timeStamp,hash,nonce,blockHash,from,contractAddress,to,value,tokenName,tokenSymbol,tokenDecimal,transactionIndex,gas,gasPrice,gasUsed,cumulativeGasUsed,input,confirmations
0,10748385,2020-08-28 09:31:37,0x9cca3665176f842cd02c31916cade1fb326284c6629676252950e0ef1526082a,2,0x3aecc85b81b6cc8e26d0d2c93bb521e972adfde30ea52e8a57efaf78a1223024,0x3e66b66fd1d0b02fda6c811da9e0547970db2f21,0x0d8775f648430679a709e98d2b0cb6250d2887ef,0x908d40d5420c99ada971da900dd99c233c7defd6,1.1859312735119262e+19,BAT,BAT,18,155,209766,55000000000,152166,10982721,deprecated,4436284
1,10748413,2020-08-28 09:37:23,0x3133ee2e94dc742e82cd9f0b3cccdea0b2b97a8d6514af23f7c288610a63d2f2,3,0x05e8ecebf29a5e4fd908c9582dc8c3b04b00d9c73066d43b97fba3e799234a24,0x908d40d5420c99ada971da900dd99c233c7defd6,0x0d8775f648430679a709e98d2b0cb6250d2887ef,0x6c8c6b02e7b2be14d4fa6022dfd6d75921d90e4e,1.1859312735119262e+19,BAT,BAT,18,208,302020,54000000000,187774,9818060,deprecated,4436256
2,10748413,2020-08-28 09:37:23,0x3133ee2e94dc742e82cd9f0b3cccdea0b2b97a8d6514af23f7c288610a63d2f2,3,0x05e8ecebf29a5e4fd908c9582dc8c3b04b00d9c73066d43b97fba3e799234a24,0x6c8c6b02e7b2be14d4fa6022dfd6d75921d90e4e,0x6c8c6b02e7b2be14d4fa6022dfd6d75921d90e4e,0x908d40d5420c99ada971da900dd99c233c7defd6,58184504416.0,Compound Basic Attention Token,cBAT,8,208,302020,54000000000,187774,9818060,deprecated,4436256
3,10748645,2020-08-28 10:32:48,0xcc0b225005ced8200e0e00a6ef0617bfabb802c8fc7824e31e9a223ecd22fd1f,4,0xba13f37b75ed7bcb1268faaee34fd0df3a6b768944cfef9036bbb46e0e4bed98,0x3e66b66fd1d0b02fda6c811da9e0547970db2f21,0x0d8775f648430679a709e98d2b0cb6250d2887ef,0x908d40d5420c99ada971da900dd99c233c7defd6,2.259004673941416e+20,BAT,BAT,18,49,219560,67000000000,157760,2589333,deprecated,4436024
4,10749118,2020-08-28 12:21:49,0xffb962c0ea38fddc418a855d9a84f8faf47481dfa95fa1e6a7f8ef26890211bf,5,0x17dc7e97188ae8369d5b65c8b1afe58b1631acc792e1e1c1797dd1a419fd937d,0x908d40d5420c99ada971da900dd99c233c7defd6,0x0d8775f648430679a709e98d2b0cb6250d2887ef,0x6c8c6b02e7b2be14d4fa6022dfd6d75921d90e4e,2.259004673941416e+20,BAT,BAT,18,147,282020,54000000000,177024,7969719,deprecated,4435551
5,10749118,2020-08-28 12:21:49,0xffb962c0ea38fddc418a855d9a84f8faf47481dfa95fa1e6a7f8ef26890211bf,5,0x17dc7e97188ae8369d5b65c8b1afe58b1631acc792e1e1c1797dd1a419fd937d,0x6c8c6b02e7b2be14d4fa6022dfd6d75921d90e4e,0x6c8c6b02e7b2be14d4fa6022dfd6d75921d90e4e,0x908d40d5420c99ada971da900dd99c233c7defd6,1108303624998.0,Compound Basic Attention Token,cBAT,8,147,282020,54000000000,177024,7969719,deprecated,4435551
6,10762738,2020-08-30 14:33:41,0x7c52256e0ddfb8a0050089fce945b021c37f9743f7a6a1f9ede2972b29090c06,7,0xd4f7fece3d2f23a10ef424f4978b52988fb559f859b630b09ce985b037f16ba6,0x6317c5e82a06e1d8bf200d21f4510ac2c038ac81,0x0d8775f648430679a709e98d2b0cb6250d2887ef,0x908d40d5420c99ada971da900dd99c233c7defd6,4.934248398127857e+20,BAT,BAT,18,147,206905,202000000000,158768,8702571,deprecated,4421931
7,10762775,2020-08-30 14:41:08,0x94f403adef6b3362dde9d55314551eb06f384d91e11ea4498c821b6b33c63964,9,0x627d440725a699320efb15e7126e57a20962bcee52c210454966baf0af794edc,0x6c8c6b02e7b2be14d4fa6022dfd6d75921d90e4e,0x0d8775f648430679a709e98d2b0cb6250d2887ef,0x908d40d5420c99ada971da900dd99c233c7defd6,2.3781945808418888e+20,BAT,BAT,18,87,272020,215500000000,151345,8295886,deprecated,4421894
8,10762775,2020-08-30 14:41:08,0x94f403adef6b3362dde9d55314551eb06f384d91e11ea4498c821b6b33c63964,9,0x627d440725a699320efb15e7126e57a20962bcee52c210454966baf0af794edc,0x908d40d5420c99ada971da900dd99c233c7defd6,0x6c8c6b02e7b2be14d4fa6022dfd6d75921d90e4e,0x6c8c6b02e7b2be14d4fa6022dfd6d75921d90e4e,1166488129414.0,Compound Basic Attention Token,cBAT,8,87,272020,215500000000,151345,8295886,deprecated,4421894
9,10762775,2020-08-30 14:41:08,0x457bde120376bf188791d50f63a0d815a242471d645ecfa100cf4cf753ad3f50,10,0x627d440725a699320efb15e7126e57a20962bcee52c210454966baf0af794edc,0x908d40d5420c99ada971da900dd99c233c7defd6,0x0d8775f648430679a709e98d2b0cb6250d2887ef,0x6c8c6b02e7b2be14d4fa6022dfd6d75921d90e4e,4.934248398127857e+20,BAT,BAT,18,88,262020,234000000000,155331,8451217,deprecated,4421894
