,blockNumber,timeStamp,hash,nonce,blockHash,from,contractAddress,to,value,tokenName,tokenSymbol,tokenDecimal,transactionIndex,gas,gasPrice,gasUsed,cumulativeGasUsed,input,confirmations
0,10674439,2020-08-17 00:50:33,0xc5c65fa9a900ea0495593103993177acc34c4f3e21cc36aff3d20890f8184c5f,3,0x7e6e41c0f3731cab11c290d02b5a0c5ab31f629a43ca49c7c07dafd82d3dd5ef,0x4ddc2d193948926d02f9b1fe9e1daa0718270ed5,0x4ddc2d193948926d02f9b1fe9e1daa0718270ed5,0x93e57c53948c83fb64ca7ab8d5701102f7c6f1ee,9991115869.0,Compound Ether,cETH,8,178,242020,83000000000,164213,12092141,deprecated,4509491
1,10785558,2020-09-03 02:10:59,0x289e65e1f8d675b8a022c66df1457e6c36b46a63d9aca67690cc736a0f0adebd,7,0xff5742530576b0305014709e93f7a752dfac44338a1cf056454b6055580db2fe,0x2fdbadf3c4d5a8666bc06645b8358ab803996e28,0x0bc529c00c6401aef6d220be8c6ea1667f6ad93e,0x93e57c53948c83fb64ca7ab8d5701102f7c6f1ee,1.392745421460067e+16,yearn.finance,YFI,18,110,165067,311000000000,124491,10189188,deprecated,4398372
2,10785580,2020-09-03 02:13:58,0x807b937ca73e209e855b59e00e71e51cd4cf636ba98e088c92ed65d389e7a2ef,9,0x4d15e248484bc47b0b674ab9ea5d86e14fb58459ee4b0e9393acb7372a38236f,0x93e57c53948c83fb64ca7ab8d5701102f7c6f1ee,0x0bc529c00c6401aef6d220be8c6ea1667f6ad93e,0xba2e7fed597fd0e3e70f5130bcdbbfe06bb94fe1,1.39e+16,yearn.finance,YFI,18,92,163012,317000000000,108675,4807680,deprecated,4398350
3,10785580,2020-09-03 02:13:58,0x807b937ca73e209e855b59e00e71e51cd4cf636ba98e088c92ed65d389e7a2ef,9,0x4d15e248484bc47b0b674ab9ea5d86e14fb58459ee4b0e9393acb7372a38236f,0x0000000000000000000000000000000000000000,0xba2e7fed597fd0e3e70f5130bcdbbfe06bb94fe1,0x93e57c53948c83fb64ca7ab8d5701102f7c6f1ee,1.3879510986764864e+16,yearn yearn.finance,yYFI,18,92,163012,317000000000,108675,4807680,deprecated,4398350
4,10829522,2020-09-09 19:47:50,0x2b6eec14b2a9df52e09b2fd24583ff663ace5adc748e2277b13954fcae3ee8f3,11,0xe3cdb1b29d2e694edfe5ba52ac94d8881be37d5ae18c598842bed0238ef40473,0x3d9819210a31b4961b30ef54be2aed79b9c9cd3b,0xc00e94cb662c3520282e6f5717214004a7f26888,0x93e57c53948c83fb64ca7ab8d5701102f7c6f1ee,2302160150965525.0,Compound,COMP,18,50,272020,85000000000,166379,4353734,deprecated,4354408
5,10829522,2020-09-09 19:47:50,0x2b6eec14b2a9df52e09b2fd24583ff663ace5adc748e2277b13954fcae3ee8f3,11,0xe3cdb1b29d2e694edfe5ba52ac94d8881be37d5ae18c598842bed0238ef40473,0x93e57c53948c83fb64ca7ab8d5701102f7c6f1ee,0x4ddc2d193948926d02f9b1fe9e1daa0718270ed5,0x4ddc2d193948926d02f9b1fe9e1daa0718270ed5,9991115869.0,Compound Ether,cETH,8,50,272020,85000000000,166379,4353734,deprecated,4354408
6,10861772,2020-09-14 18:33:41,0x66eb616d61bcbe202515e08d4904b549e9392e12602f3343674e0e33a04585b9,14,0xd15b227b641abac270f2b9f85b13d7e8c1de80f7f5031296d72223fee0805fd8,0x93e57c53948c83fb64ca7ab8d5701102f7c6f1ee,0x0bc529c00c6401aef6d220be8c6ea1667f6ad93e,0x2fdbadf3c4d5a8666bc06645b8358ab803996e28,27454214600670.0,yearn.finance,YFI,18,131,168412,217000000000,112820,12160284,deprecated,4322158
7,10861795,2020-09-14 18:39:05,0xdd1ec3746ce3ff934ccfc304a6cd923b25607393c852092f78ca5ca779530735,16,0x78ac215c10f03a8bc23d3d2723a3bbae9b7a1201aa1f45d54acba35bc5c9064e,0x93e57c53948c83fb64ca7ab8d5701102f7c6f1ee,0xc00e94cb662c3520282e6f5717214004a7f26888,0xf3194e22d3212a6f930a7c6a88003d43f68befab,2302160150965525.0,Compound,COMP,18,84,311441,217000000000,234588,6005917,deprecated,4322135
8,10890301,2020-09-19 03:45:55,0x68aa04002aa171e4944a084be85d56d8406dfd38a51aedf60e5f783b35b687e4,129581,0x172a2399e55f67b6c670cd995f05b8d9054ea220f3c5f003cf95cce80e69ef35,0xad17b819f894e4f85496e9ce475722e843b8a9f6,0x1f9840a85d5af5bf1d1762f925bdaddc4201f984,0x93e57c53948c83fb64ca7ab8d5701102f7c6f1ee,4.01045641e+20,Uniswap,UNI,18,112,250000,116000000000,105125,5988136,deprecated,4293629
9,10926560,2020-09-24 17:04:01,0xe46fecc6f32a0fcddf90e3fbc2c38176ccdf84190655cafe992d3a0c64a06b99,21,0x295b7fddaa732483339cc937fad6be265e18cd13d329b9941cd2753a261426ef,0x93e57c53948c83fb64ca7ab8d5701102f7c6f1ee,0x1f9840a85d5af5bf1d1762f925bdaddc4201f984,0xd3d2e2692501a5c9ca623199d38826e513033a17,4.01045641e+20,Uniswap,UNI,18,100,187944,166000000000,157552,8138336,deprecated,4257370
10,10926560,2020-09-24 17:04:01,0xe46fecc6f32a0fcddf90e3fbc2c38176ccdf84190655cafe992d3a0c64a06b99,21,0x295b7fddaa732483339cc937fad6be265e18cd13d329b9941cd2753a261426ef,0xa478c2975ab1ea89e8196811f51a7b7ade33eb11,0x6b175474e89094c44da98b954eedeac495271d0f,0x93e57c53948c83fb64ca7ab8d5701102f7c6f1ee,1.981837606573788e+21,Dai Stablecoin,DAI,18,100,187944,166000000000,157552,8138336,deprecated,4257370
11,10962516,2020-09-30 07:49:11,0x465d97e7dbfc0baafb3ec14baa69cbd1c0f213f7df159cd3260adbfab70f6e06,23,0xe646fd2b1dc3a1909c9de879134d9e3149a3d1ca0493b2deb400fbb13621554a,0x93e57c53948c83fb64ca7ab8d5701102f7c6f1ee,0x6b175474e89094c44da98b954eedeac495271d0f,0x2b0770c3bb618fe89d9f5e620d25f5944aac4f72,5e+20,Dai Stablecoin,DAI,18,217,78027,112000000000,52018,10923452,deprecated,4221414
12,10962516,2020-09-30 07:49:11,0x6f899c7955dbd6df86587a0c8a6b938cdf2758bd6d12a62771e731bfd406e3cd,24,0xe646fd2b1dc3a1909c9de879134d9e3149a3d1ca0493b2deb400fbb13621554a,0x93e57c53948c83fb64ca7ab8d5701102f7c6f1ee,0x6b175474e89094c44da98b954eedeac495271d0f,0x2b0770c3bb618fe89d9f5e620d25f5944aac4f72,4.9437447e+20,Dai Stablecoin,DAI,18,218,78045,112000000000,37030,10960482,deprecated,4221414
13,10962516,2020-09-30 07:49:11,0xd85533daa3a55c20123f6a086084c9fbcabd14e6b6a4a59fe49932bdaa774e76,25,0xe646fd2b1dc3a1909c9de879134d9e3149a3d1ca0493b2deb400fbb13621554a,0x93e57c53948c83fb64ca7ab8d5701102f7c6f1ee,0x6b175474e89094c44da98b954eedeac495271d0f,0x2b0770c3bb618fe89d9f5e620d25f5944aac4f72,4.9437447e+20,Dai Stablecoin,DAI,18,219,78045,112000000000,37030,10997512,deprecated,4221414
14,10962516,2020-09-30 07:49:11,0x86b51a4f090b2c87cf7b1c290c193b8e2070e74ebec03559b3fa5e4f63b5a9c3,26,0xe646fd2b1dc3a1909c9de879134d9e3149a3d1ca0493b2deb400fbb13621554a,0x93e57c53948c83fb64ca7ab8d5701102f7c6f1ee,0x6b175474e89094c44da98b954eedeac495271d0f,0x2b0770c3bb618fe89d9f5e620d25f5944aac4f72,4.7636304e+20,Dai Stablecoin,DAI,18,220,78009,112000000000,37006,11034518,deprecated,4221414
15,11797577,2021-02-05 17:15:39,0x470ee16efb50bf633500125df3aec7f910bed0a4a5df1466f8d1feab5aeb69b7,3956581,0xb663c5c8286b57accea8b9ee68ecca48902b9323b005ce22f71ab0cabda7963e,0x0681d8db095565fe8a346fa0277bffde9c0edbbf,0x1f9840a85d5af5bf1d1762f925bdaddc4201f984,0x93e57c53948c83fb64ca7ab8d5701102f7c6f1ee,8.91239041e+18,Uniswap,UNI,18,22,207128,488000000000,55506,694243,deprecated,3386353
16,13593054,2021-11-11 05:25:29,0xf079d83a4d1287505dd5be4f7e3cdcdd6fed40384a13057b19b083f38ce2de68,30,0x8ceaf60f09a0fa1f14c6dd68f326f5993b0886cf55537ff090c2fb125dc3cdfc,0x93e57c53948c83fb64ca7ab8d5701102f7c6f1ee,0x1f9840a85d5af5bf1d1762f925bdaddc4201f984,0xbac16ba92654e87c7e95dcb7b1171ce02cf19ac8,8.91239041e+18,Uniswap,UNI,18,137,85809,165000000000,52406,7718342,deprecated,1590876
