,blockNumber,timeStamp,hash,nonce,blockHash,from,contractAddress,to,value,tokenName,tokenSymbol,tokenDecimal,transactionIndex,gas,gasPrice,gasUsed,cumulativeGasUsed,input,confirmations
0,10766295,2020-08-31 03:39:46,0x8313d2b63449f3a2b966b72cbfd27cf11ef147efad591e2b6696a4f436b24b09,0,0x931c0ec129ab6398969ddac24bde3f7dc9fd84434a00dc38c163544ac1dadf36,0xd58b1b5d2148f744e9eb3a87f20bebf3ca5f8974,0x45f24baeef268bb6d63aee5129015d69702bcdfa,0x9429e67225ba57d0f7dcca01254c057a17f0fba0,1.5018940740450822e+20,YFValue,YFV,18,188,231063,162000000000,180339,11122283,deprecated,4418108
1,10769744,2020-08-31 16:22:26,0xcb35335bf4097a98d058466f2a83ca199e1403e0d277c77545d92636e1a97816,2,0xa84007559b8c4012505cb5d8baa4da1583d6e2f0ef108fbe3df138b8d0f92521,0xcb4f983e705caeb7217c5c3785001cb138115f0b,0x45f24baeef268bb6d63aee5129015d69702bcdfa,0x9429e67225ba57d0f7dcca01254c057a17f0fba0,8.997213663169606e+17,YFValue,YFV,18,104,148087,294000000000,109296,8731848,deprecated,4414659
2,10769758,2020-08-31 16:24:35,0x0cc68b9c8e843e8608f8065055fd889613a59a76a060b02d63cb5a18ab162c60,3,0xd77e725556ec7d1d6772359c18c9c3b1b9ba279fcb4a8624e9edbbbd8dcb50a8,0x9429e67225ba57d0f7dcca01254c057a17f0fba0,0x45f24baeef268bb6d63aee5129015d69702bcdfa,0xd58b1b5d2148f744e9eb3a87f20bebf3ca5f8974,1e+16,YFValue,YFV,18,42,311272,295000000000,261450,4198121,deprecated,4414645
3,10769815,2020-08-31 16:36:37,0x11d33ad2f35dec2371a2d4ff1925a1e27ec893be954ad929c2f65d4e79e32315,4,0x83eeadda362ced385a4ee9a77c348b572c4b77817a4c16bb46ce3a03be0934e1,0x9429e67225ba57d0f7dcca01254c057a17f0fba0,0x45f24baeef268bb6d63aee5129015d69702bcdfa,0xd58b1b5d2148f744e9eb3a87f20bebf3ca5f8974,1e+18,YFValue,YFV,18,73,150888,295000000000,130708,5943890,deprecated,4414588
4,10769815,2020-08-31 16:36:37,0x11d33ad2f35dec2371a2d4ff1925a1e27ec893be954ad929c2f65d4e79e32315,4,0x83eeadda362ced385a4ee9a77c348b572c4b77817a4c16bb46ce3a03be0934e1,0xd58b1b5d2148f744e9eb3a87f20bebf3ca5f8974,0xdac17f958d2ee523a2206206994597c13d831ec7,0x9429e67225ba57d0f7dcca01254c057a17f0fba0,47721774.0,Tether USD,USDT,6,73,150888,295000000000,130708,5943890,deprecated,4414588
5,10769843,2020-08-31 16:42:49,0x35b9ff8729b58724e7a3a55c281abec2c774636301fa3ff8cd1da767f011c7ea,6,0xfc69b29557cdc8811b7209094183fda3d6b5f812d221b5c3de9100bccc40b608,0x9429e67225ba57d0f7dcca01254c057a17f0fba0,0xdac17f958d2ee523a2206206994597c13d831ec7,0xd58b1b5d2148f744e9eb3a87f20bebf3ca5f8974,47721774.0,Tether USD,USDT,6,117,125769,296000000000,93190,12157021,deprecated,4414560
6,10769843,2020-08-31 16:42:49,0x35b9ff8729b58724e7a3a55c281abec2c774636301fa3ff8cd1da767f011c7ea,6,0xfc69b29557cdc8811b7209094183fda3d6b5f812d221b5c3de9100bccc40b608,0xd58b1b5d2148f744e9eb3a87f20bebf3ca5f8974,0x45f24baeef268bb6d63aee5129015d69702bcdfa,0x9429e67225ba57d0f7dcca01254c057a17f0fba0,1.020673104274736e+18,YFValue,YFV,18,117,125769,296000000000,93190,12157021,deprecated,4414560
7,10772556,2020-09-01 02:22:25,0x8ea689825ea12b463d5ca87bcf7b5630e009baff7887f98b19f1ba4f1fe6f9e3,9,0x1c1110dc7f41ce58a1aab05964d136a59d4fd868955dcdbe3a828a45db57bad5,0x9429e67225ba57d0f7dcca01254c057a17f0fba0,0x45f24baeef268bb6d63aee5129015d69702bcdfa,0xd58b1b5d2148f744e9eb3a87f20bebf3ca5f8974,1.5109980187509994e+20,YFValue,YFV,18,117,150940,235000000000,115756,8221333,deprecated,4411847
8,10772556,2020-09-01 02:22:25,0x8ea689825ea12b463d5ca87bcf7b5630e009baff7887f98b19f1ba4f1fe6f9e3,9,0x1c1110dc7f41ce58a1aab05964d136a59d4fd868955dcdbe3a828a45db57bad5,0xd58b1b5d2148f744e9eb3a87f20bebf3ca5f8974,0xdac17f958d2ee523a2206206994597c13d831ec7,0x9429e67225ba57d0f7dcca01254c057a17f0fba0,6465286648.0,Tether USD,USDT,6,117,150940,235000000000,115756,8221333,deprecated,4411847
9,10772574,2020-09-01 02:26:54,0x01b94126c203cd02430d2505b25828b44da611dac1d1b3430e8a97b84918f9c8,10,0x50fa149202dbb1798ed1311404b9ee28dc596e634f12d5aeaebb68d665714705,0x9429e67225ba57d0f7dcca01254c057a17f0fba0,0xdac17f958d2ee523a2206206994597c13d831ec7,0x0d4a11d5eeaac28ec3f61d100daf4d40471f1852,6465286648.0,Tether USD,USDT,6,84,214912,235000000000,169873,6854725,deprecated,4411829
