,blockNumber,timeStamp,hash,nonce,blockHash,from,contractAddress,to,value,tokenName,tokenSymbol,tokenDecimal,transactionIndex,gas,gasPrice,gasUsed,cumulativeGasUsed,input,confirmations
0,10751839,2020-08-28 22:18:14,0x0a303184e418b6c8f935eadb628d99acd5057feca53e4afa89f8245c897462ec,479,0xc1ad3a55c137acf58e14be2b8ca7ceb7c405f44518aaa0720fb1abe79be08810,0x47d94c8414c7f38cb485c88d38652246c8268e32,0x26ce25148832c04f3d7f26f32478a9fe55197166,0x94b77b28c2bbe112b65d3f5ffa65b8a5af4c2e46,2e+22,DEXTools,DEXT,18,127,85731,62000000000,57154,11234388,deprecated,4432461
1,10751841,2020-08-28 22:18:47,0x6ddd927ca171fb53668c0a989938cabe974d8dadd26836336bbeb39b07e5f289,480,0xc4be51563d15692ab213385179aa36c6f9368dce8371df89d8e23f34de7be45d,0x47d94c8414c7f38cb485c88d38652246c8268e32,0x2baecdf43734f22fd5c152db08e3c27233f0c7d2,0x94b77b28c2bbe112b65d3f5ffa65b8a5af4c2e46,4e+21,OM Token,OM,18,108,78181,62000000000,52121,12396879,deprecated,4432459
2,10756037,2020-08-29 13:53:08,0x33eb2d344186509d9e5e970fe4f8bb85c2c31616a783b8cc0ed2f3c6e507c6f4,0,0xd1e3c69fd21cc0060f22d9e732e6e9b5c45647cc379d78a712a9be361a6b05a6,0xb27de0ba2abfbfdf15667a939f041b52118af5ba,0x8400d94a5cb0fa0d041a3788e395285d61c9ee5e,0x94b77b28c2bbe112b65d3f5ffa65b8a5af4c2e46,400000000000.0,UniBright,UBT,8,51,279746,69000000000,229031,6507754,deprecated,4428263
3,10878247,2020-09-17 07:12:14,0x9aac11332a866ba61c8251f15dda83d90067161088d7f744d1a5082b80d55427,1,0x073ce9b49a2590580e70addfa879b4a64d7fc935bf79517dabd983abdac84add,0x090d4613473dee047c3f2706764f49e0821d256e,0x1f9840a85d5af5bf1d1762f925bdaddc4201f984,0x94b77b28c2bbe112b65d3f5ffa65b8a5af4c2e46,4e+20,Uniswap,UNI,18,172,190036,700000000000,81851,7632035,deprecated,4306053
4,10878254,2020-09-17 07:13:39,0xbcca7fcad4749761ffc61d611b77a81ffe614488582995ba9c34ace92cdd9013,3,0x2cf2ddf1ff4e54e325ef70a16fa360534b9c564690e99b996666ebd90178e0b0,0x94b77b28c2bbe112b65d3f5ffa65b8a5af4c2e46,0x1f9840a85d5af5bf1d1762f925bdaddc4201f984,0xd3d2e2692501a5c9ca623199d38826e513033a17,4e+20,Uniswap,UNI,18,34,152245,800000000000,98123,2160919,deprecated,4306046
5,11270499,2020-11-16 18:24:06,0xe0082e77c4c9df3d6d56d4783de0a85b091871d136f06a19c6eacf0f4e31549d,5,0x3c84511cffe82e5a30d397dbe24011c7c18b55677d30cd08978d91a7380ce463,0x94b77b28c2bbe112b65d3f5ffa65b8a5af4c2e46,0x2baecdf43734f22fd5c152db08e3c27233f0c7d2,0x99b1db3318aa3040f336fb65c55400e164ddcd7f,4e+21,OM Token,OM,18,36,170139,100000000000,114390,3047519,deprecated,3913801
6,11270504,2020-11-16 18:25:50,0x7c7621877cf871ea4d1721e51a5b1eeff3be5b12c9a992805d097838878aa3fb,6,0xbda270166f19b58af8ece07add06ad08925ba9fa00468c63649f480eccb63d5d,0xb27de0ba2abfbfdf15667a939f041b52118af5ba,0x8400d94a5cb0fa0d041a3788e395285d61c9ee5e,0x94b77b28c2bbe112b65d3f5ffa65b8a5af4c2e46,600000000000.0,UniBright,UBT,8,51,211608,75000000000,167087,3276373,deprecated,3913796
7,12116071,2021-03-26 17:45:51,0xc3f66b8b1ca078210e870d988a618679b6bbb1d44b9ae4576d1276a264b68b99,9,0x6e721416108e1e83ceaa04698a657d4e1bcf31bfcd7bf089b40b4cc8fbd614f5,0x94b77b28c2bbe112b65d3f5ffa65b8a5af4c2e46,0x8400d94a5cb0fa0d041a3788e395285d61c9ee5e,0xb27de0ba2abfbfdf15667a939f041b52118af5ba,500000000000.0,UniBright,UBT,8,112,274664,199100000000,239123,11321800,deprecated,3068229
8,12116071,2021-03-26 17:45:51,0xc3f66b8b1ca078210e870d988a618679b6bbb1d44b9ae4576d1276a264b68b99,9,0x6e721416108e1e83ceaa04698a657d4e1bcf31bfcd7bf089b40b4cc8fbd614f5,0xd3d2e2692501a5c9ca623199d38826e513033a17,0x1f9840a85d5af5bf1d1762f925bdaddc4201f984,0x94b77b28c2bbe112b65d3f5ffa65b8a5af4c2e46,1.681265628130661e+20,Uniswap,UNI,18,112,274664,199100000000,239123,11321800,deprecated,3068229
9,12213623,2021-04-10 17:49:49,0xce9a427638874ac3e6e0b5634b5dda8a6053d7462685fff491f99d09ffdc8c96,10,0x8be5fe31196bac6709e7471f39aba55fa9f6f25220ef5da7a5a194f65e06fda2,0x94b77b28c2bbe112b65d3f5ffa65b8a5af4c2e46,0x1f9840a85d5af5bf1d1762f925bdaddc4201f984,0xd3d2e2692501a5c9ca623199d38826e513033a17,1.681265628130661e+20,Uniswap,UNI,18,240,165489,115500000000,110163,10877588,deprecated,2970677
