,blockNumber,timeStamp,hash,nonce,blockHash,from,contractAddress,to,value,tokenName,tokenSymbol,tokenDecimal,transactionIndex,gas,gasPrice,gasUsed,cumulativeGasUsed,input,confirmations
0,10769650,2020-08-31 16:03:13,0x683366a9cbec57533b7a4946f96942fdcb079bad28b3cc6281a12938bc0ba79e,1,0xedcf5b49aefe1d9d9a171a280b5740cf92eeba9a1db5237ef1f3b69cc77133b8,0xe275eb6154cb4a73f0ba573e43b2b06e9e78b7f0,0xfffffffff15abf397da76f1dcc1a1604f45126db,0x95c48c16f3acff8bdc764bc1774f227d13599549,1.2868703446504727e+20,FalconSwap Token,FSW,18,44,165083,298000000000,112489,4995451,deprecated,4415086
1,10881626,2020-09-17 19:28:00,0xb4f11c7da63e349eb2b356bab6a727b52d4a5293bcb3a7e86c6fb7534b156e97,2,0xd60b812a996deaf09f3876bb88c6a23c15b304b2ffc3fb8d567ed77c812ddb3e,0x090d4613473dee047c3f2706764f49e0821d256e,0x1f9840a85d5af5bf1d1762f925bdaddc4201f984,0x95c48c16f3acff8bdc764bc1774f227d13599549,4e+20,Uniswap,UNI,18,82,90044,440000000000,81859,4826491,deprecated,4303110
2,10891618,2020-09-19 08:41:24,0x79aeb90ddc3e1d15ceb9e6190461ec0c0c112c602dbd35c92b616e4ff74cef0d,4,0x1725d500d4d1dd712759e7f031c15b03c68eee7e7327ba0f630aaf55a99667dc,0x95c48c16f3acff8bdc764bc1774f227d13599549,0x1f9840a85d5af5bf1d1762f925bdaddc4201f984,0xd3d2e2692501a5c9ca623199d38826e513033a17,4e+20,Uniswap,UNI,18,94,152245,134640001222,98123,10552510,deprecated,4293118
3,10996834,2020-10-05 16:34:23,0xfd0a83778c7b86fde3297f205edb98505b28943d8bb46793f2c07323377363ce,6,0xb7ebff757e9360198656dbb57b3a50dfdef9b818995dd5f8c27bf2b67f968bc1,0xaf996125e98b5804c00ffdb4f7ff386307c99a00,0x5befbb272290dd5b8521d4a938f6c4757742c430,0x95c48c16f3acff8bdc764bc1774f227d13599549,1.0144610012856023e+18,Xfinance,XFI,18,93,151719,93000000000,124563,8528407,deprecated,4187902
4,11003404,2020-10-06 17:00:28,0x0574d568b1979019689d54de8b20eefbf888e08be72f7f2c27a3436b2bcbdad0,8,0xe065fbf9b209f46e1dea4f9438f812b1701a6b631b6cb31b7145e35329063d91,0x5fa78fa8f5d6371ced774e0d306a58fd1b8b03e3,0x9b06d48e0529ecf05905ff52dd426ebec0ea3011,0x95c48c16f3acff8bdc764bc1774f227d13599549,6.177270947119551e+21,XSwap,XSP,18,78,151815,38000000000,112633,8557239,deprecated,4181332
5,11004169,2020-10-06 19:55:29,0x0fcdac82c03918c61da3c756b6f91ae9badfee6fee8a0b83d55670707ad20a77,9,0x244b1cf82e803bfe25a9e7497a9ee6b40c702bf62fa451e0222149c04b4a3ab3,0x2e0721e6c951710725997928dcaaa05daafa031b,0xe0e4839e0c7b2773c58764f9ec3b9622d01a0428,0x95c48c16f3acff8bdc764bc1774f227d13599549,2.2092349922547712e+17,EnCore,ENCORE,18,125,205645,191000000000,148786,9445156,deprecated,4180567
6,11010474,2020-10-07 19:34:48,0xfe5cb4a18af182d8a0b3272a8df2ef87971d45a940075203eec8af87e1b0c60d,10,0x819757ef449bba5e6d4494221e4e52b7fe24895c594e42545a1a432a369489f3,0x95c48c16f3acff8bdc764bc1774f227d13599549,0x5befbb272290dd5b8521d4a938f6c4757742c430,0xb21518da88586fd81fdf0f4630e656872eb86494,1.01446e+18,Xfinance,XFI,18,70,77068,68000000000,51379,4664099,deprecated,4174262
7,11111613,2020-10-23 09:08:22,0x06ad7bd31c2509e4d99406a9ef4b71cb9b7e3953f5584ff86f8ecc501e9256ca,16,0xb37e919988b43b1e5fdeabf5b8434ff31c5f41ab150c5afe269b508e0332feb8,0xab9bef8242c2b97772ae239a5d71c60496a06334,0x7865af71cf0b288b4e7f654f4f7851eb46a2b7f8,0x95c48c16f3acff8bdc764bc1774f227d13599549,2.9383445475668018e+22,Sentivate,SNTVT,18,90,165035,44000000000,124463,9342736,deprecated,4073123
8,11146880,2020-10-28 18:47:26,0xe7c4f31853fc91435aa7cfb808a90a84b5313fa713d816295daec610ff95c6ff,20,0x7ce91806d32aacd09c590524c4bef7b55dbad8ef3ecaf161cfe2efa0de6a5321,0x95c48c16f3acff8bdc764bc1774f227d13599549,0x7865af71cf0b288b4e7f654f4f7851eb46a2b7f8,0xab9bef8242c2b97772ae239a5d71c60496a06334,2.9383445475668018e+22,Sentivate,SNTVT,18,116,165877,40000000000,110516,9362455,deprecated,4037856
9,11176236,2020-11-02 07:14:06,0x156f0e96edd9266c948f0c5422630f9f237a30e55877a88f8ee82275a878d0b6,23,0x332d97186809ee04190cfd992de1f18109cb44a362ad995ed19372a6ddd03390,0x95c48c16f3acff8bdc764bc1774f227d13599549,0xe0e4839e0c7b2773c58764f9ec3b9622d01a0428,0x2e0721e6c951710725997928dcaaa05daafa031b,2.2092349922547712e+17,EnCore,ENCORE,18,68,177071,33000000000,120692,5693441,deprecated,4008500
10,11210879,2020-11-07 14:34:48,0xac142d4e139c62bc2987c71cdce6ff69051b93bae6223ac8ec05264593d4b688,25,0x219d4a4dfc6c2f8458083f4b5a921ce79e62f65c30543ee2bd1037d2b1f3c8a2,0xdc7d8cc3a22fe0ec69770e02931f43451b7b975e,0x178c820f862b14f316509ec36b13123da19a6054,0x95c48c16f3acff8bdc764bc1774f227d13599549,5.341263744445784e+19,Energy Web Token Bridged,EWTB,18,88,167660,55000000000,126812,6421881,deprecated,3973857
11,11242858,2020-11-12 12:42:47,0xfa9487b1a713268f950edf9a6c3a9d3b3f57efaf39480bbbc41d6d05ba03561e,26,0x080f3688af5c5f0d0c695ba95d5a8d42a737e67c148858d8518f090ff662f989,0xe0deb97487bddf4c28ab1aa169179db0da625b29,0xf151980e7a781481709e8195744bf2399fb3cba4,0x95c48c16f3acff8bdc764bc1774f227d13599549,2.145256615201473e+22,FreewayToken,FWT,18,43,151464,50000000000,124333,2455410,deprecated,3941878
12,11380212,2020-12-03 14:34:07,0x76f9ad0859949e5dc412e196a06cb75db5e89ab8828286859599fb3aa12563b0,27,0x8a2ceb539e997c69b4513892ed38e8f565da7041f64bd37fe7a58e0e6b9cc7a8,0xb27de0ba2abfbfdf15667a939f041b52118af5ba,0x8400d94a5cb0fa0d041a3788e395285d61c9ee5e,0x95c48c16f3acff8bdc764bc1774f227d13599549,68081631223.0,UniBright,UBT,8,186,272957,33000000000,221040,12279755,deprecated,3804524
13,11543823,2020-12-28 17:39:55,0xa1672d40c295be96498e6d4ce3640ab2ac82f290fa7fb0998b27a898370a0341,29,0xa207ee18008101e32bcdbf0a1584ad5874de4f45f0474cddfe659612d1481f79,0x95c48c16f3acff8bdc764bc1774f227d13599549,0xf151980e7a781481709e8195744bf2399fb3cba4,0x63490031395b36fcec28a6d725b0da491b6286b9,2.14525661e+22,FreewayToken,FWT,18,108,200000,60500000000,75827,7920443,deprecated,3640913
14,11602605,2021-01-06 18:10:02,0xed001f5586cbd190e63a2a944cdbe44917dd8c29232fa7df4bee24f0db7151ed,32,0x63092fe877b82231588b11a30c0855502015d09baaee1c460fb8b83a30b99423,0x6591c4bcd6d7a1eb4e537da8b78676c1576ba244,0x0391d2021f89dc339f60fff84546ea23e337750f,0x95c48c16f3acff8bdc764bc1774f227d13599549,1.004672453096092e+19,BarnBridge Governance Token,BOND,18,125,236088,96100000000,184881,11623968,deprecated,3582131
15,11666781,2021-01-16 14:31:16,0x8376328f22cdd47b672cc35563433f313a7f7792d71b4dcf12591351210ca70f,33,0xe66265c0fa3fc4afbcd0f5d8937027eb8929aa82fefdfe16779ee89db4f42a8a,0xe5c5227d8105d8d5f26ff3634eb52e2d7cc15b50,0x00a8b738e453ffd858a7edf03bccfe20412f0eb0,0x95c48c16f3acff8bdc764bc1774f227d13599549,1.1293194343804515e+21,AllianceBlock Token,ALBT,18,41,165953,52000001459,125284,8487752,deprecated,3517955
16,11698061,2021-01-21 09:49:54,0xa11bf659a37491604554d448b4c9e6cb89e1d48711fda8da1798ff79e9b55e8d,34,0x382334915dde5fa28f9d5ac046b79026a024f279915998200052aaf47943ad86,0xb89ed43f45d1f870be815c7b53368a1cc5184474,0x7b0c06043468469967dba22d1af33d77d44056c8,0x95c48c16f3acff8bdc764bc1774f227d13599549,449915.0,Morpheus.Network,MRPH,4,170,166233,150000000000,125533,10688417,deprecated,3486675
17,11698089,2021-01-21 09:56:27,0xfe09eb8f207cae837a358ea60729c83ed55527b79fef3bfe6f1140b2f8d3fd95,35,0xea75d791deaab84e6fef7bd4b8e8924af06262ba3c7d6755e367ca28bf341eb5,0xb89ed43f45d1f870be815c7b53368a1cc5184474,0x7b0c06043468469967dba22d1af33d77d44056c8,0x95c48c16f3acff8bdc764bc1774f227d13599549,3003462.0,Morpheus.Network,MRPH,4,73,149470,145000000000,110533,5490264,deprecated,3486647
18,11713204,2021-01-23 17:35:33,0x8ec2c92d84fc2f2c1eff0be9b006375c39a4ae3c65c01d1227e863ffe531f435,36,0x226547cb582d23406f4e09a7d42ed9d037e1b0f5d92f4d2b2b2b61d66518f01a,0x9973bb0fe5f8df5de730776df09e946c74254fb3,0x374cb8c27130e2c9e04f44303f3c8351b9de61c1,0x95c48c16f3acff8bdc764bc1774f227d13599549,5.8207608668356e+23,BaoToken,BAO,18,119,167578,70000000000,126739,9184203,deprecated,3471532
19,11713228,2021-01-23 17:40:51,0x6207d44abef3eec5fc077666b84f75c5fd78fe69e5d9e6099b528e89256a3b2a,37,0x76defb1c36b497f2a80a11973afb9580e2d170c4e411574ee56dd99cc4e1d537,0xb0fb35cc576034b01bed6f4d0333b1bd3859615c,0x7b123f53421b1bf8533339bfbdc7c98aa94163db,0x95c48c16f3acff8bdc764bc1774f227d13599549,8.613450731936293e+19,dfohub,buidl,18,89,164871,70000000000,124316,8065600,deprecated,3471508
20,11732943,2021-01-26 18:17:29,0x50a1ffa369cc0f52cd4e643f1ac55cf59d1ea9e72921c5765e00f2139fc82f0a,38,0xa0b53444ba86414ae6fb6c3a0f8d2cd32e925b9fddab4f6e275f93fd45790e88,0x4fda00d490c1c05ff15d7313d1cebe9c711e434b,0x9355372396e3f6daf13359b7b607a3374cc638e0,0x95c48c16f3acff8bdc764bc1774f227d13599549,727981.0,WHALE,WHALE,4,74,166196,60000000000,125501,6723967,deprecated,3451793
21,11732954,2021-01-26 18:19:15,0x53d1a5281447b3c3893952496f3841b1cad866ffa37ebd0b974eec86b71cb90c,39,0x606d63980d1d069e68a0442699d59b799d27a76459127ea485b5fd02984cb074,0x48a91882552dad988ae758fcb7070b8e9844dec5,0x1f3f9d3068568f8040775be2e8c03c103c61f3af,0x95c48c16f3acff8bdc764bc1774f227d13599549,4.355075356486776e+20,Archer DAO Governance Token,ARCH,18,84,165050,57110000000,124476,11405571,deprecated,3451782
22,11737499,2021-01-27 11:15:45,0xaba3a91bcdddecd0a0a631a4816ce07def32a526375207f5019f30486d0f7e5b,41,0xc9d1a3a2e67c51879aa3a1106d2e24755a05855562feb56753db20b432e551f2,0xa6890ac41e3a99a427bef68398bf06119fb5e211,0xb9ef770b6a5e12e45983c5d80545258aa38f3b78,0x95c48c16f3acff8bdc764bc1774f227d13599549,1519051917907.0,0chain,ZCN,10,39,153200,63000000000,125887,4460754,deprecated,3447237
23,11765965,2021-01-31 20:26:15,0xa4dc82e30697d7f9192ebc1151641bbe35c207783825112d6e0d7874e3f34bd7,42,0x12d7e69cdc34c40c8b6e2895a34683ef0f9b2238b96d7dd6752d2d007047efcc,0xc465c0a16228ef6fe1bf29c04fdb04bb797fd537,0x73968b9a57c6e53d41345fd57a6e6ae27d6cdb2f,0x95c48c16f3acff8bdc764bc1774f227d13599549,3.2552043579924648e+19,Stake DAO Token,SDT,18,50,179841,108000000000,124301,4388944,deprecated,3418771
24,11771126,2021-02-01 15:25:04,0x2b35d20c4d8d01f92745be0ef9e279e8a83073b71025d5502af0fe1550a0d30f,44,0x022d6a2404eb5a43be844e8b2aaaa90541bc9eb55c7d8615fecd13ccfcd9dd4e,0x95c48c16f3acff8bdc764bc1774f227d13599549,0x178c820f862b14f316509ec36b13123da19a6054,0xdc7d8cc3a22fe0ec69770e02931f43451b7b975e,5.341263744445784e+19,Energy Web Token Bridged,EWTB,18,181,174843,110000000000,118667,10008400,deprecated,3413610
25,11771160,2021-02-01 15:31:43,0xd9ba637bd6ec5ca31d9a248b713dc879f27a7bfae36991d63170729f4931b616,45,0x312742191635afc089764ba37857e12d075006d7bde375d29b7af5a96611abf7,0x454f11d58e27858926d7a4ece8bfea2c33e97b13,0x5a98fcbea516cf06857215779fd812ca3bef1b32,0x95c48c16f3acff8bdc764bc1774f227d13599549,1.4645961414522413e+20,Lido DAO Token,LDO,18,62,274137,97000000000,222097,4677727,deprecated,3413576
26,11771187,2021-02-01 15:37:38,0xdbdc256d5690eca567ee2eae660e17cafa12cc07924e5bfabfb789e7d479de8d,46,0xf7c1fe72bbc48d9f36f8761480892beedd804986970bd774720b9e1f6dfc0da4,0x75e5852385fa856791d703e3f04da24f5bc13975,0x8c8687fc965593dfb2f0b4eaefd55e9d8df348df,0x95c48c16f3acff8bdc764bc1774f227d13599549,3e+20,PAID Network,PAID,18,180,168766,124874100000,128140,12391101,deprecated,3413549
27,11778594,2021-02-02 19:04:21,0xe868c9ac213a0e8b7b395952005ccc5fd0905d7d9f43050028b6a6055ede3032,50,0x7a7e9027190675e3b361285a8c67346a8867c1964fc2417328189334068c0569,0x95c48c16f3acff8bdc764bc1774f227d13599549,0x1f3f9d3068568f8040775be2e8c03c103c61f3af,0x48a91882552dad988ae758fcb7070b8e9844dec5,2e+20,Archer DAO Governance Token,ARCH,18,190,174967,129000000000,120524,10284914,deprecated,3406142
28,11778594,2021-02-02 19:04:21,0xc99f9897d235211bdad5ccbdea0382b6a9b50c132a3a9425d4daf589b95bf8c9,51,0x7a7e9027190675e3b361285a8c67346a8867c1964fc2417328189334068c0569,0x95c48c16f3acff8bdc764bc1774f227d13599549,0x9355372396e3f6daf13359b7b607a3374cc638e0,0x4fda00d490c1c05ff15d7313d1cebe9c711e434b,360000.0,WHALE,WHALE,4,191,168348,135000001459,127762,10412676,deprecated,3406142
29,11778640,2021-02-02 19:14:39,0x025511a43d48a9ac0293233d483f3383a216bd5741717ffc8d48a563f9d53deb,53,0x177887d131379854aa29d62f6c7507559f3a91e41317e888e3c3007791c20074,0x95c48c16f3acff8bdc764bc1774f227d13599549,0x374cb8c27130e2c9e04f44303f3c8351b9de61c1,0x2b5a20c6fe75504820a8abf6b3c18f136900ea97,2.91e+20,BaoToken,BAO,18,37,237008,160000000000,198066,2087195,deprecated,3406096
30,11778726,2021-02-02 19:34:44,0x0c9b7d4b4aec144c1f8b2cfeaa7d787d4998a219159aa8f4b658770851b4bb52,54,0x7d712df3da53774c7bc08e62556a6b1c18067c421369b02afa8325038812b2ae,0x95c48c16f3acff8bdc764bc1774f227d13599549,0x374cb8c27130e2c9e04f44303f3c8351b9de61c1,0x9973bb0fe5f8df5de730776df09e946c74254fb3,1.4995131450827655e+23,BaoToken,BAO,18,50,170789,167200000000,117965,5081188,deprecated,3406010
31,11796043,2021-02-05 11:46:23,0x5439ba0ab84b93a724f2a4371b08e7ba1e5efb3be24d4d5924d8ab6573e22aa0,223900,0x8724019d3ea4b9b52bc1dffae1b1268368b5786ba50c872a6cc8dfb9740c4659,0x708396f17127c42383e3b9014072679b2f60b82f,0xdac17f958d2ee523a2206206994597c13d831ec7,0x95c48c16f3acff8bdc764bc1774f227d13599549,299294627.0,Tether USD,USDT,6,26,207128,287000000000,56209,1307037,deprecated,3388693
32,11796067,2021-02-05 11:52:33,0xb0b50a7c52b9659c8416ed14f06aabc8f47178e95cb1f4c64d62bf12b560768c,56,0x0c5c30f70047e2b212328a8091bab7771c557d1cb66afdf957c12f61373facc6,0x95c48c16f3acff8bdc764bc1774f227d13599549,0xdac17f958d2ee523a2206206994597c13d831ec7,0xa2cb66ebb947d217f61510882096f6e95c1de97d,299294627.0,Tether USD,USDT,6,61,439176,151000000000,232008,3306600,deprecated,3388669
33,11796067,2021-02-05 11:52:33,0xb0b50a7c52b9659c8416ed14f06aabc8f47178e95cb1f4c64d62bf12b560768c,56,0x0c5c30f70047e2b212328a8091bab7771c557d1cb66afdf957c12f61373facc6,0xa2cb66ebb947d217f61510882096f6e95c1de97d,0x43dfc4159d86f3a37a5a4b3d4580b888ad7d4ddd,0x95c48c16f3acff8bdc764bc1774f227d13599549,1.679427085928625e+20,DODO bird,DODO,18,61,439176,151000000000,232008,3306600,deprecated,3388669
34,11798238,2021-02-05 19:42:01,0xd924673ea73635544ef3e3afef0307ae6ecf4ae5df8f567e493bc3255d9322be,57,0xfeb2b4b839212a655b61886bf44de77647b32841eac1f6942aad61ff91519fec,0xbe55c87dff2a9f5c95cb5c07572c51fd91fe0732,0xad4f86a25bbc20ffb751f2fac312a0b4d8f88c64,0x95c48c16f3acff8bdc764bc1774f227d13599549,2.8369799423831025e+20,OptionRoom Token,ROOM,18,142,151459,239800000000,112313,12416190,deprecated,3386498
35,11802423,2021-02-06 11:12:33,0xc67615b089ceff492d17e92b6e7b5ee95f94b39f6caf864f13113d41c62f71ce,58,0xb1f32b2075bd29ff9a15265ea0df18c7b3eb355aeadcb76cb7557d2d91369300,0x95c48c16f3acff8bdc764bc1774f227d13599549,0x9355372396e3f6daf13359b7b607a3374cc638e0,0x4fda00d490c1c05ff15d7313d1cebe9c711e434b,367981.0,WHALE,WHALE,4,80,168348,140000000000,112762,3902114,deprecated,3382313
