,blockNumber,timeStamp,hash,nonce,blockHash,from,contractAddress,to,value,tokenName,tokenSymbol,tokenDecimal,transactionIndex,gas,gasPrice,gasUsed,cumulativeGasUsed,input,confirmations
0,10762899,2020-08-30 15:08:12,0x030446222615e91b6d957a3b36f72af4c486189adc5fa4d3253c695381b0773a,1,0x6f1669ce1de5f054866331161fa19568822eb380d5499ca9548b2ae1a88b51f1,0x12d4444f96c644385d8ab355f6ddf801315b6254,0x38e4adb44ef08f22f5b5b76a8f0c2d0dcbe7dca1,0x96bc100f68953a5341aee433330687ce58a7e1e8,7.223530980602197e+19,Concentrated Voting Power,CVP,18,103,156901,259600000000,129200,6062501,deprecated,4421740
1,10762906,2020-08-30 15:11:04,0x43218ee21e8ba9dd9f71bc7be1b3bde531ee077970e5f35d78f2c90063a1139a,2,0x629bea6526eb97057e38198643c5a4777188ae533d24d815987578c0adb44bf5,0x12d4444f96c644385d8ab355f6ddf801315b6254,0x38e4adb44ef08f22f5b5b76a8f0c2d0dcbe7dca1,0x96bc100f68953a5341aee433330687ce58a7e1e8,9.018878985128243e+18,Concentrated Voting Power,CVP,18,7,153554,259600000000,114188,563112,deprecated,4421733
2,10773016,2020-09-01 04:04:17,0x8e0b82913a5c3d5ba857614cf51bef97061544a1f78653b56eebd62291d1ed4b,4,0x7162dd68d638827fc1632722597f2acb740c0038c72903e5080b62ae50a891df,0x12d4444f96c644385d8ab355f6ddf801315b6254,0x38e4adb44ef08f22f5b5b76a8f0c2d0dcbe7dca1,0x96bc100f68953a5341aee433330687ce58a7e1e8,2.0420802573200065e+20,Concentrated Voting Power,CVP,18,46,140140,317900000000,114200,2704951,deprecated,4411623
3,10773959,2020-09-01 07:39:02,0x924fb5bb6027809fa3ca0f0862dcd91de6a91e863de2c02208ee2c1d8cc4fc63,6,0x4aac5d6d6a26f7d365018bcde0de7cdb42e8c3b8b9ce11e4f293e008ce96ba53,0x12d4444f96c644385d8ab355f6ddf801315b6254,0x38e4adb44ef08f22f5b5b76a8f0c2d0dcbe7dca1,0x96bc100f68953a5341aee433330687ce58a7e1e8,9.268898859555316e+18,Concentrated Voting Power,CVP,18,13,140126,454300000000,114188,1567290,deprecated,4410680
4,10832478,2020-09-10 06:52:45,0x8eab40d1b25920bdae2520bc4378bb157c05d4ad27ea9cb077ddde8113a9c8ca,8,0x382f2eb4132d2cef2d5a71648ebc192ef5d7136293cc25ecf6255a00c6b0bcff,0x96bc100f68953a5341aee433330687ce58a7e1e8,0x38e4adb44ef08f22f5b5b76a8f0c2d0dcbe7dca1,0xe224c193e63d3f77a52cd2b55c29a3f92a1c25b5,2.947311133827062e+20,Concentrated Voting Power,CVP,18,153,78061,178200000000,40758,7123117,deprecated,4352161
5,10854836,2020-09-13 16:51:12,0xd53d8f05490c102dff651741612c27ceaa90ee28c79fb31ab7835a44af202e33,1517459,0x461ebf82cfeeeb6a7ed6dfa35550f44631fa015cd8135d11f85cfdd97e0590eb,0x6cc5f688a315f3dc28a7781717a9a798a59fda7b,0x38e4adb44ef08f22f5b5b76a8f0c2d0dcbe7dca1,0x96bc100f68953a5341aee433330687ce58a7e1e8,2.93731e+20,Concentrated Voting Power,CVP,18,48,420000,168000000000,55746,1818652,deprecated,4329803
6,10854875,2020-09-13 17:01:47,0xa3a856d65b8fbb8b0966ca33b57bab32fd47365d6042221024cd3592346a35fc,10,0x2bd538aa0cadabc7aa8fe1bb080e1e2ee6ad19ad91e3d669df9328353e95b93c,0x96bc100f68953a5341aee433330687ce58a7e1e8,0x38e4adb44ef08f22f5b5b76a8f0c2d0dcbe7dca1,0x12d4444f96c644385d8ab355f6ddf801315b6254,6.8064288904463294e+19,Concentrated Voting Power,CVP,18,156,198106,171600000000,154599,8506797,deprecated,4329764
7,10854875,2020-09-13 17:01:47,0xa3a856d65b8fbb8b0966ca33b57bab32fd47365d6042221024cd3592346a35fc,10,0x2bd538aa0cadabc7aa8fe1bb080e1e2ee6ad19ad91e3d669df9328353e95b93c,0x0000000000000000000000000000000000000000,0x12d4444f96c644385d8ab355f6ddf801315b6254,0x96bc100f68953a5341aee433330687ce58a7e1e8,6.131433536458377e+18,Uniswap V2,UNI-V2,18,156,198106,171600000000,154599,8506797,deprecated,4329764
8,10880907,2020-09-17 16:52:03,0xefa6347a0d7d948df43596753ca415f836c5bd5c3b7bcc936366290e751e4ab7,11,0x1b1327fb22fcfce49bb1821aa6acb98fb2419794d1a257eb8b543e9d23f8090a,0x090d4613473dee047c3f2706764f49e0821d256e,0x1f9840a85d5af5bf1d1762f925bdaddc4201f984,0x96bc100f68953a5341aee433330687ce58a7e1e8,4e+20,Uniswap,UNI,18,325,90058,540100000000,81871,11106112,deprecated,4303732
9,10880927,2020-09-17 16:57:14,0xe2e51edb90bab9e3e63d51393f4bb8ea8f171f133d30a2368701168e2ba6cd44,12,0x7c7a99399671dec4089f6a2b1bb5405496f46e1476e926c1925e990f33a49259,0x96bc100f68953a5341aee433330687ce58a7e1e8,0x1f9840a85d5af5bf1d1762f925bdaddc4201f984,0xe224c193e63d3f77a52cd2b55c29a3f92a1c25b5,4e+20,Uniswap,UNI,18,260,77708,505000000000,40506,11663448,deprecated,4303712
10,10902156,2020-09-20 23:08:05,0x94520ce84b87ed1d8d7fc160e0e6516bb6671f832d990ef98785edc223e22ce4,55,0xde83f450ef373a05ae8a00f607aa755714761e6c9d6b1a38b3007ed0e7e4fbd0,0x29bff390fc12c900aaf0f2e51c06675df691337a,0x38e4adb44ef08f22f5b5b76a8f0c2d0dcbe7dca1,0x96bc100f68953a5341aee433330687ce58a7e1e8,3.586329074e+18,Concentrated Voting Power,CVP,18,127,4500000,100000000000,1543813,8639911,deprecated,4282483
11,10968553,2020-10-01 06:24:39,0x015ba1a3cc527aba4aeeb04a73109867f7cb360eff7463166d0f4aeb130ffc6e,15,0x5253fb0b6ce05c18f25b29aeed80b737ac9ca21558df49220176efa5f4ddb932,0x96bc100f68953a5341aee433330687ce58a7e1e8,0x12d4444f96c644385d8ab355f6ddf801315b6254,0x12d4444f96c644385d8ab355f6ddf801315b6254,6.131433536458377e+18,Uniswap V2,UNI-V2,18,131,307202,68200000000,181212,10087240,deprecated,4216086
12,10968553,2020-10-01 06:24:39,0x015ba1a3cc527aba4aeeb04a73109867f7cb360eff7463166d0f4aeb130ffc6e,15,0x5253fb0b6ce05c18f25b29aeed80b737ac9ca21558df49220176efa5f4ddb932,0x7a250d5630b4cf539739df2c5dacb4c659f2488d,0x38e4adb44ef08f22f5b5b76a8f0c2d0dcbe7dca1,0x96bc100f68953a5341aee433330687ce58a7e1e8,8.957978281767166e+19,Concentrated Voting Power,CVP,18,131,307202,68200000000,181212,10087240,deprecated,4216086
13,10974261,2020-10-02 03:38:21,0x29d02d72a6f0847994efb4408f5b5f8d4b9cd6f8bfe1fc223d152cace79b5558,16,0x3e3aa8c86510096fa3797b7033ee19b69246f51d02b7b13578e1a89373210d62,0x96bc100f68953a5341aee433330687ce58a7e1e8,0x38e4adb44ef08f22f5b5b76a8f0c2d0dcbe7dca1,0xe224c193e63d3f77a52cd2b55c29a3f92a1c25b5,3.188328229872084e+20,Concentrated Voting Power,CVP,18,152,57061,45100001481,25758,10988205,deprecated,4210378
14,11070517,2020-10-17 01:42:35,0x8a24cd1736386a6bdd06b69451ba95a260b9d41d2ea426d579873f56cc76682d,2967307,0x1705a30fe3f4d77d34f1bbdcf7c0aeb7a68d0e96aa4e37734e6be1b14a1167a1,0x564286362092d8e7936f0549571a803b203aaced,0xdac17f958d2ee523a2206206994597c13d831ec7,0x96bc100f68953a5341aee433330687ce58a7e1e8,17000000.0,Tether USD,USDT,6,29,207128,60000000000,56209,2399125,deprecated,4114122
15,11070634,2020-10-17 02:06:05,0x02b206ec4f8ea3919a3e75d3e4d180a27792b6b8fd5c15de0aa314074d55d3a1,19,0x11d1306bafa8be13ce7851e1076a167ba2c9db435e06722c409eafe9cb723c1a,0x96bc100f68953a5341aee433330687ce58a7e1e8,0xdac17f958d2ee523a2206206994597c13d831ec7,0x0d4a11d5eeaac28ec3f61d100daf4d40471f1852,17000000.0,Tether USD,USDT,6,191,214933,23100000000,157875,11905783,deprecated,4114005
