,blockNumber,timeStamp,hash,nonce,blockHash,from,contractAddress,to,value,tokenName,tokenSymbol,tokenDecimal,transactionIndex,gas,gasPrice,gasUsed,cumulativeGasUsed,input,confirmations
0,10776594,2020-09-01 17:16:16,0xacb4a7b4e2ff699919adaa3877b445dd36d01a9e5e725a7e443ef42eb666dddb,2,0x70e960c44014d46df0fc5389867897066fc87301f2045e108558bd871cdadfe7,0xce84867c3c02b05dc570d0135103d3fb9cc19433,0x6b3595068778dd592e39a122f4f5a5cf09c90fe2,0x991374765b146dcd1e86488ca17dcf0e344bac6b,1e+19,SushiToken,SUSHI,18,58,160226,479000000000,120376,4975009,deprecated,4407539
1,10776594,2020-09-01 17:16:16,0xf79fe155dc9f253aac4c101ce0dd755f761bceaad5c70145abe6674b973c4647,3,0x70e960c44014d46df0fc5389867897066fc87301f2045e108558bd871cdadfe7,0xce84867c3c02b05dc570d0135103d3fb9cc19433,0x6b3595068778dd592e39a122f4f5a5cf09c90fe2,0x991374765b146dcd1e86488ca17dcf0e344bac6b,1e+19,SushiToken,SUSHI,18,59,160226,479000001459,105376,5080385,deprecated,4407539
2,10776640,2020-09-01 17:24:28,0x6f15f8e9344f258b61a9a476adb6f7075e1bca75728e2c25071ec707db63eacc,5,0xe6cd43861d26110f2a07cd16d7d7d6657b81eebfaceb03693219343403a0c698,0x991374765b146dcd1e86488ca17dcf0e344bac6b,0x6b3595068778dd592e39a122f4f5a5cf09c90fe2,0xce84867c3c02b05dc570d0135103d3fb9cc19433,1.499597430737028e+19,SushiToken,SUSHI,18,145,187398,477000000000,137362,9475424,deprecated,4407493
3,10776640,2020-09-01 17:24:28,0x6f15f8e9344f258b61a9a476adb6f7075e1bca75728e2c25071ec707db63eacc,5,0xe6cd43861d26110f2a07cd16d7d7d6657b81eebfaceb03693219343403a0c698,0x0000000000000000000000000000000000000000,0xce84867c3c02b05dc570d0135103d3fb9cc19433,0x991374765b146dcd1e86488ca17dcf0e344bac6b,2.1174242604157332e+18,Uniswap V2,UNI-V2,18,145,187398,477000000000,137362,9475424,deprecated,4407493
4,10776807,2020-09-01 18:02:33,0x9bbc86610f810060c16532f44405a6e4fe3f3fbc5a08b80b0ae0de2d06fa318c,8,0xa45f7f2b58be40b710d02e2745e44f0f6f161521b4cc5f58a91f2a9bcc17929c,0x991374765b146dcd1e86488ca17dcf0e344bac6b,0xce84867c3c02b05dc570d0135103d3fb9cc19433,0xc2edad668740f1aa35e4d8f227fb8e17dca888cd,2.1174242604157332e+18,Uniswap V2,UNI-V2,18,142,212403,479000000000,73078,9164769,deprecated,4407326
5,10811441,2020-09-07 01:02:48,0xd3ab6ab9cabf295a08e8c9b76bdcff0df8febee4e17617d9cc13ee75eb20bde3,10,0xade1fb65afcb41847fae59936c6a449280a0b5b836c11ec733535288bd70ef55,0xa478c2975ab1ea89e8196811f51a7b7ade33eb11,0x6b175474e89094c44da98b954eedeac495271d0f,0x991374765b146dcd1e86488ca17dcf0e344bac6b,3e+20,Dai Stablecoin,DAI,18,96,161199,80000001459,133277,9755319,deprecated,4372692
6,10811458,2020-09-07 01:06:00,0x332f1ffda58d5554998c05585288516628078b22dafe6f7c1aa71c672ffa2f37,11,0x09cd1f3c5ff27f4986de1e90084ba4dc09694d6bc239e6926778c1d4bed20584,0x991374765b146dcd1e86488ca17dcf0e344bac6b,0x6b175474e89094c44da98b954eedeac495271d0f,0x6e9f00d72761739b75f1653797d2454d1f70a5ef,3e+20,Dai Stablecoin,DAI,18,96,57207,80000000000,37006,7601092,deprecated,4372675
7,10851512,2020-09-13 04:36:54,0xd1fb8fdb18b1585f9f50f1104df464c0954d54bdee54b32fba2eaafb473b7667,50,0x0e6af010d1a4f5343fee84f94b107a4d11398a4d33a51ed2d5446365e45f4137,0x7599b69ab2b7c6cc6dbaf2f9cb0496b120b5ad03,0x6b3595068778dd592e39a122f4f5a5cf09c90fe2,0x991374765b146dcd1e86488ca17dcf0e344bac6b,3.35775e+17,SushiToken,SUSHI,18,38,61402,124800000000,36169,1703445,deprecated,4332621
8,10858268,2020-09-14 05:30:13,0xd1416e4199c60478102b5a310a329dd3a676dddeab502abafce9947a46a961a1,0,0x44196c08a4e15678c897f7432e9cec9e946a2b8fcc5e350001e514505108891a,0xae47b1ba3cfaf07848e68ec1eae2d2ef2d859ef6,0x6b175474e89094c44da98b954eedeac495271d0f,0x991374765b146dcd1e86488ca17dcf0e344bac6b,3.1876799573e+20,Dai Stablecoin,DAI,18,155,200000,149000000000,37030,4850289,deprecated,4325865
9,10858376,2020-09-14 05:52:45,0xc80746f4b1cc649685057ddfd964830b053ed3aef682167a5a3396dbd541a48b,15,0x992833a9215badb044079e33c548a71bb8761aa777c6b9bc804802645d30225c,0x991374765b146dcd1e86488ca17dcf0e344bac6b,0x6b175474e89094c44da98b954eedeac495271d0f,0xacd43e627e64355f1861cec6d3a6688b31a6f952,1.593839e+20,Dai Stablecoin,DAI,18,93,668605,138000000000,445737,5218337,deprecated,4325757
