,blockNumber,timeStamp,hash,nonce,blockHash,from,contractAddress,to,value,tokenName,tokenSymbol,tokenDecimal,transactionIndex,gas,gasPrice,gasUsed,cumulativeGasUsed,input,confirmations
0,10678406,2020-08-17 15:43:33,0xebefd9fb1ff936c7e28caaa3d430cbc5d6f233071ea550e143b09e0db9106522,2621836,0x3ce94fb0676f8700ca5c983ea04bd3ac90481180a50006036a094e668f3d9dce,0x0681d8db095565fe8a346fa0277bffde9c0edbbf,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0x9aeae1f0072effa929b3e2770dff62653ec3096b,20000000000.0,USD Coin,USDC,6,53,207128,190000000000,58013,1851181,deprecated,4505590
1,10774966,2020-09-01 11:19:27,0x8e2b4bbd464d2e1421352a7976c5aeebb8156d96f092c768689679ed89b85604,298817,0x2697b7342210054c80f26fa7c89e93c57a2635965d29da9c20601f832ce851d3,0x2faf487a4414fe77e2327f0bf4ae2a264a776ad2,0x6b3595068778dd592e39a122f4f5a5cf09c90fe2,0x9aeae1f0072effa929b3e2770dff62653ec3096b,1.249125e+20,SushiToken,SUSHI,18,201,79417,570000000000,51181,10119835,deprecated,4409030
2,10774968,2020-09-01 11:20:54,0x85b2b9acbb320f276299e49e850b3a434ef7a49f7fa3fbfea413fcd30b33b61e,5050770,0xafee133fe508c5a0efa1d69cba66b69a013b78fbad3b872c74d00f16d49b6ad5,0x3f5ce5fbfe3e9af3971dd833d26ba9b5c936f0be,0x6b3595068778dd592e39a122f4f5a5cf09c90fe2,0x9aeae1f0072effa929b3e2770dff62653ec3096b,9e+18,SushiToken,SUSHI,18,101,174826,572000000000,36157,3310687,deprecated,4409028
3,10775027,2020-09-01 11:32:00,0x4b1bafa7a71010cd9760130e85a7b10b85f9f646aaec9ef085c81ac949fcc751,5050973,0x61e10a97c1cd6ac3f36e46f2483c389f4b735397af41729d632ad522e267e51f,0x3f5ce5fbfe3e9af3971dd833d26ba9b5c936f0be,0x6b3595068778dd592e39a122f4f5a5cf09c90fe2,0x9aeae1f0072effa929b3e2770dff62653ec3096b,3.89e+20,SushiToken,SUSHI,18,47,179857,556000000000,36169,2001389,deprecated,4408969
4,10775071,2020-09-01 11:39:04,0xc370a0ded8869b0873bb00db68b4a3605e16e828dbf0385ca90cf9d159baffd9,6,0xc4a1d003b43289cf7758ce1bad69786b455ed3e4f725867e9159fa032fee0aaa,0x9aeae1f0072effa929b3e2770dff62653ec3096b,0x6b3595068778dd592e39a122f4f5a5cf09c90fe2,0xce84867c3c02b05dc570d0135103d3fb9cc19433,5.229125e+20,SushiToken,SUSHI,18,114,187437,490000000000,141916,5882615,deprecated,4408925
5,10775071,2020-09-01 11:39:04,0xc370a0ded8869b0873bb00db68b4a3605e16e828dbf0385ca90cf9d159baffd9,6,0xc4a1d003b43289cf7758ce1bad69786b455ed3e4f725867e9159fa032fee0aaa,0x0000000000000000000000000000000000000000,0xce84867c3c02b05dc570d0135103d3fb9cc19433,0x9aeae1f0072effa929b3e2770dff62653ec3096b,7.672166740661684e+19,Uniswap V2,UNI-V2,18,114,187437,490000000000,141916,5882615,deprecated,4408925
6,10775084,2020-09-01 11:42:34,0xbb815e7b34e085406c596029ea2d828c83cfbdbd41f987e83116d9ce93baf1c7,8,0x2b5f70551da6026c05a3fc8fb7c31524c9c36342510325a898166ccaaa162e40,0x9aeae1f0072effa929b3e2770dff62653ec3096b,0xce84867c3c02b05dc570d0135103d3fb9cc19433,0xc2edad668740f1aa35e4d8f227fb8e17dca888cd,7.672166740661684e+19,Uniswap V2,UNI-V2,18,264,212421,450000000000,73090,12045952,deprecated,4408912
7,10776723,2020-09-01 17:42:47,0xe2e65db4086c15096d650062e168a6c138668ea1253c26f10d67369d5aa24155,9,0x8aef6a7f2d3e70648a7d81260c41ccf16a1d1f02b293ca6e7c972d25c49042d6,0xce84867c3c02b05dc570d0135103d3fb9cc19433,0x6b3595068778dd592e39a122f4f5a5cf09c90fe2,0x9aeae1f0072effa929b3e2770dff62653ec3096b,2.281527963479524e+20,SushiToken,SUSHI,18,76,151565,476000000000,112409,6095229,deprecated,4407273
8,10776772,2020-09-01 17:55:06,0x0798ca4aa69bcf10d080fb8d63bc31b12337191c2d5a186211df0c803c5b8e8c,11,0xb6cfe37b8e5eea846701ea9bd9d549dc59f5e18e031c5c8e6cc2c7797be1ac09,0xc4da39e646e7f5d233b89ca0f7b75344e7ddb2cc,0x1e18821e69b9faa8e6e75dffe54e7e25754beda0,0x9aeae1f0072effa929b3e2770dff62653ec3096b,2.7768425205820536e+20,KIMCHI.finance,KIMCHI,18,153,151440,479000000000,112297,9205655,deprecated,4407224
9,10776822,2020-09-01 18:04:57,0x16d3711de069eaca06cb2159847a2267f0bd5fbbf1a39de1953bc62865a37a4a,15,0x8d7be4272de8924f446e1e776183a30d6673a482259be4d87b679107952c0b56,0x9aeae1f0072effa929b3e2770dff62653ec3096b,0x1e18821e69b9faa8e6e75dffe54e7e25754beda0,0xc4da39e646e7f5d233b89ca0f7b75344e7ddb2cc,2.7646159036214857e+20,KIMCHI.finance,KIMCHI,18,98,178750,490000000000,137223,7143707,deprecated,4407174
