,blockNumber,timeStamp,hash,nonce,blockHash,from,contractAddress,to,value,tokenName,tokenSymbol,tokenDecimal,transactionIndex,gas,gasPrice,gasUsed,cumulativeGasUsed,input,confirmations
0,10771236,2020-08-31 21:36:03,0x2c32557f5b537649ede5624828a3bd4e12f3659d6f9492dcfdb6b7fbe7fde86a,1,0x918e54d706e7f2640ee83f4d15f91697d92138a1c8f758101b5cafe4f307fc4f,0xcb4f983e705caeb7217c5c3785001cb138115f0b,0x45f24baeef268bb6d63aee5129015d69702bcdfa,0x9aebe60b7171321ab1ad0010ca4496907f64a182,2e+18,YFValue,YFV,18,80,173301,148000000000,132263,6301456,deprecated,4413158
1,10771464,2020-08-31 22:24:09,0x661c471dcb87f27303e014b1d5e192de0fc77e895ba7dbf9f2ab0f2a2ed71a8f,3,0xa65705a62a0a755ddbc2d25988147e7ecbf5d49625adf3415052b099d44de5e8,0x6e07a1c50d4db0979a0a65bc8b13744a8a1501de,0xcee1d3c3a02267e37e6b373060f79d5d7b9e1669,0x9aebe60b7171321ab1ad0010ca4496907f64a182,1e+18,yffi.finance,YFFI,18,132,160007,187000000000,132193,11652963,deprecated,4412930
2,10789903,2020-09-03 18:21:05,0x11e1d4f5cec34008bfb78c5cb8d3c1fbbc66a1ec1fd0033a5c65f2ba52663bf0,6,0x61a9bd347cf39875aa96b69b592d606df6493041208c1d598cc945e8d24fc5bc,0x9aebe60b7171321ab1ad0010ca4496907f64a182,0xcee1d3c3a02267e37e6b373060f79d5d7b9e1669,0x6e07a1c50d4db0979a0a65bc8b13744a8a1501de,1e+18,yffi.finance,YFFI,18,161,154957,341000000377,112604,12364421,deprecated,4394491
3,10790190,2020-09-03 19:27:43,0x17be55d538e413a50db2e113a39482db0918a1a66a9ab39a7847d212b5ac570d,8,0x4b213a6db2f87d167ea15b20c52343a2cf8efa08ea4d15eeaff9a8d893a26e0b,0x9aebe60b7171321ab1ad0010ca4496907f64a182,0x45f24baeef268bb6d63aee5129015d69702bcdfa,0xd397de4de360d7f8b273fd3c32a13d1b4fab4823,0.0,YFValue,YFV,18,29,41484,431000000000,27656,1767334,deprecated,4394204
4,10885948,2020-09-18 11:43:57,0x5b496786d3c706336d9f6451742a5dd9955fd44f1c8dc8d9ccaf4682bd0d5dd5,9,0x3109b9c9deea98505f2d569a4a6fce6799b7ae54ca73ff943e5bd3c9e0ea1a40,0x090d4613473dee047c3f2706764f49e0821d256e,0x1f9840a85d5af5bf1d1762f925bdaddc4201f984,0x9aebe60b7171321ab1ad0010ca4496907f64a182,4e+20,Uniswap,UNI,18,162,90018,205000000000,81835,10503205,deprecated,4298446
5,10890311,2020-09-19 03:48:48,0xe209346fe05b84d3e4e58db5358bc27562c689b8177b99eb21e4842ad6bc5042,10,0xf0883cdd66129d3e3f8252c85f9ca55ae3eb7379e695fd45e5a5fe043303a53a,0x9aebe60b7171321ab1ad0010ca4496907f64a182,0x1f9840a85d5af5bf1d1762f925bdaddc4201f984,0x42e0ef5fe1d1daa1163ed40675817e59d03f181d,0.0,Uniswap,UNI,18,115,48033,132000000000,32022,8620493,deprecated,4294083
6,10890349,2020-09-19 03:55:50,0x20413e2a3e2525cf1098c63dd605dbc4d60f5236f15ba02aa40b47fb26cd9680,11,0x386f0a483497400e38e022b223b108a8d15af6fe7d40f65b61c8c0a249248258,0x9aebe60b7171321ab1ad0010ca4496907f64a182,0x1f9840a85d5af5bf1d1762f925bdaddc4201f984,0x42e0ef5fe1d1daa1163ed40675817e59d03f181d,4e+20,Uniswap,UNI,18,73,83259,130000000000,40506,3473984,deprecated,4294045
7,10903533,2020-09-21 04:14:22,0x210107403db5f33b65fd110e29c0ddc46ff45288807ffe103c60ce32d9c105f2,12,0x1cddd8c1b495cb01984a04a26db20ab56e237125dde433043a76d6c2857df1bd,0x9aebe60b7171321ab1ad0010ca4496907f64a182,0x45f24baeef268bb6d63aee5129015d69702bcdfa,0xd58b1b5d2148f744e9eb3a87f20bebf3ca5f8974,2e+18,YFValue,YFV,18,107,247573,105000001235,168639,6862534,deprecated,4280861
8,10981139,2020-10-03 05:42:42,0x1032e42ebe6f2dc570ad0ee2d897b5fbf5f3219d39dcce369d429f5b1d2af5d2,14,0x3156e4661b9c64b50e33e3119c62fd21e4d178484eb187fc2d68b498060f69da,0x85609c626b532ca8bea6c36be53afdcb15dd4a48,0x3383c5a8969dc413bfddc9656eb80a1408e4ba20,0x9aebe60b7171321ab1ad0010ca4496907f64a182,1.0201568473325472e+21,Wrapped ANATHA,wANATHA,18,18,172162,37000001459,130840,7469592,deprecated,4203255
9,10981299,2020-10-03 06:19:41,0x0db47b06ccb7fb30a9addb507a696e7421a0395f7b7a6be03b0e3f208035b819,19,0x03138b9e2eb653097cca46bd8775d2e1c51bfa1617addae303b5b890d447367f,0x2b08ae74c7363091273ac07dac551cb0bc74572f,0x1117daa9e43afd7b8fa6b3e02ded4c7a1a695ead,0x9aebe60b7171321ab1ad0010ca4496907f64a182,1e+18,Investigate Andre Cronje,IAC,18,105,161398,49000000000,121442,6647516,deprecated,4203095
10,10981326,2020-10-03 06:25:58,0xd21389fc3843c98c220daa2449c4316b328dca4fed36b315d8498926a7296e35,20,0xf7c16fdaf3f972e461790719ffa7003b23e39e7a661812031b4ede99095d4cfa,0x85609c626b532ca8bea6c36be53afdcb15dd4a48,0x3383c5a8969dc413bfddc9656eb80a1408e4ba20,0x9aebe60b7171321ab1ad0010ca4496907f64a182,3.7617612256199144e+21,Wrapped ANATHA,wANATHA,18,40,155400,37000001459,103824,2286185,deprecated,4203068
11,10982416,2020-10-03 10:19:38,0xff9c31cca047b21f33c567acfae73657b0a5836deb7421373689ae08ac8a3d87,25,0xa71514ca6b85abc276089b4ef2dbf49a4b86e3582f9b9cb1e89aab02ec3d5248,0x9aebe60b7171321ab1ad0010ca4496907f64a182,0x1117daa9e43afd7b8fa6b3e02ded4c7a1a695ead,0x2b08ae74c7363091273ac07dac551cb0bc74572f,1e+18,Investigate Andre Cronje,IAC,18,136,168122,40000000000,112557,11702310,deprecated,4201978
12,10985022,2020-10-03 20:14:46,0xdb51dd7f192e77a22542da9cc31077e403d63e2726bffbdc741e9079239cef0e,27,0xbaff0e1543344559e34dfa0484928f5dc4b007d8651cbc51f4581bed8a4d7728,0x9aebe60b7171321ab1ad0010ca4496907f64a182,0x3383c5a8969dc413bfddc9656eb80a1408e4ba20,0x85609c626b532ca8bea6c36be53afdcb15dd4a48,4.781918072952461e+21,Wrapped ANATHA,wANATHA,18,141,162063,42000000000,107048,11531411,deprecated,4199372
