,blockNumber,timeStamp,hash,nonce,blockHash,from,contractAddress,to,value,tokenName,tokenSymbol,tokenDecimal,transactionIndex,gas,gasPrice,gasUsed,cumulativeGasUsed,input,confirmations
0,10725188,2020-08-24 20:17:45,0x06743cdf94346b10520fa11b5a8ac6d5059a980a9f1a9adc56db0eb2c767bb93,91913,0x347a5a4c07501ab49075547bfa8bab25d39a17e223517d216c26f9987a186cda,0x72e5263ff33d2494692d7f94a758aa9f82062f73,0xdac17f958d2ee523a2206206994597c13d831ec7,0x9afb428a224051ac0104b5de4377293149bbe054,270721143.0,Tether USD,USDT,6,167,82418,72000000000,56209,11961763,deprecated,4459328
1,10726206,2020-08-24 23:46:52,0xc90429614c7c41703d864b8c931f432cba85e800fadc12374bd0475893f5f1c8,2224291,0x72866249530301e0334b39c0020856becd1136ca27f45432e756ad4cacedbafb,0x2b5634c42055806a59e9107ed44d43c426e58258,0x84ca8bc7997272c7cfb4d0cd3d55cd942b3c9419,0x9afb428a224051ac0104b5de4377293149bbe054,5.91531e+19,DIAToken,DIA,18,18,126729,77900000000,51330,1074935,deprecated,4458310
2,10739929,2020-08-27 02:36:36,0x425670b7867f440246f8996221884da314a064234e9b280e06e6267f3abc44f4,0,0xc852f8e78eb4a2864b188350caec0627feb21684a1a2032769dc2c15db9ea149,0x9afb428a224051ac0104b5de4377293149bbe054,0x84ca8bc7997272c7cfb4d0cd3d55cd942b3c9419,0x4a44e44350074d0dbde12fe354a697ebfc1a6aec,5.91531e+19,DIAToken,DIA,18,145,66729,84000000000,36330,7740402,deprecated,4444587
3,10760714,2020-08-30 06:53:47,0xf6cfc3c9bc85f5e32cf631f59ad00fb30cb34e412a3ea802827ab9405ec0265e,1,0x830a6d84180b25cb140374501d47f94715573e154614f84eaf245082fdf4e4a0,0xb469899812f74ee43bffe2d2022590111da86425,0x9a7a4c141a3bcce4a31e42c1192ac6add35069b4,0x9afb428a224051ac0104b5de4377293149bbe054,56667860812990.0,Momentum,XMM,10,161,205449,160000000000,160628,9694584,deprecated,4423802
4,10763723,2020-08-30 18:06:54,0xaa841e0f0b9c8f741bf11f8bdae6da825511b7ab16352fb4ab1147310de01fec,2,0xeca1ce495d7a5cd1cc13c4cd05557e37cecdb76b16674f069045d8507d2a3b0f,0x374fd7802c9d350e1a83042f2a8ee3fdb2f6260c,0xdf5e0e81dff6faf3a7e52ba697820c5e32d806a8,0x9afb428a224051ac0104b5de4377293149bbe054,5.061518921467116e+19,Curve.fi yDAI/yUSDC/yUSDT/yTUSD,yDAI+yUSDC+yUSDT+yTUSD,18,13,127178,243000000000,109983,12401299,deprecated,4420793
5,10878110,2020-09-17 06:40:52,0x0549976d2ee59a1d5abfa731b47d32e9e5910c7353973fbb6ab7edfe88f1e399,4,0x964bd51987d879aa84c2e297cf5678498b3fb31b8e84ff76f3443f65f2050190,0x090d4613473dee047c3f2706764f49e0821d256e,0x1f9840a85d5af5bf1d1762f925bdaddc4201f984,0x9afb428a224051ac0104b5de4377293149bbe054,4e+20,Uniswap,UNI,18,278,90040,550000000000,81855,10210122,deprecated,4306406
6,10878256,2020-09-17 07:14:03,0x1d80766625ff46be40696273b745ca1e6b6b1f06af987162982f886eb6638da5,6,0x04e12e23a5a3b1d96ae7abf5b784cf3fe85c1cce55e6b1cb2b661ff480853aa9,0x9afb428a224051ac0104b5de4377293149bbe054,0x1f9840a85d5af5bf1d1762f925bdaddc4201f984,0x8524f7e5e7abaa84b9ce987b9993fa00d8c1c4c6,2.29e+20,Uniswap,UNI,18,199,72142,550000000000,55494,10638076,deprecated,4306260
7,10953182,2020-09-28 20:49:20,0x542f4bbe6614b58dfad06c81b0969492b02a56a8156c63e96d254f3107c39fee,7,0x6f8983572660823c5e322a1432e5b3ecd23e6848501bf4a27e8e8aed4fc92630,0xf4eda77f0b455a12f3eb44f8653835f377e36b76,0xf4eda77f0b455a12f3eb44f8653835f377e36b76,0x9afb428a224051ac0104b5de4377293149bbe054,1000000000.0,TIKTOK COIN,TIKTOK,0,174,74018,86000000000,73018,12380865,deprecated,4231334
8,10953183,2020-09-28 20:49:30,0x2678501eb839d51833b70295ec85a4ef13ac78fb76105d0f906e226bcfd180a7,8,0xb2ff315bf6d1fbedb8e44c9dfc3a3f3fcd10e22f9993d91a50a65f1e52a80156,0xf4eda77f0b455a12f3eb44f8653835f377e36b76,0xf4eda77f0b455a12f3eb44f8653835f377e36b76,0x9afb428a224051ac0104b5de4377293149bbe054,25000000.0,TIKTOK COIN,TIKTOK,0,34,76384,88000000000,60384,2705474,deprecated,4231333
9,10953277,2020-09-28 21:12:40,0x290e7c4e58417c21e458fc652d525c92795075102d9db344f88f127324455c48,9,0x49320b5cf3647e43c6769d0c3215bc9bb7a6a95a03a25c4cb2342e451d5532dc,0xf4eda77f0b455a12f3eb44f8653835f377e36b76,0xf4eda77f0b455a12f3eb44f8653835f377e36b76,0x9afb428a224051ac0104b5de4377293149bbe054,25000000.0,TIKTOK COIN,TIKTOK,0,82,61384,90000000000,60384,12086390,deprecated,4231239
10,10953278,2020-09-28 21:12:48,0xae976918d1ec479ccfa8877c4e590a51d06687dc35e42eb90363e7e29bc59f5e,10,0x2991ecb19e6d28082ece210f6cdc33bbdf8c72ab8b1944e8365dd502d0de4f2b,0xf4eda77f0b455a12f3eb44f8653835f377e36b76,0xf4eda77f0b455a12f3eb44f8653835f377e36b76,0x9afb428a224051ac0104b5de4377293149bbe054,25000000.0,TIKTOK COIN,TIKTOK,0,24,61384,90000000000,60384,2573985,deprecated,4231238
11,10953282,2020-09-28 21:13:02,0xa049ae037fc14b2868d730020c5a536a7dcb29ce50d42c1d9ea1d02d44ac0e90,11,0xf4323d1e3c61006fdc711ae0f5e2712d0c574e2f99df2cb495e55be188252ddb,0xf4eda77f0b455a12f3eb44f8653835f377e36b76,0xf4eda77f0b455a12f3eb44f8653835f377e36b76,0x9afb428a224051ac0104b5de4377293149bbe054,25000000.0,TIKTOK COIN,TIKTOK,0,73,61384,90000000000,60384,6234163,deprecated,4231234
12,10953286,2020-09-28 21:13:27,0x5d922b43954393a6dbaa8618d830da93391a47391b5fc8ad0dc9a333d57d3ff8,12,0x1bba091f28d2a3c4985bbea7c21a37ec06e445b37efae27c53a79343889dd369,0xf4eda77f0b455a12f3eb44f8653835f377e36b76,0xf4eda77f0b455a12f3eb44f8653835f377e36b76,0x9afb428a224051ac0104b5de4377293149bbe054,25000000.0,TIKTOK COIN,TIKTOK,0,14,61384,90000000000,60384,1159367,deprecated,4231230
13,11004149,2020-10-06 19:52:10,0x4b4c6833af5e8cca2284bc537f55ad12ba1be5df5c4791f3417739049795fa3b,13,0x159c7961d82c9b91d2c384245bc156dcdb03213c6f46e57e12ddb611eda5e8f0,0x9afb428a224051ac0104b5de4377293149bbe054,0xdac17f958d2ee523a2206206994597c13d831ec7,0x8524f7e5e7abaa84b9ce987b9993fa00d8c1c4c6,270721143.0,Tether USD,USDT,6,141,53556,209000000000,26197,12416427,deprecated,4180367
14,11014369,2020-10-08 10:21:59,0xf8b0a9e06b5863b395ec330a97a3c7293c71276bb7d9ca1353771a40d98e8996,0,0x6161321640eac11fff8baa0b9aaf12abd16d6465cbf617cda344964230c11819,0x6732b8f6c78e24d443c51e0496b4aee80bdd18d4,0x5d0fa08aeb173ade44b0cf7f31d506d8e04f0ac8,0x9afb428a224051ac0104b5de4377293149bbe054,1.0079264059143252e+20,360APP,DAPP,18,185,138695,59000000000,106689,10639334,deprecated,4170147
