,blockNumber,timeStamp,hash,nonce,blockHash,from,contractAddress,to,value,tokenName,tokenSymbol,tokenDecimal,transactionIndex,gas,gasPrice,gasUsed,cumulativeGasUsed,input,confirmations
0,10769719,2020-08-31 16:16:57,0x9239499a1cb08f76c09f07bbfe7494298924f194d1ed924e69a148f563ef9f82,2,0x930775cd0bb020eb4f34c21b95760e9693f75377e97da5ce5ab043a235ae9bb9,0xf80758ab42c3b07da84053fd88804bcb6baa4b5c,0x57ab1ec28d129707052df4df418d58a2d46d5f51,0x9cab931359f7c8b65e7e359f491ef83db2ab1aa7,4.6421868239131214e+20,Synth sUSD,sUSD,18,106,222272,293000000000,187700,9628979,deprecated,4414570
1,10769914,2020-08-31 16:58:41,0xef80d52f27d59d1ecc70e64596342e67e3a767f77fc0bc03c1aea892c961d31a,5,0x214032c6fee99272ae304ecfdbf2e297eaf1b1a27e20b39376da243e12266e86,0x9cab931359f7c8b65e7e359f491ef83db2ab1aa7,0x57ab1ec28d129707052df4df418d58a2d46d5f51,0xf80758ab42c3b07da84053fd88804bcb6baa4b5c,5e+19,Synth sUSD,sUSD,18,128,286447,299000000000,249871,11992364,deprecated,4414375
2,10769914,2020-08-31 16:58:41,0xef80d52f27d59d1ecc70e64596342e67e3a767f77fc0bc03c1aea892c961d31a,5,0x214032c6fee99272ae304ecfdbf2e297eaf1b1a27e20b39376da243e12266e86,0xc07eb527b62a7d09160262d6c728c8ba105c4f6e,0x29428639d889fa989405ee9baf3ba088e6994edc,0x9cab931359f7c8b65e7e359f491ef83db2ab1aa7,1.7452649866378637e+17,$BASED,$BASED,18,128,286447,299000000000,249871,11992364,deprecated,4414375
3,10769934,2020-08-31 17:02:00,0x6ea8be69c1f48ac2681d7918b29cf264e6f8cfa0bb61ee7d93393c4f10a1518a,7,0x15ee566aaaf9952e2b5d6f898048308adf4d3f783f7fb7a709b15f76057db104,0x9cab931359f7c8b65e7e359f491ef83db2ab1aa7,0x57ab1ec28d129707052df4df418d58a2d46d5f51,0x0f3331fa5c383a43e1b6c678dd5e33ad4a3b1bc3,2e+20,Synth sUSD,sUSD,18,70,197756,299000000000,173517,4849950,deprecated,4414355
4,10769934,2020-08-31 17:02:00,0x6ea8be69c1f48ac2681d7918b29cf264e6f8cfa0bb61ee7d93393c4f10a1518a,7,0x15ee566aaaf9952e2b5d6f898048308adf4d3f783f7fb7a709b15f76057db104,0x0f3331fa5c383a43e1b6c678dd5e33ad4a3b1bc3,0x29428639d889fa989405ee9baf3ba088e6994edc,0x9cab931359f7c8b65e7e359f491ef83db2ab1aa7,5.557240588746142e+17,$BASED,$BASED,18,70,197756,299000000000,173517,4849950,deprecated,4414355
5,10769952,2020-08-31 17:05:15,0xa672467990914b907b5fea45340dd50def716e541f1d47c12a98c82fea5f150b,8,0xf5c745bffbf3070477d48276e7864d1cdc45fa902eae812815bc415cb5846ed7,0x9cab931359f7c8b65e7e359f491ef83db2ab1aa7,0x57ab1ec28d129707052df4df418d58a2d46d5f51,0xf80758ab42c3b07da84053fd88804bcb6baa4b5c,1.07e+20,Synth sUSD,sUSD,18,173,269684,297000000000,222855,12038039,deprecated,4414337
6,10769952,2020-08-31 17:05:15,0xa672467990914b907b5fea45340dd50def716e541f1d47c12a98c82fea5f150b,8,0xf5c745bffbf3070477d48276e7864d1cdc45fa902eae812815bc415cb5846ed7,0xc07eb527b62a7d09160262d6c728c8ba105c4f6e,0x29428639d889fa989405ee9baf3ba088e6994edc,0x9cab931359f7c8b65e7e359f491ef83db2ab1aa7,3.1134799683454944e+17,$BASED,$BASED,18,173,269684,297000000000,222855,12038039,deprecated,4414337
7,10769957,2020-08-31 17:06:18,0xf74a3067ac3ca527f4aa7cee67a6c53001194ae49861ecb1942728cc27e376ef,9,0x92e0f742dc9bc76cca72075e96043ba3214c62d8f6bb80331cac618341e21d1a,0x9cab931359f7c8b65e7e359f491ef83db2ab1aa7,0x57ab1ec28d129707052df4df418d58a2d46d5f51,0xf80758ab42c3b07da84053fd88804bcb6baa4b5c,1.0721868239131212e+20,Synth sUSD,sUSD,18,162,265091,296000000000,207879,11682341,deprecated,4414332
8,10769957,2020-08-31 17:06:18,0xf74a3067ac3ca527f4aa7cee67a6c53001194ae49861ecb1942728cc27e376ef,9,0x92e0f742dc9bc76cca72075e96043ba3214c62d8f6bb80331cac618341e21d1a,0xc07eb527b62a7d09160262d6c728c8ba105c4f6e,0x29428639d889fa989405ee9baf3ba088e6994edc,0x9cab931359f7c8b65e7e359f491ef83db2ab1aa7,3.9192168921535974e+17,$BASED,$BASED,18,162,265091,296000000000,207879,11682341,deprecated,4414332
9,10770194,2020-08-31 18:00:25,0x89e6844f32a884ef616a7609b797fe735b385b60190f256195fb34ade3f0ccf2,11,0x356d13673593e9c96d4667abea6aebf2b1f027c92ffa46dc65260ecf844eb52c,0xcb4f983e705caeb7217c5c3785001cb138115f0b,0x45f24baeef268bb6d63aee5129015d69702bcdfa,0x9cab931359f7c8b65e7e359f491ef83db2ab1aa7,6.15806528132628e+18,YFValue,YFV,18,192,151421,301000000000,124296,8827542,deprecated,4414095
10,10880993,2020-09-17 17:13:02,0xc8d1ea9580b4d9b8209b8f2073154b60cc5c3e3f5b7f848d208108ea956273ac,12,0xcd91f13b1c207ef834a911fb9a8a2aea71a12101c9bb638a6cf99ca9757fafb5,0x090d4613473dee047c3f2706764f49e0821d256e,0x1f9840a85d5af5bf1d1762f925bdaddc4201f984,0x9cab931359f7c8b65e7e359f491ef83db2ab1aa7,4e+20,Uniswap,UNI,18,23,90022,600000000000,81839,1798073,deprecated,4303296
11,10925852,2020-09-24 14:23:51,0xb6d33be598051ed34826c79d56e7cbc9db5b8fe4faa24e633a2e7ebe893e494c,14,0xf450bbbdc4d48bc23f7db720d659ccbb60f1c7fa62bc2ac4f81bd25b46874b89,0x9cab931359f7c8b65e7e359f491ef83db2ab1aa7,0x29428639d889fa989405ee9baf3ba088e6994edc,0x4f14faf21c28b3e9fb178e8c785d5ae5cf9789f0,1.4335202435883098e+18,$BASED,$BASED,18,136,140475,99000000000,78650,8785469,deprecated,4258437
12,10925852,2020-09-24 14:23:51,0xb6d33be598051ed34826c79d56e7cbc9db5b8fe4faa24e633a2e7ebe893e494c,14,0xf450bbbdc4d48bc23f7db720d659ccbb60f1c7fa62bc2ac4f81bd25b46874b89,0x4f14faf21c28b3e9fb178e8c785d5ae5cf9789f0,0x68a118ef45063051eac49c7e647ce5ace48a68a5,0x9cab931359f7c8b65e7e359f491ef83db2ab1aa7,1.4335202435883098e+18,$BASED,$BASED,18,136,140475,99000000000,78650,8785469,deprecated,4258437
13,10971588,2020-10-01 17:45:14,0x1401ac363c3d6426f183eac6973fddaaf6563f19d078e480af0f519ebf5fc339,16,0xb2bceb0f797ea88f63eb89ef59d50b9516df3d6df196b06ec2ead44160370b50,0x9cab931359f7c8b65e7e359f491ef83db2ab1aa7,0x1f9840a85d5af5bf1d1762f925bdaddc4201f984,0xd3d2e2692501a5c9ca623199d38826e513033a17,4e+20,Uniswap,UNI,18,53,165463,220000000000,110139,4858115,deprecated,4212701
