,blockNumber,timeStamp,hash,nonce,blockHash,from,contractAddress,to,value,tokenName,tokenSymbol,tokenDecimal,transactionIndex,gas,gasPrice,gasUsed,cumulativeGasUsed,input,confirmations
0,10656732,2020-08-14 07:14:53,0xce3353e77bdfa08bbb49cb2b7338ab07c43abffc5f69112ba6d82d3d1585f706,351500,0xb2a43a0c3ab7f04f8624fbe8e806a453ada3b5d761ef8a65f25c8106bd8b8e17,0x5041ed759dd4afc3a72b8192c143f72f4724081a,0xdac17f958d2ee523a2206206994597c13d831ec7,0x9d9d422f92b7198c07c7f8e57e9cf3c9821dc791,100000000.0,Tether USD,USDT,6,152,420000,300000000000,56197,10035382,deprecated,4527759
1,10656936,2020-08-14 07:59:17,0xb3c57b91d8070736f3c1503fb6a206087f8bd3e05b8d4053112ca4c737de10a9,351696,0x53e41c31804a31f9ce3111ca3920684f7024cf55a9bd9ebfdb57b124dab4b8e7,0x5041ed759dd4afc3a72b8192c143f72f4724081a,0xdac17f958d2ee523a2206206994597c13d831ec7,0x9d9d422f92b7198c07c7f8e57e9cf3c9821dc791,11056381000.0,Tether USD,USDT,6,195,420000,298000000000,41221,11091089,deprecated,4527555
2,10656989,2020-08-14 08:10:34,0xdbbf9544a828060ceefa496a03a74cd464cb64c44fdf1eb0d655cea8e9d89022,3,0x0e6d57ff0570c2a4d1014a5c93bcdc6e0f538ca7ed6a020c51d57b18bf2c3290,0x9d9d422f92b7198c07c7f8e57e9cf3c9821dc791,0xdac17f958d2ee523a2206206994597c13d831ec7,0xbbc81d23ea2c3ec7e56d39296f0cbb648873a5d3,11156380000.0,Tether USD,USDT,6,120,1496102,300100000000,753186,9904310,deprecated,4527502
3,10656989,2020-08-14 08:10:34,0xdbbf9544a828060ceefa496a03a74cd464cb64c44fdf1eb0d655cea8e9d89022,3,0x0e6d57ff0570c2a4d1014a5c93bcdc6e0f538ca7ed6a020c51d57b18bf2c3290,0xbbc81d23ea2c3ec7e56d39296f0cbb648873a5d3,0xdf5e0e81dff6faf3a7e52ba697820c5e32d806a8,0x9d9d422f92b7198c07c7f8e57e9cf3c9821dc791,1.0632543795879147e+22,Curve.fi yDAI/yUSDC/yUSDT/yTUSD,yDAI+yUSDC+yUSDT+yTUSD,18,120,1496102,300100000000,753186,9904310,deprecated,4527502
4,10656999,2020-08-14 08:12:52,0x825776c5a28599b8831b5510576f5438322c917dfde91412fd6e03d4c443f5d1,5,0xe2cf4c265ede834de946f54ca499fd36ca7db625b867a165b1f7320682ce59d2,0x9d9d422f92b7198c07c7f8e57e9cf3c9821dc791,0xdf5e0e81dff6faf3a7e52ba697820c5e32d806a8,0xfa712ee4788c042e2b7bb55e6cb8ec569c4530c1,1.063254e+22,Curve.fi yDAI/yUSDC/yUSDT/yTUSD,yDAI+yUSDC+yUSDT+yTUSD,18,160,500000,264106000000,227588,9230006,deprecated,4527492
5,10657153,2020-08-14 08:49:14,0x825a819f85e3cb4590aebe3e63d1ca4f6c43b71b4137805259baa7a43690b9f9,351867,0x16039060c03ec72ad8e106dcedf6afb3d7d09b852954095f454c004237728c23,0x5041ed759dd4afc3a72b8192c143f72f4724081a,0xdac17f958d2ee523a2206206994597c13d831ec7,0x9d9d422f92b7198c07c7f8e57e9cf3c9821dc791,95606012000.0,Tether USD,USDT,6,194,420000,294000000000,41221,10464667,deprecated,4527338
6,10657180,2020-08-14 08:58:05,0x1d63481438ef35f5ee64521f3f8f2cf3e5226b6fd8e673555c073846d872619c,7,0x8a120566e22362ef8f12eaadea8e0eefc1838586f885c99cff5af0140153eff6,0x9d9d422f92b7198c07c7f8e57e9cf3c9821dc791,0xdac17f958d2ee523a2206206994597c13d831ec7,0xbbc81d23ea2c3ec7e56d39296f0cbb648873a5d3,95606010000.0,Tether USD,USDT,6,198,1496102,283080000000,738186,10949240,deprecated,4527311
7,10657180,2020-08-14 08:58:05,0x1d63481438ef35f5ee64521f3f8f2cf3e5226b6fd8e673555c073846d872619c,7,0x8a120566e22362ef8f12eaadea8e0eefc1838586f885c99cff5af0140153eff6,0xbbc81d23ea2c3ec7e56d39296f0cbb648873a5d3,0xdf5e0e81dff6faf3a7e52ba697820c5e32d806a8,0x9d9d422f92b7198c07c7f8e57e9cf3c9821dc791,9.106966161199009e+22,Curve.fi yDAI/yUSDC/yUSDT/yTUSD,yDAI+yUSDC+yUSDT+yTUSD,18,198,1496102,283080000000,738186,10949240,deprecated,4527311
8,10657187,2020-08-14 09:00:16,0xb28b179d66e283f804b6fd3d92c71899fd75d7d73f04ff5e22169de1d2ecc2e5,9,0xb59571f67e0b3bb951a44de667807c2d6fa6bfa877a38dd781343a77ca8d5f59,0x9d9d422f92b7198c07c7f8e57e9cf3c9821dc791,0xdf5e0e81dff6faf3a7e52ba697820c5e32d806a8,0xfa712ee4788c042e2b7bb55e6cb8ec569c4530c1,9.106966540786923e+22,Curve.fi yDAI/yUSDC/yUSDT/yTUSD,yDAI+yUSDC+yUSDT+yTUSD,18,122,500000,255810000000,171812,6499672,deprecated,4527304
9,10663468,2020-08-15 08:03:12,0xc7e94044075e474f62781470403fe2c1bc6a57e6f94b49917d7c05cd8b83f8bd,10,0x02316476871675f46cc7a3aa354948bac936054cf1f8e20fe49a7d72d8416a87,0x0000000000000000000000000000000000000000,0xd533a949740bb3306d119cc777fa900ba034cd52,0x9d9d422f92b7198c07c7f8e57e9cf3c9821dc791,1.1512747596416872e+20,Curve DAO Token,CRV,18,93,299497,113030000000,210227,8370902,deprecated,4521023
10,10663486,2020-08-15 08:07:47,0xb226af95a57cbe7236e6b822902624d0919d69e5c1f17ed64165ea19a528acca,11,0x3a0a219582e23d249a5e77f05ba87036fcfe78e8bfa1a441361e9bb717be078b,0x9d9d422f92b7198c07c7f8e57e9cf3c9821dc791,0xd533a949740bb3306d119cc777fa900ba034cd52,0x832bd83353893974f6252889ab8bc6ffa8233bde,1.15e+20,Curve DAO Token,CRV,18,99,50825,122000000000,50825,6555567,deprecated,4521005
11,10664154,2020-08-15 10:37:12,0x6bf399d4f55207edd4da6c85b7c66ba1eb55db3eeb266af52d6bc6aab1ab2fb0,12,0x573e89a669beb6eb681030457c105d7dcf03b6b8556394bf75483fa951ca0c8e,0x0000000000000000000000000000000000000000,0xd533a949740bb3306d119cc777fa900ba034cd52,0x9d9d422f92b7198c07c7f8e57e9cf3c9821dc791,1.0103770948299831e+19,Curve DAO Token,CRV,18,81,299497,115000000000,180227,4113148,deprecated,4520337
12,10664165,2020-08-15 10:39:53,0xdb4d1b566126e510106465ba4294715f09d675ba1e0c3476f5aeeb15206729fb,13,0x677138328ac4e4c59a08183263fab788ac54f48fc3ca9c807aeb7c69315767fd,0xfa712ee4788c042e2b7bb55e6cb8ec569c4530c1,0xdf5e0e81dff6faf3a7e52ba697820c5e32d806a8,0x9d9d422f92b7198c07c7f8e57e9cf3c9821dc791,1.0170220540786923e+23,Curve.fi yDAI/yUSDC/yUSDT/yTUSD,yDAI+yUSDC+yUSDT+yTUSD,18,50,1500000,115000000000,163283,2331477,deprecated,4520326
13,10664215,2020-08-15 10:51:51,0x68452430112b1ffdeecfb7bd74d9c57fed84f8c7aa8c9afce95ae8f2ddd591ff,15,0x383fd75723d8931fb74436783132389aa8093f9df092b97f5732e0cea3ec822d,0x9d9d422f92b7198c07c7f8e57e9cf3c9821dc791,0xdf5e0e81dff6faf3a7e52ba697820c5e32d806a8,0xbbc81d23ea2c3ec7e56d39296f0cbb648873a5d3,1.0170220540786923e+23,Curve.fi yDAI/yUSDC/yUSDT/yTUSD,yDAI+yUSDC+yUSDT+yTUSD,18,93,2500000,108096000000,1070870,6083354,deprecated,4520276
14,10664215,2020-08-15 10:51:51,0x68452430112b1ffdeecfb7bd74d9c57fed84f8c7aa8c9afce95ae8f2ddd591ff,15,0x383fd75723d8931fb74436783132389aa8093f9df092b97f5732e0cea3ec822d,0xbbc81d23ea2c3ec7e56d39296f0cbb648873a5d3,0xdac17f958d2ee523a2206206994597c13d831ec7,0x9d9d422f92b7198c07c7f8e57e9cf3c9821dc791,106724698636.0,Tether USD,USDT,6,93,2500000,108096000000,1070870,6083354,deprecated,4520276
15,10664269,2020-08-15 11:04:50,0x75f3c77649f156a5dd374599fc7d0e2193998bb1383300430a7f86d6438b97c3,16,0xf20eb08dd35754d0ffed85155f7ea63e175ea3220e001ffba0ae135076fef7af,0x9d9d422f92b7198c07c7f8e57e9cf3c9821dc791,0xdac17f958d2ee523a2206206994597c13d831ec7,0x11b3de44a0838451d23a693ccc52acfc595e3fad,21000000000.0,Tether USD,USDT,6,70,41209,90000000000,41209,7924850,deprecated,4520222
16,10664281,2020-08-15 11:06:55,0xf9cd355bb40857847f1406d8a2f73215d9618ed52f8ca586a0c8075f173449a5,17,0x442305bc2e60981f43e3927e0356fc713f6fa939f42219ad4cabadc26e6a24f5,0x9d9d422f92b7198c07c7f8e57e9cf3c9821dc791,0xdac17f958d2ee523a2206206994597c13d831ec7,0x9f6a2878efff2293d502a2ba0f3b0362f43eb45a,85624701636.0,Tether USD,USDT,6,155,56221,90000000000,56221,9318236,deprecated,4520210
17,10736754,2020-08-26 14:57:29,0x9a51729d51af35bee43794784267f051c26e35f35aed6febe461dc014b2f7e55,390340,0xb666e737be190ffc0dbdd80885be2e076f8e38653f72452b33f5ed0cde6e3447,0x5041ed759dd4afc3a72b8192c143f72f4724081a,0xdac17f958d2ee523a2206206994597c13d831ec7,0x9d9d422f92b7198c07c7f8e57e9cf3c9821dc791,10000000.0,Tether USD,USDT,6,70,420000,120000000000,41197,4262102,deprecated,4447737
18,10736787,2020-08-26 15:04:54,0xb8aa8736dc5c56684b6795023a26a46021208b563bceba6b6240209a335875bd,390356,0x332a1263fdfdaa6e4f698db37d196589f10cca3066bd1662272c011553ab14e1,0x5041ed759dd4afc3a72b8192c143f72f4724081a,0xdac17f958d2ee523a2206206994597c13d831ec7,0x9d9d422f92b7198c07c7f8e57e9cf3c9821dc791,402665300000.0,Tether USD,USDT,6,57,420000,112000000000,41221,1873812,deprecated,4447704
19,10736805,2020-08-26 15:09:21,0x9ae207d09ea28fc5a93cf674fed1c56e84bfad1852fdf547809363795d767a6e,19,0x30ae58d8899e5cfd1199f2daf254fb611d8cd489cf1483b39c22bdb275a3cb7b,0x9d9d422f92b7198c07c7f8e57e9cf3c9821dc791,0xdac17f958d2ee523a2206206994597c13d831ec7,0xbbc81d23ea2c3ec7e56d39296f0cbb648873a5d3,402775300000.0,Tether USD,USDT,6,89,1496102,94000000000,738186,7307446,deprecated,4447686
20,10736805,2020-08-26 15:09:21,0x9ae207d09ea28fc5a93cf674fed1c56e84bfad1852fdf547809363795d767a6e,19,0x30ae58d8899e5cfd1199f2daf254fb611d8cd489cf1483b39c22bdb275a3cb7b,0xbbc81d23ea2c3ec7e56d39296f0cbb648873a5d3,0xdf5e0e81dff6faf3a7e52ba697820c5e32d806a8,0x9d9d422f92b7198c07c7f8e57e9cf3c9821dc791,3.8316015069260394e+23,Curve.fi yDAI/yUSDC/yUSDT/yTUSD,yDAI+yUSDC+yUSDT+yTUSD,18,89,1496102,94000000000,738186,7307446,deprecated,4447686
