,blockNumber,timeStamp,hash,nonce,blockHash,from,contractAddress,to,value,tokenName,tokenSymbol,tokenDecimal,transactionIndex,gas,gasPrice,gasUsed,cumulativeGasUsed,input,confirmations
0,10781419,2020-09-02 11:03:08,0x3f550ec44fc6e1bd79c5a8c4bf17f53879b4f3497d04550eff0d5ea05c439380,126,0xdc21bad9c09c6f1e596a131628f00c22640eee948f22212aac2dda5f54a80449,0x00f30ccc812f8bcfc30c3c7a927e41dfe0865a92,0x6b3595068778dd592e39a122f4f5a5cf09c90fe2,0x9e98bd387d741e7e10a2c24df67a8c745118a0f8,1.037296118753271e+21,SushiToken,SUSHI,18,131,76789,375000000000,36193,9238199,deprecated,4402503
1,10781433,2020-09-02 11:05:49,0x3da21ca50bc86622ba8c70a1b816c85b91e1632b22fabc6dc410a59d39897c66,0,0xb52079eca310e373c0b25990794a44659ffe105d0d84525ed372b8d25538463d,0x9dd5b5c71842a4fd51533532e5470298bfa398fd,0x1e18821e69b9faa8e6e75dffe54e7e25754beda0,0x9e98bd387d741e7e10a2c24df67a8c745118a0f8,0.0,KIMCHI.finance,KIMCHI,18,55,160309,375000000000,55295,10583789,deprecated,4402489
2,10781433,2020-09-02 11:05:49,0x3da21ca50bc86622ba8c70a1b816c85b91e1632b22fabc6dc410a59d39897c66,0,0xb52079eca310e373c0b25990794a44659ffe105d0d84525ed372b8d25538463d,0x9dd5b5c71842a4fd51533532e5470298bfa398fd,0xc8d02f2669ef9aabe6b3b75e2813695aed63748d,0x9e98bd387d741e7e10a2c24df67a8c745118a0f8,0.0,Uniswap V2,UNI-V2,18,55,160309,375000000000,55295,10583789,deprecated,4402489
3,10781940,2020-09-02 12:59:53,0xdebf59c058fe882218b500a46effe1a2628ba0bd284b0e95bfda8e588cd2b7e9,4,0xdb41d21bd0c5babf36f5e96dac945d48fa50cbbce83501e0d158632b25e1a018,0x9e98bd387d741e7e10a2c24df67a8c745118a0f8,0xc8d02f2669ef9aabe6b3b75e2813695aed63748d,0x9dd5b5c71842a4fd51533532e5470298bfa398fd,0.0,Uniswap V2,UNI-V2,18,90,64707,420000000000,43138,7910035,deprecated,4401982
4,10781955,2020-09-02 13:02:59,0x9560cf1af404c6ef60669a1027a85dedf14361bcc82f268b43b9f6d9880663dd,12,0x50a6c56b52f0af6df7648b22c5ae6f9e034078a0e476ae40f7232b6a57ce978d,0x9e98bd387d741e7e10a2c24df67a8c745118a0f8,0x6b3595068778dd592e39a122f4f5a5cf09c90fe2,0xc8d02f2669ef9aabe6b3b75e2813695aed63748d,4.3e+20,SushiToken,SUSHI,18,153,144246,433000000000,124767,9402215,deprecated,4401967
5,10781955,2020-09-02 13:02:59,0x9560cf1af404c6ef60669a1027a85dedf14361bcc82f268b43b9f6d9880663dd,12,0x50a6c56b52f0af6df7648b22c5ae6f9e034078a0e476ae40f7232b6a57ce978d,0xc8d02f2669ef9aabe6b3b75e2813695aed63748d,0x1e18821e69b9faa8e6e75dffe54e7e25754beda0,0x9e98bd387d741e7e10a2c24df67a8c745118a0f8,5.6579020716197275e+20,KIMCHI.finance,KIMCHI,18,153,144246,433000000000,124767,9402215,deprecated,4401967
6,10782031,2020-09-02 13:17:56,0x5b5a370dbbaae2ced09831711e91f59cc4d4aa502a15ffdcc866f385e5d47b89,14,0x71831a439eb14cb03a2ba34064206feb158ce59ce1d075344c9539bdc7b193ce,0x9e98bd387d741e7e10a2c24df67a8c745118a0f8,0x1e18821e69b9faa8e6e75dffe54e7e25754beda0,0xc8d02f2669ef9aabe6b3b75e2813695aed63748d,5.6579020716197275e+20,KIMCHI.finance,KIMCHI,18,145,172054,433000000000,134829,10400763,deprecated,4401891
7,10782031,2020-09-02 13:17:56,0x5b5a370dbbaae2ced09831711e91f59cc4d4aa502a15ffdcc866f385e5d47b89,14,0x71831a439eb14cb03a2ba34064206feb158ce59ce1d075344c9539bdc7b193ce,0x9e98bd387d741e7e10a2c24df67a8c745118a0f8,0x6b3595068778dd592e39a122f4f5a5cf09c90fe2,0xc8d02f2669ef9aabe6b3b75e2813695aed63748d,4.3211946462978225e+20,SushiToken,SUSHI,18,145,172054,433000000000,134829,10400763,deprecated,4401891
8,10782031,2020-09-02 13:17:56,0x5b5a370dbbaae2ced09831711e91f59cc4d4aa502a15ffdcc866f385e5d47b89,14,0x71831a439eb14cb03a2ba34064206feb158ce59ce1d075344c9539bdc7b193ce,0x0000000000000000000000000000000000000000,0xc8d02f2669ef9aabe6b3b75e2813695aed63748d,0x9e98bd387d741e7e10a2c24df67a8c745118a0f8,4.882429904150022e+20,Uniswap V2,UNI-V2,18,145,172054,433000000000,134829,10400763,deprecated,4401891
9,10782036,2020-09-02 13:18:49,0xa52de1eb1155d4175236e679ced85dc0449d733c9439b5a4247c69340e48b9e2,15,0x75c29984a7ca768679633d2d5c46b1adb095eaa8fb005a660f604fb089b488b2,0x9e98bd387d741e7e10a2c24df67a8c745118a0f8,0xc8d02f2669ef9aabe6b3b75e2813695aed63748d,0x9dd5b5c71842a4fd51533532e5470298bfa398fd,4.882429904150012e+20,Uniswap V2,UNI-V2,18,101,218767,440000000000,94267,6870090,deprecated,4401886
10,10782176,2020-09-02 13:50:05,0xcf07ca90dc2ca0ad746c50362fab3fe4d951a57f88ff1a02214e05f932f27eec,131,0x25f43b2508bbc4e3c06e96572c9ce54c233f77d73edcc9a908a0acddc3b46a50,0x00f30ccc812f8bcfc30c3c7a927e41dfe0865a92,0x514910771af9ca656af840dff83e8264ecf986ca,0x9e98bd387d741e7e10a2c24df67a8c745118a0f8,1.178003e+21,ChainLink Token,LINK,18,138,77401,433000000000,36601,11374959,deprecated,4401746
11,10782203,2020-09-02 13:54:35,0xbcc33dbbba75d754bf253ebde5f9998233cf0f9c33e2dc65ab8fa92b37dbe300,17,0x7b978a522bf9e361d95c7aaf3dfd7bad89d48b83b25c2131d775ae690708b052,0x9e98bd387d741e7e10a2c24df67a8c745118a0f8,0x514910771af9ca656af840dff83e8264ecf986ca,0xa2107fa5b38d9bbd2c461d6edf11b11a50f6b974,1.1766251558322611e+21,ChainLink Token,LINK,18,54,190513,433000000000,147723,3697670,deprecated,4401719
12,10782203,2020-09-02 13:54:35,0xbcc33dbbba75d754bf253ebde5f9998233cf0f9c33e2dc65ab8fa92b37dbe300,17,0x7b978a522bf9e361d95c7aaf3dfd7bad89d48b83b25c2131d775ae690708b052,0x0000000000000000000000000000000000000000,0xa2107fa5b38d9bbd2c461d6edf11b11a50f6b974,0x9e98bd387d741e7e10a2c24df67a8c745118a0f8,1.860855876269014e+20,Uniswap V2,UNI-V2,18,54,190513,433000000000,147723,3697670,deprecated,4401719
13,10782221,2020-09-02 13:57:13,0xd85eb60efd9ab330fb073216f48c321c4c801fa94e86d5d26b56241c16d68572,19,0x446b7763cfad78e4d2ccc031a52ca392b853794102cfd570c2799fc72855e64f,0x9e98bd387d741e7e10a2c24df67a8c745118a0f8,0xa2107fa5b38d9bbd2c461d6edf11b11a50f6b974,0xc2ee3304e1029bb79a6da41113aa0452481ec59a,1.860855876269004e+20,Uniswap V2,UNI-V2,18,149,212818,425000000000,141879,9854466,deprecated,4401701
14,10782411,2020-09-02 14:35:43,0x0a9d996edd2412381f178113ed124bc6062d7446ffae3ecb192ef7e903ba3489,21,0xb53641635ac586ee9e6e9aa9a3c0893f34e44ef524c407948d6b921b788e5deb,0xc2ee3304e1029bb79a6da41113aa0452481ec59a,0x420ab548b18911717ed7c4ccbf46371ea758458c,0x9e98bd387d741e7e10a2c24df67a8c745118a0f8,1.4491476711998336e+20,NOODLE.Finance,NOODLE,18,113,200365,433000000000,133577,8386124,deprecated,4401511
15,10782411,2020-09-02 14:35:43,0x0a9d996edd2412381f178113ed124bc6062d7446ffae3ecb192ef7e903ba3489,21,0xb53641635ac586ee9e6e9aa9a3c0893f34e44ef524c407948d6b921b788e5deb,0x9e98bd387d741e7e10a2c24df67a8c745118a0f8,0xa2107fa5b38d9bbd2c461d6edf11b11a50f6b974,0xc2ee3304e1029bb79a6da41113aa0452481ec59a,0.0,Uniswap V2,UNI-V2,18,113,200365,433000000000,133577,8386124,deprecated,4401511
