,blockNumber,timeStamp,hash,nonce,blockHash,from,contractAddress,to,value,tokenName,tokenSymbol,tokenDecimal,transactionIndex,gas,gasPrice,gasUsed,cumulativeGasUsed,input,confirmations
0,10763187,2020-08-30 16:13:15,0xdb5f89bac79b0eccf9fb326b30f4aa41bdf258988f8359d91260af2d839b0924,3,0x224916e056dc131b46092f8fdc6b13795aa24f64f03b9d7ef803b2329e86ded3,0x596f7383223db0d484fd220d0ab036e042bafea4,0x25377ddb16c79c93b0cbf46809c8de8765f03fcd,0x9ec229b777a75cfaa082c22c5471289ab70902d5,4.326656936534253e+19,Synthetic CBDAO,SBREE,18,50,166175,240000000000,125483,6097459,deprecated,4421205
1,10877323,2020-09-17 03:51:19,0x17fcd8da5cc01e27be138430a4c3276098cfbfa42a5fbcea5f964dc6f8874ed9,11,0x047fd0dcf876e8cf77378de9ee1e6f730f54485eed205e7dbcff81b10315290e,0x090d4613473dee047c3f2706764f49e0821d256e,0x1f9840a85d5af5bf1d1762f925bdaddc4201f984,0x9ec229b777a75cfaa082c22c5471289ab70902d5,4e+20,Uniswap,UNI,18,187,90007,600000000000,81825,9391937,deprecated,4307069
2,10877343,2020-09-17 03:56:26,0x8a22b331f5668e7ce2ccd3c08bb910277dd6f5512f76735ff0d7ae90588fdd11,12,0x91ae892151acef3aacb5c3cf99103141817dd3a51aafcc40ba84f862b2c237ea,0x9ec229b777a75cfaa082c22c5471289ab70902d5,0x1f9840a85d5af5bf1d1762f925bdaddc4201f984,0x6253515b06d5e65921ee72b9677bf48a0669be6b,4e+20,Uniswap,UNI,18,43,120000,800000000000,40506,2472238,deprecated,4307049
3,10884878,2020-09-18 07:46:26,0x9494099d5366e50cafef94e7adc673c38424684643defb0e736a1181af27ae8c,13,0x4813beb23022beaa31796216983dfe66dc4e8e997b91097b5c915cbb1286a177,0x9ec229b777a75cfaa082c22c5471289ab70902d5,0x25377ddb16c79c93b0cbf46809c8de8765f03fcd,0x596f7383223db0d484fd220d0ab036e042bafea4,4.326656936534253e+19,Synthetic CBDAO,SBREE,18,43,169400,467000001561,113718,1581451,deprecated,4299514
4,10950528,2020-09-28 10:41:44,0xab4f4ae0417a50254bf8de648d6139fab324c050b01c11ed6e324a590d1ec505,15,0x1d72e439ba221d5c6fd397b0461b41f3d186f465ff5ab633569547d2b176ef11,0x0d4a11d5eeaac28ec3f61d100daf4d40471f1852,0xdac17f958d2ee523a2206206994597c13d831ec7,0x9ec229b777a75cfaa082c22c5471289ab70902d5,698302736.0,Tether USD,USDT,6,22,158241,172000001561,130397,937290,deprecated,4233864
5,11048281,2020-10-13 16:06:52,0x0eb01c48c22e115227f52e814c604bbdd90764eb44b160963071056fef84ac21,17,0x2fa7fb15cc85684855b71254779448aee56cc6eaf087244602bd316f1ec6368d,0x1d4b2b2a2ca8762410801b51f128b73743439e39,0x9ceb84f92a0561fa3cc4132ab9c0b76a59787544,0x9ec229b777a75cfaa082c22c5471289ab70902d5,1.1822862556503579e+19,DokiDokiFinance,DOKI,18,42,157689,107000001561,129905,3102195,deprecated,4136111
6,11048367,2020-10-13 16:25:57,0xd41110057b351ec20315df99f570472d06d27dda71a7b51a3053c1ba041579c7,18,0xe116507af60fba5f2c123c8603bfcafd8341b71c2d1c6b48850c51a147da8321,0x9ec229b777a75cfaa082c22c5471289ab70902d5,0x9ceb84f92a0561fa3cc4132ab9c0b76a59787544,0x56ffed78de4467c30563b5871213690befb5e200,1.18228e+19,DokiDokiFinance,DOKI,18,158,60000,95000001561,56608,6939929,deprecated,4136025
7,11051365,2020-10-14 03:25:51,0x1c3dae93f1294c3f4d0e256a9e471c71a27542ed6dddc728ec5f4960e1ce221a,9,0xa689248bbd9fb2db6bd72da5b372ff1da324ddbe06297c1d51c2559e81adfeb5,0x56ffed78de4467c30563b5871213690befb5e200,0x9ceb84f92a0561fa3cc4132ab9c0b76a59787544,0x9ec229b777a75cfaa082c22c5471289ab70902d5,1.298320168725309e+19,DokiDokiFinance,DOKI,18,17,62466,80000000000,26644,2038485,deprecated,4133027
8,11051390,2020-10-14 03:32:13,0x17a4a28189d357323c6c516894c1a02e6b16ed9fbdee18a435df39cd4ba598bd,22,0xf9368b6bddcbb22fe08129ddc0414dfa472fcabad638f6d82f0fd1fa028bd54d,0x9ec229b777a75cfaa082c22c5471289ab70902d5,0x9ceb84f92a0561fa3cc4132ab9c0b76a59787544,0x1d4b2b2a2ca8762410801b51f128b73743439e39,1.2983264243756669e+19,DokiDokiFinance,DOKI,18,92,161100,58300000233,118189,4641441,deprecated,4133002
9,11183979,2020-11-03 11:36:10,0x5a3b77c51a3bcd8fd38fb523f5dc5509f67ff551a1eb90ef6b67040a97006dec,13,0x915119c0636ced235f3345e7a0768d4ea42210e126bd1b7bddd13ff634878925,0xad0f78f617f69d0389de1801f8e6f9b9d6959287,0x1dd80016e3d4ae146ee2ebb484e8edd92dacc4ce,0x9ec229b777a75cfaa082c22c5471289ab70902d5,5e+22,Lead Token,LEAD,18,88,70421,25000000000,54170,7041717,deprecated,4000413
