,blockNumber,timeStamp,hash,nonce,blockHash,from,contractAddress,to,value,tokenName,tokenSymbol,tokenDecimal,transactionIndex,gas,gasPrice,gasUsed,cumulativeGasUsed,input,confirmations
0,6058979,2018-07-30 19:32:09,0x207330113398fd98da0d6b8b928b3d6d3ea3183efad3b4a604f6004ddc328169,129,0xa373e98d8e0b2e7c2bc82cca27d29df18e627635db332aeaf15aa8cebc91233a,0xdd8178dece993174ff4e4eb71f6df550e8877170,0x5f5d0767fb8ba2c2793bf7957993a63b5e67d92b,0xa1c4017c95126a5fdd58865e9fc01ccf3ee6051f,100.0,CryptoBots: Idle Token,CBIT,2,22,7165679,2100000000,7090679,7694804,deprecated,9124730
1,6089399,2018-08-04 23:09:13,0x90d439e704d8aa6506d84a4f7ef51e990c0ea7b8e70e579cc80efd2950977c53,191,0x2ceb2cd727c414eb921eb8b38df6bc84d0007fe16c6611126c55cac0c1d0b6d1,0xdd8178dece993174ff4e4eb71f6df550e8877170,0xfd79c2aa42ab4bfbd7c03c1e6866491172917b32,0xa1c4017c95126a5fdd58865e9fc01ccf3ee6051f,1.0,CryptoBotsBattle,CBTB,0,6,7220237,1110000000,7220237,7535020,deprecated,9094310
2,6122810,2018-08-10 14:32:35,0xe99bf1d900b5c67f892c47cecc54719797417eae144c32836950fc145a49ac91,15,0x32be45c87df99bf4c28d852c419a28c5fecb72726266d0f88ee6ab9808d5276e,0x0000000000000000000000000000000000000000,0x2c2391f793f4f81475d87fffe366458ce5380a13,0xa1c4017c95126a5fdd58865e9fc01ccf3ee6051f,16910.0,,,0,39,445141,10000000000,296761,7660009,deprecated,9060899
3,6122812,2018-08-10 14:32:43,0xc0ac22c2bae4c940b01a1f3e7bf9766aa85a6e8b259cc361089cb64ba2918180,16,0x39334ec41518a017deda96b03a76dac283a24e5885306cfad91f26086804b405,0x0000000000000000000000000000000000000000,0x2c2391f793f4f81475d87fffe366458ce5380a13,0xa1c4017c95126a5fdd58865e9fc01ccf3ee6051f,20124.0,,,0,48,429055,10000000000,271037,7516622,deprecated,9060897
4,7088836,2019-01-18 19:55:07,0xd45020f71712c7cfba79ccd89f0cad8d39e049cef48c9d41239027dc62205e48,270,0xca9f86532f90a474397aace5fe94245c487655155d2732cff162a1035e316600,0x3a7604dfa4523835f843199e3e7900e140666627,0x8888887c5ede327afbeb15019598aaa3b4fae759,0xa1c4017c95126a5fdd58865e9fc01ccf3ee6051f,10.0,Fomo2Moon,F2M,10,17,300000,3000000000,181401,3988142,deprecated,8094873
5,7088839,2019-01-18 19:55:51,0xe56d8cb63e5dd0c6465f0b7834f24be2651129b6ac4a8aaa7ab7a1439c53be63,271,0x5a3c0de18b8c3981cca9a27b225cf134762c636736ebdc6e6c149af7b7803adf,0x3a7604dfa4523835f843199e3e7900e140666627,0x3109da1ae5c609196e8b136a675114a7018e0cbf,0xa1c4017c95126a5fdd58865e9fc01ccf3ee6051f,10000010.0,Fomo2Moon,Fomo2Moon.io (Win ETH Fast),18,11,70000,3000000000,51650,1055578,deprecated,8094870
6,9274981,2020-01-13 21:05:47,0x898d89221522631164def1d42cb9483f82c26ef0f7ce67f7ca1a815de115db26,1068,0xdf5298cd8a9acd87f41a3044bbf6178acb9446a4364471613a18924e8125d24a,0x356df96ee0acceb74bd127390f376c6c09008e01,0x14409b0fc5c7f87b5dad20754fe22d29a3de8217,0xa1c4017c95126a5fdd58865e9fc01ccf3ee6051f,1.5e+21,PYRO Network,PYRO,18,3,7368999,5000000000,7368999,7485275,deprecated,5908728
7,10782100,2020-09-02 13:33:28,0x19fe02b28dc1a34b04817284dad8ffd59223256007ae472de56f94cce9bb00fc,20,0xc46ca945871b3a6dc7c6a76f4aac9d4373093137cff7703e1901563e7da3338d,0x9cc0cffcd643315ff561fbaed462a611775a10ed,0x420ab548b18911717ed7c4ccbf46371ea758458c,0xa1c4017c95126a5fdd58865e9fc01ccf3ee6051f,7.81937253798112e+20,NOODLE.Finance,NOODLE,18,256,151440,508200000000,112297,11876158,deprecated,4401609
8,10782170,2020-09-02 13:49:12,0x20132ece7271d38c6b9fa347dcc41425907f7f13d5f1b2fc3be599be96f05a8b,30,0x39335ad5b3f22c5eaecffcb56c4a77460ef5f62d1b42798043a42ca8c878927b,0xa1c4017c95126a5fdd58865e9fc01ccf3ee6051f,0x420ab548b18911717ed7c4ccbf46371ea758458c,0x9cc0cffcd643315ff561fbaed462a611775a10ed,7.81937253798112e+20,NOODLE.Finance,NOODLE,18,84,179088,520000000000,129725,4659168,deprecated,4401539
9,10782170,2020-09-02 13:49:12,0x20132ece7271d38c6b9fa347dcc41425907f7f13d5f1b2fc3be599be96f05a8b,30,0x39335ad5b3f22c5eaecffcb56c4a77460ef5f62d1b42798043a42ca8c878927b,0x0000000000000000000000000000000000000000,0x9cc0cffcd643315ff561fbaed462a611775a10ed,0xa1c4017c95126a5fdd58865e9fc01ccf3ee6051f,7.78123408142633e+19,Uniswap V2,UNI-V2,18,84,179088,520000000000,129725,4659168,deprecated,4401539
10,10782203,2020-09-02 13:54:35,0xde5547781251a8969ed3ded99ab75428a4d2c6d32834dacd65631876937f2240,32,0x7b978a522bf9e361d95c7aaf3dfd7bad89d48b83b25c2131d775ae690708b052,0xa1c4017c95126a5fdd58865e9fc01ccf3ee6051f,0x9cc0cffcd643315ff561fbaed462a611775a10ed,0xc2ee3304e1029bb79a6da41113aa0452481ec59a,7.78123408142623e+19,Uniswap V2,UNI-V2,18,125,212800,425000000000,91278,10217183,deprecated,4401506
11,10782797,2020-09-02 16:05:42,0x169e50f480ee73a7786bdce342e1671e882c1ab87f14405d63b63855c24a9004,33,0xc0bd007497d1ec11e9673f9f1b6fc410750a89b0c872f4f3ea292ae3a06d015b,0xc2ee3304e1029bb79a6da41113aa0452481ec59a,0x420ab548b18911717ed7c4ccbf46371ea758458c,0xa1c4017c95126a5fdd58865e9fc01ccf3ee6051f,4.361098580548066e+20,NOODLE.Finance,NOODLE,18,110,148323,500000000000,115271,8754683,deprecated,4400912
12,10782797,2020-09-02 16:05:42,0x169e50f480ee73a7786bdce342e1671e882c1ab87f14405d63b63855c24a9004,33,0xc0bd007497d1ec11e9673f9f1b6fc410750a89b0c872f4f3ea292ae3a06d015b,0xc2ee3304e1029bb79a6da41113aa0452481ec59a,0x9cc0cffcd643315ff561fbaed462a611775a10ed,0xa1c4017c95126a5fdd58865e9fc01ccf3ee6051f,7.78123408142623e+19,Uniswap V2,UNI-V2,18,110,148323,500000000000,115271,8754683,deprecated,4400912
13,10782834,2020-09-02 16:13:45,0x1be69ab7e91cbaf223a5428e12a336c6b4f5193eca4a010612e54f619370b689,34,0xd27c6a37b87125438d6cc7b301a843af1f7199d09670801953435cc85c90cdc8,0xa1c4017c95126a5fdd58865e9fc01ccf3ee6051f,0x9cc0cffcd643315ff561fbaed462a611775a10ed,0x9cc0cffcd643315ff561fbaed462a611775a10ed,7.703421740612067e+19,Uniswap V2,UNI-V2,18,192,283233,500000000000,174422,10031672,deprecated,4400875
