,blockNumber,timeStamp,hash,nonce,blockHash,from,contractAddress,to,value,tokenName,tokenSymbol,tokenDecimal,transactionIndex,gas,gasPrice,gasUsed,cumulativeGasUsed,input,confirmations
0,10774549,2020-09-01 09:45:04,0xb556f7bf16a01eb79adc22d4dcd118499a064d3734d3cab5e0fa9693493d52f0,3,0xea74e75fe9e8a5fe0eb04f1beb108b996c6a35d151eb688218bb1b423ca259c2,0x35ffd2d3aefef9d0d48a00f3e91a37ac77b1277d,0x219b417b2d6405aa6f2a4aec7a7ef6647918349f,0xa286568a667f31de534c2a39d24485b7da600ff4,1e+18,YearnFinance3,YF3,18,189,173732,483000000000,132655,7077968,deprecated,4409207
1,10781901,2020-09-02 12:52:59,0xfc31df0b8cfa012dacaa4a25821f77d14f83d8e2cdd9d08fe3e6cd5510a1b284,4,0x0843c9defe0ba782b740a8a501b8a5a917603c40785456e41d68973279c5128f,0x501e6621f0eff056345efd1d3ac4181ea01474ed,0x03829f5675f3b51d0f8c2a74417a757625acf22f,0xa286568a667f31de534c2a39d24485b7da600ff4,1.3289800635773722e+18,YFIBALANCER.FINANCE,YFIB,18,172,171763,530000000000,130484,8748545,deprecated,4401855
2,10782325,2020-09-02 14:19:34,0x6dbcc0f8221a09339fdb220f9b8348e0c1558a6b014e8f2a9178966ea526716b,5,0xd435d31e8af18550cbb9f161e96b8fdd80ecc92578d10c8bf81afa752871a6c9,0xa286568a667f31de534c2a39d24485b7da600ff4,0x03829f5675f3b51d0f8c2a74417a757625acf22f,0x718ce1fb7a54d9b4fb43514e194ee81ac42a181a,1.3289800635773722e+18,YFIBALANCER.FINANCE,YFIB,18,32,74445,523000000000,42266,1607504,deprecated,4401431
3,10881602,2020-09-17 19:23:24,0x29899dcfa208f4c5e75943ab1c062d963b5a916552dabc3230ac82d65efeb292,2887908,0x1ae7b83d9ecab79d436d279ab30b43b909258a9a181af01b1bb3d05c87832709,0xd551234ae421e3bcba99a0da6d736074f22192ff,0xdac17f958d2ee523a2206206994597c13d831ec7,0xa286568a667f31de534c2a39d24485b7da600ff4,12854942.0,Tether USD,USDT,6,83,168919,592000000000,56197,5760902,deprecated,4302154
4,10949483,2020-09-28 06:48:31,0x5656cd5575fe462c0a92beadd34ca1c6fb2242c9622fa3a3c8be1269a18eb7a5,8,0xa83be470853dd049b9401a7d515621319aa1e1f26a7a363683e9cfb01b5a0a4c,0xf4eda77f0b455a12f3eb44f8653835f377e36b76,0xf4eda77f0b455a12f3eb44f8653835f377e36b76,0xa286568a667f31de534c2a39d24485b7da600ff4,25000000.0,TIKTOK COIN,TIKTOK,0,108,63947,69000000000,62947,10409249,deprecated,4234273
5,10949491,2020-09-28 06:50:42,0x98535fad13d9a2744e7b050f4bd607428410678c1c04f96d6b5624303eaa806b,9,0x3098ffb18c29afaa3792251280e7ee405f842b6d381ca8a475fd7d3a38ec2ca6,0xf4eda77f0b455a12f3eb44f8653835f377e36b76,0xf4eda77f0b455a12f3eb44f8653835f377e36b76,0xa286568a667f31de534c2a39d24485b7da600ff4,1000000000.0,TIKTOK COIN,TIKTOK,0,124,49012,83000000000,48012,6644886,deprecated,4234265
6,10952023,2020-09-28 16:31:38,0xd5ff30d0af1ded2689daf603f74c50d0f7c9db3d299b53cc7f9aaeecbecbb2ee,10,0x1a94f29d3e494ff8b4b8d0028fe19a788dfc79ea036037a73d76bd9c11d41478,0x38f0cf58ce49907f746958fdee7bfa4dd9aaebc9,0x825130aa1beef07bdf4f389705321816d05b0d0f,0xa286568a667f31de534c2a39d24485b7da600ff4,4e+20,UNII,UNII,18,140,95751,163000000000,73655,8957918,deprecated,4231733
7,10997930,2020-10-05 20:37:51,0x88cb2419824e3008f3f4787685d3a247b0a7b686ca616711d08910f441e85d14,11,0x72ea921a99155ab8843c9d749db47dc3c301ba3020adcc6dfed47f1682eca4e9,0xa286568a667f31de534c2a39d24485b7da600ff4,0x5d0fa08aeb173ade44b0cf7f31d506d8e04f0ac8,0x3f3e909af27fd0506ee158d7414328842c430c3f,9.98589994287954e+22,360APP,DAPP,18,76,138711,49000000000,106701,7139073,deprecated,4185826
8,11022783,2020-10-09 18:12:33,0x03f8123f022b738ca5f8fceaa0adb24dc9a0559167417cd001f5830c53f4a216,13,0xa60d69ce30ec1585c5616980cca268fb1e658d73eaa069a9f8c1d3e09f84d2f7,0xa286568a667f31de534c2a39d24485b7da600ff4,0xdac17f958d2ee523a2206206994597c13d831ec7,0x526f373c3f3458a5352f02c38bb74a907c229ad5,12854942.0,Tether USD,USDT,6,89,53556,57000000000,26197,7322737,deprecated,4160973
9,11255708,2020-11-14 11:57:04,0x15c7c3c58e03e784c1f54c619cc1872ae0bda06c69085d7edf7dcd614c75c99a,18,0x492561ee248ca3e00a0afd24007b4549cb4b7920075268ea2a82b0aca109ce6a,0x9af7c46a4ebdfb1e11b5f94196c288c885f37bcd,0x9af7c46a4ebdfb1e11b5f94196c288c885f37bcd,0xa286568a667f31de534c2a39d24485b7da600ff4,5e+20,BakerKingSwap,BAKER,18,66,76664,17000000000,75665,6564656,deprecated,3928048
