,blockNumber,timeStamp,hash,nonce,blockHash,from,contractAddress,to,value,tokenName,tokenSymbol,tokenDecimal,transactionIndex,gas,gasPrice,gasUsed,cumulativeGasUsed,input,confirmations
0,10766168,2020-08-31 03:10:40,0xa35d8da5f8886b5d4384d416dc9ba50edb4990816164b0631d1bf2776a51faa1,4,0x8ac508d91abe27be6afe13c77568863d6ce3865bcdfe998aafa3804192583e62,0xf80758ab42c3b07da84053fd88804bcb6baa4b5c,0x57ab1ec28d129707052df4df418d58a2d46d5f51,0xa3f985b9e65dcd16cf944eea3023c78ce32d58b8,4.1431866387266843e+20,Synth sUSD,sUSD,18,147,240394,172000000000,179884,7501807,deprecated,4418462
1,10766172,2020-08-31 03:11:49,0xed9fbcd2811aa5d70632d9f8a894e57b39c52c2bd4906b195f07d7ef83a72f93,6,0x35f7d105f773c3cfaa00eccaac4c96ba4e15d5b5e79b39e97875ecdb547df6eb,0xf80758ab42c3b07da84053fd88804bcb6baa4b5c,0x57ab1ec28d129707052df4df418d58a2d46d5f51,0xa3f985b9e65dcd16cf944eea3023c78ce32d58b8,3.729116150332852e+20,Synth sUSD,sUSD,18,166,223632,173000000000,176900,8406209,deprecated,4418458
2,10766285,2020-08-31 03:36:23,0x640a51b2bbabd7f94b8427e99fef84654460858bc9592eb8ca1e1ec2c18cfe01,9,0x4d445cc14fad4e7d35b96d2bc32c3f32f4e49ac48f5731e6f218eb8c62b9bf5f,0xa3f985b9e65dcd16cf944eea3023c78ce32d58b8,0x57ab1ec28d129707052df4df418d58a2d46d5f51,0xf80758ab42c3b07da84053fd88804bcb6baa4b5c,7.802302789059536e+20,Synth sUSD,sUSD,18,48,279210,176000000000,243330,2296395,deprecated,4418345
3,10766285,2020-08-31 03:36:23,0x640a51b2bbabd7f94b8427e99fef84654460858bc9592eb8ca1e1ec2c18cfe01,9,0x4d445cc14fad4e7d35b96d2bc32c3f32f4e49ac48f5731e6f218eb8c62b9bf5f,0x8973be4402bf0a39448f419c2d64bd3591dd2299,0xa1d0e215a23d7030842fc67ce582a6afa3ccab83,0xa3f985b9e65dcd16cf944eea3023c78ce32d58b8,1.8312674717518157e+17,YFII.finance,YFII,18,48,279210,176000000000,243330,2296395,deprecated,4418345
4,10848833,2020-09-12 18:41:17,0x4a25f6568536f6fc87ed13c51cb7d83b0adcdc560d1411dadded508659a4e26b,10,0x97690cee769cca0915265d34eec8af1334185c2c32aab0adf77daad6903c5c4e,0xa3f985b9e65dcd16cf944eea3023c78ce32d58b8,0xa1d0e215a23d7030842fc67ce582a6afa3ccab83,0x6622cde6c883b089526cdb90b1caedd4da24579d,1.8312674717518157e+17,YFII.finance,YFII,18,70,66497,102000000000,36152,5341228,deprecated,4335797
5,10938911,2020-09-26 15:01:39,0xa023af737b20adcb4d32e7a2505ea65215c01152a6ba86b434c247b8742fc8a9,11,0xf6953ff8e5d556d619515d9a83446be10a7d94af4cbd408782d781d03af95f51,0x1d6432aefeae2c0ff1393120541863822a4e6fa7,0x28cb7e841ee97947a86b06fa4090c8451f64c0be,0xa3f985b9e65dcd16cf944eea3023c78ce32d58b8,1.4575927732998723e+17,YFLink,YFL,18,102,164836,93000000000,124284,7513649,deprecated,4245719
6,11883063,2021-02-18 20:52:51,0x27d647b2e029c27c2a316a3957dc0355e92eee3d1f97a5adaffe8bf74dd58d54,13,0xcf64bd2c7e6c0c5ba073a4222486c17345552034edd7cbfd26e4525c206ed929,0xa3f985b9e65dcd16cf944eea3023c78ce32d58b8,0x28cb7e841ee97947a86b06fa4090c8451f64c0be,0x1d6432aefeae2c0ff1393120541863822a4e6fa7,1.4575927732998723e+17,YFLink,YFL,18,131,216262,178000000000,171102,8850332,deprecated,3301567
7,11883063,2021-02-18 20:52:51,0x27d647b2e029c27c2a316a3957dc0355e92eee3d1f97a5adaffe8bf74dd58d54,13,0xcf64bd2c7e6c0c5ba073a4222486c17345552034edd7cbfd26e4525c206ed929,0x60b2cc2c6ecd3dd89b4fd76818ef83186e2f2931,0xa1faa113cbe53436df28ff0aee54275c13b40975,0xa3f985b9e65dcd16cf944eea3023c78ce32d58b8,3.2425006270906212e+19,AlphaToken,ALPHA,18,131,216262,178000000000,171102,8850332,deprecated,3301567
8,11897733,2021-02-21 02:57:21,0xbd78819ecb943a39d6edc262c1b9ffc1ee32025f625b967bd6c7d17e259c913f,15,0x285bda8f343d38a45be6fcd21b4ba51f13907368be1a41a10affb0d3e51479a3,0x090d4613473dee047c3f2706764f49e0821d256e,0x1f9840a85d5af5bf1d1762f925bdaddc4201f984,0xa3f985b9e65dcd16cf944eea3023c78ce32d58b8,4e+20,Uniswap,UNI,18,101,90009,145000000000,81827,5707822,deprecated,3286897
9,11897854,2021-02-21 03:27:11,0x43a7054ff71cb452a241aef6bf76d9ac3583da1312e0003adc1a04ecf1340051,19,0x1693f9bc3b62b0388bfb0fac927b8121d16cd1c4a5dde1b43fb0463f8c4a33af,0xa3f985b9e65dcd16cf944eea3023c78ce32d58b8,0x1f9840a85d5af5bf1d1762f925bdaddc4201f984,0x6622cde6c883b089526cdb90b1caedd4da24579d,1e+18,Uniswap,UNI,18,206,72142,132000000000,55494,12302938,deprecated,3286776
10,11897894,2021-02-21 03:34:23,0xb79f3d9ed751783bc53ba8645c942afbd7f10b9dd983160ebee6228c56d8828f,20,0xdb669440b8425a383d737370b8eb182deeb25ef7f67fe6a252784391e47399b2,0xa3f985b9e65dcd16cf944eea3023c78ce32d58b8,0x1f9840a85d5af5bf1d1762f925bdaddc4201f984,0x6622cde6c883b089526cdb90b1caedd4da24579d,3.99e+20,Uniswap,UNI,18,40,52657,118000000000,25506,2660417,deprecated,3286736
11,11911687,2021-02-23 06:36:08,0x6311c07339ff8580dbd7993a3784b32224e41cbb2970e0e4a06368707093c91e,21,0x5684c6be916447bc81751ed90529b1e5ef51f318d75671ef2122e32aa0703a7e,0xbf7045f6ea651abb04e96cba61adabe6d7bf0ee8,0x3c03b4ec9477809072ff9cc9292c9b25d4a8e6c6,0xa3f985b9e65dcd16cf944eea3023c78ce32d58b8,2.15e+20,PolkaCover,CVR,18,52,174375,298000000000,133239,2818634,deprecated,3272943
12,11923420,2021-02-25 01:35:53,0xd4c20c63719d7dc3102f9a99fcce3c1040bd682956bbf4b7d595b2a538669fde,22,0x2097b1c761931a2c7a5726058a3ee01435b901de56c5f5221b23c845b708de01,0x0f5a2eb364d8b722cba4e1e30e2cf57b6f515b2a,0xd084b83c305dafd76ae3e1b4e1f1fe2ecccb3988,0xa3f985b9e65dcd16cf944eea3023c78ce32d58b8,3.405353976224172e+20,Terra Virtua Kolect,TVK,18,103,166355,126000000000,125643,6184361,deprecated,3261210
13,11923445,2021-02-25 01:43:13,0x35089dba628f7879a1b32022d7107fc1c28066c0eea55ff55896d2b330102d62,28,0x46491fddeca054ba3367529ded96c7fdfad98e041d3e7aa1d51b9c01fa393bc8,0x25647e01bd0967c1b9599fa3521939871d1d0888,0xe53ec727dbdeb9e2d5456c3be40cff031ab40a55,0xa3f985b9e65dcd16cf944eea3023c78ce32d58b8,1.0702963170572773e+20,SuperFarm,SUPER,18,93,167022,141000000000,114224,4961061,deprecated,3261185
14,11923450,2021-02-25 01:44:23,0xa00ed8efea86d684829ae75fa10e642799bb8b6513edb96e0a3f867ff9150c38,29,0x90c69b736c89b1afef6901ed853d349807262ddaccd7728559ff10ab12191647,0xb9acb51416557ec55804d44eb3b11a819f11dd72,0x1dd80016e3d4ae146ee2ebb484e8edd92dacc4ce,0xa3f985b9e65dcd16cf944eea3023c78ce32d58b8,7.492916656360997e+21,Lead Token,LEAD,18,47,168401,141000000000,127475,2064283,deprecated,3261180
15,12054899,2021-03-17 07:45:16,0x8f7c4d10cc5eb8fba88c26d0ffd6d779b34d23392d8ad09313b136193aad0216,33,0xa2d31252d1c81f53ed6f3e46517587b81e7ac5a64781f7964322083ad0c80be8,0xa3f985b9e65dcd16cf944eea3023c78ce32d58b8,0xd084b83c305dafd76ae3e1b4e1f1fe2ecccb3988,0x6622cde6c883b089526cdb90b1caedd4da24579d,3.405353976224172e+20,Terra Virtua Kolect,TVK,18,237,78775,144000000000,37517,11222839,deprecated,3129731
16,12059489,2021-03-18 00:41:11,0xed57a3bc7575bb6ac3d35b5290dc4fbcc1800b918fb96e4ac4373bc8b83f14ed,35,0x86a9de1c9ca0619dc8f2990a027dbb9ee7fba98ef110475a6d6f5906458799f8,0x3aeee5ba053ef8406420dbc5801fc95ec57b0e0a,0x30f271c9e86d2b7d00a6376cd96a1cfbd5f0b9b3,0xa3f985b9e65dcd16cf944eea3023c78ce32d58b8,1.1978275946880004e+21,Decentr,DEC,18,155,166112,193000000000,125426,6852651,deprecated,3125141
17,12059639,2021-03-18 01:13:48,0xe6131cb3722880efd042f455417e3c8b7174f439787293ce9116f9314d015611,36,0x7ded373d5a8a989ee29e33b4465e055dda7e86f730e0cf370cce1915dec815db,0xfca090c1868004bec9c91f53db013288dc21c55b,0xea1ea0972fa092dd463f2968f9bb51cc4c981d71,0xa3f985b9e65dcd16cf944eea3023c78ce32d58b8,1.838790316841362e+20,Modefi,MOD,18,147,166179,164000000000,125485,6811192,deprecated,3124991
18,12059744,2021-03-18 01:35:07,0x3a2a0c00adf08ea868fa019039462615048b1618857f74315ac11fdf5c64c2e6,37,0x9c8df102de7d98ef1d5f50a32f6d3781e74bdd6add09ce66d3ab6ea497399f96,0xd0fbb87e47da9987d345dbdf3a34d4266cf5ebe9,0x3affcca64c2a6f4e3b6bd9c64cd2c969efd1ecbe,0xa3f985b9e65dcd16cf944eea3023c78ce32d58b8,5.9151548727582656e+22,DSLA,DSLA,18,179,173807,146000000000,132313,7952795,deprecated,3124886
19,12059766,2021-03-18 01:39:37,0x01a202acd2b86e9550e4893c4c2cbef8f492f78f155ec1ab4f87c8a2cdd7e804,38,0xd63688f32a8f364714029cd3a281565309230de62f89ac36a97dd45a8c6700af,0xf44e8ff3bb644479124e691bf572f7813a1bc499,0xfbbe9b1142c699512545f47937ee6fae0e4b0aa9,0xa3f985b9e65dcd16cf944eea3023c78ce32d58b8,7.282878368767189e+16,EDDA,EDDA,18,39,164941,148000000000,124377,3021765,deprecated,3124864
20,12059858,2021-03-18 02:08:11,0x3f7203a8b10f262e685b6636aa82c36772fff66e41623054d54d1b8b2d813fee,39,0x24a07e6aab7de6230366598683e5cd9947a5abe7ddbcf35aa8f0c3fb8890d925,0x974bfcc7b25f979950b58ce0cf8d9c621a9c771e,0x850aab69f0e0171a9a49db8be3e71351c8247df4,0xa3f985b9e65dcd16cf944eea3023c78ce32d58b8,1.1556800057390337e+20,Konomi,KONO,18,171,169594,185000000000,130777,8016490,deprecated,3124772
21,12065505,2021-03-18 22:58:14,0xd561b96679da5bcf7f6b74d153dcc8d43e5ea05d762882df584aa6ff31875c88,40,0x8520e810cb4f6d066339dca3dddc5d5d7d22c011dff91a5909584cd46b665cc1,0x169bf778a5eadab0209c0524ea5ce8e7a616e33b,0x544c42fbb96b39b21df61cf322b5edc285ee7429,0xa3f985b9e65dcd16cf944eea3023c78ce32d58b8,9.364625955667663e+19,InsurAce,INSUR,18,48,259689,137000000000,206189,3724528,deprecated,3119125
22,12065690,2021-03-18 23:37:02,0x48baade7a0331d3761a905c99974da2dd12ff043655554ec0da715205d34fe39,41,0xbd9c2681e1a4796f4f4b836f77c74c0291ef6632a9700bfd1149e48eb86dee0a,0x10cfa744c77f1cb9a77fa418ac4a1b6ec62bcce4,0x4e352cf164e64adcbad318c3a1e222e9eba4ce42,0xa3f985b9e65dcd16cf944eea3023c78ce32d58b8,3.225135452193001e+19,MCDEX Token,MCB,18,87,172212,137000000000,130886,3773223,deprecated,3118940
23,12065771,2021-03-18 23:54:57,0xdb99fd9ec869a24a3c98db58db372696bd9bda9e8fce42aa1b8e43dbae3dc11e,42,0x30937c4627ad80fb66aa71557f7fd808827baf9498cc7e7a1cd3828d0a6ebbcc,0x7b890092f81b337ed68fba266afc7b4c3710a55b,0x87d73e916d7057945c9bcd8cdd94e42a6f47f776,0xa3f985b9e65dcd16cf944eea3023c78ce32d58b8,2.0066174148200105e+18,NFTX,NFTX,18,247,274124,141000000000,222085,8202134,deprecated,3118859
24,12066169,2021-03-19 01:25:07,0x313e935e9b549cd5b9d7926b2c510f256fed6d2e04448c42ef28eb5698331de4,43,0xa24b53b7ce051a10f5ecc160645a439615ea9871b38c02bc137dab8b779af92c,0xb27c012b36e79decb305fd1e512ba90eb035a6fa,0xb2279b6769cfba691416f00609b16244c0cf4b20,0xa3f985b9e65dcd16cf944eea3023c78ce32d58b8,4.014911968290988e+22,Waifu,WAIF,18,189,165300,151000000000,124700,9361332,deprecated,3118461
25,12067969,2021-03-19 07:59:09,0x5acec3e42cea8bd108de6b63bb326a9dfa654bca71616310f82766d497263c85,44,0xb85b73af30e7493ea8c833caeddb3edfbde6335a331af2e07071440cddde391f,0xa9bd7eef0c7affbdbdae92105712e9ff8b06ed49,0x725c263e32c72ddc3a19bea12c5a0479a81ee688,0xa3f985b9e65dcd16cf944eea3023c78ce32d58b8,8.651625807534226e+19,Bridge Mutual,BMI,18,287,164761,146000000000,124217,9648746,deprecated,3116661
26,12072618,2021-03-20 01:10:34,0xb2b1898f9e5b8e39035fa976875da9c38662a524831d1195326c51bdffecee87,45,0x0d9b9d5d5eb4f008c26e6a826e2a64ea078414a87f5a4255cb5ad8cc205f4d09,0xc3f6486d0ecae8038b37aaef1c39e2a12dcb4423,0xd9ec3ff1f8be459bb9369b4e79e9ebcf7141c093,0xa3f985b9e65dcd16cf944eea3023c78ce32d58b8,3.4487025406264476e+21,KardiaChain Token,KAI,18,74,166785,148000000000,126028,4441645,deprecated,3112012
27,12072869,2021-03-20 02:06:24,0x0db006471fb09dfecabf58f5f69f29cb47a11e728da97c2576940a795b79b837,46,0xee2e6c4d022e3242ae9a7b09c33bbcd6a90eb3d1bc4bd2413638a4d316581645,0xb1eecfea192907fc4bf9c4ce99ac07186075fc51,0x2aeccb42482cc64e087b6d2e5da39f5a7a7001f8,0xa3f985b9e65dcd16cf944eea3023c78ce32d58b8,1.4857985675608072e+18,Ruler Protocol,RULER,18,156,166128,147000000000,125450,7962277,deprecated,3111761
28,12072908,2021-03-20 02:13:28,0x8e6610a3de6d3acc4d21d86bccc02fb4b7619ebb7e0f7faebb527696308eb7d2,47,0xc98d64c9a08251d9867f11460e7d6ae3b694b0272b765a751eef188fc088a8eb,0x1ec9b867b701c1e5ce9a6567ecc4b71838497c27,0x2791bfd60d232150bff86b39b7146c0eaaa2ba81,0xa3f985b9e65dcd16cf944eea3023c78ce32d58b8,1.0066356073629848e+22,BiFi,BiFi,18,189,165865,132000000000,125206,10316329,deprecated,3111722
29,12073717,2021-03-20 05:07:18,0xbb07a1c0d8ebaa8c9b097c3b49e6da231e9ab17435f10ab0a0b5879d48bf7209,48,0xa03b443505ff0c7cf9bd46a2eb0e6ccdd7532f2ade6efe72ad95d23221ccf186,0x0c2445bec45c443c58f44f8e0a5796960e052d63,0xf938424f7210f31df2aee3011291b658f872e91e,0xa3f985b9e65dcd16cf944eea3023c78ce32d58b8,4.130959758102728e+20,VISOR,VISR,18,125,165020,111000000000,124449,7963334,deprecated,3110913
30,12074549,2021-03-20 08:13:14,0xbe773628175ecaf83504f09b5d267adb91727b5e2f0a4330ffb6a7c26891944e,49,0x9a7b632d90a858fdf09ba65d7ae2213ea14e8814efa8e2f2a3948820c0184d5d,0xdd4d68a13508827f72ece02dfcd0f2e3c28ab8d5,0xed30dd7e50edf3581ad970efc5d9379ce2614adb,0xa3f985b9e65dcd16cf944eea3023c78ce32d58b8,3.3725664236284508e+16,ARC Governance Token,ARCX,18,65,171717,116000000000,115873,3796186,deprecated,3110081
31,12095233,2021-03-23 12:48:48,0x5a5c887f5caa2c6ddf19a4f29914397a11f1d0d92a43975c06a73f892a0b212c,57,0x94ec4e771d45faa842dc31b990e3738ec81d0f0c4375da48d139c2a8b0e19109,0xebe9cfd978f0db637d920e4ed4ae10282d9aba17,0xcae72a7a0fd9046cf6b165ca54c9e3a3872109e0,0xa3f985b9e65dcd16cf944eea3023c78ce32d58b8,9.090623738830991e+20,AnRKey X,$ANRX,18,102,165009,123000000000,124439,6922603,deprecated,3089397
32,12153111,2021-04-01 10:34:43,0xcc56623a15f4b13c8f61c92c952de627a05954ae0195ae674afa2a40769da298,725708,0x42c0d230f79e7d3466b704a6f318f20670e6c17ab41d7e4ce70f56c89b5990db,0x85b931a32a0725be14285b66f1a22178c672d69b,0x6b175474e89094c44da98b954eedeac495271d0f,0xa3f985b9e65dcd16cf944eea3023c78ce32d58b8,9.8399936064e+20,Dai Stablecoin,DAI,18,20,207128,216000000000,52018,828111,deprecated,3031519
33,12153119,2021-04-01 10:35:34,0xa09305c859ca33a4c798b48b13c447c44095a2499138ae928522ddfad1378fee,59,0x041a1b38ee2b579c529ba9c0add1894f3e43e20bd5aebf721ef6a16ba7e6afee,0xa3f985b9e65dcd16cf944eea3023c78ce32d58b8,0x6b175474e89094c44da98b954eedeac495271d0f,0x4aa42145aa6ebf72e164c9bbc74fbd3788045016,9.8399936064e+20,Dai Stablecoin,DAI,18,31,37018,153000000000,22018,2050706,deprecated,3031511
34,12172245,2021-04-04 09:12:48,0xfc10b5a9aa9b1b4c895f774ce4ed7793d9ae3278a516b22e7c2aa2ba0b54678e,60,0x64a82064a3c8147f9bdd5476e98df81a099d417116d5aafbde3017f4ac7c44a9,0xa81770b26e75a42508eb8d7c2690d071c1071afb,0xce211b3b9a0ab57e898f4b4571ad305e9607ab8e,0xa3f985b9e65dcd16cf944eea3023c78ce32d58b8,1.5871772989572763e+21,Genshards,GS,18,74,169620,115000000000,128564,3450192,deprecated,3012385
35,12172312,2021-04-04 09:29:28,0x3d1cd537648e63571cc9418d685ce014290bf920217928b6b8790c82e7aa30df,61,0xdfd6e3d41989b94a36cab96d0c3cf1aeb9f69bcd9138890329651b55a0e84817,0xc9a77793b6f13536c7f7906f0035d7e2f5ecd9e7,0x0e871b4002b2b3c19fb8ea54274d38f920804f86,0xa3f985b9e65dcd16cf944eea3023c78ce32d58b8,4.751017628442902e+21,epns.io,PUSH,18,146,169682,113000000000,128622,7655440,deprecated,3012318
36,12174304,2021-04-04 16:47:00,0x42fe4ec1b22aab0a54426e0da82f85c7fcb6938ecde3ed03aae5f95ba87cf071,62,0xa001af3e3327e71d9304dcbae10f62b91acdaaa71899419b8d52d8540f4e9759,0xa3f985b9e65dcd16cf944eea3023c78ce32d58b8,0xb2279b6769cfba691416f00609b16244c0cf4b20,0xb27c012b36e79decb305fd1e512ba90eb035a6fa,4.014911968290988e+22,Waifu,WAIF,18,186,168342,117000000000,112757,5998846,deprecated,3010326
