,blockNumber,timeStamp,hash,nonce,blockHash,from,contractAddress,to,value,tokenName,tokenSymbol,tokenDecimal,transactionIndex,gas,gasPrice,gasUsed,cumulativeGasUsed,input,confirmations
0,9892313,2020-04-17 21:13:18,0x2c4dd7d7f8785918e425a08a4037c5f9f56d1f1701ee165779c29565071c7c35,6367,0x56e103ac609eed70a9e1f42c0bd2aa248d37aaa61e370af197d2624d31760e3e,0xc92e74b131d7b1d46e60e07f3fae5d8877dd03f0,0xc92e74b131d7b1d46e60e07f3fae5d8877dd03f0,0xa49cc0bed2e8341836f62a6d251deb8427178eea,3200000000000.0,Minereum,MNE,8,13,5802773,1100000000,5802773,6925847,deprecated,5292071
1,10017959,2020-05-07 08:15:25,0xe12f4c2de7e50279a9de9cf7094687660275139de4cd9e67603930ef70fcba9a,8347,0x319047eb88657c713d86bd73a32d7c3467f768a201ba6f387c610d564f85a9ba,0x426ca1ea2406c07d75db9585f22781c096e3d0e0,0x426ca1ea2406c07d75db9585f22781c096e3d0e0,0xa49cc0bed2e8341836f62a6d251deb8427178eea,0.0,Minereum,MNE,8,31,1171244,10000000000,1171244,6061735,deprecated,5166425
2,10274380,2020-06-16 03:18:30,0xc3db7059fbe474b66323d6c41466f5c5d09f0d5cd594e7c0c48fca55b28abcfc,0,0x1501c4e931a2ab3bc9ba2125491c4b8b51e22175251c6a5bb26e5719cddf8c96,0x90dc1c4c9bc1ca77bdc4cc39b71fa50c69ce9033,0xad22f63404f7305e4713ccbd4f296f34770513f4,0xa49cc0bed2e8341836f62a6d251deb8427178eea,5500000000.0,Atomic Wallet Token,AWC,8,10,93724,41000000000,37105,366792,deprecated,4910004
3,10274435,2020-06-16 03:32:22,0xd4c365525f807f6b156648672a18d345a08a88ed8c193945514af2128a1e84ad,0,0x0bffc7d1723c99a5400c6bf743419cc3632d3d89c60092176fbe3711d0bc0fb2,0xa49cc0bed2e8341836f62a6d251deb8427178eea,0xad22f63404f7305e4713ccbd4f296f34770513f4,0x0011a7b6be3e294bf5af0bedfb35f841bfd4839b,5500000000.0,Atomic Wallet Token,AWC,8,99,67720,33000000000,37093,8151916,deprecated,4909949
4,10760929,2020-08-30 07:45:59,0x5c5a11bed12d8c845a0c85c2e227eb160658994aa145c05163909de4ff94d77f,4,0x97dceac2dc65c42a7ec52d4dba9e6c7a533ba00a7405994025206f622f9d023b,0xa49cc0bed2e8341836f62a6d251deb8427178eea,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0x1d6432aefeae2c0ff1393120541863822a4e6fa7,5.991247465e+17,Wrapped Ether,WETH,18,171,136637,302000000000,90835,7939148,deprecated,4423455
5,10760929,2020-08-30 07:45:59,0x5c5a11bed12d8c845a0c85c2e227eb160658994aa145c05163909de4ff94d77f,4,0x97dceac2dc65c42a7ec52d4dba9e6c7a533ba00a7405994025206f622f9d023b,0x1d6432aefeae2c0ff1393120541863822a4e6fa7,0x28cb7e841ee97947a86b06fa4090c8451f64c0be,0xa49cc0bed2e8341836f62a6d251deb8427178eea,4.7333704377283046e+17,YFLink,YFL,18,171,136637,302000000000,90835,7939148,deprecated,4423455
6,10787535,2020-09-03 09:29:00,0xbf61da7c5eae4ee52697e8e4d9b20a14dafdb90ea462244280ac4fca096f0deb,6,0x46b508709be39bcfcae69611ad1fc1e55ad504360857feca74a19dab520fbcab,0xa49cc0bed2e8341836f62a6d251deb8427178eea,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0xf663b4c81f42cf05954054ec014b9d5a34501eb4,4.5e+17,Wrapped Ether,WETH,18,127,139208,250000000000,105150,6463717,deprecated,4396849
7,10787535,2020-09-03 09:29:00,0xbf61da7c5eae4ee52697e8e4d9b20a14dafdb90ea462244280ac4fca096f0deb,6,0x46b508709be39bcfcae69611ad1fc1e55ad504360857feca74a19dab520fbcab,0xf663b4c81f42cf05954054ec014b9d5a34501eb4,0xd3e8695d2bef061eab38b5ef526c0f714108119c,0xa49cc0bed2e8341836f62a6d251deb8427178eea,5.902610018846884e+17,YFIVE.FINANCE,YFIVE,18,127,139208,250000000000,105150,6463717,deprecated,4396849
8,10877312,2020-09-17 03:48:21,0xdf688f7134c2fd17628cb91d6dd73206d5a78d2848af32bdea91eb0ccdc7551c,7,0x14bde0beaec31debafe39b3c1e80a4f9bdb43d93527e83d7e62dd55139abe7ad,0x090d4613473dee047c3f2706764f49e0821d256e,0x1f9840a85d5af5bf1d1762f925bdaddc4201f984,0xa49cc0bed2e8341836f62a6d251deb8427178eea,4e+20,Uniswap,UNI,18,29,90036,550000000000,81851,1390612,deprecated,4307072
9,10877352,2020-09-17 03:58:02,0x3e34a7bb0bd92086abfb348f0c3708321e568baaae95787ab2acfc0577b75b67,8,0x61b269741a3a54508748aa6f50620cc6aa210ed307afa94d9be85354ab1954ff,0xa49cc0bed2e8341836f62a6d251deb8427178eea,0x1f9840a85d5af5bf1d1762f925bdaddc4201f984,0x327337006c90d0ac1c8e4b2924562facf37ffcc2,4e+20,Uniswap,UNI,18,122,72142,550000000000,40494,6200200,deprecated,4307032
