,blockNumber,timeStamp,hash,nonce,blockHash,from,contractAddress,to,value,tokenName,tokenSymbol,tokenDecimal,transactionIndex,gas,gasPrice,gasUsed,cumulativeGasUsed,input,confirmations
0,10775994,2020-09-01 15:07:59,0xfb3dcf974a59da1d42d9aea8fd66174a655c2c7fe4ed0d801b4b7066e2ebee4e,0,0x14c6366920a00cab87623ccea09dbced6794631d141b86eca019e0232fba7c31,0xcb4f983e705caeb7217c5c3785001cb138115f0b,0x45f24baeef268bb6d63aee5129015d69702bcdfa,0xa4a700b4531f49be5ed72169ed99b50feb85a818,6.378812495426736e+18,YFValue,YFV,18,125,151408,478000000000,112268,11582231,deprecated,4408116
1,10928023,2020-09-24 22:27:12,0x49d76ec8716adeeede2072249d3fe8c50fb08a005d2e990ead460af9af2453aa,2,0x113864702c7d5895c244de97c85a919ee65a11d4cabc4f7e19371101ee16d607,0xc32ab5f17c0edaeb4d597bfb9726f28bc37fd6af,0x83f873388cd14b83a9f47fabde3c9850b5c74548,0xa4a700b4531f49be5ed72169ed99b50feb85a818,2e+18,ZeroUtility,ZUT,18,74,236535,65000000000,132406,11717868,deprecated,4256087
2,10935713,2020-09-26 02:59:37,0x718f2fab252795a36df76ba6db51dac1b9f1479765c87927decd5668a497566b,4,0x38b29e271d198ccb6c0a2db04873b3d112988115f46dad57dca79e046a6e9a9b,0xc32ab5f17c0edaeb4d597bfb9726f28bc37fd6af,0x83f873388cd14b83a9f47fabde3c9850b5c74548,0xa4a700b4531f49be5ed72169ed99b50feb85a818,2e+18,ZeroUtility,ZUT,18,161,156959,60000000000,117406,11769761,deprecated,4248397
3,10935936,2020-09-26 03:50:29,0xbc3e96ab0ebb9d94901d57a0bc1f9292ef90f0d90c2144b254fd10d7106a5d29,5,0xad842b769effe2d39ed3e7d88d8b0220cce56c918074baa43f83c0bb22ff8ae5,0xa4a700b4531f49be5ed72169ed99b50feb85a818,0x83f873388cd14b83a9f47fabde3c9850b5c74548,0xf04946630fd67970bb8f8e038978190b5e628d91,3e+18,ZeroUtility,ZUT,18,149,54255,65000000000,36170,7882251,deprecated,4248174
4,11212690,2020-11-07 21:21:38,0x56aec382a9e23c198a6de2308ac6aba81e9e00ee9f53e3e764b5c5f935c543f0,7,0x9cf2e0deff08a6267f1087d0b16ded6c1f557d98613715c8e2f8702e715cdd32,0xc32ab5f17c0edaeb4d597bfb9726f28bc37fd6af,0x83f873388cd14b83a9f47fabde3c9850b5c74548,0xa4a700b4531f49be5ed72169ed99b50feb85a818,3e+18,ZeroUtility,ZUT,18,40,156959,28000000000,117406,3426677,deprecated,3971420
5,11239572,2020-11-12 00:34:13,0xc1ac53bb2786cfba5642362e40b81e13a3967948f0f1e0952654395ef557e5d0,9,0x6ea45b3462cfbcfbeebf9e39f2092a128b90e645acbb4221843731e2b74930ed,0xa4a700b4531f49be5ed72169ed99b50feb85a818,0x83f873388cd14b83a9f47fabde3c9850b5c74548,0xc32ab5f17c0edaeb4d597bfb9726f28bc37fd6af,4e+18,ZeroUtility,ZUT,18,129,165811,43925785710,110456,11319501,deprecated,3944538
6,11250248,2020-11-13 15:46:51,0xc117c0b5ae40e53090bd0574a339de14846db1a76eb1daaabc35323c8b0f6a90,10,0x999dbbbd16db2c98deab710aba66e6c44f3c6a4139ccf8d068e4221c87a5d5e5,0xc32ab5f17c0edaeb4d597bfb9726f28bc37fd6af,0x83f873388cd14b83a9f47fabde3c9850b5c74548,0xa4a700b4531f49be5ed72169ed99b50feb85a818,4e+18,ZeroUtility,ZUT,18,111,173459,58003400000,132406,7662165,deprecated,3933862
7,11250820,2020-11-13 17:55:38,0x90043d118c2ec22f87feef8a005ea212a74d30afdfaf5b136d4ffc100667097f,11,0xd902becb4bc5f04a87a14df66c305c8d84e2a6863d74cdedaa5e71d4b9a63019,0xa4a700b4531f49be5ed72169ed99b50feb85a818,0x83f873388cd14b83a9f47fabde3c9850b5c74548,0xc32ab5f17c0edaeb4d597bfb9726f28bc37fd6af,4e+18,ZeroUtility,ZUT,18,153,165811,45000001459,110456,12165461,deprecated,3933290
8,11263031,2020-11-15 14:49:56,0xd2549cf9e0d76259f5fe7b649c07ba12d21daf68709f379e402f7090c3b6652f,13,0xcc5302fe298c127d403ed2e1f10dac98070ca62c26de1a3f469a266019c8c819,0xc32ab5f17c0edaeb4d597bfb9726f28bc37fd6af,0x83f873388cd14b83a9f47fabde3c9850b5c74548,0xa4a700b4531f49be5ed72169ed99b50feb85a818,4.090846196159815e+18,ZeroUtility,ZUT,18,127,164995,32000000000,124427,10357705,deprecated,3921079
9,11263059,2020-11-15 14:56:57,0x5f6dcbb58006bc73d91c4609a3bd9137162199b23e082fc87b2072908a1ae42c,0,0xb547fbcab98bd8e293079ac56fac8c4b73e742948ecf56ea392376119402603a,0x3debd7f467701837aacea19cafe6e389d4f953c2,0x1f9840a85d5af5bf1d1762f925bdaddc4201f984,0xa4a700b4531f49be5ed72169ed99b50feb85a818,1.211798066e+20,Uniswap,UNI,18,33,200000,40000000000,40506,1780836,deprecated,3921051
