,blockNumber,timeStamp,hash,nonce,blockHash,from,contractAddress,to,value,tokenName,tokenSymbol,tokenDecimal,transactionIndex,gas,gasPrice,gasUsed,cumulativeGasUsed,input,confirmations
0,4318660,2017-09-28 09:20:08,0xf913301f0c9fb0f26932c0f1e046a21bc0b8c85832067954f10f8b24d9f94c98,1742,0xec9972160214ad8cb8211515445399ca8e60883e2a1bdae04df5255c6474037a,0x0000000000000000000000000000000000000000,0x3293cc907fde439b39aedaf1b982785adaff186b,0xa58f9738e89b85e502bf77e84acff63e09756561,1197017345100.0,Tria,TRIA,10,52,54000,4000000000,53388,6697755,deprecated,10865276
1,4318767,2017-09-28 10:16:21,0x073645bab7cb324a8c349cf77ad890ea826f5b08716aedefe61f4506ed948482,1778,0x5b4c2efaae54fc68491071b822669b57b3f6bbbfeb3f7b90a6bc1a4ab393cdb6,0x0000000000000000000000000000000000000000,0x11468d142559f6ab61e69b47f30fa6a36c93ee92,0xa58f9738e89b85e502bf77e84acff63e09756561,1197017345100.0,CombiCoin,COMBI,10,101,54000,4000000000,53128,6659816,deprecated,10865169
2,4618477,2017-11-25 09:04:29,0xf9eb2d21e4097d4b60e58bf57a024e5c9e0e96d73234a7621f8001073ea1d157,23400,0x019eccc79197b1d49cde447de812627154de424c45e362ac76db143c0b3cf90c,0x9f89388141c632c4c6f36d1060d5f50604ee3abc,0x68e14bb5a45b9681327e16e528084b9d962c1a39,0xa58f9738e89b85e502bf77e84acff63e09756561,1e+18,BitClave-ConsumerActivityToken,CAT,18,92,85000,5000000000,73822,3861015,deprecated,10565459
3,4919665,2018-01-16 19:44:21,0x7b354fabdd2abd5f60767cadc873a1d1ad4041f77d84a4241c8ba4027905e151,20707,0x452ac9ea726df7eb0ec69fbc2cb3ef1cea2f9636fbcdd4040447da796f823b97,0x0000000000000000000000000000000000000000,0x1234567461d3f8db7496581774bd869c83d51c93,0xa58f9738e89b85e502bf77e84acff63e09756561,1e+18,BitClave,CAT,18,0,4000000,30000000000,3467833,3467833,deprecated,10264271
4,5130501,2018-02-21 13:45:31,0x01859579e5c8e2a0b49547da9ee02e09a9aac17de28bbec989dd3fed994b9c23,4,0x3c5c70a3f849085f1ace5894927f6634053307eb6f88c98ca64c709ed01d67f3,0xa58f9738e89b85e502bf77e84acff63e09756561,0x11468d142559f6ab61e69b47f30fa6a36c93ee92,0x04a64ab00b264528c7153e64d339a16a09b2748c,300000000000.0,CombiCoin,COMBI,10,168,36718,4000000000,36718,6534489,deprecated,10053435
5,5798732,2018-06-16 11:22:30,0x594e655fd0af5dd78a59651b0861efafe62385ba7918c9d0b333983afa5cc571,106,0x8d96aec1ae99bc64e5c580d83509a4b0941423fec3dbba154d632f5a309340ef,0x0000000000000000000000000000000000000000,0x7b2f9706cd8473b4f5b7758b0171a9933fc6c4d6,0xa58f9738e89b85e502bf77e84acff63e09756561,911.0,An Etheal Promo,HEALP,0,54,1800000,3000000000,1708549,7491786,deprecated,9385204
6,6848158,2018-12-08 10:39:52,0xa8bec0bcf72863596ddc5327f6e490454cc5aadf3b644b76411a05dc0f469ae3,5,0xca823a13df7d1e7553ed2b43b3744ae8c6c1729c615319507504f855eb41d08a,0xa58f9738e89b85e502bf77e84acff63e09756561,0x11468d142559f6ab61e69b47f30fa6a36c93ee92,0x04a64ab00b264528c7153e64d339a16a09b2748c,897017345100.0,CombiCoin,COMBI,10,55,40000,10000000000,21782,2292650,deprecated,8335778
7,10775282,2020-09-01 12:30:10,0x4cc8fbfa3bc4f7b1b3ded6057da3691d59854e0ed5c33c6fccf4708f3baed458,6,0x3bc9ba0ec979e262b2bc1fdcce84b130386cbb06449a61559d734a4d8396f882,0xce84867c3c02b05dc570d0135103d3fb9cc19433,0x6b3595068778dd592e39a122f4f5a5cf09c90fe2,0xa58f9738e89b85e502bf77e84acff63e09756561,1e+19,SushiToken,SUSHI,18,186,160226,475000000000,120376,10548558,deprecated,4408654
8,10914068,2020-09-22 19:07:19,0xe0b709e1292a19b9fda5e4b5b5afddc5ea425bd8b5d8b9c423c28ac5f869b5cf,40,0xd102f5e44d74093be0ef90e2fba05814a2c57abab9f21ab200e64f43584309de,0xd3a725a77b4ae9fea889edf7aad0cfffca46b096,0x058391e75ee8f675c7eeca35fd6d12b11e73b4b6,0xa58f9738e89b85e502bf77e84acff63e09756561,1e+18,SUPER,SUPER,18,72,2068120,97000001459,2068120,8567917,deprecated,4269868
9,11595613,2021-01-05 16:32:37,0xc0d39cc1d051c1449c15f95e6bda33a6aa4ab7168ab2a40df6c1025d61679e34,10,0x14d1134c168e922cd7df9f7510b3eaf3e5ee0928fa6c7ffd562d47d1c7e57a52,0xa58f9738e89b85e502bf77e84acff63e09756561,0x3293cc907fde439b39aedaf1b982785adaff186b,0x0d93d1259fb10f400839a08ede5884022dc7474b,1197017345100.0,Tria,TRIA,10,262,52708,206785715849,37708,10687466,deprecated,3588323
10,11595615,2021-01-05 16:33:40,0xdb84416af785e8fc398a6af7997bd59d3e616085c7a4aeaf127e384071117203,11,0xd4e71953d2b76eaa36e1696752f8d82afe7ddf857f72bc6cbfc7f4df82e5a0c7,0xa58f9738e89b85e502bf77e84acff63e09756561,0x6b3595068778dd592e39a122f4f5a5cf09c90fe2,0x0d93d1259fb10f400839a08ede5884022dc7474b,1e+19,SushiToken,SUSHI,18,113,51157,206785715849,36157,4843295,deprecated,3588321
