,blockNumber,timeStamp,hash,nonce,blockHash,from,contractAddress,to,value,tokenName,tokenSymbol,tokenDecimal,transactionIndex,gas,gasPrice,gasUsed,cumulativeGasUsed,input,confirmations
0,10776975,2020-09-01 18:36:48,0x0f710bdbf9e958a3d19f9338bb7d0e905c4a72b0ae0d7ffd4150f7f70735a54a,24,0xdb8616267372bdda367237d694309b7806384dd20cc097c60cbe131841d37d3a,0x37a0464f8f4c207b54821f3c799afd3d262aa944,0x26ce25148832c04f3d7f26f32478a9fe55197166,0xa99dd35893603a940dcfd6599c883e5db5b38e25,5.1e+21,DEXTools,DEXT,18,125,179848,479000000000,138215,9364037,deprecated,4406821
1,10781419,2020-09-02 11:03:08,0xcffc7afd930bc4e9cecca206823a33e41e06ba33e3492e0655f9abcaf23cc2d6,25,0xdc21bad9c09c6f1e596a131628f00c22640eee948f22212aac2dda5f54a80449,0xd876bea7f5121a8e21459224e58aec6c933a16e9,0x84ca8bc7997272c7cfb4d0cd3d55cd942b3c9419,0xa99dd35893603a940dcfd6599c883e5db5b38e25,4.5e+19,DIAToken,DIA,18,140,231535,375000000000,181074,10564157,deprecated,4402377
2,10964918,2020-09-30 16:51:41,0x204107dada4802d8671cf4f43efc3c42c3a1e905384d7b6cce875c64ab079111,26,0x25457d504f0eb4b5227833529a8b09971046894ed4d3c6503bdcb374c222105f,0x0db1a0061270418037fd9839dff08b8377b55e1d,0x4156d3342d5c385a87d264f90653733592000581,0xa99dd35893603a940dcfd6599c883e5db5b38e25,180800000000.0,Salt,SALT,8,42,174268,110000000000,133142,3968591,deprecated,4218878
3,11211762,2020-11-07 17:51:17,0xa00d07ab0dfa00acd819fc8803d81172a21eb26d60a355877e612afc5c641834,34,0x8979710efa59475e0b30e04d647c97779c32b0adce31ccdb35caa23676f3ce46,0x0bc1e9770d4445fb49e3e474555cc15c667a5dd5,0x0bc1e9770d4445fb49e3e474555cc15c667a5dd5,0xa99dd35893603a940dcfd6599c883e5db5b38e25,51.0,Digi Exchange,DIGIX,0,207,242886,26000000000,159704,9202896,deprecated,3972034
4,11212036,2020-11-07 18:51:52,0x353e2a60768be597d5bcc009a96bc573d2b5a6a56fe1aa086dbce3de026f79f3,36,0x24d85bd0fa42f02cffafe20a39146a2ec2562e2c85e0242696f3c5b3801b7655,0x0bc1e9770d4445fb49e3e474555cc15c667a5dd5,0x0bc1e9770d4445fb49e3e474555cc15c667a5dd5,0xa99dd35893603a940dcfd6599c883e5db5b38e25,13.0,Digi Exchange,DIGIX,0,76,197868,44000000000,129692,6793638,deprecated,3971760
5,11237969,2020-11-11 18:33:16,0xaab5518a1b7f97b5470c7c36912b1d7cc0ac2d995d94897cd6a002144ce2c318,38,0xe5cb5ac5111ab33b32a33158c99468142d90a752d4afc282edd353d5b52e6a7d,0x654def3e97c3f4218c3f49ace81687483c361b2b,0x910524678c0b1b23ffb9285a81f99c29c11cbaed,0xa99dd35893603a940dcfd6599c883e5db5b38e25,4.699556077618465e+20,DokiDokiAzuki,AZUKI,18,184,171813,52000000000,118512,9760526,deprecated,3945827
6,11407301,2020-12-07 18:26:10,0xef97bab086d3e437f5f054f556f3489b24729b5b80675bf2944a37917da447e0,3395009,0x5b811be6a949079f7226b99fc3cc8df63dbbea6b8ead09ff3e0e2dd17172f717,0xd551234ae421e3bcba99a0da6d736074f22192ff,0xaea46a60368a7bd060eec7df8cba43b7ef41ad85,0xa99dd35893603a940dcfd6599c883e5db5b38e25,1.68450289e+23,Fetch,FET,18,26,207128,66000000000,52166,2109661,deprecated,3776495
7,11407371,2020-12-07 18:45:03,0x14af438de64cc33e6a3874f67bdecc8e3f7fc4543bea13c9ebcae6a3a7b2e902,41,0x070a48c7df164f8b105b35efd3317388bfdf29233afce1a037c526b4224a9bee,0xa99dd35893603a940dcfd6599c883e5db5b38e25,0xaea46a60368a7bd060eec7df8cba43b7ef41ad85,0x351bac612b50e87b46e4b10a282f632d41397de2,1e+21,Fetch,FET,18,167,106452,40000000000,73710,11758646,deprecated,3776425
8,11407454,2020-12-07 19:02:38,0x4f5b00497edd34798bb8910083f49510acc0f03fc20d3e8cce33dd0cdfd5f9ff,44,0xdd8328d6a3f4690bed2cb6a674cb9d533b0abaf2ebbdf0546dd88721fabe1cb8,0xa99dd35893603a940dcfd6599c883e5db5b38e25,0xaea46a60368a7bd060eec7df8cba43b7ef41ad85,0x351bac612b50e87b46e4b10a282f632d41397de2,1.6745e+23,Fetch,FET,18,98,106466,44000000000,73722,6759685,deprecated,3776342
9,11516342,2020-12-24 12:39:30,0xdb2df9766f413a1536371c768883e27b7b8f1ea2d0e250e663cd6c76a4cdf7a4,48,0x98d178e493c75304b86d34006f931dbce0cc40fa79d207b75400d0f211644b8c,0xa99dd35893603a940dcfd6599c883e5db5b38e25,0x4156d3342d5c385a87d264f90653733592000581,0x0db1a0061270418037fd9839dff08b8377b55e1d,180800000000.0,Salt,SALT,8,89,167498,65000000000,111989,7805264,deprecated,3667454
10,11516360,2020-12-24 12:43:57,0x90f4dfdde515335de5d509b460c395c370696746e3f7ff75c15b718f0e6a4e9a,49,0x95d01d76ee89f3a1bb19f2001d9368eae82ebcc2d1112d84394b6e4d041377e9,0xf346d00965776e504930675100c8e2871bd6530d,0x06a01a4d579479dd5d884ebf61a31727a3d8d442,0xa99dd35893603a940dcfd6599c883e5db5b38e25,416625485831.0,SmartKey,Skey,8,72,165375,56000000000,124766,5552133,deprecated,3667436
11,11550533,2020-12-29 18:29:43,0xf3e605582494de9bd439e0023ba2bd03ea62727e058936536cc30d82b003262b,50,0xa2d07ea9b0f6029f872737e1d6873a39ed864f5c67194d3bd6fd26509450e752,0x351bac612b50e87b46e4b10a282f632d41397de2,0xaea46a60368a7bd060eec7df8cba43b7ef41ad85,0xa99dd35893603a940dcfd6599c883e5db5b38e25,1.68482e+23,Fetch,FET,18,94,207882,63000000000,86618,6052391,deprecated,3633263
12,11550549,2020-12-29 18:33:55,0x1c7c873c0935bb492d0dd1b141219b2b28eb0fd9397255798c87df787cb97600,51,0xcf7aca29626b08787292bea6a99f1d5caf571d30cb4a9d4369ffab0e471b9172,0xa99dd35893603a940dcfd6599c883e5db5b38e25,0xaea46a60368a7bd060eec7df8cba43b7ef41ad85,0x6f055677f043ad0c0a9b32ed5512cdbb2860fb4b,1.68482289e+23,Fetch,FET,18,30,78249,93000000000,37166,998972,deprecated,3633247
13,11632337,2021-01-11 07:49:49,0x77ea71af120406c5a0580a540ec9a4ca423dde40ba8410502ba35ea3f5b8e612,11,0xb9ff3e6684557b66da268a49c868903822d1077362ec2e59e96af90cb78a0335,0xd152f549545093347a162dce210e7293f1452150,0x84ca8bc7997272c7cfb4d0cd3d55cd942b3c9419,0xa99dd35893603a940dcfd6599c883e5db5b38e25,3.1940558748361503e+18,DIAToken,DIA,18,144,7123226,232050000000,7104026,11553162,deprecated,3551459
14,12037268,2021-03-14 14:36:38,0x7ae65ac9b9f79ddfea51198401965f89d94be599445184926377d423c2fda9e1,53,0xc3d6388b8f28447d38940ec07b0b3de15d88f2bb7c2a87fa0e3b5bbffcd12da1,0xa99dd35893603a940dcfd6599c883e5db5b38e25,0x26ce25148832c04f3d7f26f32478a9fe55197166,0x37a0464f8f4c207b54821f3c799afd3d262aa944,5.1e+21,DEXTools,DEXT,18,53,173311,113500000000,117274,4001968,deprecated,3146528
