,blockNumber,timeStamp,hash,nonce,blockHash,from,contractAddress,to,value,tokenName,tokenSymbol,tokenDecimal,transactionIndex,gas,gasPrice,gasUsed,cumulativeGasUsed,input,confirmations
0,10776505,2020-09-01 16:54:53,0xa7298b6c8191401ee7b2d820fcc8fa58454d2f8ce89b22b5ecddd9f5dbe14464,0,0xbfa00eaa1128ec0fb16ef1f9cd5266000833ae32c71cbb1643f39d1065e5f34b,0xb9b752f7f4a4680eeb327ffe728f46666763a796,0x56d811088235f11c8920698a204a5010a788f4b3,0xaae2ea76a9095a77bc2a94ca0d65b9c35887e39a,8.251141997417626e+20,bZx Protocol Token,BZRX,18,90,266545,476000000000,215303,7781409,deprecated,4407444
1,10881167,2020-09-17 17:48:24,0x697a7dcfe9fbe07b70656f100f76079db241fa308df19470bf3315fba1452b9a,5,0xe95150f5cc93311850e8f062a5e8817e309faa95826ae5683c8c6a95f3cca4ef,0xb9b752f7f4a4680eeb327ffe728f46666763a796,0x56d811088235f11c8920698a204a5010a788f4b3,0xaae2ea76a9095a77bc2a94ca0d65b9c35887e39a,3.2616180260595544e+21,bZx Protocol Token,BZRX,18,93,254614,493000000000,204626,5757243,deprecated,4302782
2,12232352,2021-04-13 14:47:53,0xf6e7a7e969d347080969493d6232dd7e93c81e626cfd01ea78f8f305a8fb3ed9,7,0x78c677775295c11eeff0453de627262282f8cd09aedf43467e885c0e089084a3,0xaae2ea76a9095a77bc2a94ca0d65b9c35887e39a,0x56d811088235f11c8920698a204a5010a788f4b3,0xb3c9669a5706477a2b237d98edb9b57678926f04,3.855018161482341e+21,bZx Protocol Token,BZRX,18,43,700000,143000000000,512599,2455938,deprecated,2951597
3,12232352,2021-04-13 14:47:53,0xf6e7a7e969d347080969493d6232dd7e93c81e626cfd01ea78f8f305a8fb3ed9,7,0x78c677775295c11eeff0453de627262282f8cd09aedf43467e885c0e089084a3,0xb3c9669a5706477a2b237d98edb9b57678926f04,0x1c9491865a1de77c5b6e19d2e6a5f1d7a6f2b25f,0xaae2ea76a9095a77bc2a94ca0d65b9c35887e39a,6.243537144040349e+20,Antimatter.Finance Governance Token,MATTER,18,43,700000,143000000000,512599,2455938,deprecated,2951597
4,12258466,2021-04-17 15:39:20,0xf41b21cc7aeabaa5be557374121712f1033c03d499f7259720addc5a805bc24c,9,0x259c067affb71e6d3e5fefd4efd9a7f5cff3b864e8b5b602b9b874eba13b3cec,0xf2a9e1b9b79d708aa2f333e6abac07a1d87451e1,0x957891c11616d3e0b0a76a76fb42724c382e0ef3,0xaae2ea76a9095a77bc2a94ca0d65b9c35887e39a,8.847544178009279e+21,Collateral,COLL,18,10,152310,181000000000,113074,1241044,deprecated,2925483
5,12258490,2021-04-17 15:43:06,0x190af43138d6b895868894ceb7280511800ec4d7aa9c0e6d5a3df52e365fc980,11,0xd3418aca59a61a828ae2a1f1e09ca6c38da8cf627721d8cbc95728310131bcfb,0xaae2ea76a9095a77bc2a94ca0d65b9c35887e39a,0x957891c11616d3e0b0a76a76fb42724c382e0ef3,0xa118daa3d055bc356ab8bf38a218b174f7f21361,8.847e+21,Collateral,COLL,18,172,200000,178000001459,84598,7615060,deprecated,2925459
6,12259291,2021-04-17 18:48:07,0xa3a9c7e16d5fa78bf48b06861e9e6afe5346d430af7ea8b7706257538983251f,0,0x41c0e7009aea29c2e27cd4aefc1a7ec9abf7fddf87b039fff5f2107d0546629e,0x91d44553f0b4a89db7ac7de991870b0376447513,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0xaae2ea76a9095a77bc2a94ca0d65b9c35887e39a,21346963908.0,USD Coin,USDC,6,99,250000,198000000000,50593,5897001,deprecated,2924658
7,12266108,2021-04-18 19:57:23,0x5408fffc72365fa14ab76befee20c58e2f3fecde2287554a5d12e005669ae4c7,14,0x4e766e5479c94a92a66d5548193e5006f6a464d42681a1096ee2982bc452102f,0x73a86455888902108bc88f5831919e23098b9b04,0x1614f18fc94f47967a3fbe5ffcd46d4e7da3d787,0xaae2ea76a9095a77bc2a94ca0d65b9c35887e39a,1.352234176081119e+21,PAID Network,PAID,18,59,173197,111000000000,131765,4995513,deprecated,2917841
8,12266745,2021-04-18 22:13:23,0xcb0398a8d906f209ea9aee9fc2597a01c98f14e700ed19a6710b912e91ea9b35,16,0x746d2470317ec8894ca859705bd71eb289ee338b575af02c69dd6036621ecd3c,0xaae2ea76a9095a77bc2a94ca0d65b9c35887e39a,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0xdb38ae75c5f44276803345f7f02e95a0aeef5944,10000220000.0,USD Coin,USDC,6,59,416643,106000000000,299436,3710908,deprecated,2917204
9,12266745,2021-04-18 22:13:23,0xcb0398a8d906f209ea9aee9fc2597a01c98f14e700ed19a6710b912e91ea9b35,16,0x746d2470317ec8894ca859705bd71eb289ee338b575af02c69dd6036621ecd3c,0xdb38ae75c5f44276803345f7f02e95a0aeef5944,0x111111111117dc0aa78b770fa6a738034120c302,0xaae2ea76a9095a77bc2a94ca0d65b9c35887e39a,1.8930769822963173e+21,1INCH Token,1INCH,18,59,416643,106000000000,299436,3710908,deprecated,2917204
