,blockNumber,timeStamp,hash,nonce,blockHash,from,contractAddress,to,value,tokenName,tokenSymbol,tokenDecimal,transactionIndex,gas,gasPrice,gasUsed,cumulativeGasUsed,input,confirmations
0,10770022,2020-08-31 17:21:53,0xacd5ae162825a7cabea633d3565177b586b6effa83d65b64f24ea32942b96b65,24296,0x8548892b294910d61cadd23f140082209a6f2bfb539335fa7558d5988a879c50,0x55fe002aeff02f77364de339a1292923a15844b8,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0xafdb8c6c557487d58865a6dfa148385859b7d6f1,10957290000.0,USD Coin,USDC,6,8,100000,451500000000,57393,365830,deprecated,4414383
1,10770163,2020-08-31 17:53:17,0x0d89803ccd8d69ca53e3acdccfed9f1406cab93788dac814dae324eead5558be,0,0xeae980b42a2925f4dd62985134d65d1b4ec825b73ef3e7b2ee8785c1f5467717,0xafdb8c6c557487d58865a6dfa148385859b7d6f1,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0xbbbfb3071fbcaae54b88bb3016d6ad464c0335d5,434280000.0,USD Coin,USDC,6,96,86790,301000000000,57381,10437644,deprecated,4414242
2,10770339,2020-08-31 18:30:47,0xefcfd8be1ccf6a990e18c07bd90870f8d316693fb0cde4fb1338cf2f8bcfe117,3,0x1cb9871350e8f2208413e1f639a8f8732208dc8d69b9cae0cae5c591687106b4,0xafdb8c6c557487d58865a6dfa148385859b7d6f1,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0xb4e16d0168e52d35cacd2c6185b44281ec28c9dc,2000000000.0,USD Coin,USDC,6,171,215186,301000000000,185091,8446139,deprecated,4414066
3,10770339,2020-08-31 18:30:47,0xefcfd8be1ccf6a990e18c07bd90870f8d316693fb0cde4fb1338cf2f8bcfe117,3,0x1cb9871350e8f2208413e1f639a8f8732208dc8d69b9cae0cae5c591687106b4,0x8bd1661da98ebdd3bd080f0be4e6d9be8ce9858c,0x408e41876cccdc0f92210600ef50372656052a38,0xafdb8c6c557487d58865a6dfa148385859b7d6f1,3.960634484829645e+21,Republic,REN,18,171,215186,301000000000,185091,8446139,deprecated,4414066
4,10770345,2020-08-31 18:31:33,0x7a5e62a7d493684a99565c8c8b9579af52d991fd76862fc38b3394350e09c38a,4,0x4e410a65e424e8735bc58267beeaf1368b9aad5b4c2dff359607c514467a9d1b,0xafdb8c6c557487d58865a6dfa148385859b7d6f1,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0xb4e16d0168e52d35cacd2c6185b44281ec28c9dc,2000000000.0,USD Coin,USDC,6,139,226019,301000000000,194972,8267745,deprecated,4414060
5,10770345,2020-08-31 18:31:33,0x7a5e62a7d493684a99565c8c8b9579af52d991fd76862fc38b3394350e09c38a,4,0x4e410a65e424e8735bc58267beeaf1368b9aad5b4c2dff359607c514467a9d1b,0x3da1313ae46132a397d90d95b1424a9a7e3e0fce,0xd533a949740bb3306d119cc777fa900ba034cd52,0xafdb8c6c557487d58865a6dfa148385859b7d6f1,5.636015263838861e+20,Curve DAO Token,CRV,18,139,226019,301000000000,194972,8267745,deprecated,4414060
6,10770347,2020-08-31 18:31:58,0xfd5d019de484eeb189e13b08cfc00da2d1174b1924e94edcaee42c06a6388fbb,5,0x6f4047d6a5c93727111599382761e80e50dc4b353d071289a0832e53e8292e34,0xafdb8c6c557487d58865a6dfa148385859b7d6f1,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0xb4e16d0168e52d35cacd2c6185b44281ec28c9dc,2000000000.0,USD Coin,USDC,6,127,213742,301000000000,195814,6304733,deprecated,4414058
7,10770347,2020-08-31 18:31:58,0xfd5d019de484eeb189e13b08cfc00da2d1174b1924e94edcaee42c06a6388fbb,5,0x6f4047d6a5c93727111599382761e80e50dc4b353d071289a0832e53e8292e34,0xcc3d1ecef1f9fd25599dbea2755019dc09db3c54,0x476c5e26a75bd202a9683ffd34359c0cc15be0ff,0xafdb8c6c557487d58865a6dfa148385859b7d6f1,674563086.0,Serum,SRM,6,127,213742,301000000000,195814,6304733,deprecated,4414058
8,10770366,2020-08-31 18:35:37,0x1771b62eb13c2428d5d6ab1b8daf62a9c38f26be2102db28c06f46e6734c604f,6,0xbb6b0f56d361dfb0612c196b5868c5f7a04aa7f0ba6d1332ed507fa81ace59ed,0xafdb8c6c557487d58865a6dfa148385859b7d6f1,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0x3041cbd36888becc7bbcbc0045e3b1f144466f5f,1000000000.0,USD Coin,USDC,6,109,278932,275000000000,239137,6851008,deprecated,4414039
9,10770366,2020-08-31 18:35:37,0x1771b62eb13c2428d5d6ab1b8daf62a9c38f26be2102db28c06f46e6734c604f,6,0xbb6b0f56d361dfb0612c196b5868c5f7a04aa7f0ba6d1332ed507fa81ace59ed,0xce84867c3c02b05dc570d0135103d3fb9cc19433,0x6b3595068778dd592e39a122f4f5a5cf09c90fe2,0xafdb8c6c557487d58865a6dfa148385859b7d6f1,1.6907472637079067e+20,SushiToken,SUSHI,18,109,278932,275000000000,239137,6851008,deprecated,4414039
