,blockNumber,timeStamp,hash,nonce,blockHash,from,contractAddress,to,value,tokenName,tokenSymbol,tokenDecimal,transactionIndex,gas,gasPrice,gasUsed,cumulativeGasUsed,input,confirmations
0,10774284,2020-09-01 08:48:19,0x26967c439901278039ac35f8343a622d9a07a7f28c1860c2af22c7233e0b93d2,2,0x048334094af75b786c7d8312ab264f155704d28941b4c02f006ecabf2775c23e,0xb017db3cc311546acb11241a4b27f6765e2a0d38,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0xc822d85d2dcedfaf2cefcf69dbd5588e7ffc9f10,8e+18,Wrapped Ether,WETH,18,47,149717,426000001459,114556,3151694,deprecated,4409876
1,10774284,2020-09-01 08:48:19,0x26967c439901278039ac35f8343a622d9a07a7f28c1860c2af22c7233e0b93d2,2,0x048334094af75b786c7d8312ab264f155704d28941b4c02f006ecabf2775c23e,0xc822d85d2dcedfaf2cefcf69dbd5588e7ffc9f10,0x0417912b3a7af768051765040a55bb0925d4ddcf,0xb017db3cc311546acb11241a4b27f6765e2a0d38,5.841546858950372e+22,Liquidity Dividends Protocol,LID,18,47,149717,426000001459,114556,3151694,deprecated,4409876
2,10774297,2020-09-01 08:50:21,0x0a0a491f31375b88a770cfb36ccc454d038d0bab5a3021a1b291b8c66d36b562,4,0xcfb95d2ceb50b6015fedcc797a28d3de0341fc912e18e52e4b69e1735799524b,0xac317d14738a454ff20b191ba3504aa97173045b,0x8ce9137d39326ad0cd6491fb5cc0cba0e089b6a9,0xb017db3cc311546acb11241a4b27f6765e2a0d38,9.353686974672845e+20,Swipe,SXP,18,18,167290,426000000000,126481,3443356,deprecated,4409863
3,10774317,2020-09-01 08:54:35,0x239ead58c34a879b367664281cce071f14ab71bdf7b60ebd8bd13a077cb383bb,5,0x4000b980d3a12fc72cd665a00bd55babb1339178e3c36fd1994ebc27281d1708,0xac317d14738a454ff20b191ba3504aa97173045b,0x8ce9137d39326ad0cd6491fb5cc0cba0e089b6a9,0xb017db3cc311546acb11241a4b27f6765e2a0d38,2.956589424397391e+20,Swipe,SXP,18,78,150528,422000000000,111481,5075339,deprecated,4409843
4,10774688,2020-09-01 10:19:41,0x409950217aef2161bf6352edad5b923560cfa17a0209e73e4bf48f3a48c60831,6,0x90dba852d671ca0794dc5077d7ad2d0fd65e121ecf99308a5924d610fe100918,0xb017db3cc311546acb11241a4b27f6765e2a0d38,0x8ce9137d39326ad0cd6491fb5cc0cba0e089b6a9,0xafe2772d984585c26bddce85edb023ae374e9bb6,1e+20,Swipe,SXP,18,249,79689,440000000000,53126,12118909,deprecated,4409472
5,10774743,2020-09-01 10:32:26,0x09baeb5661287584cd3c3fe13590c2209402ee2edf19cbeffd2993d14478ecdc,7,0x5afce87cf5794061230fbc2ddf08ab3fbed1589feb2fea38db078b3d49ed9c67,0xb017db3cc311546acb11241a4b27f6765e2a0d38,0x8ce9137d39326ad0cd6491fb5cc0cba0e089b6a9,0xafe2772d984585c26bddce85edb023ae374e9bb6,1.1310276399070236e+21,Swipe,SXP,18,204,57225,441000000000,23150,12137420,deprecated,4409417
6,10777469,2020-09-01 20:23:19,0x8fcab094e7ea1c9d102438b52b317ec67a71306ba10902eb481367ce062df614,8,0x41723029679b9b7e5e8e8f3427721bffcf97a7e16786c75c91032006c3dfabd9,0xe20d1742b1e01a2beb257c3826eb4ce96e1752e7,0x0501e7a02c285b9b520fdbf1badc74ae931ad75d,0xb017db3cc311546acb11241a4b27f6765e2a0d38,1.955778874913187e+19,Walnut.Finance,WTF,18,142,163907,479000000000,135469,9795770,deprecated,4406691
7,10777486,2020-09-01 20:27:58,0x0285ebf7b1fdf6a79b51a7516002f375a14b6ba97b6ea51360a5210820e734ef,9,0xf807e73960bdf331c69700ad315126ef3e9537e7ca5cf08c29ba1335f2481ab7,0xe20d1742b1e01a2beb257c3826eb4ce96e1752e7,0x0501e7a02c285b9b520fdbf1badc74ae931ad75d,0xb017db3cc311546acb11241a4b27f6765e2a0d38,1.118030798634935e+20,Walnut.Finance,WTF,18,27,160585,479000000000,120481,1399099,deprecated,4406674
8,10777551,2020-09-01 20:45:16,0x2f6afbdf5d7e1b5d43b530e88428e62a8008b2b28f5da54fb946ac6c3f208380,10,0xf2832ef5c09b7306889f21dfcf761ee9f99ce340baa9afe94c9567487a15db37,0xfc74ecdee4e9fff2f2ef4cdf4f1c777b2ef0e905,0x0763fdccf1ae541a5961815c0872a8c5bc6de4d7,0xb017db3cc311546acb11241a4b27f6765e2a0d38,5.401160845532845e+21,SUKU,SUKU,18,81,167191,480000000000,126392,7455676,deprecated,4406609
9,10777570,2020-09-01 20:50:58,0xb275a4be0a2f37375d139b520a0f31b71d056169e74a6a08fa34e01b312d2d0e,11,0xff18a5a2f171c05e038e5c0e265a6fe24025a7272cbcd666d1726c6a685a975e,0x8973be4402bf0a39448f419c2d64bd3591dd2299,0xa1d0e215a23d7030842fc67ce582a6afa3ccab83,0xb017db3cc311546acb11241a4b27f6765e2a0d38,5.542350885597721e+17,YFII.finance,YFII,18,125,164849,480000000000,124296,11488982,deprecated,4406590
