,blockNumber,timeStamp,hash,nonce,blockHash,from,contractAddress,to,value,tokenName,tokenSymbol,tokenDecimal,transactionIndex,gas,gasPrice,gasUsed,cumulativeGasUsed,input,confirmations
0,10761678,2020-08-30 10:40:53,0x01a4fc36e608c2f842408397a648f4908876a2ee082b7fef7fe047f7fe181e42,1,0xee2eac49f798a38141fa55cd49ad9c3c06a0e3f79b54ef3cb131a0acae20c78c,0x7e2d5e3888314e4b84898bf0bb8b6e6011b0cf3f,0x27b172e7996f09a78fe801ef4c8193cb937fe76a,0xb086b0ff5ed126cb5be30bbbf0e31c1d97fa0830,1e+19,yearnme.me,YMEM,18,204,174047,224000000000,132941,9062573,deprecated,4422794
1,10762796,2020-08-30 14:46:21,0x39cf6eaf6dae585de92901bce55fd14b0fd768c55ae5476563d1235084ef63be,2,0x970bb3106aa097b2162d75e0fc6360f5b10c01298bbfcb2cda8789ab8cc4717e,0x273047a998d203521367ec6d4425dff0ce3280de,0x2844d5e695eeb37d6ca2a85adb8a254c81b7c0e0,0xb086b0ff5ed126cb5be30bbbf0e31c1d97fa0830,1.4861503712976854e+17,YFX Finance,YFX,18,50,164825,220000000000,124274,5416526,deprecated,4421676
2,10771109,2020-08-31 21:08:50,0xac325cc66d9e9f8fa5319238b3381e69693b96fff14b0130bd84a9d05e5d6e2a,5,0xe7eea858b34e6261bc151828c1f1b92d3f9523295c4c55014fa07b4b787498c5,0xcb4f983e705caeb7217c5c3785001cb138115f0b,0x45f24baeef268bb6d63aee5129015d69702bcdfa,0xb086b0ff5ed126cb5be30bbbf0e31c1d97fa0830,3.5498812648614784e+17,YFValue,YFV,18,85,164849,271000000000,112280,6159656,deprecated,4413363
3,10796537,2020-09-04 18:36:47,0xc6aa8b79d999860f5f1aa1cab5ae744d6115babe16cf780c80c25ff6206f1936,0,0xee4234e6c9e91888a8b6ffbfb21b05b4336a1eacc7124d40d4f22da30d8d48f5,0x96939f681d9e7f39518cd30a3d31efd72a15c41c,0x6b175474e89094c44da98b954eedeac495271d0f,0xb086b0ff5ed126cb5be30bbbf0e31c1d97fa0830,1.0052204951e+20,Dai Stablecoin,DAI,18,124,200000,146000000000,37030,6882356,deprecated,4387935
4,10797168,2020-09-04 20:57:29,0xa5200850db604072998d65795fded4ebd21b6dcdce325ca39a1dac7e57e5e087,6,0xd35a683b66ec650af4b3ebcde8d888842f451c7ee3912f3f733f0ecc83ff43e7,0xb086b0ff5ed126cb5be30bbbf0e31c1d97fa0830,0x6b175474e89094c44da98b954eedeac495271d0f,0xc8c5463c8a7c8d6a4b499661ff1d39cdf8a36b15,1.0052204951e+20,Dai Stablecoin,DAI,18,139,78045,109000000000,37030,9986985,deprecated,4387304
5,10879151,2020-09-17 10:32:57,0x7236b0f6a324460c294bf03c6da4087eb6e5a6956aa4d900162086efbc297319,7,0x1d10db1cbfd455e3ec1505ce4fed8cb419f630fec30a50249482d822f3833924,0x090d4613473dee047c3f2706764f49e0821d256e,0x1f9840a85d5af5bf1d1762f925bdaddc4201f984,0xb086b0ff5ed126cb5be30bbbf0e31c1d97fa0830,4e+20,Uniswap,UNI,18,176,90033,500000000000,81849,11509650,deprecated,4305321
6,10879362,2020-09-17 11:19:25,0x448effe1d1aa386a9e18ad8614b4c2b226929db2bf7a73e147cd25ae8ef5fe5d,8,0x8add7d237116dd3bcc2636e4d1916711feae4ee7602f763851e5ec3dabec08ce,0xb086b0ff5ed126cb5be30bbbf0e31c1d97fa0830,0x1f9840a85d5af5bf1d1762f925bdaddc4201f984,0x1ae6ead15808b7b991eca4df747920e608ae463e,0.0,Uniswap,UNI,18,84,48033,491000000000,32022,7757519,deprecated,4305110
7,10880562,2020-09-17 15:39:24,0x0e1c1e2ac19732d4c5678efa003b83ef634072cb6c0e5de28c7eb8c4a5116089,9,0xfd8d4ca67b6066c02219d09ad0cb98800b76516206d11760cf872f3d4996caa9,0xb086b0ff5ed126cb5be30bbbf0e31c1d97fa0830,0x1f9840a85d5af5bf1d1762f925bdaddc4201f984,0x1ae6ead15808b7b991eca4df747920e608ae463e,0.0,Uniswap,UNI,18,101,48033,445500000000,32022,5304877,deprecated,4303910
8,10880627,2020-09-17 15:52:43,0xdbaa991c58bb31d72b4b65eb640f8d4a3da9eeee7561faf61d25a1fcf08e9109,10,0xb9947da8d1b23cde89d845920f0b680a72d37fcc249b77240d0d2441f9e172b8,0xb086b0ff5ed126cb5be30bbbf0e31c1d97fa0830,0x1f9840a85d5af5bf1d1762f925bdaddc4201f984,0x1ae6ead15808b7b991eca4df747920e608ae463e,4e+20,Uniswap,UNI,18,247,83259,405000000000,40506,11871140,deprecated,4303845
9,11462451,2020-12-16 06:20:21,0x0c406dfdd172e7889e681fc3899db501e7864ff628032d87e529652b18a7592d,0,0x2aedf013b6da6bca84aecffe09a6ee66776e673b8d211bba595f1dcbc6480af6,0xd0f97afa48e4920d9c0f5ff535dfd89f19d90e5b,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0xb086b0ff5ed126cb5be30bbbf0e31c1d97fa0830,3000000.0,USD Coin,USDC,6,69,250000,88000000000,42369,3112029,deprecated,3722021
