,blockNumber,timeStamp,hash,nonce,blockHash,from,contractAddress,to,value,tokenName,tokenSymbol,tokenDecimal,transactionIndex,gas,gasPrice,gasUsed,cumulativeGasUsed,input,confirmations
0,10779392,2020-09-02 03:28:36,0x2445347602f44d90230b9c72546fb4e5c57ad0b8cb914022e4072f684ba63e1f,0,0x87cfcd69773b59fb85a46ad85ea65fe69e40feb4cb69ba6d8bb7edde89366347,0xe92346d9369fe03b735ed9bdeb6bdc2591b8227e,0xe54f9e6ab80ebc28515af8b8233c1aee6506a15e,0xb0f30b64149668052381b84ab9d607864f1609ce,1.2010207935835942e+20,Spaghetti,PASTA,18,152,176667,480000000000,134871,11669420,deprecated,4404390
1,10780214,2020-09-02 06:36:39,0x267d22635c671aa0101c1a495523cc6f4b6358e9322006be949b9083db03201d,2,0xe9e2321fa718746e4282a2ae587e87e102d78fecd405065e6e6ea3eeb0fa5892,0xf33d5c3a7490ba374890b0ab8fa059bdf7749564,0x4b4f5286e0f93e965292b922b9cd1677512f1222,0xb0f30b64149668052381b84ab9d607864f1609ce,5.513981614882759e+20,YUNo.finance,YUNO,18,137,302458,480000000000,253127,10428529,deprecated,4403568
2,10781922,2020-09-02 12:57:28,0x61e5ab22feec1b86b98359a07c41bff7fb159622eaf685b8a528d2a46ad60486,3,0xdbf577c38906d3f52f8f4f6b6d2115037ab114dd662d1d7fe9d5e286721bceb7,0x73282a63f0e3d7e9604575420f777361eca3c86a,0x96d62cdcd1cc49cb6ee99c867cb8812bea86b9fa,0xb0f30b64149668052381b84ab9d607864f1609ce,2.0000000000000003e+20,Yearn Finance Protocol,YFP,18,38,254860,461100000000,167673,2045007,deprecated,4401860
3,10794053,2020-09-04 09:26:05,0xe558c857ce79088efdfa08c11c7d8691f565bf8f09d0b2eddf18877425e0af8d,5,0x49988f33f9e02ac43293ffee01652a4a6b394c523ad52cad99433168dbf8138f,0xb0f30b64149668052381b84ab9d607864f1609ce,0x96d62cdcd1cc49cb6ee99c867cb8812bea86b9fa,0x049963a8c68d225dc03f32c299fcb1939173dfd3,1e+20,Yearn Finance Protocol,YFP,18,92,165805,241000001459,125450,7007647,deprecated,4389729
4,10794932,2020-09-04 12:45:34,0x50c81f379310496bd7f864a4d9dd45b4b107f903a13e16a36e43f0bc41f32e4f,6,0x0fa1cf5a3374b0634829c995440724ccb29d4f6ce20659a9be5fe133c7fb62f5,0x049963a8c68d225dc03f32c299fcb1939173dfd3,0x96d62cdcd1cc49cb6ee99c867cb8812bea86b9fa,0xb0f30b64149668052381b84ab9d607864f1609ce,1.6468923969857867e+20,Yearn Finance Protocol,YFP,18,67,148086,137600000000,109295,7334047,deprecated,4388850
5,10800467,2020-09-05 09:07:38,0x0a579bf549696009e7187af9286ff94d844e39a48059b0c198a3ea953b73ce3d,8,0xdb2863e52e8ca34315044fefe73014bc4aa40bf7073eaec5f3419b887b152904,0x049963a8c68d225dc03f32c299fcb1939173dfd3,0x96d62cdcd1cc49cb6ee99c867cb8812bea86b9fa,0xb0f30b64149668052381b84ab9d607864f1609ce,1.6536758616575908e+20,Yearn Finance Protocol,YFP,18,72,148086,230000000000,109295,3655408,deprecated,4383315
6,10800724,2020-09-05 10:02:49,0xc8ffbe528a0cbd4320ebb7f8c5678e520a8d58e6c18a013dd79c2aac3f565012,9,0x3bbdc347f75fe67cb9bf0ee38e67bfabe5cc5c7489fdd2528d3570ee342ecef7,0x73282a63f0e3d7e9604575420f777361eca3c86a,0xa15b5dcd73be60f8e7b58477cc25df3c5bdf5938,0xb0f30b64149668052381b84ab9d607864f1609ce,2.4139760000000334e+20,WINE.FINANCE,WINE,18,72,286825,259000000000,198152,5614268,deprecated,4383058
7,10801104,2020-09-05 11:28:10,0x4d2342c5ed1e12926e855c53e428408b0e820daf6854893443a4ab89c11103f4,10,0xd500d1ebcc9beb8286bf07c525df7fce11e5e27bc819280e578da97973d8a4ce,0x27905b295cf824ddc9974d2b873ac3bab4f15a0d,0xa15b5dcd73be60f8e7b58477cc25df3c5bdf5938,0xb0f30b64149668052381b84ab9d607864f1609ce,9.501282759321582e+19,WINE.FINANCE,WINE,18,176,148086,300000000000,97279,12387319,deprecated,4382678
8,10813235,2020-09-07 07:49:40,0x8aaf63a1b7947790ab424445c710e2f9acecf0c9689cd702da9ba4a5e142865d,11,0x4d328f44bc09a0f361e2d19175af376cd86c628d9fddbb345e0c4c88d6385138,0x049963a8c68d225dc03f32c299fcb1939173dfd3,0x96d62cdcd1cc49cb6ee99c867cb8812bea86b9fa,0xb0f30b64149668052381b84ab9d607864f1609ce,1.6432055438135947e+19,Yearn Finance Protocol,YFP,18,210,148073,90200000000,109283,11711210,deprecated,4370547
9,10818618,2020-09-08 03:43:27,0x288e7b65a5c9bf206914c3d2bfe344e44c48c0270f076ec9d12f34b11859adce,13,0x4e78816ae4f87b6e9ead2a6fe3552598abfb421b02245a05d2ff0f35c6aa940a,0xb0f30b64149668052381b84ab9d607864f1609ce,0x96d62cdcd1cc49cb6ee99c867cb8812bea86b9fa,0x049963a8c68d225dc03f32c299fcb1939173dfd3,5e+18,Yearn Finance Protocol,YFP,18,31,165778,86900000000,125426,3132668,deprecated,4365164
