,blockNumber,timeStamp,hash,nonce,blockHash,from,contractAddress,to,value,tokenName,tokenSymbol,tokenDecimal,transactionIndex,gas,gasPrice,gasUsed,cumulativeGasUsed,input,confirmations
0,10784159,2020-09-02 21:03:02,0xf557e9b01bd62963b16214819abc452e9202ecda40b6810cfc40b0922ddc7a59,2700348,0x83034b2b9465581808cba34b912de4f536646f31ab4e807412fc5459e94dd1fc,0x564286362092d8e7936f0549571a803b203aaced,0xba11d00c5f74255f56a5e366f4f77f5a186d7f55,0xb114c4a4982e9f2463914a5a641699b36160c7d7,1.65e+19,BandToken,BAND,18,96,207128,356000000000,129619,7706683,deprecated,4399715
1,10784249,2020-09-02 21:25:02,0xdb11f9c527eba50e8b7b1aade272639d0459bc1dd8bb93a2f0527bcf06c72c70,1,0xf2682e6e40a9b8813ae05058fcbc0140745cc650a0a101b9a567b3116bdc6dfd,0xb114c4a4982e9f2463914a5a641699b36160c7d7,0xba11d00c5f74255f56a5e366f4f77f5a186d7f55,0xf421c3f2e695c2d4c0765379ccace8ade4a480d9,1.65e+19,BandToken,BAND,18,172,262790,320000000000,205934,11225861,deprecated,4399625
2,10784249,2020-09-02 21:25:02,0xdb11f9c527eba50e8b7b1aade272639d0459bc1dd8bb93a2f0527bcf06c72c70,1,0xf2682e6e40a9b8813ae05058fcbc0140745cc650a0a101b9a567b3116bdc6dfd,0x0000000000000000000000000000000000000000,0xf421c3f2e695c2d4c0765379ccace8ade4a480d9,0xb114c4a4982e9f2463914a5a641699b36160c7d7,2.2866579873870564e+18,Uniswap V2,UNI-V2,18,172,262790,320000000000,205934,11225861,deprecated,4399625
3,10784278,2020-09-02 21:33:31,0x95ae91f915ebde7d51f8ec13f35eefa9b5adf9d1ca148f5e00e0e9e732c0ba5c,3,0x52790073f358cbf061fb5d0c3d14d7ab5ba332f885be420ae93d5cd3e479efc5,0xb114c4a4982e9f2463914a5a641699b36160c7d7,0xf421c3f2e695c2d4c0765379ccace8ade4a480d9,0xc2edad668740f1aa35e4d8f227fb8e17dca888cd,2.2866579873870564e+18,Uniswap V2,UNI-V2,18,109,212403,320000000000,126602,10348574,deprecated,4399596
4,10784436,2020-09-02 22:10:51,0xf27a438f71f835f2795116495df26f23f16bf4198404582fcb37861e79963293,4,0xa53adc63490a5b06ad9997eb27851a0917fe181e5211af2db543f3e042a3cb30,0xa478c2975ab1ea89e8196811f51a7b7ade33eb11,0x6b175474e89094c44da98b954eedeac495271d0f,0xb114c4a4982e9f2463914a5a641699b36160c7d7,5.0369731290147594e+19,Dai Stablecoin,DAI,18,102,152541,317000000000,113282,8831495,deprecated,4399438
5,10784462,2020-09-02 22:16:11,0x2598071fb5237b2fc452514feacf9e173b5df320ea3552605a410829e9cc6be3,6,0x1be2bb818443fefe5a0eb75729312e30d05dea2f438410c1e5b77824a7ebf804,0xb114c4a4982e9f2463914a5a641699b36160c7d7,0x6b175474e89094c44da98b954eedeac495271d0f,0x8fdd31b72cc18c965e6a7bc85174994e72799732,5.03697e+19,Dai Stablecoin,DAI,18,94,185560,320000000000,123707,8471670,deprecated,4399412
6,10784626,2020-09-02 22:50:13,0x6a643e2c94e4d6d0d10e407894838b62d8a11207f099309a2cf0886c0c79db85,7,0x2245dc0583efa3785b94a37b62cec2247340a7a4d1bc57afaa213694a9ac02f9,0x6285ff6aef7ba5bddeb67b033dc75f6da0980191,0xa1d0e215a23d7030842fc67ce582a6afa3ccab83,0xb114c4a4982e9f2463914a5a641699b36160c7d7,634752464010378.0,YFII.finance,YFII,18,46,787155,320000000000,446942,3646324,deprecated,4399248
7,10784986,2020-09-03 00:08:21,0x7c4294719c6315cbed1373229a7440696a8c2216cf344dae6828af6225a8a0ac,5072016,0x6919f4ef4f62a765d946ae3930ceafd69c665d21ba4d3b91595f753fdd5118bf,0x3f5ce5fbfe3e9af3971dd833d26ba9b5c936f0be,0x6b175474e89094c44da98b954eedeac495271d0f,0xb114c4a4982e9f2463914a5a641699b36160c7d7,1.1139633426e+20,Dai Stablecoin,DAI,18,112,207128,291000000000,37030,10019519,deprecated,4398888
8,10784992,2020-09-03 00:09:05,0xb7cdcc90ef1f9f4185fe10608fc448aaba47fc04a87d923ec155fdff522faca1,8,0xdff100766f46e43e5f96c509486c0257e32ad8fc87947ed62a491c5a1ac83e6c,0xb114c4a4982e9f2463914a5a641699b36160c7d7,0x6b175474e89094c44da98b954eedeac495271d0f,0x8fdd31b72cc18c965e6a7bc85174994e72799732,1.113963e+20,Dai Stablecoin,DAI,18,94,118060,312000000000,78707,6460089,deprecated,4398882
9,10790228,2020-09-03 19:38:11,0x74ec603a3ef5a4c8138500199f727826bbb6961491daf9ad682191ab49cc3715,51,0x63b29fbf2541b66310a0195b35f358bbb7e762071cf0578fa93b235e39bf0ba8,0x708f4ab30afaba0c585a81bdbf0dd168a5c90a9a,0xdac17f958d2ee523a2206206994597c13d831ec7,0xb114c4a4982e9f2463914a5a641699b36160c7d7,5000000000.0,Tether USD,USDT,6,45,84313,386000000000,56209,3310274,deprecated,4393646
10,10790263,2020-09-03 19:46:33,0x3ca3ba9e0ad8fd42877fc7e26ab4f26298788538bc578822952d331286378335,10,0x298ec836de7e2ff81c0d78f020e87c374b12f8dfb156c4685e7d3c5f02f1e1e9,0xb114c4a4982e9f2463914a5a641699b36160c7d7,0xdac17f958d2ee523a2206206994597c13d831ec7,0x0d4a11d5eeaac28ec3f61d100daf4d40471f1852,2400000000.0,Tether USD,USDT,6,149,153398,386000000000,114171,9051523,deprecated,4393611
11,10790310,2020-09-03 19:55:02,0x642f67d439285d7e66bc81a337895ac37ddd50dcda85e3cc407ddd7c4bf4c200,11,0xc4549cb8ea09d95e90e01cc12d6b2f124e6f40c6dc95001d85167e706dfcba5a,0xb114c4a4982e9f2463914a5a641699b36160c7d7,0xdac17f958d2ee523a2206206994597c13d831ec7,0x0d4a11d5eeaac28ec3f61d100daf4d40471f1852,2400000000.0,Tether USD,USDT,6,131,272328,250000000000,236066,10121223,deprecated,4393564
