,blockNumber,timeStamp,hash,nonce,blockHash,from,contractAddress,to,value,tokenName,tokenSymbol,tokenDecimal,transactionIndex,gas,gasPrice,gasUsed,cumulativeGasUsed,input,confirmations
0,10773604,2020-09-01 06:18:37,0xbe94f72c5cea8acc0dc475f789fab676ead9bc70b2016c8abe92d00211e9dea7,6,0x33828d2fb109105630bc8fbed98e51d6b786413011470808c5645efaea802b5d,0x12d4444f96c644385d8ab355f6ddf801315b6254,0x38e4adb44ef08f22f5b5b76a8f0c2d0dcbe7dca1,0xb174828aca515522b930b8d4b5de78ba5b237f8a,6.648631079717046e+19,Concentrated Voting Power,CVP,18,82,170329,386100000233,129200,5158910,deprecated,4410389
1,10776156,2020-09-01 15:42:36,0xdc46f47e9080c6b3b95a6de5b2e062469a5ea2867a26c530797879b77d955f21,7,0x9565bfdb444077850cd3b308f68e38b1bd2673206172a1c2473e6e38b0685982,0x9c5999653f44672336c2ef0a0008587fa8b9957e,0x0e29e5abbb5fd88e28b2d355774e73bd47de3bcd,0xb174828aca515522b930b8d4b5de78ba5b237f8a,8.730239510048254e+20,Hakka Finance,HAKKA,18,185,165710,495000000233,125067,8981642,deprecated,4407837
2,10865768,2020-09-15 09:23:06,0xa9dec0fbef96cc286bab900793b841cd1729a41af05e5c8173786765791120b3,11,0xa69834eed2b3c50928a2daaaffc69e5fb65238a99bbfda60e9bd642a486e8c89,0xab659dee3030602c1af8c29d146facd4aed6ec85,0x3f382dbd960e3a9bbceae22651e88158d2791550,0xb174828aca515522b930b8d4b5de78ba5b237f8a,9.4860544040429e+20,Aavegotchi GHST Token,GHST,18,119,274137,158400000233,222097,6641719,deprecated,4318225
3,10874105,2020-09-16 16:04:06,0x15e9d9ec7e81723dde56bae14c0d20f695d87a67014c1cfe7decff3c2ebb9ce5,14,0x43fe89df1679ca0057af1b5f97bca64ee0ccf41d0799a858936aef25e0687353,0xb174828aca515522b930b8d4b5de78ba5b237f8a,0x3f382dbd960e3a9bbceae22651e88158d2791550,0xab659dee3030602c1af8c29d146facd4aed6ec85,9.4860544040429e+20,Aavegotchi GHST Token,GHST,18,60,288594,181500000233,237077,10704351,deprecated,4309888
4,10879381,2020-09-17 11:22:59,0x47096197cfcdf0568838557fa8dfd182357b6f539c4bc970bce03328c78fc908,15,0xa424292f1e7311ec6dcde466d1d10e8c77f8ce8ee9bf0ad28813de429c855652,0x090d4613473dee047c3f2706764f49e0821d256e,0x1f9840a85d5af5bf1d1762f925bdaddc4201f984,0xb174828aca515522b930b8d4b5de78ba5b237f8a,4e+20,Uniswap,UNI,18,158,90044,450000000377,81859,8515428,deprecated,4304612
5,10879992,2020-09-17 13:35:25,0x0328a3880fd6c2e081e70dccb257d956dc754d2b25c7a79681809f95b0664fa3,16,0x142ca02d1dccc071ce082f4fd50a4034226394680f67a3e4dfde85387d40bdd7,0xb174828aca515522b930b8d4b5de78ba5b237f8a,0x1f9840a85d5af5bf1d1762f925bdaddc4201f984,0x9cc5d6c1cf5f00ad436925990edd1da900f3bbbe,4e+20,Uniswap,UNI,18,175,60000,500000001459,40482,10156985,deprecated,4304001
6,10883704,2020-09-18 03:12:10,0x8a64ecf0f5d6b9f455869e8ea9a97db4e4cfa7ed5a0079d24e3989365d4b1bb4,5222958,0xc03175310f0c04b0d1a1c79ffde33b09ddb8ced3bc892a9f27aac33320711dc0,0x3f5ce5fbfe3e9af3971dd833d26ba9b5c936f0be,0xdac17f958d2ee523a2206206994597c13d831ec7,0xb174828aca515522b930b8d4b5de78ba5b237f8a,982549844.0,Tether USD,USDT,6,35,207128,312000000000,56209,3431105,deprecated,4300289
7,10885478,2020-09-18 09:59:30,0x67766d4c6d14f95c5ebc5e2fce49cc93a1203069942835b191f044dfe257fe7c,19,0x6bfdc650054656b2d602546dc072c66a5e7517369dbb7478f803f07431d0177d,0xb174828aca515522b930b8d4b5de78ba5b237f8a,0xdac17f958d2ee523a2206206994597c13d831ec7,0x0d4a11d5eeaac28ec3f61d100daf4d40471f1852,777353656.0,Tether USD,USDT,6,52,177542,290400000233,135797,3060938,deprecated,4298515
8,10885478,2020-09-18 09:59:30,0x67766d4c6d14f95c5ebc5e2fce49cc93a1203069942835b191f044dfe257fe7c,19,0x6bfdc650054656b2d602546dc072c66a5e7517369dbb7478f803f07431d0177d,0x0000000000000000000000000000000000000000,0x0d4a11d5eeaac28ec3f61d100daf4d40471f1852,0xb174828aca515522b930b8d4b5de78ba5b237f8a,31974267414524.0,Uniswap V2,UNI-V2,18,52,177542,290400000233,135797,3060938,deprecated,4298515
9,10887485,2020-09-18 17:21:10,0x6a61b3234d0a00da314ccedc60ee7bfba3f39f993dbfd53df3096afa65aff3ce,20,0xfa518d372da0fe734d60324e83ca64f47154f201c352ba4c4e1aa3ddf67dafa2,0xb174828aca515522b930b8d4b5de78ba5b237f8a,0x0d4a11d5eeaac28ec3f61d100daf4d40471f1852,0x6c3e4cb2e96b01f4b866965a91ed4437839a121a,31974267414524.0,Uniswap V2,UNI-V2,18,117,176185,375100000233,141985,5466891,deprecated,4296508
10,10956294,2020-09-29 08:21:48,0x49fd814b3552c19b353340d6b0ff7d75dd7e24071497d818d186f6d8853583f1,311,0x55bbed0c4b6f21159f6673434e8e6d7cc688fb9039acb2b5d42a7c37f39f946d,0xb174828aca515522b930b8d4b5de78ba5b237f8a,0xdac17f958d2ee523a2206206994597c13d831ec7,0x41f8d14c9475444f30a80431c68cf24dc9a8369a,205000000.0,Tether USD,USDT,6,74,450000,111000000000,272779,6709353,deprecated,4227699
11,10958062,2020-09-29 15:01:37,0x63884487dbe179c95d496349ea8870e195a746dd0e4e9297face4fe441b278f0,22,0x02cfdf96c5b84898b1d354497813c74943d4fb8ad777024713a290a74a271720,0x61d8c3d7ad3c3c00c9e4b8da089e19e57da90b91,0x5ade7ae8660293f2ebfcefaba91d141d72d221e8,0xb174828aca515522b930b8d4b5de78ba5b237f8a,2.2391132123182737e+24,Eminence,EMN,18,85,165204,256300000233,112599,4599079,deprecated,4225931
12,10964737,2020-09-30 16:09:26,0xc34f1380d43988dcbd11927e0b852905ee39329a485c208bc740d961f24b8c77,23,0xa07355139c4d70fc18e08680f56e534af69104a244a424031db09d801e144967,0x6c3e4cb2e96b01f4b866965a91ed4437839a121a,0x0d4a11d5eeaac28ec3f61d100daf4d40471f1852,0xb174828aca515522b930b8d4b5de78ba5b237f8a,31974267414524.0,Uniswap V2,UNI-V2,18,134,300000,104500000233,152894,10324287,deprecated,4219256
13,10964737,2020-09-30 16:09:26,0xc34f1380d43988dcbd11927e0b852905ee39329a485c208bc740d961f24b8c77,23,0xa07355139c4d70fc18e08680f56e534af69104a244a424031db09d801e144967,0x6c3e4cb2e96b01f4b866965a91ed4437839a121a,0x1f9840a85d5af5bf1d1762f925bdaddc4201f984,0xb174828aca515522b930b8d4b5de78ba5b237f8a,3.902206775989378e+18,Uniswap,UNI,18,134,300000,104500000233,152894,10324287,deprecated,4219256
