,blockNumber,timeStamp,hash,nonce,blockHash,from,contractAddress,to,value,tokenName,tokenSymbol,tokenDecimal,transactionIndex,gas,gasPrice,gasUsed,cumulativeGasUsed,input,confirmations
0,10676627,2020-08-17 08:56:32,0xc06aa54cfff757102bb0406a1f6f114d5fc5981388d06709ae7094eb82821618,1043963,0xea78896d7a30b71636756bfcdac97941985aa879e31a90923be10870c3059113,0xeee28d484628d41a82d01e21d12e2e78d69920da,0xdac17f958d2ee523a2206206994597c13d831ec7,0xb40a538b96f0f28ebabed5012e095b4d468da6c2,400000000.0,Tether USD,USDT,6,222,100000,101000000000,56197,9071372,deprecated,4507729
1,10676760,2020-08-17 09:27:05,0xf8d3289e093226d660d1c676ec042adfb957e0a2a4f006aabb9e9cf1ae8b3991,360248,0x97f079fe7eaa08825fcc93aae1e8bb102015a7e1dfb9d060f4e2665effe56531,0x5041ed759dd4afc3a72b8192c143f72f4724081a,0xdac17f958d2ee523a2206206994597c13d831ec7,0xb40a538b96f0f28ebabed5012e095b4d468da6c2,23475000.0,Tether USD,USDT,6,27,420000,208000000000,41209,886602,deprecated,4507596
2,10676867,2020-08-17 09:53:43,0x21f0ba174d45604e3c0edfcd20cba145be1aa4b7c8608362fac9fb5087f50455,1,0x4da67fac2896cb384bfe004fed28c154651bb4d4456abd2bfeccc646e14b0ae2,0xb40a538b96f0f28ebabed5012e095b4d468da6c2,0xdac17f958d2ee523a2206206994597c13d831ec7,0xbbc81d23ea2c3ec7e56d39296f0cbb648873a5d3,300000000.0,Tether USD,USDT,6,110,1496102,95000000000,753150,5729232,deprecated,4507489
3,10676867,2020-08-17 09:53:43,0x21f0ba174d45604e3c0edfcd20cba145be1aa4b7c8608362fac9fb5087f50455,1,0x4da67fac2896cb384bfe004fed28c154651bb4d4456abd2bfeccc646e14b0ae2,0xbbc81d23ea2c3ec7e56d39296f0cbb648873a5d3,0xdf5e0e81dff6faf3a7e52ba697820c5e32d806a8,0xb40a538b96f0f28ebabed5012e095b4d468da6c2,3.149717539199497e+20,Curve.fi yDAI/yUSDC/yUSDT/yTUSD,yDAI+yUSDC+yUSDT+yTUSD,18,110,1496102,95000000000,753150,5729232,deprecated,4507489
4,10676943,2020-08-17 10:08:36,0x5cb5a0e0d9215d6d19b4d0439a64070663d2b5245067ca667a237aa197f3d01e,3,0x6e716f04044ed9ea7af14a42fc482427b42bdf736e315d822f3cafffba3f145d,0xb40a538b96f0f28ebabed5012e095b4d468da6c2,0xdf5e0e81dff6faf3a7e52ba697820c5e32d806a8,0xfa712ee4788c042e2b7bb55e6cb8ec569c4530c1,3.1497e+20,Curve.fi yDAI/yUSDC/yUSDT/yTUSD,yDAI+yUSDC+yUSDT+yTUSD,18,113,500000,95000000000,227576,9791198,deprecated,4507413
5,10681216,2020-08-18 02:13:21,0x6de69bbe7685b1d10577daf7e84a3a79ca925dba426a53c34f1b7c789b6c2a00,5,0x94fef94efce7942fa31cb64a90faa4ecdec4f3c6c1749edb6a3b71c9c8171dc0,0x0000000000000000000000000000000000000000,0xd533a949740bb3306d119cc777fa900ba034cd52,0xb40a538b96f0f28ebabed5012e095b4d468da6c2,1.7960108000283056e+17,Curve DAO Token,CRV,18,238,296551,103000000000,223263,12336787,deprecated,4503140
6,10681453,2020-08-18 03:07:07,0x23e8689aeb8c6892c1b8d3a602ae78e73e0dc7cf09e9f67d48f7dfa6143e4d6b,7,0xb6a32b9522d3ff584a84cc1f2c73e5b44d37a97b61ccfa76defc380bc33ac203,0xfa712ee4788c042e2b7bb55e6cb8ec569c4530c1,0xdf5e0e81dff6faf3a7e52ba697820c5e32d806a8,0xb40a538b96f0f28ebabed5012e095b4d468da6c2,3.1497e+20,Curve.fi yDAI/yUSDC/yUSDT/yTUSD,yDAI+yUSDC+yUSDT+yTUSD,18,128,1500000,120000000000,148247,6909432,deprecated,4502903
7,10681677,2020-08-18 03:58:11,0xbf3d62ef0c51df0732306527fc7a8907d18cd6aab72338748d5a0f0722b94568,10,0x60d42589647ecd678b6ee8f344d1131e8f8f6cc60e4d244c20feb84f0f1511c0,0xb40a538b96f0f28ebabed5012e095b4d468da6c2,0xdf5e0e81dff6faf3a7e52ba697820c5e32d806a8,0xbbc81d23ea2c3ec7e56d39296f0cbb648873a5d3,3.149717539199497e+20,Curve.fi yDAI/yUSDC/yUSDT/yTUSD,yDAI+yUSDC+yUSDT+yTUSD,18,170,2500000,119000000000,1070666,9494239,deprecated,4502679
8,10681677,2020-08-18 03:58:11,0xbf3d62ef0c51df0732306527fc7a8907d18cd6aab72338748d5a0f0722b94568,10,0x60d42589647ecd678b6ee8f344d1131e8f8f6cc60e4d244c20feb84f0f1511c0,0xbbc81d23ea2c3ec7e56d39296f0cbb648873a5d3,0xdac17f958d2ee523a2206206994597c13d831ec7,0xb40a538b96f0f28ebabed5012e095b4d468da6c2,330603676.0,Tether USD,USDT,6,170,2500000,119000000000,1070666,9494239,deprecated,4502679
9,10701763,2020-08-21 05:42:57,0xd3fe48db509708e255f0548a3ac10b3f6dabb2729205b9d68dea067c9009a3bf,11,0x893aa45a6185e6d3ad904827b226b343cec3947a1edcaecb8083aa894cda461e,0xb40a538b96f0f28ebabed5012e095b4d468da6c2,0xdac17f958d2ee523a2206206994597c13d831ec7,0x480349dd6229c7c8878fd8e217696598f91c1a84,50000000.0,Tether USD,USDT,6,133,60000,132000001459,41209,6697183,deprecated,4482593
