,blockNumber,timeStamp,hash,nonce,blockHash,from,contractAddress,to,value,tokenName,tokenSymbol,tokenDecimal,transactionIndex,gas,gasPrice,gasUsed,cumulativeGasUsed,input,confirmations
0,10752574,2020-08-29 00:59:39,0x3bb1d436b32977165b94342cf217a0c231bd0df3971ceb64a256df0ae84f8f07,0,0x8edef12c5bd44d6e54398f2cbff1478db35725f57f96eefa9e25894819bde86f,0x4ddc2d193948926d02f9b1fe9e1daa0718270ed5,0x4ddc2d193948926d02f9b1fe9e1daa0718270ed5,0xb58c4358669bb70df715b6747447eb63afea8916,11104539887266.0,Compound Ether,cETH,8,193,242020,73000000000,164213,10019641,deprecated,4431892
1,10752585,2020-08-29 01:01:57,0x85d385e93925c3ced138b501cdc8a0816e8180f4cab246881d55c5c4923fa283,2,0xb74da1e1c5f63017afdc35fe0bccf3381f72867bedbc988bb7f511c9d38e7f10,0xf650c3d88d12db855b8bf7d11be6c55a4e07dcc9,0xdac17f958d2ee523a2206206994597c13d831ec7,0xb58c4358669bb70df715b6747447eb63afea8916,500000000000.0,Tether USD,USDT,6,121,492020,73000000000,319706,10220600,deprecated,4431881
2,10752682,2020-08-29 01:22:29,0xee3f80151c2c8f1eac0c5d2f7db09eabc39716e1f51f4b58f00b0828f90110e3,6,0x7204726cb3fb0a4ff0c94b1d1cd9ebaf647cc4ca2cd1af5ffadf2f9479e13b15,0x3d9819210a31b4961b30ef54be2aed79b9c9cd3b,0xc00e94cb662c3520282e6f5717214004a7f26888,0xb58c4358669bb70df715b6747447eb63afea8916,1255006889898889.0,Compound,COMP,18,227,252020,74000000000,173226,9809119,deprecated,4431784
3,10752682,2020-08-29 01:22:29,0xee3f80151c2c8f1eac0c5d2f7db09eabc39716e1f51f4b58f00b0828f90110e3,6,0x7204726cb3fb0a4ff0c94b1d1cd9ebaf647cc4ca2cd1af5ffadf2f9479e13b15,0x4ddc2d193948926d02f9b1fe9e1daa0718270ed5,0x4ddc2d193948926d02f9b1fe9e1daa0718270ed5,0xb58c4358669bb70df715b6747447eb63afea8916,2237891825271.0,Compound Ether,cETH,8,227,252020,74000000000,173226,9809119,deprecated,4431784
4,10752692,2020-08-29 01:25:20,0xa98bcb785d748eb1a960473f243cca65850219967b3d08ecdd459e0aee7f5379,7,0xd86b3bf56a32605d717ff3806618b4780952b066fbf3d15c28cca49b0809b087,0x3d9819210a31b4961b30ef54be2aed79b9c9cd3b,0xc00e94cb662c3520282e6f5717214004a7f26888,0xb58c4358669bb70df715b6747447eb63afea8916,6291560583597139.0,Compound,COMP,18,143,392020,74000000000,251994,11508702,deprecated,4431774
5,10752692,2020-08-29 01:25:20,0xa98bcb785d748eb1a960473f243cca65850219967b3d08ecdd459e0aee7f5379,7,0xd86b3bf56a32605d717ff3806618b4780952b066fbf3d15c28cca49b0809b087,0xf650c3d88d12db855b8bf7d11be6c55a4e07dcc9,0xdac17f958d2ee523a2206206994597c13d831ec7,0xb58c4358669bb70df715b6747447eb63afea8916,100000000000.0,Tether USD,USDT,6,143,392020,74000000000,251994,11508702,deprecated,4431774
6,10752698,2020-08-29 01:26:45,0x51bbad95056a87cb47b6adcdc10226b689c0c7c597cb1eedf740153b5ea997dc,9,0x4a2b8fbc1d6ac8c1427d5d583819eb897e1ad76108ec4a890dffd4cdf6cb8a3b,0xb58c4358669bb70df715b6747447eb63afea8916,0xdac17f958d2ee523a2206206994597c13d831ec7,0xbbc81d23ea2c3ec7e56d39296f0cbb648873a5d3,600000000000.0,Tether USD,USDT,6,142,1496102,74000000000,748692,8938608,deprecated,4431768
7,10752698,2020-08-29 01:26:45,0x51bbad95056a87cb47b6adcdc10226b689c0c7c597cb1eedf740153b5ea997dc,9,0x4a2b8fbc1d6ac8c1427d5d583819eb897e1ad76108ec4a890dffd4cdf6cb8a3b,0xbbc81d23ea2c3ec7e56d39296f0cbb648873a5d3,0xdf5e0e81dff6faf3a7e52ba697820c5e32d806a8,0xb58c4358669bb70df715b6747447eb63afea8916,5.705522413887065e+23,Curve.fi yDAI/yUSDC/yUSDT/yTUSD,yDAI+yUSDC+yUSDT+yTUSD,18,142,1496102,74000000000,748692,8938608,deprecated,4431768
8,10752714,2020-08-29 01:29:35,0x9f6c20fb27fbf01fa9bca8503cfd7627fd1e38105885dc603206c7b89d9103df,10,0x6d60f3a339fa1bfeb8fefe516295c89a8699d527e50edc80f01b55e5ce7132bf,0xb58c4358669bb70df715b6747447eb63afea8916,0x4ddc2d193948926d02f9b1fe9e1daa0718270ed5,0x4ddc2d193948926d02f9b1fe9e1daa0718270ed5,76927529922.0,Compound Ether,cETH,8,49,282020,74000000000,217070,2946877,deprecated,4431752
9,10752721,2020-08-29 01:30:48,0xb46371ca4be46a5f9c900c642e97e2481bbf8194f68165f5900021ca55002e15,11,0xab7f5b635dad16eadae75f912b25dcfb9011ebdf6a7ad0774801fe040429f9e9,0xb58c4358669bb70df715b6747447eb63afea8916,0x0000000000004946c0e9f43f4dee607b0ef1fa1c,0x0000000000000000000000000000000000000000,0.0,Chi Gastoken by 1inch,CHI,0,107,813508,74000000000,480660,4046927,deprecated,4431745
10,10752721,2020-08-29 01:30:48,0xb46371ca4be46a5f9c900c642e97e2481bbf8194f68165f5900021ca55002e15,11,0xab7f5b635dad16eadae75f912b25dcfb9011ebdf6a7ad0774801fe040429f9e9,0x11111254369792b2ca5d084ab5eea397ca8fa48b,0xd533a949740bb3306d119cc777fa900ba034cd52,0xb58c4358669bb70df715b6747447eb63afea8916,1.7864239341592948e+21,Curve DAO Token,CRV,18,107,813508,74000000000,480660,4046927,deprecated,4431745
11,10752726,2020-08-29 01:32:10,0x3dbea530bf0044d1cfe85b8830dca29d0646287568fbfd8959bc7957b78881c8,13,0x08059af7f8339b38ac3ee6aa6a8886f3371f47296bfb442b96a05ee0685d1853,0xb58c4358669bb70df715b6747447eb63afea8916,0xdf5e0e81dff6faf3a7e52ba697820c5e32d806a8,0xfa712ee4788c042e2b7bb55e6cb8ec569c4530c1,5.7055224e+23,Curve.fi yDAI/yUSDC/yUSDT/yTUSD,yDAI+yUSDC+yUSDT+yTUSD,18,152,500000,74000000000,242894,7350678,deprecated,4431740
12,10752730,2020-08-29 01:33:12,0x7824de58671b178848c3a6597ec243e5c76cce9693136eaede7779d1365e4006,15,0xc47ec03f5af9fab923ccb18678bc99bfb5c2f78de62e71c924fb8f1d4c34a512,0xb58c4358669bb70df715b6747447eb63afea8916,0xd533a949740bb3306d119cc777fa900ba034cd52,0x5f3b5dfeb7b28cdbd7faba78963ee202a494e2a2,1.7864239341592948e+21,Curve DAO Token,CRV,18,97,600000,74000000000,289276,5590772,deprecated,4431736
