,blockNumber,timeStamp,hash,nonce,blockHash,from,contractAddress,to,value,tokenName,tokenSymbol,tokenDecimal,transactionIndex,gas,gasPrice,gasUsed,cumulativeGasUsed,input,confirmations
0,8762756,2019-10-18 04:27:59,0xf7dc4e56d9695b9e8609366d3fec4dfaa4eac49af0608f6b37d4a411c9bda282,147,0x2c6b1ba7ee9fa9cc161ee6f2276640397c1275e5e46cded5f181a947516bbef0,0x0000000000000000000000000000000000000000,0xee85966b4974d3c6f71a2779cc3b6f53afbc2b68,0xb590b08a815eae1fb96a3a28680288c6240507d5,2.0,Rare Chest,GRC,0,34,6457269,1000000000,4303936,5503359,deprecated,6421722
1,8795215,2019-10-23 06:55:21,0x8f7baa0da53fcbe83e06c997aab8fbecaf4e6f4451bb4b3cde7634a82c568f2e,206,0x14b298372e366be9fe0c1913b9380b9ad152cff20cc10c61bf4c27b36e5673c7,0x0000000000000000000000000000000000000000,0x0c8cdc16973e88fab31dd0fcb844ddf0e1056de2,0xb590b08a815eae1fb96a3a28680288c6240507d5,200.0,Genesis Raffle Token,GRT,0,5,7518702,12500000000,7508702,7642397,deprecated,6389263
2,9497425,2020-02-17 00:32:36,0xfc6e7f2afe45cf45b3c87605104e223c532306d75d785517938c47d76b918ee0,1532,0xdac985458c7e9e34eed5abae091ce07fec61581f55f78398e18a624b3a9e1e74,0x4ef40d1bf0983899892946830abf99eca2dbc5ce,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0xb590b08a815eae1fb96a3a28680288c6240507d5,5e+16,Wrapped Ether,WETH,18,77,477438,1000000000,319626,5437726,deprecated,5687053
3,9497936,2020-02-17 02:22:42,0x07903163056d11e3b7da5e2bfafdb44690b4fc1d2acbbf5a6ce7a4d3fb83f1fe,19315,0xcd60a5abf940e8c78f6deb7e8756d5a685b0952e4f4f4049a322678344d4f2a4,0x4ef40d1bf0983899892946830abf99eca2dbc5ce,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0xb590b08a815eae1fb96a3a28680288c6240507d5,6e+16,Wrapped Ether,WETH,18,146,477450,1001000000,319638,9477388,deprecated,5686542
4,9501806,2020-02-17 16:59:04,0x9ac7dd00d07bc5929de591586caadcad56e994aabbb394d3e9c8fd0003097bf5,33,0x7b9bf70777866380664341266f361c97f57a5f1f29b2533dc3cf353dac99afbf,0xb04239b53806ab31141e6cd47c63fb3480cac908,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0xb590b08a815eae1fb96a3a28680288c6240507d5,3.9e+16,Wrapped Ether,WETH,18,7,9600000,6000000000,5776687,6050208,deprecated,5682672
5,9502175,2020-02-17 18:22:53,0x6c568295c4368f3a4914a23a0f8ad10288044c38b3e825c9251b60fbb7d0df61,15,0x459f1f2af6e3de84b6163858e875b3819cefaad9bc32c459551398453200e778,0xb04239b53806ab31141e6cd47c63fb3480cac908,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0xb590b08a815eae1fb96a3a28680288c6240507d5,1.35e+17,Wrapped Ether,WETH,18,50,1600000,6000000000,1075282,4496786,deprecated,5682303
6,9512273,2020-02-19 07:19:50,0x71164a6a49e885adcd254269f9a0cacf2ac91c0daf5a4218a5a605b35b172a12,7694,0x16db47247d7a9fd03ce8747c292dbac91a75e7234b94882d823db2780f80bacc,0x76481caa104b5f6bccb540dae4cefaf1c398ebea,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0xb590b08a815eae1fb96a3a28680288c6240507d5,1.2e+17,Wrapped Ether,WETH,18,24,558583,8000000000,314789,5605986,deprecated,5672205
7,9515423,2020-02-19 18:56:57,0xefaab529f8de75cb68ebaa641f2ef97953b6d3ff526b1f3ffcfbc6b2942d3fc8,619,0xbc22bd078a0c686601c75c2843d7dd4489cc7db8706f359550769dad0b4ef757,0xb04239b53806ab31141e6cd47c63fb3480cac908,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0xb590b08a815eae1fb96a3a28680288c6240507d5,8e+16,Wrapped Ether,WETH,18,125,2800000,4000000000,1488390,7651308,deprecated,5669055
8,9529446,2020-02-21 22:59:15,0x799a824ce232e98916363c849610cc91e9aaefdac7c3cc827793cd8b25cc2844,73,0xe18afd17e424179bea66617b3a0cfc53cc8f59441a98644b4477b7979c040dbb,0xb04239b53806ab31141e6cd47c63fb3480cac908,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0xb590b08a815eae1fb96a3a28680288c6240507d5,1e+17,Wrapped Ether,WETH,18,59,1200000,2000000000,745742,4610392,deprecated,5655032
9,9531793,2020-02-22 07:27:28,0x9971078b1458128736178ef1474d957b16ecef3302c5e6fd4521f0a87301fd80,27,0xab3ef77a36c1b27e4eb26700b3e4ce92385c85f70d84011e336cc4997d7bfe03,0xb590b08a815eae1fb96a3a28680288c6240507d5,0xee85966b4974d3c6f71a2779cc3b6f53afbc2b68,0x0000000000000000000000000000000000000000,1.0,Rare Chest,GRC,0,89,147936,1000000000,146451,8746875,deprecated,5652685
10,9531816,2020-02-22 07:31:14,0x6efac6b3117864b88c18e34adeb041471948c11ec9bed5f7aea39c11831c9a54,28,0x01f31fc4ebfd4f368d44a87a2d5b61d07d21e7c82722cd52d37798642252d2ac,0xb590b08a815eae1fb96a3a28680288c6240507d5,0xee85966b4974d3c6f71a2779cc3b6f53afbc2b68,0x0000000000000000000000000000000000000000,1.0,Rare Chest,GRC,0,119,147936,1000000000,131451,8129887,deprecated,5652662
11,9534437,2020-02-22 17:15:01,0xf6c86bf645f91e57f7dae2d966a530e83cacb4eaf6af99e6a3e6de120fc5f48f,454,0x717167b18632f44521725756d2331eb3efc4eb216dffe2782d6a8e485732ee40,0x4ef40d1bf0983899892946830abf99eca2dbc5ce,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0xb590b08a815eae1fb96a3a28680288c6240507d5,1.2e+17,Wrapped Ether,WETH,18,143,477450,5000000000,319638,9350840,deprecated,5650041
12,9586735,2020-03-01 18:20:26,0xd1bcd2dc4d7d80f6588f96535d54ac20d7bd509e65bebbdd6c0cbcf26415334e,17,0x8c9026d6efeb0739043e4c83f83dad3fbdc1d1dd12892705362baa264ba53d12,0xb04239b53806ab31141e6cd47c63fb3480cac908,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0xb590b08a815eae1fb96a3a28680288c6240507d5,2e+16,Wrapped Ether,WETH,18,0,4400000,5000000000,2828441,2828441,deprecated,5597743
13,9597858,2020-03-03 11:18:26,0x1d2b09c0d69e82e7ac6f7758e317dc3f15dc673252021a325592b32c870b1492,28,0x0f2551308471aee606924d05b14e82c8c7eb825a2fc577d610b0e4f8f0a18c83,0xb04239b53806ab31141e6cd47c63fb3480cac908,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0xb590b08a815eae1fb96a3a28680288c6240507d5,3e+16,Wrapped Ether,WETH,18,17,8400000,1000000000,5051234,6203461,deprecated,5586620
14,10766120,2020-08-31 02:58:08,0x6337fd58c8ab153554f5e7b8529dbb3bac439fd49002e3a1b05c150cb645c27a,35,0xd99745a9be3df84865f81a1495356740b9b4f305c852c720ebf7a72595d344a4,0x1d6432aefeae2c0ff1393120541863822a4e6fa7,0x28cb7e841ee97947a86b06fa4090c8451f64c0be,0xb590b08a815eae1fb96a3a28680288c6240507d5,3.244449294847634e+17,YFLink,YFL,18,151,206484,147000000000,124296,12152088,deprecated,4418358
15,10772154,2020-09-01 00:50:04,0x281e9061f8eda7e0b0949b48f07bdedbe2b5d3083bbed57d7f98c8744f33e4c4,37,0xc107488e0794736206870155d7c5490dfdcfc9462bbf4c5702355752eb4262e4,0xb590b08a815eae1fb96a3a28680288c6240507d5,0x28cb7e841ee97947a86b06fa4090c8451f64c0be,0x1d6432aefeae2c0ff1393120541863822a4e6fa7,3.244449294847634e+17,YFLink,YFL,18,168,229278,208000000000,100554,12269480,deprecated,4412324
16,10887915,2020-09-18 18:51:17,0xdc5eca183ff20cecd6cfa9eb697f316512d7e349ad8297d879e654612633bde0,39,0x1364aa1acb4916c0e5baedabff9ef41e9971149f351f0532a0086bd3d2951630,0x090d4613473dee047c3f2706764f49e0821d256e,0x1f9840a85d5af5bf1d1762f925bdaddc4201f984,0xb590b08a815eae1fb96a3a28680288c6240507d5,4e+20,Uniswap,UNI,18,97,122851,390000000000,81901,6905680,deprecated,4296563
17,10887945,2020-09-18 18:59:02,0xdd46a3bcbf91e64ab07ab4ea61a3a8d4fda8ba42762f3ae9c95ae06f292bceed,41,0xccc109384329e988fe54ad8b34be302d23d0ebfd7d48911c7aacae0c1b6966ea,0xb590b08a815eae1fb96a3a28680288c6240507d5,0x1f9840a85d5af5bf1d1762f925bdaddc4201f984,0xd3d2e2692501a5c9ca623199d38826e513033a17,4e+20,Uniswap,UNI,18,202,207607,400000000000,98123,10987754,deprecated,4296533
