,blockNumber,timeStamp,hash,nonce,blockHash,from,contractAddress,to,value,tokenName,tokenSymbol,tokenDecimal,transactionIndex,gas,gasPrice,gasUsed,cumulativeGasUsed,input,confirmations
0,10762586,2020-08-30 14:03:26,0x95c5736d65815e557dbacaa14bf91143d9f8a90f12228be3aa2ea4176a49641e,1,0x34bed500197b30e7f29a76752d86207617ac8ffb0f31ab747af709267821c73d,0xc6a2aa7ebe041336d433919bd4dcc1ef5d98ab99,0x8003c49f6ebacddc493ea47cab45e892d1b638a1,0xb686c74aa0dd04a28f9a5e2974b23e070688f045,3375000000000.0,Ample Gold,AMPLG,9,80,200000,250000000000,74726,4107367,deprecated,4421876
1,10770069,2020-08-31 17:33:09,0x0997cf1dd2d2749860a7e5cb75ac3edfb4ac3695636b15e18c1f77d965e67dd6,2,0x7ad61db84f0f32a068539a5a8e3e5f3171b6fb205644af470de012e20931d44f,0x15a6ff0e22404fa28bf1a5dc0688c8b655e798b8,0x8003c49f6ebacddc493ea47cab45e892d1b638a1,0xb686c74aa0dd04a28f9a5e2974b23e070688f045,2506874884584.0,Ample Gold,AMPLG,9,62,152353,300320225103,113113,5638955,deprecated,4414393
2,10883920,2020-09-18 04:06:59,0x38094667237168b4d2d55728cdcfbe57581a047379d38b956e911cafbe1e4594,3,0x228c938005f32ad2cdbd67d374748847cfc639e2bed08ac7f6fd1731216b9308,0x090d4613473dee047c3f2706764f49e0821d256e,0x1f9840a85d5af5bf1d1762f925bdaddc4201f984,0xb686c74aa0dd04a28f9a5e2974b23e070688f045,4e+20,Uniswap,UNI,18,105,122758,700000000000,81839,2328234,deprecated,4300542
3,10884055,2020-09-18 04:38:20,0x66f1fdf944db6c6cba5460cfdd930dbdcb022ba8d7e4242bb7238d789161b759,2854526,0x9d3f4571152766f50a72951386821a92f81744934f738f72493ffc5d540ded98,0x0681d8db095565fe8a346fa0277bffde9c0edbbf,0xdac17f958d2ee523a2206206994597c13d831ec7,0xb686c74aa0dd04a28f9a5e2974b23e070688f045,200000000.0,Tether USD,USDT,6,9,207128,390000000000,56197,356033,deprecated,4300407
4,10885376,2020-09-18 09:38:39,0x439f018b314d847e8418c0a16abbc43471b3954444c9368adc085e4fd2150ceb,5,0xf824f73dd55e8762b729720f9bdb6917ef53d935ed7e798348f6fb4bcfac51f4,0xb686c74aa0dd04a28f9a5e2974b23e070688f045,0xdac17f958d2ee523a2206206994597c13d831ec7,0x0d4a11d5eeaac28ec3f61d100daf4d40471f1852,174487550.0,Tether USD,USDT,6,3,253213,286000000000,155324,412940,deprecated,4299086
5,10885376,2020-09-18 09:38:39,0x439f018b314d847e8418c0a16abbc43471b3954444c9368adc085e4fd2150ceb,5,0xf824f73dd55e8762b729720f9bdb6917ef53d935ed7e798348f6fb4bcfac51f4,0x0000000000000000000000000000000000000000,0x0d4a11d5eeaac28ec3f61d100daf4d40471f1852,0xb686c74aa0dd04a28f9a5e2974b23e070688f045,7185645975694.0,Uniswap V2,UNI-V2,18,3,253213,286000000000,155324,412940,deprecated,4299086
6,11073529,2020-10-17 12:43:05,0x288024bd873ca3df4c2c01d2e81e315be0902017723abd82bc66f674a7bf2edf,6,0xcaf02f2d7c2670983f4625f0a14b48f57ac8893e110ebcccf16a7d23e922d442,0xb686c74aa0dd04a28f9a5e2974b23e070688f045,0x1f9840a85d5af5bf1d1762f925bdaddc4201f984,0x93a19b647fdc20e767fd3dee2717ec7581cc3017,4e+20,Uniswap,UNI,18,150,83259,18100000000,40506,10493226,deprecated,4110933
7,11303857,2020-11-21 21:10:17,0x53af13a38fddaf6def47b527a07b958f2c46e8493f139c909ff35b2e1a764c59,8,0xafcf6ea603751050af3d2e5d8357e72e045c5fb7cbbc3667075bd3fef4a2b8db,0xb686c74aa0dd04a28f9a5e2974b23e070688f045,0x0d4a11d5eeaac28ec3f61d100daf4d40471f1852,0x0d4a11d5eeaac28ec3f61d100daf4d40471f1852,7185645975694.0,Uniswap V2,UNI-V2,18,95,237026,45000000000,136561,7814375,deprecated,3880605
8,11303857,2020-11-21 21:10:17,0x53af13a38fddaf6def47b527a07b958f2c46e8493f139c909ff35b2e1a764c59,8,0xafcf6ea603751050af3d2e5d8357e72e045c5fb7cbbc3667075bd3fef4a2b8db,0x7a250d5630b4cf539739df2c5dacb4c659f2488d,0xdac17f958d2ee523a2206206994597c13d831ec7,0xb686c74aa0dd04a28f9a5e2974b23e070688f045,211004918.0,Tether USD,USDT,6,95,237026,45000000000,136561,7814375,deprecated,3880605
9,11303866,2020-11-21 21:11:43,0x54ac81fba4e34f7b53747fbf05e75a74e057bd08a928a2d39f2905f9e78ca42b,9,0x720bdaca974feef6760ab0dc3c2bc1491f48b81ccc2edb3be8c264419e5af959,0x0d4a11d5eeaac28ec3f61d100daf4d40471f1852,0xdac17f958d2ee523a2206206994597c13d831ec7,0xb686c74aa0dd04a28f9a5e2974b23e070688f045,227949359.0,Tether USD,USDT,6,41,141479,44000000000,103381,4397464,deprecated,3880596
