,blockNumber,timeStamp,hash,nonce,blockHash,from,contractAddress,to,value,tokenName,tokenSymbol,tokenDecimal,transactionIndex,gas,gasPrice,gasUsed,cumulativeGasUsed,input,confirmations
0,8270242,2019-08-02 08:41:49,0x7f673d3498deb5e477fe052d8eb9b2f547af36aa66572aa75d5d11e70fd04672,0,0xc5be4d51c6ee89f05bcd773b8d48a7b6a89f24129819019bc812430dc790887f,0x526af336d614ade5cc252a407062b8861af998f5,0x89d24a6b4ccb1b6faa2625fe562bdd9a23260359,0xb73480c7b3a46a9958987beb0e0bdc215bf8457a,6e+16,Sai Stablecoin v1.0,SAI,18,24,1472329,4000000000,967990,1759495,deprecated,6913694
1,8355467,2019-08-15 13:51:49,0x94f9634813ea4216f8440a285417d886b518b4a8c1ae928d7c62f83f1d0cf73f,248755,0xd2da156422724353b1f38813882ce3b0108b9c07ef19b24138e0dae41f5bcfb7,0x00cfbbaf7ddb3a1476767101c12a0162e241fbad,0x4dc3643dbc642b72c158e7f3d2ff232df61cb6ce,0xb73480c7b3a46a9958987beb0e0bdc215bf8457a,1e+17,Amber,AMB,18,47,60000,2000000000,52108,7184516,deprecated,6828469
2,8658646,2019-10-01 20:31:28,0xf823d390ddd5c3dfe5e73c650cd4949b7206f09feb93f8a9800f39e92bab7888,0,0x3af571d992778ae722b18bdf532db02bc61f723868e365c791eaa7e456d90146,0x2b9e556e50baa8d6612365e6a7604e4a465b9375,0x514910771af9ca656af840dff83e8264ecf986ca,0xb73480c7b3a46a9958987beb0e0bdc215bf8457a,2.70371842e+18,ChainLink Token,LINK,18,56,200000,10000000000,37001,2180959,deprecated,6525290
3,8788768,2019-10-22 06:44:29,0xfb0b45cf35ea3165a972b0011a8071ab0f6f771335bf110ac13357e8fd21d2de,0,0x18f10f228ac26c675e7dc49961a934d3cd3a85899328bfac7e943ba7be3a1e13,0xf72194fcf80cbf2a2879882cd923f438007bc788,0x514910771af9ca656af840dff83e8264ecf986ca,0xb73480c7b3a46a9958987beb0e0bdc215bf8457a,1.220757318e+19,ChainLink Token,LINK,18,199,200000,20000000000,22001,8711710,deprecated,6395168
4,9680870,2020-03-16 06:07:51,0xd90ead7e9ddaf0b82d04cc67052ffb746f20f18e1df54190e491ba0cc3e4e812,0,0x4a7fb7b98c9ce6592026eb363ab1c5c65074637b420314282e2ce52eb31552a5,0xf5098a7cd1f265119fae3255f85c9816106a4e57,0x514910771af9ca656af840dff83e8264ecf986ca,0xb73480c7b3a46a9958987beb0e0bdc215bf8457a,1.087518012e+19,ChainLink Token,LINK,18,134,200000,12000000000,21589,9738403,deprecated,5503066
5,9680963,2020-03-16 06:30:47,0xd74016bf811b1a22234956ac4d15d9b0821d1f0df72758c48cf9484d231b57bc,0,0xb92952d51f9787b371191f8329d703260188dce4c8a8d62fe24350c77e9a25fb,0x23e0e6c5003d65371696787042cd696df13494a3,0x4575f41308ec1483f3d399aa9a2826d74da13deb,0xb73480c7b3a46a9958987beb0e0bdc215bf8457a,7.49625187e+18,Orchid,OXT,18,189,200000,22000000000,36184,8702204,deprecated,5502973
6,9831255,2020-04-08 11:30:10,0x0990474a44c86ffc0ca3e61b28d1082ae8c2730ad3f1283c6bf522b4770ee093,10184,0xed127cd0285022c41e6453892ca6f9c209211b944583340932e3d6e34c6c0402,0xc61ce560bb1d19e388142afc05a4f672704dc06d,0x5b25c197e6fbdcb331dc55609c20ecbfca5c8bca,0xb73480c7b3a46a9958987beb0e0bdc215bf8457a,2e+18,Turing AI,TAI,18,145,100000,6500000000,51400,7302386,deprecated,5352681
7,9892798,2020-04-17 23:05:20,0x37d5a8278d43b1f62c21b87424cef2c7875af7426c2447f2b32b878a048b8e6b,6432,0x7c789ae312341e22bcdfa77797bc857bd18b1f8be3a7e75fe8ffdeb9b0e9c83e,0xc92e74b131d7b1d46e60e07f3fae5d8877dd03f0,0xc92e74b131d7b1d46e60e07f3fae5d8877dd03f0,0xb73480c7b3a46a9958987beb0e0bdc215bf8457a,3200000000000.0,Minereum,MNE,8,68,5802701,1100000000,5802701,9844204,deprecated,5291138
8,10018264,2020-05-07 09:28:05,0xec54acce03057897facba70517555a30b9ada2bb83b798bbe281a90c0489a88c,8477,0xd0191821dc205e40693033cb9a19ddd4423d7f92c27803a55482c2eeae2c2e4a,0x426ca1ea2406c07d75db9585f22781c096e3d0e0,0x426ca1ea2406c07d75db9585f22781c096e3d0e0,0xb73480c7b3a46a9958987beb0e0bdc215bf8457a,0.0,Minereum,MNE,8,101,1171244,10000000000,1171244,9489031,deprecated,5165672
9,10779193,2020-09-02 02:42:41,0xab1c6a16ff7675222fbf18e8966dd35970c7fec7e40697f05f1159723b63435f,1,0x240f08f4f37a99d0876e05436faa0d4b453348d5ceb83be1dc61f22e50da7a2a,0xab3f9bf1d81ddb224a2014e98b238638824bcf20,0x80fb784b7ed66730e8b1dbd9820afd29931aab03,0xb73480c7b3a46a9958987beb0e0bdc215bf8457a,6e+18,EthLend,LEND,18,95,178096,471000000000,136622,8275333,deprecated,4404743
