,blockNumber,timeStamp,hash,nonce,blockHash,from,contractAddress,to,value,tokenName,tokenSymbol,tokenDecimal,transactionIndex,gas,gasPrice,gasUsed,cumulativeGasUsed,input,confirmations
0,10691276,2020-08-19 15:09:19,0xcde6002f7dafb530b3ee1e664d5005c9bb870df01fbdb72b6789d81515beb653,10,0x9c52ac8f95776142d21497fd2709b159ea927f30ed3391f24ce5a9e1d74aafc8,0x959daab361f04d168b6384c730a89680b417658d,0xdac17f958d2ee523a2206206994597c13d831ec7,0xb77d44e9aa7dead941b4304f3d45f1a5088e28b8,1128000000.0,Tether USD,USDT,6,100,60000,144000001459,56197,3987914,deprecated,4493396
1,10710132,2020-08-22 12:51:12,0x85686cb6a1a56dc0fe89af4ab7c37440ea7c9d18e1a1c738904f2395ada267a4,19,0x8afdd381de9c838eb2c53d0a772d2ba23bce4836b16cb87dfbae39b09ba9676f,0x959daab361f04d168b6384c730a89680b417658d,0xdac17f958d2ee523a2206206994597c13d831ec7,0xb77d44e9aa7dead941b4304f3d45f1a5088e28b8,870000000.0,Tether USD,USDT,6,247,60000,87000001459,41209,12169447,deprecated,4474540
2,10717159,2020-08-23 14:37:44,0xb7184d66d63ac1ea6426393671e43d9de65ec6454965abf8dfec166b058c3291,27,0xd5e531e42cc368de9e7a197969d2cb3c4b6cac05ffe29fab2ac9fc4e518ab593,0x959daab361f04d168b6384c730a89680b417658d,0xdac17f958d2ee523a2206206994597c13d831ec7,0xb77d44e9aa7dead941b4304f3d45f1a5088e28b8,867000000.0,Tether USD,USDT,6,190,60000,91000001459,41209,8031958,deprecated,4467513
3,10734482,2020-08-26 06:35:02,0x1981e1a083076c37a72a16d51c51fc5e169ceedfc9a1fa504f1bda04d2c5754b,38,0xe2e9f7add099fe434a12f38871c8779f083ceae88577fddf1f33b4d59aa24147,0x959daab361f04d168b6384c730a89680b417658d,0xdac17f958d2ee523a2206206994597c13d831ec7,0xb77d44e9aa7dead941b4304f3d45f1a5088e28b8,869000000.0,Tether USD,USDT,6,94,60000,75000001459,41209,6090745,deprecated,4450190
4,10740889,2020-08-27 06:09:14,0xa9e579bf223d8c9a3bd2351f8498da0f4909ab7c3c539c2c1d9ecf27f97d4ffd,40,0x86cecbe13fb45cda3277473094e640e2bdde0aa78c81730696d4d3e809bae54c,0x959daab361f04d168b6384c730a89680b417658d,0xdac17f958d2ee523a2206206994597c13d831ec7,0xb77d44e9aa7dead941b4304f3d45f1a5088e28b8,871000000.0,Tether USD,USDT,6,173,60000,102000001459,41209,9998144,deprecated,4443783
5,10756770,2020-08-29 16:36:18,0x229b929b343b21d8216dbb680a8289b7518e64d80540c00587e51d03399aadfe,1,0x08bdbbeace9ebef849de48f0925ca14b752d780a753272dd79db8f5d19c9b751,0xb77d44e9aa7dead941b4304f3d45f1a5088e28b8,0xdac17f958d2ee523a2206206994597c13d831ec7,0x0d4a11d5eeaac28ec3f61d100daf4d40471f1852,400000000.0,Tether USD,USDT,6,53,153398,112200000233,126187,3921157,deprecated,4427902
6,10756809,2020-08-29 16:44:34,0x5413d6ef14fbbde4b71fbc6c4308b44850489daf43d89774f28d7533203a391a,2,0x86a130d20fcd3397db2cc1a7042742b56d2712cafe9ede90ef7f760545290f3b,0xb77d44e9aa7dead941b4304f3d45f1a5088e28b8,0xdac17f958d2ee523a2206206994597c13d831ec7,0x97eb7643c9ff91b7c4fd5a55d81c0b7732fb3b01,3000000000.0,Tether USD,USDT,6,157,60000,114000001459,56197,10128534,deprecated,4427863
7,10756863,2020-08-29 16:57:55,0x7c57189e8d0812aa4e0d5b06a36e5545b4d8d17c22904b9a1fbfad03e3682a8c,3,0x71c5c016ef6e2e4ad4183284ca014f575823bdb282c0dcb14b5b774150c11ade,0xb77d44e9aa7dead941b4304f3d45f1a5088e28b8,0xdac17f958d2ee523a2206206994597c13d831ec7,0x0d4a11d5eeaac28ec3f61d100daf4d40471f1852,800000000.0,Tether USD,USDT,6,80,201184,113300000233,184415,8429921,deprecated,4427809
8,10756863,2020-08-29 16:57:55,0x7c57189e8d0812aa4e0d5b06a36e5545b4d8d17c22904b9a1fbfad03e3682a8c,3,0x71c5c016ef6e2e4ad4183284ca014f575823bdb282c0dcb14b5b774150c11ade,0x3185626c14acb9531d19560decb9d3e5e80681b1,0x7de91b204c1c737bcee6f000aaa6569cf7061cb7,0xb77d44e9aa7dead941b4304f3d45f1a5088e28b8,23231693199.0,Robonomics,XRT,9,80,201184,113300000233,184415,8429921,deprecated,4427809
9,10760575,2020-08-30 06:22:56,0x4b51841f034322d98551629bb54eb737c8c696ac677695b7797702316a2a96e3,7,0x285fa74212c853a4fbeaf7cf9d8c660ae5f3ddbea5636a892e76227899ae037d,0xb77d44e9aa7dead941b4304f3d45f1a5088e28b8,0xdac17f958d2ee523a2206206994597c13d831ec7,0x0d4a11d5eeaac28ec3f61d100daf4d40471f1852,405000000.0,Tether USD,USDT,6,113,197653,300000001235,154427,7805388,deprecated,4424097
