,blockNumber,timeStamp,hash,nonce,blockHash,from,contractAddress,to,value,tokenName,tokenSymbol,tokenDecimal,transactionIndex,gas,gasPrice,gasUsed,cumulativeGasUsed,input,confirmations
0,10787231,2020-09-03 08:27:14,0xf7a6255e15266db9ade8d14b7527c6a478588c79e1a37763826bcbc2818f621d,0,0x8f53a6cf5f643b81087c8a0fd94b775b51441060f3384fe987480096f7b0a9f3,0x501e6621f0eff056345efd1d3ac4181ea01474ed,0x03829f5675f3b51d0f8c2a74417a757625acf22f,0xb885ede86d2785c05191b6f305fc7614a1f92a70,1.2728757007593334e+18,YFIBALANCER.FINANCE,YFIB,18,84,171763,439000000000,130484,7487964,deprecated,4396848
1,10794151,2020-09-04 09:49:06,0x136e4d336f286a91bab3a924a4764311b8a8e60227f7a8b43e0f3f54c52266a7,1,0xe53dce196ef99815d6cb1037439b116795cdf35ff0a4f2c8954bdb907736c176,0xaf21b0ec0197e63a5c6cc30c8e947eb8165c6212,0xd379700999f4805ce80aa32db46a94df64561108,0xb885ede86d2785c05191b6f305fc7614a1f92a70,4.988708671808826e+20,Dextrust,DETS,18,82,164852,264000000000,124298,4468205,deprecated,4389928
2,10794164,2020-09-04 09:54:42,0x3d89d4b2cf407da06b83c74e4af1f49ef5bb61b913f5e62ab31165d4f94a0200,2,0xed151f66930a99621a81ee4b6fe49f2a690d1803fcde9832e6369dca37d92a98,0x840336e57708b8ba1e864b2b7db78aabeeba1691,0x11a2ab94ade17e96197c78f9d5f057332a19a0b9,0xb885ede86d2785c05191b6f305fc7614a1f92a70,6359622799770.0,Orbicular,ORBI,9,138,167077,251000000000,114274,6863891,deprecated,4389915
3,10848915,2020-09-12 18:58:36,0x69f97a855fa3f57e8912e7374a4a7c5522190f17fffe35649c6a990e261543cb,6,0x0e2321ae6cfd2e2bd9244edeefc35959fed4183348780aa20b85abf8e0c3c740,0x86956e8056626d451b27271c8dedc5bc3df33b49,0xe1994856f974f4d5ec9262bfce8997c651b55231,0xb885ede86d2785c05191b6f305fc7614a1f92a70,6.499091392342077e+19,YeFi.finance,YFIII,18,124,166098,107000000000,125413,10238770,deprecated,4335164
4,10972726,2020-10-01 21:52:35,0x8c14f74e4fbeeef05e660d7b5bb30c902b751a3564cee2a00826c0e9734bfb96,14,0x3c82f8d39b7408294171f494827aad0a10e70201fe0e1151e4f48872fee92b4d,0x724d5c9c618a2152e99a45649a3b8cf198321f46,0x557b933a7c2c45672b610f8954a3deb39a51a8ca,0xb885ede86d2785c05191b6f305fc7614a1f92a70,4.59855955509074e+20,REVV,REVV,18,124,164901,48000000000,124342,8734885,deprecated,4211353
5,10973253,2020-10-01 23:47:04,0xe4cdf07806f8235e536ce2a02ebbe7639b9ab340eb83a2c828d4d504dd2305cc,1191,0xa3b7cc157028595395c60d30050d24deafd971863e661525d31486b1d425fb41,0xe1a811bdfb656dc47a7262dbde31071d9a916b1a,0x5a23d90cdeb30de09fab5ed159ec4b73fb475a61,0xb885ede86d2785c05191b6f305fc7614a1f92a70,66777.0,Arsu,ARSU,9,100,75000,49450001677,51873,4946871,deprecated,4210826
6,10973253,2020-10-01 23:47:04,0x6df999fffea3b2f6c48d2ba839a8e70c188f1a1f74e055069db73039961bc07a,1192,0xa3b7cc157028595395c60d30050d24deafd971863e661525d31486b1d425fb41,0xe1a811bdfb656dc47a7262dbde31071d9a916b1a,0xb637e3bd588871a98a212671bf2d4ba4a2f5183b,0xb885ede86d2785c05191b6f305fc7614a1f92a70,66777.0,Azizos,AZIZ,9,101,75000,49450001677,51873,4998744,deprecated,4210826
7,11008108,2020-10-07 10:41:26,0xcb219418a36975f894a947a4075b44bcadf369447f320696cb89539e57034c8c,17,0xabd46d14b970a654564293d20c15af2fb81232c6cdc6b89bd8fdec05b2ff2098,0xc4ab0852473875bf7a44527db2d3cf1dc5350811,0x9b06d48e0529ecf05905ff52dd426ebec0ea3011,0xb885ede86d2785c05191b6f305fc7614a1f92a70,2.206752163664632e+22,XSwap,XSP,18,119,244675,60000000000,180692,6232410,deprecated,4175971
8,12260165,2021-04-17 22:03:40,0x0fc75b2a6154b7c19a5f68f3da4620eb82ea71be1233cdffe7ac4052326864fe,21,0xaa4c1cfa2358494d68c5fab79048cfa204ddf135a957a2cd897c103110e671f8,0x811beed0119b4afce20d2583eb608c6f7af1954f,0x95ad61b0a150d79219dcf64e1e6cc01f0b64c4ce,0xb885ede86d2785c05191b6f305fc7614a1f92a70,3.2289114406591476e+25,SHIBA INU,SHIB,18,217,159168,120000000000,108796,10474896,deprecated,2923914
9,12417097,2021-05-12 03:11:01,0x41af7084b7ce1743dbd071b38b450c3957c6b6b8eaec3d951f9f976f5f1d54e5,22,0x23492d93851059a4fce29bfad7757eaa2c8da71f678cfea0a85655e6437cb39b,0xf82d8ec196fb0d56c6b82a8b1870f09502a49f88,0xa2b4c0af19cc16a6cfacce81f192b024d625817d,0xb885ede86d2785c05191b6f305fc7614a1f92a70,6.912808041122212e+18,Kishu Inu,KISHU,9,58,265230,309000000000,214125,3921074,deprecated,2766982
