,blockNumber,timeStamp,hash,nonce,blockHash,from,contractAddress,to,value,tokenName,tokenSymbol,tokenDecimal,transactionIndex,gas,gasPrice,gasUsed,cumulativeGasUsed,input,confirmations
0,4998576,2018-01-30 07:45:20,0x7b17ab01e74a0a9534d226fd14e473c3e2f4360c199a593ef230a5942c657dbf,33,0xa6d12a4402555f6861b501dcb978cd6f6fd150f898576d680706f92585685cbd,0x0000000000000000000000000000000000000000,0xee3e07092ea9a6f705c2b69f51119bb8a9471305,0xb9865968b1b9b64f838edd2e4333cf8dfa3682c1,10.0,ClickMineToken,CLK,0,95,210000,1000000000,65683,7053739,deprecated,10185881
1,5234226,2018-03-11 04:43:50,0x950de7bba3bdbcd38029cedf90c7a40b2212181c0f02c361fbbec5cc86d0e93d,4709,0xaa77ec553ca5c6703f3ba1c3a053606b5b56e08a4b56d9c37ec0058fd31c2d74,0xabcde8e7eade4d0590769eb13864838a4f21ba11,0x107c4504cd79c5d2696ea0030a8dd4e92601b82e,0xb9865968b1b9b64f838edd2e4333cf8dfa3682c1,1e+18,Bloom,BLT,18,82,150000,2000000000,86068,4714539,deprecated,9950231
2,5253663,2018-03-14 12:01:36,0x91ed1934dbd950e665ffc9988069359e1453e8c46582bbc150cb743cd27ef75d,4497,0x3740731f73993d3dbd1f61e57ac53d0b723a85bb545ebc2a6450686c52af52a7,0x77e42674e1cc459dd116bcab3d3be01409481f9d,0x4daa9dc438a77bd59e8a43c6d46cbfe84cd04255,0xb9865968b1b9b64f838edd2e4333cf8dfa3682c1,1.0,CryptoBotsBattle,CBTB,0,1,3131336,2000000000,3131336,3264198,deprecated,9930794
3,5356817,2018-03-31 20:12:47,0xd482185e3e47375b2d3a6b33b4f5aa8f1e468e6d0c0a76d4f1dd17e8dac5e2b2,13141,0x8355dc8bf3aff7bce118a13efde8c48a8ad139652b3a5d185a8be2c6ff58bb27,0x5a8aad505a44165813ecdfa213d0615293e33671,0xcd3673af09e76c74d889aabab68ca0645566a3a1,0xb9865968b1b9b64f838edd2e4333cf8dfa3682c1,2.5e+19,Unicorn Candy Coin,Candy,18,40,500000,2000000000,53941,2204528,deprecated,9827640
4,10760132,2020-08-30 04:44:46,0xc8a3a86c56736ba8ae5bc0f329ffd95342c682426b43eca5666e71d9b08b21fe,66,0x422071c88a6f2db839771802e7412f6a0cc87e3f2402f97aed9b650f8ac19e73,0x2fdbadf3c4d5a8666bc06645b8358ab803996e28,0x0bc529c00c6401aef6d220be8c6ea1667f6ad93e,0xb9865968b1b9b64f838edd2e4333cf8dfa3682c1,4.749435797081436e+16,yearn.finance,YFI,18,114,151640,268400000233,112475,10034412,deprecated,4424325
5,10778212,2020-09-01 23:02:30,0x17d3ac28de8b49bb954622479f5a0e000e447dd8359436c87f9c0526e0ae3cb8,67,0xf7491d301f890183762568facc699da8d76b19f5f37e953c37d7cf0d47f8582e,0xce84867c3c02b05dc570d0135103d3fb9cc19433,0x6b3595068778dd592e39a122f4f5a5cf09c90fe2,0xb9865968b1b9b64f838edd2e4333cf8dfa3682c1,1.1203510598424995e+20,SushiToken,SUSHI,18,108,151565,440000000000,124425,10822914,deprecated,4406245
6,10778270,2020-09-01 23:16:10,0x4b7143caa5586a80c15d55d8408f067f480698dd3d846b0740bcd8bcc1ead2b8,69,0x3ab2ad643d65a6504a0bac398b4c0c3865d56fd4d4b80a1867c7a87749d4e7b0,0xb9865968b1b9b64f838edd2e4333cf8dfa3682c1,0x6b3595068778dd592e39a122f4f5a5cf09c90fe2,0xce84867c3c02b05dc570d0135103d3fb9cc19433,1.1203510598424995e+20,SushiToken,SUSHI,18,142,187464,471000000000,141940,10356876,deprecated,4406187
7,10778270,2020-09-01 23:16:10,0x4b7143caa5586a80c15d55d8408f067f480698dd3d846b0740bcd8bcc1ead2b8,69,0x3ab2ad643d65a6504a0bac398b4c0c3865d56fd4d4b80a1867c7a87749d4e7b0,0x0000000000000000000000000000000000000000,0xce84867c3c02b05dc570d0135103d3fb9cc19433,0xb9865968b1b9b64f838edd2e4333cf8dfa3682c1,1.502478919521215e+19,Uniswap V2,UNI-V2,18,142,187464,471000000000,141940,10356876,deprecated,4406187
8,10778433,2020-09-01 23:54:07,0x71389b7673e3966258ecedc59e4214a78919c78ff2822305fae6a18043709382,71,0xea53284516a0e55ff7212aeb7ff49bab619cebda011b19570ac74392dade7fab,0xb9865968b1b9b64f838edd2e4333cf8dfa3682c1,0xce84867c3c02b05dc570d0135103d3fb9cc19433,0xc2edad668740f1aa35e4d8f227fb8e17dca888cd,1.502478919521215e+19,Uniswap V2,UNI-V2,18,105,212403,464500000000,126602,8285056,deprecated,4406024
9,10785562,2020-09-03 02:11:50,0x7c860003eb71b2d44f554a8e6751d5624f3c16bc345c88bbc659e7169ebaca21,72,0x098a7383f1e6cb48ebfe75d831bac7d50bc17cf81983e580db9b9cdb8b804c99,0x2fdbadf3c4d5a8666bc06645b8358ab803996e28,0x0bc529c00c6401aef6d220be8c6ea1667f6ad93e,0xb9865968b1b9b64f838edd2e4333cf8dfa3682c1,5.570818299707008e+16,yearn.finance,YFI,18,46,134877,317000000000,109491,3813801,deprecated,4398895
