,blockNumber,timeStamp,hash,nonce,blockHash,from,contractAddress,to,value,tokenName,tokenSymbol,tokenDecimal,transactionIndex,gas,gasPrice,gasUsed,cumulativeGasUsed,input,confirmations
0,10764973,2020-08-30 22:37:39,0xec2c59cfd5760689ecad388ad26bc8e311ebfce187bb83a6166474a708b33f46,1,0x0839c6b8f01e39d919142ff2977ab8aa2902abd98fc5b217311a471657db6aac,0xd58b1b5d2148f744e9eb3a87f20bebf3ca5f8974,0x45f24baeef268bb6d63aee5129015d69702bcdfa,0xb9e5024d67466acab14b5c2be7945bdcbbbd6c75,3.6241598283423626e+18,YFValue,YFV,18,12,315419,114000000000,264913,761789,deprecated,4419714
1,10766306,2020-08-31 03:40:55,0xe050e9467e832adad73da3f418df2767ae0d7f075db0657ae8c6e6043d7072c7,5,0xed1e6b09bbe05fe0cf5d74aa7d1ad513d363215656290a606ef70fbe569c1539,0xcb4f983e705caeb7217c5c3785001cb138115f0b,0x45f24baeef268bb6d63aee5129015d69702bcdfa,0xb9e5024d67466acab14b5c2be7945bdcbbbd6c75,1.1414040103300745e+19,YFValue,YFV,18,134,148087,153000000000,97280,9797161,deprecated,4418381
2,10785800,2020-09-03 02:59:53,0x2fc9562cb74f7f3a09b33521c5be41981444440fff250001afa155e5b8036162,7,0xb6f52453ec68b9ca83331b12b8e5ab9f3ef14e987d87a1ba788b7a1a4dfc1dc1,0x55111bad5bc368a2cb9ecc9fbc923296bedb3b89,0x68a118ef45063051eac49c7e647ce5ace48a68a5,0xb9e5024d67466acab14b5c2be7945bdcbbbd6c75,1.179174365977683e+17,$BASED,$BASED,18,142,167417,330000000000,126595,9421164,deprecated,4398887
3,10825326,2020-09-09 04:21:02,0xeb4b8af67d59a9713ff831b94ea8237d4a247d2ad717426f111d243c119b71cb,9,0x485eea7bab8886b8735313c4fc158abd6538b4858ef84c30b1f3b7847284b4c4,0xb9e5024d67466acab14b5c2be7945bdcbbbd6c75,0x45f24baeef268bb6d63aee5129015d69702bcdfa,0xcb4f983e705caeb7217c5c3785001cb138115f0b,1.8953304471172864e+18,YFValue,YFV,18,57,200484,76000000000,156761,4294915,deprecated,4359361
4,10825326,2020-09-09 04:21:02,0xeb4b8af67d59a9713ff831b94ea8237d4a247d2ad717426f111d243c119b71cb,9,0x485eea7bab8886b8735313c4fc158abd6538b4858ef84c30b1f3b7847284b4c4,0x0000000000000000000000000000000000000000,0xcb4f983e705caeb7217c5c3785001cb138115f0b,0xb9e5024d67466acab14b5c2be7945bdcbbbd6c75,1.6365384874899555e+17,Uniswap V2,UNI-V2,18,57,200484,76000000000,156761,4294915,deprecated,4359361
5,10882168,2020-09-17 21:31:48,0xcc2cf8a48aad5950efbf17d65dadff05016a1d6e2340eb82f13097756f195634,12,0x473ed0d0ab0f5891e28a84d5bd269c6636b960240c29f4fba9446641bbb329ec,0x090d4613473dee047c3f2706764f49e0821d256e,0x1f9840a85d5af5bf1d1762f925bdaddc4201f984,0xb9e5024d67466acab14b5c2be7945bdcbbbd6c75,4e+20,Uniswap,UNI,18,64,90053,276000000000,81867,4281398,deprecated,4302519
6,10883774,2020-09-18 03:30:03,0x0b722e3b4227ec8e94b50c8c6b6b1b79adc9429932653154d4683ef56e20de6a,13,0xb75d9cb9a7ff6141a2ee7cb25dd7b5ba6133c63c64e26fcbda94891f182ad17f,0xb9e5024d67466acab14b5c2be7945bdcbbbd6c75,0x1f9840a85d5af5bf1d1762f925bdaddc4201f984,0x979a6a4f499dd8d188e9e64aa1ad13756502de28,1e+19,Uniswap,UNI,18,146,83241,271000000000,55494,11520174,deprecated,4300913
7,10884176,2020-09-18 05:03:32,0x22b161edcd32f7315323f527651264df8ad3587f60a3781ea43301cd038e40c8,14,0x98669b586dceee050bc179af9c2bf633e6632f5b56cd87d43c76caec2a27fbb0,0xb9e5024d67466acab14b5c2be7945bdcbbbd6c75,0x1f9840a85d5af5bf1d1762f925bdaddc4201f984,0x979a6a4f499dd8d188e9e64aa1ad13756502de28,3.9e+20,Uniswap,UNI,18,160,60759,274000000000,25506,9593681,deprecated,4300511
8,10886271,2020-09-18 12:56:32,0xc7ddf1c788e6b83dec46036a664de6345fff0b266911caaca97035c5a063e605,16,0xd3134aa11fd4434a033ea626308d40b1e1657081d2e8e8483f948330cf6a5900,0xb9e5024d67466acab14b5c2be7945bdcbbbd6c75,0x45f24baeef268bb6d63aee5129015d69702bcdfa,0xcb4f983e705caeb7217c5c3785001cb138115f0b,1.314286948452582e+19,YFValue,YFV,18,130,175464,210000000000,118975,9061101,deprecated,4298416
9,10886271,2020-09-18 12:56:32,0xc7ddf1c788e6b83dec46036a664de6345fff0b266911caaca97035c5a063e605,16,0xd3134aa11fd4434a033ea626308d40b1e1657081d2e8e8483f948330cf6a5900,0x0000000000000000000000000000000000000000,0xcb4f983e705caeb7217c5c3785001cb138115f0b,0xb9e5024d67466acab14b5c2be7945bdcbbbd6c75,8.330910833148924e+17,Uniswap V2,UNI-V2,18,130,175464,210000000000,118975,9061101,deprecated,4298416
