,blockNumber,timeStamp,hash,nonce,blockHash,from,contractAddress,to,value,tokenName,tokenSymbol,tokenDecimal,transactionIndex,gas,gasPrice,gasUsed,cumulativeGasUsed,input,confirmations
0,10786825,2020-09-03 06:50:21,0xe6dc87ed987514f2142217cf4dcaa8dcb2987b370a9a4b1f6885b73e07be6ffa,1,0xcd2f2b226860d2adfe570fbae2f38302f6749a44c74b2184949e2322669c09b0,0xb56e8c046cfdd2e5ec7e0be0b1b3c46f58d1f3b6,0x88093840aad42d2621e1a452bf5d7076ff804d61,0xbd09118836aa0d6cb447e2bae81630971b4ff1e0,43000000000.0,Soft Yearn Finance,SYFI,9,71,162758,400000000000,134694,5480153,deprecated,4397247
1,10786929,2020-09-03 07:15:59,0x284cc5696b8e76d6317a47fe5d0914240970424717fb75cd2aa18177276f0295,2,0xaaf52ac3a054e7a767b5f1250c05f41bfd8d419906fb787956acbbbcce3c4807,0x2d069ae9c55c7b2829aa40d3beb3fdb29308566e,0x26b3038a7fc10b36c426846a9086ef87328da702,0xbd09118836aa0d6cb447e2bae81630971b4ff1e0,1.2261469147952008e+18,Yield Farming Token,YFT,18,101,274124,411000000000,222085,6895715,deprecated,4397143
2,10786938,2020-09-03 07:17:49,0x9d6f3bd546da0c9a618a32e25e4c6ea7f2e44a37bbd226fc1dd065471e8bcb53,3,0x9d2c82d9cf711cfb3063af61ab3b722204b11977b8b65b3223baec78f1bb3107,0x2d069ae9c55c7b2829aa40d3beb3fdb29308566e,0x26b3038a7fc10b36c426846a9086ef87328da702,0xbd09118836aa0d6cb447e2bae81630971b4ff1e0,2.1e+18,Yield Farming Token,YFT,18,123,278139,401000000000,227570,10520387,deprecated,4397134
3,10786957,2020-09-03 07:22:47,0x9eb7387d86d24c0b81f406a859d49b09a7e1c27bb05a390068f0a28248606c10,5,0x651910a0a1351d70068b9cbc286d13542d5e539475295a20ae52ed4632e3a335,0x2d069ae9c55c7b2829aa40d3beb3fdb29308566e,0x26b3038a7fc10b36c426846a9086ef87328da702,0xbd09118836aa0d6cb447e2bae81630971b4ff1e0,1.8e+18,Yield Farming Token,YFT,18,190,278139,411000000000,227570,11795185,deprecated,4397115
4,10786968,2020-09-03 07:25:52,0xad71ae91faff6e64fae45dab701f1cf6da4197dedc6a6c8a65418a9c53c87fcd,6,0x0b87d43662f1abd4a865f2284e23796d89ca5dba93de322b1dd42172a6ce64b5,0x2d069ae9c55c7b2829aa40d3beb3fdb29308566e,0x26b3038a7fc10b36c426846a9086ef87328da702,0xbd09118836aa0d6cb447e2bae81630971b4ff1e0,1.5e+18,Yield Farming Token,YFT,18,82,278139,415000000000,227570,5077364,deprecated,4397104
5,10786979,2020-09-03 07:28:23,0xaa504f1798741891fb440854ca253d92a1dc75343ffa756d946ece0c8dc4d359,8,0x98d0df09164453aa2dc9dd45ac71ba8aad81930346b3d9c4c124e39545b8ee7b,0x2d069ae9c55c7b2829aa40d3beb3fdb29308566e,0x26b3038a7fc10b36c426846a9086ef87328da702,0xbd09118836aa0d6cb447e2bae81630971b4ff1e0,1.5e+18,Yield Farming Token,YFT,18,128,278139,415000000000,227570,7092929,deprecated,4397093
6,10786985,2020-09-03 07:29:50,0xca602d9059c730e46f86967005fa16cc6e14ac09b2018f5b859bd2967f299bf3,9,0xd85d6fdb5c82b369671fecdd9c3adc885d52372bad26f5fae20ccff85021f6c4,0x2d069ae9c55c7b2829aa40d3beb3fdb29308566e,0x26b3038a7fc10b36c426846a9086ef87328da702,0xbd09118836aa0d6cb447e2bae81630971b4ff1e0,1.3e+18,Yield Farming Token,YFT,18,228,278139,415000000000,227570,11345742,deprecated,4397087
7,10787312,2020-09-03 08:44:25,0xdf9c7d38a97f80b64d79e41dd857a294f54bfa2727837e41cb00873f6487c90b,11,0x657b4f5396885799ebcce4f4f8e1fee4ba7a9acab28b16c4a5cbc80af96e94a7,0x2d069ae9c55c7b2829aa40d3beb3fdb29308566e,0x26b3038a7fc10b36c426846a9086ef87328da702,0xbd09118836aa0d6cb447e2bae81630971b4ff1e0,1.9636339218746688e+18,Yield Farming Token,YFT,18,44,271338,384000000000,219591,4302305,deprecated,4396760
8,10787537,2020-09-03 09:29:29,0x848c97517f866558e0f967723d5b437688f1170a90cd3d2ddba90651942870a0,14,0xc45f4a382197eec4ffb4a9bac0dbf4862f28fce601bf5ecc3b30f32df40f8698,0xbd09118836aa0d6cb447e2bae81630971b4ff1e0,0x88093840aad42d2621e1a452bf5d7076ff804d61,0xb56e8c046cfdd2e5ec7e0be0b1b3c46f58d1f3b6,42225143167.0,Soft Yearn Finance,SYFI,9,238,179331,269000000000,137426,11209904,deprecated,4396535
9,10787537,2020-09-03 09:29:29,0x848c97517f866558e0f967723d5b437688f1170a90cd3d2ddba90651942870a0,14,0xc45f4a382197eec4ffb4a9bac0dbf4862f28fce601bf5ecc3b30f32df40f8698,0x0000000000000000000000000000000000000000,0xb56e8c046cfdd2e5ec7e0be0b1b3c46f58d1f3b6,0xbd09118836aa0d6cb447e2bae81630971b4ff1e0,725304601223281.0,Uniswap V2,UNI-V2,18,238,179331,269000000000,137426,11209904,deprecated,4396535
10,10787560,2020-09-03 09:33:45,0xff20d3bbc687a57777e071a5d1ec1e8aa253379c9bf8af6cefbf88f8bd8f0a05,16,0xe81e9d76336d8f68fc6eb46f40e99e93d746ebacfb4a8beb5039ce84478d6335,0xbd09118836aa0d6cb447e2bae81630971b4ff1e0,0x26b3038a7fc10b36c426846a9086ef87328da702,0x2d069ae9c55c7b2829aa40d3beb3fdb29308566e,1.138978083666987e+19,Yield Farming Token,YFT,18,96,312769,269000000000,258458,7880460,deprecated,4396512
11,10787560,2020-09-03 09:33:45,0xff20d3bbc687a57777e071a5d1ec1e8aa253379c9bf8af6cefbf88f8bd8f0a05,16,0xe81e9d76336d8f68fc6eb46f40e99e93d746ebacfb4a8beb5039ce84478d6335,0x0000000000000000000000000000000000000000,0x2d069ae9c55c7b2829aa40d3beb3fdb29308566e,0xbd09118836aa0d6cb447e2bae81630971b4ff1e0,6.590958931278646e+18,Uniswap V2,UNI-V2,18,96,312769,269000000000,258458,7880460,deprecated,4396512
12,10789753,2020-09-03 17:48:19,0xd021bb637c15a7804f0fdffd8f8c97b16778b2fe11dfa13859fac72f78365c1c,18,0x19fcb701e20909d44533e0b6ebf8edae675e0ad52a56e877cf435e565e2b3b46,0x2d069ae9c55c7b2829aa40d3beb3fdb29308566e,0x26b3038a7fc10b36c426846a9086ef87328da702,0xbd09118836aa0d6cb447e2bae81630971b4ff1e0,4.5e+18,Yield Farming Token,YFT,18,120,278139,466000000000,227570,8485461,deprecated,4394319
13,10789768,2020-09-03 17:52:23,0x97df867a71ff2ff4a19ed5d6a6132f8e4515ab40ae033a712af901e813a1c0f4,20,0x19a3a0f102330706b207dd1b06e7ca2cae8b8c8e4572c56f6fa58ef1bc40018b,0xb56e8c046cfdd2e5ec7e0be0b1b3c46f58d1f3b6,0x88093840aad42d2621e1a452bf5d7076ff804d61,0xbd09118836aa0d6cb447e2bae81630971b4ff1e0,18791098662.0,Soft Yearn Finance,SYFI,9,141,150778,484000000000,111703,9324650,deprecated,4394304
14,10818005,2020-09-08 01:23:36,0x29847c458fd3764dbfc5610a76128e3f1afe6018d9b5e61f4c13cc16ab26d564,22,0xc5c6b842b2bf5a7754af5ff7dc61e0ce75ecaf3641347d6c54316496a60b1915,0xbd09118836aa0d6cb447e2bae81630971b4ff1e0,0x2d069ae9c55c7b2829aa40d3beb3fdb29308566e,0x2d069ae9c55c7b2829aa40d3beb3fdb29308566e,6.590958931278646e+18,Uniswap V2,UNI-V2,18,57,438890,82000000000,339276,3737415,deprecated,4366067
15,10818005,2020-09-08 01:23:36,0x29847c458fd3764dbfc5610a76128e3f1afe6018d9b5e61f4c13cc16ab26d564,22,0xc5c6b842b2bf5a7754af5ff7dc61e0ce75ecaf3641347d6c54316496a60b1915,0x7a250d5630b4cf539739df2c5dacb4c659f2488d,0x26b3038a7fc10b36c426846a9086ef87328da702,0xbd09118836aa0d6cb447e2bae81630971b4ff1e0,2.375570147657238e+19,Yield Farming Token,YFT,18,57,438890,82000000000,339276,3737415,deprecated,4366067
