,blockNumber,timeStamp,hash,nonce,blockHash,from,contractAddress,to,value,tokenName,tokenSymbol,tokenDecimal,transactionIndex,gas,gasPrice,gasUsed,cumulativeGasUsed,input,confirmations
0,10779126,2020-09-02 02:26:32,0xd67ce4de52bbe33325083bd2eb03093afbe37a1fbde96864db0e12827e907787,0,0x181ad6fe39063b4e328c1ee85a092f86d2685b70e87086c68884776a1214153a,0x0d4a11d5eeaac28ec3f61d100daf4d40471f1852,0xdac17f958d2ee523a2206206994597c13d831ec7,0xbddfe425b260d750468329325fde99e9d4416077,1000000000.0,Tether USD,USDT,6,144,166821,480000000000,126372,9614844,deprecated,4404598
1,10779141,2020-09-02 02:30:33,0xc06e9a83cedc836f4dda72385bb5fe86bdbd208bd1a6c85a3a566c7f0a4d0151,1,0x998b551341063db2d16bc837d352703e5d1775a5597aea9aa4bd37002ff3ddd5,0xf80758ab42c3b07da84053fd88804bcb6baa4b5c,0x57ab1ec28d129707052df4df418d58a2d46d5f51,0xbddfe425b260d750468329325fde99e9d4416077,1e+21,Synth sUSD,sUSD,18,164,253045,480000000000,192741,10336747,deprecated,4404583
2,10779151,2020-09-02 02:33:32,0x33b3538b6c1c3ac1a547c16109ec3b10fa8a9586036e3455e584c09db9bd913a,2,0xb77411d69de7c8a67d9c4587209ec4e47fa27704361bc24f997fe64f96bfda90,0xf80758ab42c3b07da84053fd88804bcb6baa4b5c,0x57ab1ec28d129707052df4df418d58a2d46d5f51,0xbddfe425b260d750468329325fde99e9d4416077,1e+21,Synth sUSD,sUSD,18,87,218707,480000000000,189757,6118854,deprecated,4404573
3,10779160,2020-09-02 02:36:07,0xa2dcaac2ba9aff35a6ea3b58a0bfd1b1a85e565245f25bdac010774f35b84d76,3,0xf5d2c77bc6d79c607571fabf2cea4daad2cfcb620c055efa9c77b6236a3afefa,0xc5be99a02c6857f9eac67bbce58df5572498f40c,0xd46ba6d942050d489dbd938a2c909a5d5039a161,0xbddfe425b260d750468329325fde99e9d4416077,700000000000.0,Ampleforth,AMPL,9,66,168690,480000000000,140087,4363855,deprecated,4404564
4,10779183,2020-09-02 02:41:32,0xfad49b893556e7a9af6bd2671c47db99a11db0f9a61fdcfc736a38dae031985b,4,0x156e4a76dabcef37ce34045460ac483f2161de9b2a36169a6a57bf9cc7c3bf55,0xce84867c3c02b05dc570d0135103d3fb9cc19433,0x6b3595068778dd592e39a122f4f5a5cf09c90fe2,0xbddfe425b260d750468329325fde99e9d4416077,6.47641145502569e+19,SushiToken,SUSHI,18,121,151565,480000000000,112409,8455382,deprecated,4404541
5,10779188,2020-09-02 02:42:17,0x995ecb6f66705b6ca9b355a210ef4829fbc6b53e042642f30d7511570a8e1e1f,5,0x862e770b7ce21bf45d6ca0a140f92c5fbfe05410e7a5143412799c3fb9663ec6,0x2fdbadf3c4d5a8666bc06645b8358ab803996e28,0x0bc529c00c6401aef6d220be8c6ea1667f6ad93e,0xbddfe425b260d750468329325fde99e9d4416077,3.0267032705285468e+16,yearn.finance,YFI,18,61,151640,480000000000,124491,5245551,deprecated,4404536
6,10779331,2020-09-02 03:16:10,0x2b79fb6e5d8b9a91b06583393acb141718a097ddaa1347d7ecba324a2078867c,11,0xad11dd7e04eabcd4820eeba735ba3d0a5f80c927bfd0cbc1b1f1ffcfb24bfe4e,0xbddfe425b260d750468329325fde99e9d4416077,0x57ab1ec28d129707052df4df418d58a2d46d5f51,0xf80758ab42c3b07da84053fd88804bcb6baa4b5c,1.9992647135571445e+21,Synth sUSD,sUSD,18,322,265698,480000001459,215670,10803022,deprecated,4404393
7,10779331,2020-09-02 03:16:10,0x2b79fb6e5d8b9a91b06583393acb141718a097ddaa1347d7ecba324a2078867c,11,0xad11dd7e04eabcd4820eeba735ba3d0a5f80c927bfd0cbc1b1f1ffcfb24bfe4e,0x0000000000000000000000000000000000000000,0xf80758ab42c3b07da84053fd88804bcb6baa4b5c,0xbddfe425b260d750468329325fde99e9d4416077,6.8034596842186056e+19,Uniswap V2,UNI-V2,18,322,265698,480000001459,215670,10803022,deprecated,4404393
8,10782780,2020-09-02 16:01:41,0x9241eecf2692133b76a6cb799d88cfa997de9f2f97c7aec3bf8ee78297b3ba60,16,0x0f8523eff84b7091576e9173fe8de6e47039079fe76355d9c19cb654caa29591,0xbddfe425b260d750468329325fde99e9d4416077,0xdac17f958d2ee523a2206206994597c13d831ec7,0x0d4a11d5eeaac28ec3f61d100daf4d40471f1852,1000000000.0,Tether USD,USDT,6,110,177555,500000000000,128308,7076961,deprecated,4400944
9,10782780,2020-09-02 16:01:41,0x9241eecf2692133b76a6cb799d88cfa997de9f2f97c7aec3bf8ee78297b3ba60,16,0x0f8523eff84b7091576e9173fe8de6e47039079fe76355d9c19cb654caa29591,0x0000000000000000000000000000000000000000,0x0d4a11d5eeaac28ec3f61d100daf4d40471f1852,0xbddfe425b260d750468329325fde99e9d4416077,39886788557351.0,Uniswap V2,UNI-V2,18,110,177555,500000000000,128308,7076961,deprecated,4400944
