,blockNumber,timeStamp,hash,nonce,blockHash,from,contractAddress,to,value,tokenName,tokenSymbol,tokenDecimal,transactionIndex,gas,gasPrice,gasUsed,cumulativeGasUsed,input,confirmations
0,10787160,2020-09-03 08:11:12,0x4fe669447bb5aad839d5a8d279b6e494afa7201d28298a388c278bda2cb1e1c8,0,0x0de20094f3f534c7581439048b43be255a7764da927bf6451123217f5e012f01,0x820d30dfb86edef782a0310f0e8f41ce37b82c40,0x12f649a9e821f90bb143089a6e56846945892ffb,0xbf97b1dedc11c41003cfcf35972179e1dc68747f,7.142068999186529e+21,uDOO,uDOO,18,163,168903,402000000000,127925,11547188,deprecated,4396912
1,10787269,2020-09-03 08:34:28,0x2bfe294d6dfe477fcf1e515bf0e8c9846f0da3349403b91c46fbd0cdbe189238,1,0x0ec684e817e04ef5b48c7de7a7b347352fde3972cbf7af675c29b6c3c38db6b6,0xcb4f983e705caeb7217c5c3785001cb138115f0b,0x45f24baeef268bb6d63aee5129015d69702bcdfa,0xbf97b1dedc11c41003cfcf35972179e1dc68747f,1.3207550564791159e+19,YFValue,YFV,18,48,164849,401000000000,112280,2278154,deprecated,4396803
2,10927766,2020-09-24 21:33:21,0x48eb592551f8663a47b87ca5753646061ae80a0e423790aa1fc6aefef3038e1f,3,0x4ed55e38c48baa6c321400959169112a4b23d5439405d65a128b261eaf67b90f,0xbf97b1dedc11c41003cfcf35972179e1dc68747f,0x45f24baeef268bb6d63aee5129015d69702bcdfa,0x07eb8cb8aedb581a2d73cc29f6c7860226808ca2,1.3207550564791159e+19,YFValue,YFV,18,80,298372,107000000000,190870,6957790,deprecated,4256306
3,10927766,2020-09-24 21:33:21,0x48eb592551f8663a47b87ca5753646061ae80a0e423790aa1fc6aefef3038e1f,3,0x4ed55e38c48baa6c321400959169112a4b23d5439405d65a128b261eaf67b90f,0xbf97b1dedc11c41003cfcf35972179e1dc68747f,0x0000000000004946c0e9f43f4dee607b0ef1fa1c,0x0000000000000000000000000000000000000000,0.0,Chi Gastoken by 1inch,CHI,0,80,298372,107000000000,190870,6957790,deprecated,4256306
4,10927766,2020-09-24 21:33:21,0x48eb592551f8663a47b87ca5753646061ae80a0e423790aa1fc6aefef3038e1f,3,0x4ed55e38c48baa6c321400959169112a4b23d5439405d65a128b261eaf67b90f,0xbf97b1dedc11c41003cfcf35972179e1dc68747f,0x0000000000004946c0e9f43f4dee607b0ef1fa1c,0x0000000000000000000000000000000000000000,0.0,Chi Gastoken by 1inch,CHI,0,80,298372,107000000000,190870,6957790,deprecated,4256306
5,11007748,2020-10-07 09:22:36,0x82cdc895f6b94ca2c3d7f15efb9e3079306bb5b7373b5e34cdc6871ce7d34496,5,0x7f79bc2dbca70b397fafbb692ee17f68e6f65593a4829667861d6e82e81f8b32,0xbf97b1dedc11c41003cfcf35972179e1dc68747f,0x12f649a9e821f90bb143089a6e56846945892ffb,0x820d30dfb86edef782a0310f0e8f41ce37b82c40,7.142068999186529e+21,uDOO,uDOO,18,208,170833,64000000000,115021,10074571,deprecated,4176324
6,11008324,2020-10-07 11:31:56,0x836b95778a819e09bf9fd0932822cfa7b5a162a6eeb719e78f31afda3eb5aaf4,6,0x9fb44b3b549cc296890acd49853b8f0f7485952246d13a9a9a825535355829bd,0xd9159376499936868a5b061a4633481131e70732,0x49e833337ece7afe375e44f4e3e8481029218e5c,0xbf97b1dedc11c41003cfcf35972179e1dc68747f,3.5729999435997536e+19,Value Liquidity,VALUE,18,268,165077,90000000000,124500,12161271,deprecated,4175748
7,11047069,2020-10-13 11:37:18,0xc093b466a5b7ccaa3eb63f2d75b6112a43a5f09c535987fe6d4f2fdc756bfeda,5,0x7269f6b37e6270c44b6d3e2fd24b0c8c267dbc9387f6bd4f4649213ea02829a4,0xd152f549545093347a162dce210e7293f1452150,0x49e833337ece7afe375e44f4e3e8481029218e5c,0xbf97b1dedc11c41003cfcf35972179e1dc68747f,3.219629457e+17,Value Liquidity,VALUE,18,3,12331250,33880000000,11497050,11662115,deprecated,4137003
8,11053743,2020-10-14 12:28:28,0x973d4188b1189478c29567871b891ba9ecd29abbef5bb0e0c0cb743c14d3ed92,8,0x6273d2ce275c0a79a7dea37097648069d06b94f724baf2209a3099647dc67706,0xbf97b1dedc11c41003cfcf35972179e1dc68747f,0x49e833337ece7afe375e44f4e3e8481029218e5c,0xcec03a960ea678a2b6ea350fe0dbd1807b22d875,3.605196238169754e+19,Value Liquidity,VALUE,18,151,269167,60000000000,164445,6748168,deprecated,4130329
9,11053758,2020-10-14 12:30:45,0x5ad5787a33b9e10b5900423a1cf3bdade997606d693c4a8e6560c4f9392ce832,9,0x16a783ef21813a6d5e68c6fced27b29db01483b735b683c37be5bbc6dde1c121,0x07eb8cb8aedb581a2d73cc29f6c7860226808ca2,0x49e833337ece7afe375e44f4e3e8481029218e5c,0xbf97b1dedc11c41003cfcf35972179e1dc68747f,2.58489850079222e+16,Value Liquidity,VALUE,18,187,625804,60000000000,366464,11843854,deprecated,4130314
10,11053758,2020-10-14 12:30:45,0x5ad5787a33b9e10b5900423a1cf3bdade997606d693c4a8e6560c4f9392ce832,9,0x16a783ef21813a6d5e68c6fced27b29db01483b735b683c37be5bbc6dde1c121,0xbf97b1dedc11c41003cfcf35972179e1dc68747f,0x0000000000004946c0e9f43f4dee607b0ef1fa1c,0x0000000000000000000000000000000000000000,0.0,Chi Gastoken by 1inch,CHI,0,187,625804,60000000000,366464,11843854,deprecated,4130314
11,11053758,2020-10-14 12:30:45,0x5ad5787a33b9e10b5900423a1cf3bdade997606d693c4a8e6560c4f9392ce832,9,0x16a783ef21813a6d5e68c6fced27b29db01483b735b683c37be5bbc6dde1c121,0x07eb8cb8aedb581a2d73cc29f6c7860226808ca2,0x45f24baeef268bb6d63aee5129015d69702bcdfa,0xbf97b1dedc11c41003cfcf35972179e1dc68747f,1.3207550564791159e+19,YFValue,YFV,18,187,625804,60000000000,366464,11843854,deprecated,4130314
12,11053758,2020-10-14 12:30:45,0x5ad5787a33b9e10b5900423a1cf3bdade997606d693c4a8e6560c4f9392ce832,9,0x16a783ef21813a6d5e68c6fced27b29db01483b735b683c37be5bbc6dde1c121,0xbf97b1dedc11c41003cfcf35972179e1dc68747f,0x0000000000004946c0e9f43f4dee607b0ef1fa1c,0x0000000000000000000000000000000000000000,0.0,Chi Gastoken by 1inch,CHI,0,187,625804,60000000000,366464,11843854,deprecated,4130314
13,11053758,2020-10-14 12:30:45,0x5ad5787a33b9e10b5900423a1cf3bdade997606d693c4a8e6560c4f9392ce832,9,0x16a783ef21813a6d5e68c6fced27b29db01483b735b683c37be5bbc6dde1c121,0x07eb8cb8aedb581a2d73cc29f6c7860226808ca2,0x1b8e12f839bd4e73a47addf76cf7f0097d74c14c,0xbf97b1dedc11c41003cfcf35972179e1dc68747f,3224202109.0,Value USD,vUSD,9,187,625804,60000000000,366464,11843854,deprecated,4130314
14,11053758,2020-10-14 12:30:45,0x5ad5787a33b9e10b5900423a1cf3bdade997606d693c4a8e6560c4f9392ce832,9,0x16a783ef21813a6d5e68c6fced27b29db01483b735b683c37be5bbc6dde1c121,0x07eb8cb8aedb581a2d73cc29f6c7860226808ca2,0x76a034e76aa835363056dd418611e4f81870f16e,0xbf97b1dedc11c41003cfcf35972179e1dc68747f,3224202.0,Value ETH,vETH,9,187,625804,60000000000,366464,11843854,deprecated,4130314
