,blockNumber,timeStamp,hash,nonce,blockHash,from,contractAddress,to,value,tokenName,tokenSymbol,tokenDecimal,transactionIndex,gas,gasPrice,gasUsed,cumulativeGasUsed,input,confirmations
0,9377000,2020-01-29 12:23:35,0x32d44974148a1fff8ea8dc9f3dee5fb824699c227fe150ef9f9fabfb418f2db5,0,0xcfbfeef50b2aa60cb0031af468816fd76be82b387a30649b77ae9d575ed5c60c,0x716523231368d43bdfe1f06afe1c62930731ab13,0x716523231368d43bdfe1f06afe1c62930731ab13,0xc2da7922800b8ed7a7698e134add6a7c9db024aa,1.2e+16,Wrapped 0xEthereum Token,W0xETH,8,85,80385,2000000000,75385,6322821,deprecated,5806679
1,9377000,2020-01-29 12:23:35,0x4dc487c1290cc13c5645e34ce6c95362bcf8a9297c4693ec97ed00bfe3eeef48,1,0xcfbfeef50b2aa60cb0031af468816fd76be82b387a30649b77ae9d575ed5c60c,0x716523231368d43bdfe1f06afe1c62930731ab13,0x716523231368d43bdfe1f06afe1c62930731ab13,0xc2da7922800b8ed7a7698e134add6a7c9db024aa,1.2e+16,Wrapped 0xEthereum Token,W0xETH,8,86,65385,2000000000,60385,6383206,deprecated,5806679
2,9377011,2020-01-29 12:25:56,0x48b4b65248573475ba3687eba277396d7f246bb0856a2f443ad95765427b16a7,2,0x28b0abbe02f066557dac32bc285dccb6b86a80166e51cc217bca03b1af8c2a76,0x716523231368d43bdfe1f06afe1c62930731ab13,0x716523231368d43bdfe1f06afe1c62930731ab13,0xc2da7922800b8ed7a7698e134add6a7c9db024aa,1.2e+16,Wrapped 0xEthereum Token,W0xETH,8,138,65385,2000000000,60385,9347028,deprecated,5806668
3,9377011,2020-01-29 12:25:56,0x3d202217c13290da54a27dcbe6721c18660e938abac3c1ad11e130e3375bdfa1,3,0x28b0abbe02f066557dac32bc285dccb6b86a80166e51cc217bca03b1af8c2a76,0x716523231368d43bdfe1f06afe1c62930731ab13,0x716523231368d43bdfe1f06afe1c62930731ab13,0xc2da7922800b8ed7a7698e134add6a7c9db024aa,1.2e+16,Wrapped 0xEthereum Token,W0xETH,8,139,65385,2000000000,60385,9407413,deprecated,5806668
4,9377043,2020-01-29 12:31:53,0xb0a14466cf182953b009601c45a9530cc41bc72013f756ead56b4956f0554a0a,4,0xafe85d37406195696d383279ef33d6bf036109fb8312876a3274a9c59d767881,0x716523231368d43bdfe1f06afe1c62930731ab13,0x716523231368d43bdfe1f06afe1c62930731ab13,0xc2da7922800b8ed7a7698e134add6a7c9db024aa,1.2e+16,Wrapped 0xEthereum Token,W0xETH,8,67,65385,2000000000,60385,4686203,deprecated,5806636
5,9377043,2020-01-29 12:31:53,0x0aa0c7839d533bffe3de25d9711562688e2505841ef8aa531d9c5b51598664b9,5,0xafe85d37406195696d383279ef33d6bf036109fb8312876a3274a9c59d767881,0x716523231368d43bdfe1f06afe1c62930731ab13,0x716523231368d43bdfe1f06afe1c62930731ab13,0xc2da7922800b8ed7a7698e134add6a7c9db024aa,1.2e+16,Wrapped 0xEthereum Token,W0xETH,8,68,65385,2000000000,60385,4746588,deprecated,5806636
6,9382874,2020-01-30 10:01:21,0x67ccbd28c003ffd0ad9c9e94b80ef2deb71a3575fb6a0aa3b76a9da26243d3f4,6,0x5de4cddb03267a98e5d6c1b3a42fb0cf4e3fb97b546fd3f62f5d3702d92520ed,0x716523231368d43bdfe1f06afe1c62930731ab13,0x716523231368d43bdfe1f06afe1c62930731ab13,0xc2da7922800b8ed7a7698e134add6a7c9db024aa,1.2e+16,Wrapped 0xEthereum Token,W0xETH,8,34,65385,3000000000,60385,2504697,deprecated,5800805
7,9382887,2020-01-30 10:04:38,0x33cf222f4db53e35f1e4c81157f815dc7176bd205a8e89f4274a9f951e1e59e5,7,0x02b4906e27f8f009e3359c51baec6ca46ebda6e5adda24e617e7edc4aa962259,0x716523231368d43bdfe1f06afe1c62930731ab13,0x716523231368d43bdfe1f06afe1c62930731ab13,0xc2da7922800b8ed7a7698e134add6a7c9db024aa,1.2e+16,Wrapped 0xEthereum Token,W0xETH,8,59,65385,3000000000,60385,4183424,deprecated,5800792
8,9382887,2020-01-30 10:04:38,0xb006228f391a53e9a51b35a56223f3a58f3ea7d15826dee6f31aec20a92c72b7,8,0x02b4906e27f8f009e3359c51baec6ca46ebda6e5adda24e617e7edc4aa962259,0x716523231368d43bdfe1f06afe1c62930731ab13,0x716523231368d43bdfe1f06afe1c62930731ab13,0xc2da7922800b8ed7a7698e134add6a7c9db024aa,1.2e+16,Wrapped 0xEthereum Token,W0xETH,8,60,65385,3000000000,60385,4243809,deprecated,5800792
9,9382887,2020-01-30 10:04:38,0x8815b912a0d1c69b17e290a31f2e30e36c0a5d2ce99fd5a044649bcaad8cd37c,9,0x02b4906e27f8f009e3359c51baec6ca46ebda6e5adda24e617e7edc4aa962259,0x716523231368d43bdfe1f06afe1c62930731ab13,0x716523231368d43bdfe1f06afe1c62930731ab13,0xc2da7922800b8ed7a7698e134add6a7c9db024aa,1.2e+16,Wrapped 0xEthereum Token,W0xETH,8,61,65385,3000000000,60385,4304194,deprecated,5800792
