,blockNumber,timeStamp,hash,nonce,blockHash,from,contractAddress,to,value,tokenName,tokenSymbol,tokenDecimal,transactionIndex,gas,gasPrice,gasUsed,cumulativeGasUsed,input,confirmations
0,10761365,2020-08-30 09:19:30,0x03115fa7c53c76fd17553e439e25c794b22ab13321c4c32cd301f906cb578839,1,0x9c7d65740942299efcec2d3535646e4cc9f7520e8ac8ee60cd754dec8197d88a,0xd58b1b5d2148f744e9eb3a87f20bebf3ca5f8974,0x45f24baeef268bb6d63aee5129015d69702bcdfa,0xc5799a46184b88eef764d62476c916ccaa61d06f,6.931597087612567e+18,YFValue,YFV,18,141,290132,200000000000,230100,11479755,deprecated,4423001
1,10761373,2020-08-30 09:21:05,0xc5c2e9bd7d12c3681b517dd2a8ad10383755f1163f5c323e7eab3a4011f6b908,2,0x937d4b52dd2f24c213c330afd6b51fa5386e04a647a8e2d0b3284d675bc4d8ef,0xd58b1b5d2148f744e9eb3a87f20bebf3ca5f8974,0x45f24baeef268bb6d63aee5129015d69702bcdfa,0xc5799a46184b88eef764d62476c916ccaa61d06f,7.240038909068091e+18,YFValue,YFV,18,82,273370,200000000000,227116,5261759,deprecated,4422993
2,10761456,2020-08-30 09:42:03,0x2f10a8b9cf7aa50d75c81add20a55d95dda1681c779f38728fec4690891e3dc6,4,0x7cd4a85314538e0728cf4fb9bc98966f637fe0768ef7d3f1f969a3312a387d63,0xcb4f983e705caeb7217c5c3785001cb138115f0b,0x45f24baeef268bb6d63aee5129015d69702bcdfa,0xc5799a46184b88eef764d62476c916ccaa61d06f,7.670785788426568e+18,YFValue,YFV,18,128,134659,200000000000,97280,9560389,deprecated,4422910
3,10764157,2020-08-30 19:42:25,0x059fc68ccf6caafc4c199e556981e80f6493317ca79221af31b968c613244122,9,0xa6f56cabeb214b74035ac7c386972d15d24f334f75714c334f0d2377fd01030c,0xc5799a46184b88eef764d62476c916ccaa61d06f,0x45f24baeef268bb6d63aee5129015d69702bcdfa,0xced0c4f4951608fc512eda5a4820bfba5bc8fb0b,1e+18,YFValue,YFV,18,36,54192,165000000000,36128,1538398,deprecated,4420209
4,10764164,2020-08-30 19:43:19,0xa6459a11a191ccf121eb6a626b253c21d846759d3c6c48c6d52a3a50c40bc2c9,10,0x27d7e8c4e9e47dfc42cb89be254f389b597a63c5c72144110478dbab6021a071,0xc5799a46184b88eef764d62476c916ccaa61d06f,0x45f24baeef268bb6d63aee5129015d69702bcdfa,0xced0c4f4951608fc512eda5a4820bfba5bc8fb0b,2.0842421785107227e+19,YFValue,YFV,18,61,54246,165000000000,21164,3574469,deprecated,4420202
5,10881215,2020-09-17 17:58:43,0xd565e2ec84955668fc5b36e45104b730cc7daf196f9d32dac90511ae76e7c35f,21,0x91aa5ccb840abfebb2541d3f90140ccae146cfcef610bbe5cc3bac57f9ccf247,0x090d4613473dee047c3f2706764f49e0821d256e,0x1f9840a85d5af5bf1d1762f925bdaddc4201f984,0xc5799a46184b88eef764d62476c916ccaa61d06f,4e+20,Uniswap,UNI,18,47,90031,495000000000,81847,3573846,deprecated,4303151
6,10881908,2020-09-17 20:30:02,0xce864633ce357fb200ccfaad6ee72eab60175cd301f8a30c1a6315f2b2e0a4a5,22,0x811d15a7170bb9f88e6a45a4ea800adf463072e8a8f6f3c67878d8fdf110f07f,0xc5799a46184b88eef764d62476c916ccaa61d06f,0x1f9840a85d5af5bf1d1762f925bdaddc4201f984,0x94523c5e994a1f793383f520e146fc64639eafe5,0.0,Uniswap,UNI,18,157,48033,407000000000,32022,11459037,deprecated,4302458
7,10882050,2020-09-17 21:05:55,0x704f3ffb764ba76895944556d9f7facdfc8da23f8856402a15eb2b2cd7053320,23,0x3745cb7d181a90143840afd37b0746e41b9284568ff809401037d83d011a849c,0xc5799a46184b88eef764d62476c916ccaa61d06f,0x1f9840a85d5af5bf1d1762f925bdaddc4201f984,0x94523c5e994a1f793383f520e146fc64639eafe5,0.0,Uniswap,UNI,18,133,48033,415000000000,32022,8631128,deprecated,4302316
8,10882233,2020-09-17 21:46:01,0xa5d75b4c66b99a32303e892d5bbf94ee4e4c897c76868f4dd265b5e7a0f72c02,25,0xe53eae715945cfa005a1840f7b3eb4922846b86d2167309e8a6a552bdc4d1255,0xc5799a46184b88eef764d62476c916ccaa61d06f,0x1f9840a85d5af5bf1d1762f925bdaddc4201f984,0x94523c5e994a1f793383f520e146fc64639eafe5,4e+20,Uniswap,UNI,18,67,83259,417000000000,40506,5104819,deprecated,4302133
9,11796559,2021-02-05 13:38:57,0xbeba5f84af4bc01d69be7bc9f91a6421ed4523c03b917bd5a27acce37e0fb13f,27,0x1438a56e9cfbeb3f19ee5d1d36983fc4ca5e26eb0b814bf105bdff1e4a2c838e,0xbe55c87dff2a9f5c95cb5c07572c51fd91fe0732,0xad4f86a25bbc20ffb751f2fac312a0b4d8f88c64,0xc5799a46184b88eef764d62476c916ccaa61d06f,3.1431212857785156e+20,OptionRoom Token,ROOM,18,170,151459,350905000000,112313,9296650,deprecated,3387807
