,blockNumber,timeStamp,hash,nonce,blockHash,from,contractAddress,to,value,tokenName,tokenSymbol,tokenDecimal,transactionIndex,gas,gasPrice,gasUsed,cumulativeGasUsed,input,confirmations
0,10764479,2020-08-30 20:53:48,0x746685639d4ecd16b9f3c6602efe9b33df719f6a460e5a5451d5bbc18aa2cbe0,0,0xcb7f09aeb90316b5d6da7d537f347fac3e49a1002279a20d853eb78c835db2aa,0xce84867c3c02b05dc570d0135103d3fb9cc19433,0x6b3595068778dd592e39a122f4f5a5cf09c90fe2,0xc6bf2fc1dcda19e8d37cdb3608079085b475f971,1.6836506143344185e+20,SushiToken,SUSHI,18,133,151565,131000000000,112409,9068767,deprecated,4419925
1,10768059,2020-08-31 10:10:10,0x1f3a10105c16e0902262e6f5d59b014c86c59f9a5679484abcbda72e70a49616,1,0x374bd03aea36d8e75a59a7e4a7cd431e2b96691755c2e1207c3defe5fe889a9a,0x1cac6da8e6928aacb492697fa92b4a04d2162c08,0x0f4ca92660efad97a9a70cb0fe969c755439772c,0xc6bf2fc1dcda19e8d37cdb3608079085b475f971,5000000000000.0,Leverj,LEV,9,127,176397,199000000000,135077,6632120,deprecated,4416345
2,10770734,2020-08-31 19:53:04,0x2440fbb905eed827a62a8855cbc87fe887cae237dc471fe240a2885b342215ff,2,0xa521001fdf1185d00843e9b67cf3e69847f0c58a7d68544caf71603ff58d59d2,0xce84867c3c02b05dc570d0135103d3fb9cc19433,0x6b3595068778dd592e39a122f4f5a5cf09c90fe2,0xc6bf2fc1dcda19e8d37cdb3608079085b475f971,9.4e+19,SushiToken,SUSHI,18,88,143739,270591897848,105388,10124964,deprecated,4413670
3,10770923,2020-08-31 20:32:58,0x906d43e46ab6fd635247f75de80b91521aaee6f1a81c227cfc64009ef548fce0,3,0x40a1ec278f17d023146a008a07ddbc1cfb0e13d084b3940661ded43434b2c203,0xce84867c3c02b05dc570d0135103d3fb9cc19433,0x6b3595068778dd592e39a122f4f5a5cf09c90fe2,0xc6bf2fc1dcda19e8d37cdb3608079085b475f971,1.551046168852884e+20,SushiToken,SUSHI,18,120,134803,286000000000,97409,8533414,deprecated,4413481
4,10777716,2020-09-01 21:26:01,0xf145e229f4ac0162278167c438e28a1dea643e112506f864040e9d516895cbc4,5,0xd1d6774976d9e506783b1bec6d72267142198e122111996d3c8a72f12d058603,0xce84867c3c02b05dc570d0135103d3fb9cc19433,0x6b3595068778dd592e39a122f4f5a5cf09c90fe2,0xc6bf2fc1dcda19e8d37cdb3608079085b475f971,1.26e+20,SushiToken,SUSHI,18,24,143739,479000000000,117404,1772407,deprecated,4406688
5,10790083,2020-09-03 19:03:13,0x151d3b0759fe2dad4db83454b0aa0bd2c0531bbcedfa48a2839210d79d147864,6,0xa4fe2bcc31e75139b30b88b028abecd61ae0b55b613e7451d1a1a1380bae66c8,0xc6bf2fc1dcda19e8d37cdb3608079085b475f971,0x6b3595068778dd592e39a122f4f5a5cf09c90fe2,0x68e58fd7ae163ed4d4957679f5db9099a47acbb9,1e+19,SushiToken,SUSHI,18,73,76735,431000000000,51157,3871518,deprecated,4394321
6,10790115,2020-09-03 19:11:11,0xc3eb6fd6a14e80cc7bd0513a955a04d50636ede078e348cf8464d919b85a74fb,7,0x3a2fb0b29b51b9bca8c6983cdaacdf060b86f28013dbe86b470a3df86f8a5001,0xc6bf2fc1dcda19e8d37cdb3608079085b475f971,0x6b3595068778dd592e39a122f4f5a5cf09c90fe2,0x68e58fd7ae163ed4d4957679f5db9099a47acbb9,3e+20,SushiToken,SUSHI,18,156,54253,431000000000,36169,11563724,deprecated,4394289
7,10840492,2020-09-11 12:17:04,0xa85622b6b72c33290a1a56885710bc85598bcf8ac1990913dae88ae724fd02d3,8,0xbcdc8136b35d064be7ea0b03b240fa0a9c391f488af28460ef0f8a390fb3f37d,0xc6bf2fc1dcda19e8d37cdb3608079085b475f971,0x6b3595068778dd592e39a122f4f5a5cf09c90fe2,0x68e58fd7ae163ed4d4957679f5db9099a47acbb9,2.334696783187302e+20,SushiToken,SUSHI,18,249,76789,109000000000,36193,12017423,deprecated,4343912
8,10880922,2020-09-17 16:54:46,0x8e55e7d4873857f3d8270a8a73d8810f4a65824a1f6dccbf102bbb5d331afe56,9,0xa1360ca0b98efb971d3b01d78f279b654356c157fa8ad7856e3e35f40ffd1b10,0x090d4613473dee047c3f2706764f49e0821d256e,0x1f9840a85d5af5bf1d1762f925bdaddc4201f984,0xc6bf2fc1dcda19e8d37cdb3608079085b475f971,4e+20,Uniswap,UNI,18,70,90044,491000000000,81859,6408449,deprecated,4303482
9,11139843,2020-10-27 16:54:28,0x1e83cd5677a0ef70a5e0bfbfef015677644ef00972191543add76963e9e09777,11,0xcb320aef03b9d0a623e7923a2a5b595716eb9eb05178de0e6e1814d9ae7be4a3,0xc6bf2fc1dcda19e8d37cdb3608079085b475f971,0x0f4ca92660efad97a9a70cb0fe969c755439772c,0xbbff34e47e559ef680067a6b1c980639eeb64d24,5000000000000.0,Leverj,LEV,9,117,85385,53000000000,55385,11671951,deprecated,4044561
