,blockNumber,timeStamp,hash,nonce,blockHash,from,contractAddress,to,value,tokenName,tokenSymbol,tokenDecimal,transactionIndex,gas,gasPrice,gasUsed,cumulativeGasUsed,input,confirmations
0,10786308,2020-09-03 04:51:05,0x8da49b7af9ecff87b847c21bbab9b5cd3ad20983bfd6d79bc0ce268aad6ad3f9,0,0x461ab906ca624f594bde04a793be2ad18a181867f31575bf20d509e3903d268c,0x0d4a11d5eeaac28ec3f61d100daf4d40471f1852,0xdac17f958d2ee523a2206206994597c13d831ec7,0xc74e9566fce8eb94b067cf9333a3db1ad5c3edc2,440701769,Tether USD,USDT,6,72,158241,360000000000,118381,3607402,deprecated,4397706
1,10786332,2020-09-03 04:56:54,0xcfad26bc6a1b8f4c5a993cbe3da1f2ef8f20caa31c7471235a18520085cec991,2,0xb698cf48f965385dcad8ee73ef1676c8ff38c0e2cef613e6a8d6bcb8a8aa47cc,0xc74e9566fce8eb94b067cf9333a3db1ad5c3edc2,0xdac17f958d2ee523a2206206994597c13d831ec7,0xc2d55ce14a8e04aef9b6bcfd105079b63c6a0ac8,440701769,Tether USD,USDT,6,113,271470,362000000000,165980,11650220,deprecated,4397682
2,10786346,2020-09-03 05:00:34,0xa3460c5abaf369299d20d65141aea2b929deb308708069c2c8a1326e78a8843b,3,0xaed492335bb3d9acd3fd2f6f7a97ecbaceb0e706846352ba250b319ac2e535f2,0x3041cbd36888becc7bbcbc0045e3b1f144466f5f,0xdac17f958d2ee523a2206206994597c13d831ec7,0xc74e9566fce8eb94b067cf9333a3db1ad5c3edc2,217818917,Tether USD,USDT,6,259,256070,371000000000,190933,12102163,deprecated,4397668
3,10786382,2020-09-03 05:09:35,0x43e745f4e68468513879e5f081b2ea45c0a057ca8fde16a711a03413b33b31f2,5,0xdd0f4c964016ca2dffe26961662130af134eb1d50cd5df2f0e4d7f5a965afa75,0xc74e9566fce8eb94b067cf9333a3db1ad5c3edc2,0xdac17f958d2ee523a2206206994597c13d831ec7,0x0d4a11d5eeaac28ec3f61d100daf4d40471f1852,217617805,Tether USD,USDT,6,98,177568,370000000000,135821,7154673,deprecated,4397632
4,10786382,2020-09-03 05:09:35,0x43e745f4e68468513879e5f081b2ea45c0a057ca8fde16a711a03413b33b31f2,5,0xdd0f4c964016ca2dffe26961662130af134eb1d50cd5df2f0e4d7f5a965afa75,0x0000000000000000000000000000000000000000,0x0d4a11d5eeaac28ec3f61d100daf4d40471f1852,0xc74e9566fce8eb94b067cf9333a3db1ad5c3edc2,8644507145561,Uniswap V2,UNI-V2,18,98,177568,370000000000,135821,7154673,deprecated,4397632
5,10786759,2020-09-03 06:37:00,0x6c2c168caeef46eb8cb4f33113262ce3f1c4c83af2499b622367b6c93e54ea66,9,0xfe27e496d6043cb24cd7cdccdcbf7c655d5731660c8e4a606abec8bc75f1325c,0xc74e9566fce8eb94b067cf9333a3db1ad5c3edc2,0x0d4a11d5eeaac28ec3f61d100daf4d40471f1852,0xc2edad668740f1aa35e4d8f227fb8e17dca888cd,8644507145561,Uniswap V2,UNI-V2,18,138,212349,396400001459,126566,10506728,deprecated,4397255
6,10836012,2020-09-10 19:41:34,0xdde4b5ec9d55c97071be07149260156b90ec25bbeaca1d14cb2a86984331ee7f,12,0xa909e2437e1a94ab152f73cabc5fb12023048db20fbb20bbe604f366c1c2fc04,0xc2edad668740f1aa35e4d8f227fb8e17dca888cd,0x6b3595068778dd592e39a122f4f5a5cf09c90fe2,0xc74e9566fce8eb94b067cf9333a3db1ad5c3edc2,7901804483331559424,SushiToken,SUSHI,18,101,240195,101000000000,130130,10562200,deprecated,4348002
7,10836012,2020-09-10 19:41:34,0xdde4b5ec9d55c97071be07149260156b90ec25bbeaca1d14cb2a86984331ee7f,12,0xa909e2437e1a94ab152f73cabc5fb12023048db20fbb20bbe604f366c1c2fc04,0xc2edad668740f1aa35e4d8f227fb8e17dca888cd,0x06da0fd433c1a5d7a4faa01111c044910a184553,0xc74e9566fce8eb94b067cf9333a3db1ad5c3edc2,8644507145561,SushiSwap LP Token,SLP,18,101,240195,101000000000,130130,10562200,deprecated,4348002
8,10836098,2020-09-10 19:59:51,0x684aed9fcaebdcffe22c1d8bfc0fccdfc0796fb47722a5655fd08ff9b8c0b6b5,14,0xb7ef1e7ab79b38bad5466bfb8100e55394072d687d85c194f4ba22a3555f1228,0xc74e9566fce8eb94b067cf9333a3db1ad5c3edc2,0x6b3595068778dd592e39a122f4f5a5cf09c90fe2,0x680a025da7b1be2c204d7745e809919bce074026,7901804483331559424,SushiToken,SUSHI,18,16,249670,80000000000,182561,1457828,deprecated,4347916
9,10836196,2020-09-10 20:21:36,0xa204856cb2ebc87fbf47810000370fc376909d43943fb60f260f8d182660ab91,15,0xc78e2edcd9de5585c4c4f429f7ded1bdf78df7dadfe565ce1b2a0f6c8e103aa6,0xc74e9566fce8eb94b067cf9333a3db1ad5c3edc2,0x06da0fd433c1a5d7a4faa01111c044910a184553,0x06da0fd433c1a5d7a4faa01111c044910a184553,8644507145561,SushiSwap LP Token,SLP,18,172,346302,112500000000,204594,11964793,deprecated,4347818
10,10836196,2020-09-10 20:21:36,0xa204856cb2ebc87fbf47810000370fc376909d43943fb60f260f8d182660ab91,15,0xc78e2edcd9de5585c4c4f429f7ded1bdf78df7dadfe565ce1b2a0f6c8e103aa6,0xd9e1ce17f2641f24ae83637ab66a2cca9c378b9f,0xdac17f958d2ee523a2206206994597c13d831ec7,0xc74e9566fce8eb94b067cf9333a3db1ad5c3edc2,202022403,Tether USD,USDT,6,172,346302,112500000000,204594,11964793,deprecated,4347818
11,10849449,2020-09-12 20:59:39,0xbfcf6146ea40f067787c10525d80e080d46853ae811a8130359bb834e2b39942,16,0xd649c6d284a19bb69b316abe57134346e379f5fb77f8a7e4c3feec6a68b14eb7,0xc74e9566fce8eb94b067cf9333a3db1ad5c3edc2,0xdac17f958d2ee523a2206206994597c13d831ec7,0xf6b270d22d2576fa995bae21d53798c53d683fba,202223515,Tether USD,USDT,6,45,61813,100000000000,26209,4181239,deprecated,4334565
12,10851661,2020-09-13 05:11:36,0xac11e882d15e189c49f9419aeddfc00c7ce4a70ed9ea209d2c460bf4ca5cefb0,603,0xfa0da03eb4a565588edbda6fd4f8e61aeb453cf77148af09af3ea5c345c83fe4,0xcae996975cf3e6fe70046623db4d5eb32868909a,0x6b3595068778dd592e39a122f4f5a5cf09c90fe2,0xc74e9566fce8eb94b067cf9333a3db1ad5c3edc2,903555000000000000,SushiToken,SUSHI,18,59,79402,126000000000,51169,3258829,deprecated,4332353
13,10855889,2020-09-13 20:46:01,0xa5123d6d0a71118ba9cc70612190f039b4dc967c268a9556b9194e275b0934e6,18,0x32e0eeee8cc8b95fea09e437a1e85589253105ff6405e3ca6e981cf2d884d240,0xc74e9566fce8eb94b067cf9333a3db1ad5c3edc2,0x6b3595068778dd592e39a122f4f5a5cf09c90fe2,0xf6b270d22d2576fa995bae21d53798c53d683fba,0,SushiToken,SUSHI,18,69,41527,71000000000,27685,11273258,deprecated,4328125
14,10855907,2020-09-13 20:50:20,0xa5e6525554eaeb7cd09c78b9a10cc06e4aef5f0338ede9320ddcc9137351ad84,19,0xbd9ebfc4a35682d2fdf6aa52e53b2fd2accfb4a86f5f25bc89ab08f9b2451ea8,0xc74e9566fce8eb94b067cf9333a3db1ad5c3edc2,0x6b3595068778dd592e39a122f4f5a5cf09c90fe2,0xf6b270d22d2576fa995bae21d53798c53d683fba,903555000000000000,SushiToken,SUSHI,18,79,54253,71000000000,21169,11379766,deprecated,4328107
15,10872744,2020-09-16 10:54:01,0x0f2e280a48ad96949c4952afd1ac4b0e5a5a88094f948135a00c0a6edd5d6870,20,0xe32bb520a7176aed0f992370ae3b97072dc3bc510d8ffc5730c09d3533d69b8c,0xc2d55ce14a8e04aef9b6bcfd105079b63c6a0ac8,0xdac17f958d2ee523a2206206994597c13d831ec7,0xc74e9566fce8eb94b067cf9333a3db1ad5c3edc2,440701769,Tether USD,USDT,6,132,267507,106000000000,163338,9680440,deprecated,4311270
16,10872764,2020-09-16 10:59:15,0xd8176b05eeca550d1e63b9a24529684f44bff122d29625c7d8e73dcc928431a1,21,0x9f112e5901b7bad73c0b98c749bcc7757ee70d2a52d7505331c2283b0822684e,0xc2d55ce14a8e04aef9b6bcfd105079b63c6a0ac8,0x45f24baeef268bb6d63aee5129015d69702bcdfa,0xc74e9566fce8eb94b067cf9333a3db1ad5c3edc2,746082724050231936,YFValue,YFV,18,126,397458,106000000000,241290,8811130,deprecated,4311250
17,10872764,2020-09-16 10:59:15,0xd8176b05eeca550d1e63b9a24529684f44bff122d29625c7d8e73dcc928431a1,21,0x9f112e5901b7bad73c0b98c749bcc7757ee70d2a52d7505331c2283b0822684e,0xc2d55ce14a8e04aef9b6bcfd105079b63c6a0ac8,0x1b8e12f839bd4e73a47addf76cf7f0097d74c14c,0xc74e9566fce8eb94b067cf9333a3db1ad5c3edc2,35886614,Value USD,vUSD,9,126,397458,106000000000,241290,8811130,deprecated,4311250
18,10872809,2020-09-16 11:10:21,0xc09db63a28103837155724d9fcdd37a902906ec186ac64c5367213b4c6edbfcf,22,0xf1b7000ada8323d4c150bd7ae27644b5e0bde1a51d7a4951fa34279d19495c93,0xc74e9566fce8eb94b067cf9333a3db1ad5c3edc2,0xdac17f958d2ee523a2206206994597c13d831ec7,0xf6b270d22d2576fa995bae21d53798c53d683fba,440701769,Tether USD,USDT,6,113,84313,107000000000,41209,9021749,deprecated,4311205
19,10872815,2020-09-16 11:11:45,0x221f901ef11b7ffa9cf247b6e0e02a615e9b8fac30bcfffe3a67d51206621bcf,24,0xc0a6cbbda2a94b798ac8fb0bb09109f6c0458ebe232baacc5fd838960f3fe15d,0xc74e9566fce8eb94b067cf9333a3db1ad5c3edc2,0x45f24baeef268bb6d63aee5129015d69702bcdfa,0xf6b270d22d2576fa995bae21d53798c53d683fba,0,YFValue,YFV,18,178,41484,115000000000,27656,10659563,deprecated,4311199
20,10872850,2020-09-16 11:20:02,0x6f029f160ba3a222bda676fee05c673eae546fe4b0b13f6b284f94c3db42e8d2,25,0xde7e6bbaab2f35cb6d63c0a51007df338bb09df7441ecea4ac965dea2d6dd13c,0xc74e9566fce8eb94b067cf9333a3db1ad5c3edc2,0x45f24baeef268bb6d63aee5129015d69702bcdfa,0xf6b270d22d2576fa995bae21d53798c53d683fba,0,YFValue,YFV,18,152,41484,118000000000,27656,5971567,deprecated,4311164
21,10875444,2020-09-16 20:56:40,0x4f1c529860d7f4875524c05a7cca838189a53414cf5b95067bd4bbed468bfde1,67,0xcec5be04b1b3369b536abe90eaae9808ea78c50f953a835ea281b02681c7447f,0x1c990fc37f399c935625b815975d0c9fad5c31a1,0x45f24baeef268bb6d63aee5129015d69702bcdfa,0xc74e9566fce8eb94b067cf9333a3db1ad5c3edc2,12568544636661324,YFValue,YFV,18,24,303512,100000000000,241552,1897170,deprecated,4308570
22,10971786,2020-10-01 18:26:11,0x9556339f377ba9275c670bba8dbdf5dfa0983e3a34bafaa2c0978f2c8b21c4ad,145,0x0cc557713921ea54de2168e4111ca0a4d77f3a0e383f3f1f3f2dd726b0058878,0xcc51169c21158084371c63bc260aba4afdcfbd2f,0x49e833337ece7afe375e44f4e3e8481029218e5c,0xc74e9566fce8eb94b067cf9333a3db1ad5c3edc2,273697290314751,Value Liquidity,VALUE,18,84,360874,119000000000,209048,2588345,deprecated,4212228
23,10971868,2020-10-01 18:42:45,0xc7d88fa2434964e411d91fa0384d6a034068d47639abb6864050e457146ca59b,146,0x0fa71d7de226915848331a67172805cbfb4254c3e40614e9620da9f244706cee,0x07eb8cb8aedb581a2d73cc29f6c7860226808ca2,0x49e833337ece7afe375e44f4e3e8481029218e5c,0xc74e9566fce8eb94b067cf9333a3db1ad5c3edc2,9454458666000000,Value Liquidity,VALUE,18,68,569700,62000000000,333261,8220230,deprecated,4212146
24,11154120,2020-10-29 21:27:03,0x34118a1c0519f4a389f6df5ad482502bfa9e8b7a0b676aace2e2dffc0721a005,290,0x96a5efa1c68dacaf44557e630cec0f961b167e3d272fd30de96f7b9c6e69a298,0x0000000000000000000000000000000000000000,0x49e833337ece7afe375e44f4e3e8481029218e5c,0xc74e9566fce8eb94b067cf9333a3db1ad5c3edc2,24502985809286192,Value Liquidity,VALUE,18,106,389586,23000000000,244724,9759071,deprecated,4029894
25,11244127,2020-11-12 17:25:18,0xfad87481cb3d023a133d2467bed0d86e101e2f15f9575c152ff541eea6cdc35a,305,0xe3179a10edb5cb62f4aa35c45ce534258014f9f2710ad51dc087d26f39a06c1c,0x0000000000000000000000000000000000000000,0x49e833337ece7afe375e44f4e3e8481029218e5c,0xc74e9566fce8eb94b067cf9333a3db1ad5c3edc2,25618889956401668,Value Liquidity,VALUE,18,122,344586,33000000000,214724,8809474,deprecated,3939887
26,11256782,2020-11-14 16:04:28,0xc4056f69ad8512f90965986f410357b8023fefc831f8b37f34d07631cbbff2f1,307,0xc214e7534988f6bac0142ed60c792b4d414e3880dc847c75aa91e2c59afe8361,0x0000000000000000000000000000000000000000,0x49e833337ece7afe375e44f4e3e8481029218e5c,0xc74e9566fce8eb94b067cf9333a3db1ad5c3edc2,6799628702244768,Value Liquidity,VALUE,18,33,345147,39000000000,180867,2219146,deprecated,3927232
27,11267254,2020-11-16 06:15:46,0xfa7b0127f34288ed19e7ef3566c44eb7dabca1a3bf35944a28a683dc006a2825,324,0x8f35e5cac5e007ce1b7c879c3d1b98114eacead72277e3796130d0fb3b15d2d0,0x0000000000000000000000000000000000000000,0x49e833337ece7afe375e44f4e3e8481029218e5c,0xc74e9566fce8eb94b067cf9333a3db1ad5c3edc2,1953518478456565,Value Liquidity,VALUE,18,85,350130,24000000000,184189,6290074,deprecated,3916760
28,11353192,2020-11-29 10:49:14,0xcbe74d64683f99e3ac13cc7dfbc754f3dbcfbcc9d75539f5f3dcb6093853b3db,352,0xd0401e9e506eaecd021d834d450eb84dbc88014f23be53e48db13a82b7c4ed34,0x0000000000000000000000000000000000000000,0x49e833337ece7afe375e44f4e3e8481029218e5c,0xc74e9566fce8eb94b067cf9333a3db1ad5c3edc2,16848514179974348,Value Liquidity,VALUE,18,67,338779,13000000000,176622,4587254,deprecated,3830822
29,12604124,2021-06-10 02:38:03,0x716486a5127de7d27def654d27667830fea07958536afac24e719978f81f3890,730886,0xb8c1c0e6b8808843e3ace7b78b43ba345f5cf0ca4a89efea7b7a52c4e931db42,0x2819c144d5946404c0516b6f817a960db37d4929,0xdac17f958d2ee523a2206206994597c13d831ec7,0xc74e9566fce8eb94b067cf9333a3db1ad5c3edc2,190000000,Tether USD,USDT,6,8,90000,50000000000,63209,615954,deprecated,2579890
30,12604273,2021-06-10 03:12:27,0x8fd7c01716a5d860838b0650c3be0645de3224b825e47401fe0c4b78fe6746e7,27,0x4c5072b3ee5d72d7676ddf0110a016d4abb2e69214babe782ad25d10394b70e1,0xc74e9566fce8eb94b067cf9333a3db1ad5c3edc2,0xdac17f958d2ee523a2206206994597c13d831ec7,0xc74e9566fce8eb94b067cf9333a3db1ad5c3edc2,150000000,Tether USD,USDT,6,321,100000,14000000000,38509,12248482,deprecated,2579741
31,12607363,2021-06-10 14:39:30,0x9f326157c021cc80e1b7ac4f56be3ab1cde813bd296939d5fce83123a1f3e727,33,0x22cfe7c8bf01cce5541524ae666dfbe17cc78c986d8dad0a1ed371a652fc405a,0xc74e9566fce8eb94b067cf9333a3db1ad5c3edc2,0xdac17f958d2ee523a2206206994597c13d831ec7,0x40ec5b33f54e0e8a33a975908c5ba1c14e5bbbdf,150000000,Tether USD,USDT,6,146,108181,25000001459,100712,9764543,deprecated,2576651
32,12610007,2021-06-11 00:21:33,0x9266f18b1a5637a33b2baa69651a2339cfe581cc508955989365e696d914e883,731155,0xa04223a6e8a4034ee4175c3212f878e109d4f79249da7e69698c1b62b7034956,0x2819c144d5946404c0516b6f817a960db37d4929,0xdac17f958d2ee523a2206206994597c13d831ec7,0xc74e9566fce8eb94b067cf9333a3db1ad5c3edc2,290000000,Tether USD,USDT,6,22,90000,50000000000,46109,1773899,deprecated,2574007
33,12610143,2021-06-11 00:54:05,0x658e7f72ace8b16757581cb0adbcf514be0b7cf58e53f5008acd19e7dae58b96,35,0x1b721ec431d1f7059652fd0bb011bcf1f7ac44deff6bbb6c4276baae7133f363,0xc74e9566fce8eb94b067cf9333a3db1ad5c3edc2,0xdac17f958d2ee523a2206206994597c13d831ec7,0x40ec5b33f54e0e8a33a975908c5ba1c14e5bbbdf,250000000,Tether USD,USDT,6,133,108181,18000000000,100712,14644019,deprecated,2573871
34,12611194,2021-06-11 04:45:53,0x564d4ba504ccede07c1a17c5cb73241af39f0b8b31af3501a21b0903bb6849b5,731225,0xda9ca134ff35e962c3eab902f89194a654d97673180321f0f2f2d8d17758e269,0x2819c144d5946404c0516b6f817a960db37d4929,0xdac17f958d2ee523a2206206994597c13d831ec7,0xc74e9566fce8eb94b067cf9333a3db1ad5c3edc2,1990000000,Tether USD,USDT,6,9,90000,50000000000,46109,1106418,deprecated,2572820
35,12611244,2021-06-11 04:57:05,0x80c2b924a1b080364d35cde70fc2171491b7499673acd73d43645ffb6d20c868,36,0x46c8d6067cebe673eec12010388373b4f384c172bfea06338322cc1271909ae7,0xc74e9566fce8eb94b067cf9333a3db1ad5c3edc2,0xdac17f958d2ee523a2206206994597c13d831ec7,0x40ec5b33f54e0e8a33a975908c5ba1c14e5bbbdf,2000000000,Tether USD,USDT,6,49,108169,10000001459,100700,4239214,deprecated,2572770
36,12613556,2021-06-11 13:38:19,0x8ec3c58a4a5e5ca361305a8b2b2bd4607d62f70c3d8ef60fb5fbd89618eede16,37,0x027158f5baacfa632378fc181a285cdf08edae98f863f0a4da79afbb0b9cb54c,0xc74e9566fce8eb94b067cf9333a3db1ad5c3edc2,0xdac17f958d2ee523a2206206994597c13d831ec7,0xcf5a171f5ff7388d4439226e1128065d3e72ae24,25000000,Tether USD,USDT,6,117,100000,17000000000,63209,11593470,deprecated,2570458
37,12626336,2021-06-13 13:13:05,0xa5ef34c6a987c3fdd08f54d41638f08933f19b2cbefe1c26f606c37dd1242a68,39,0x9690824bcea8ddf4034c2310ad27b46ce2f091a516c9ad554191c99f6b9139ff,0xc74e9566fce8eb94b067cf9333a3db1ad5c3edc2,0xdac17f958d2ee523a2206206994597c13d831ec7,0x0d4a11d5eeaac28ec3f61d100daf4d40471f1852,25000000,Tether USD,USDT,6,229,154875,10000000000,106721,14612304,deprecated,2557678
38,12632655,2021-06-14 12:49:34,0x799dfb708614875eb45aed92a6014cb0d03f1e525871cc36826464e8a25dea08,732360,0x6c1c2e3846dba4df92930883ecbe3a2e1e992aff312686924bef9ab49f9a72b4,0x2819c144d5946404c0516b6f817a960db37d4929,0xdac17f958d2ee523a2206206994597c13d831ec7,0xc74e9566fce8eb94b067cf9333a3db1ad5c3edc2,990000000,Tether USD,USDT,6,18,90000,50000000000,46109,932419,deprecated,2551359
39,12632667,2021-06-14 12:53:30,0x95af6a9f0f642ffd76d8935ffd6735e6ca45c8cf5bc4176b476ddee993c1be3d,40,0x636bd06cbdd0c47eb605500620c1509e9532852af1b76153f0d73fe98cac5db0,0xc74e9566fce8eb94b067cf9333a3db1ad5c3edc2,0xdac17f958d2ee523a2206206994597c13d831ec7,0x40ec5b33f54e0e8a33a975908c5ba1c14e5bbbdf,950000000,Tether USD,USDT,6,68,108181,12000000000,100712,3675098,deprecated,2551347
40,12650391,2021-06-17 06:41:19,0x455b191f6c27a1c7cf812dfa9bf8dbd0014e8012bb4de5b83018f5dfba8fabd3,41,0xaece0ee6cd3c545defb907f897a84637a76ad30a33af86e715a554944efb6b0c,0xc74e9566fce8eb94b067cf9333a3db1ad5c3edc2,0xdac17f958d2ee523a2206206994597c13d831ec7,0x974beb4c19288f3b7b04fb43be64c135526bb9a7,10000000,Tether USD,USDT,6,40,94795,10000000000,63197,3725311,deprecated,2533623
41,12650459,2021-06-17 06:55:11,0x46b0a623c8bbd47c98aaccd5b80f6d32b331123ef5e7e33c6126049d7458957c,42,0x6a6c43165af843b432e24c54783b3806b436150e0f74293bdd7f34ec0ca5f25e,0xc74e9566fce8eb94b067cf9333a3db1ad5c3edc2,0xdac17f958d2ee523a2206206994597c13d831ec7,0x974beb4c19288f3b7b04fb43be64c135526bb9a7,20000000,Tether USD,USDT,6,268,69145,11000000000,46097,12171989,deprecated,2533555
42,12650500,2021-06-17 07:05:52,0xc1b62d1f814bc37fafddb01a5c763ac113c0e572eaa3caa354bb9c6d96b2c7b7,368031,0xc4639fc8600524ca5283ce2f9d06b31d03c65211ad9fe1d610924b8ffb41dd10,0x28c6c06298d514db089934071355e5743bf21d60,0xdac17f958d2ee523a2206206994597c13d831ec7,0xc74e9566fce8eb94b067cf9333a3db1ad5c3edc2,20000000,Tether USD,USDT,6,17,207128,30000000000,46097,736255,deprecated,2533514
43,12681705,2021-06-22 03:48:09,0x65c2487bedbca2a33ff1c49749d09211438651dfaa4754986cf4686bafa712bd,43,0xb4a0607e4f0177d54c44e9342811e45004bcba431c9ee635ced4031bcbf64107,0x40ec5b33f54e0e8a33a975908c5ba1c14e5bbbdf,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0xc74e9566fce8eb94b067cf9333a3db1ad5c3edc2,939191800,USD Coin,USDC,6,42,291055,22000000000,274348,5629551,deprecated,2502309
44,12681741,2021-06-22 03:56:41,0xde838e717b41afde41bfa3e55ff40c4492726f6a64b3cb603211097a7bdca761,44,0x42726e83bf91ce55c19c6e26c092ee3444853ced41265c3188757b27b633ee3a,0xc74e9566fce8eb94b067cf9333a3db1ad5c3edc2,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0x88e6a0c2ddd26feeb64f039a2c41296fcb3f5640,939191800,USD Coin,USDC,6,51,345981,22000000000,228757,8486574,deprecated,2502273
45,12681741,2021-06-22 03:56:41,0xde838e717b41afde41bfa3e55ff40c4492726f6a64b3cb603211097a7bdca761,44,0x42726e83bf91ce55c19c6e26c092ee3444853ced41265c3188757b27b633ee3a,0x11b815efb8f581194ae79006d24e0d814b7697f6,0xdac17f958d2ee523a2206206994597c13d831ec7,0xc74e9566fce8eb94b067cf9333a3db1ad5c3edc2,941779708,Tether USD,USDT,6,51,345981,22000000000,228757,8486574,deprecated,2502273
46,12681745,2021-06-22 03:57:15,0x50685eae16c79dbdd348f35f218d508a7f5bc30e688e814a5161422e43216f9b,45,0x7ef15f9c7fac5eae239f51e29f563c1d748456d2ad9fe03fba0d418be73ef1b6,0xc74e9566fce8eb94b067cf9333a3db1ad5c3edc2,0xdac17f958d2ee523a2206206994597c13d831ec7,0xcf5a171f5ff7388d4439226e1128065d3e72ae24,991779708,Tether USD,USDT,6,53,94813,23000000000,48209,3546192,deprecated,2502269
47,12715724,2021-06-27 11:05:02,0xa99cea473d97e84a79a1d50b952c4c099c8a0a180750407f53961e3c54d517c2,46,0x9eca5f4165b8251070f40078300fef8879347f1d6f4a59c724c89562f1b1ef73,0x40ec5b33f54e0e8a33a975908c5ba1c14e5bbbdf,0xdac17f958d2ee523a2206206994597c13d831ec7,0xc74e9566fce8eb94b067cf9333a3db1ad5c3edc2,1788839382,Tether USD,USDT,6,28,494197,10000000000,313258,3000479,deprecated,2468290
48,12715877,2021-06-27 11:46:12,0x91897e0b438dcefb6e11bf71937adc4846c6b62db32321c073fbc6f0e87f4e28,47,0xade740f2ecd1ed737256ed3841615073f5cdff779db7741919157b39766f6bb4,0xc74e9566fce8eb94b067cf9333a3db1ad5c3edc2,0xdac17f958d2ee523a2206206994597c13d831ec7,0xcf5a171f5ff7388d4439226e1128065d3e72ae24,1788000000,Tether USD,USDT,6,236,94795,11000000000,63197,14885983,deprecated,2468137
49,12717434,2021-06-27 17:33:56,0xa303264f2f627b666869b7ab0a4b95efffe500ebb5107efa9bc21001203e8c63,48,0xc0bb535e670bb1c3c35a133f13b6da976de77a764133ea058fc7d3376e002726,0x40ec5b33f54e0e8a33a975908c5ba1c14e5bbbdf,0xdac17f958d2ee523a2206206994597c13d831ec7,0xc74e9566fce8eb94b067cf9333a3db1ad5c3edc2,89337935,Tether USD,USDT,6,110,403543,10000000000,253370,10850949,deprecated,2466580
50,12717457,2021-06-27 17:38:18,0xf83ba9a6046177d85c820536e91c012875d0296a4edd3abcc024e5629df61090,49,0xb9702bcffe86ed7eddabadd7aeefd3951f7d6e5f7e4abb850931e150b692506e,0xc74e9566fce8eb94b067cf9333a3db1ad5c3edc2,0xdac17f958d2ee523a2206206994597c13d831ec7,0xcf5a171f5ff7388d4439226e1128065d3e72ae24,90177317,Tether USD,USDT,6,26,94813,8000000000,48209,5440769,deprecated,2466557
