,blockNumber,timeStamp,hash,nonce,blockHash,from,contractAddress,to,value,tokenName,tokenSymbol,tokenDecimal,transactionIndex,gas,gasPrice,gasUsed,cumulativeGasUsed,input,confirmations
0,10783939,2020-09-02 20:15:46,0xbd8f6d50c398148b5273a190fd5d36240c4c0ccc9222f4a42f80ef702889ce10,43,0xb3fdce0bcce0224a911efb50cb6df6b37ea653900cf7c5d234c0375479cc81a2,0x4ca0383fb52bdb931209aad7db5ae1aed286503d,0x0bc529c00c6401aef6d220be8c6ea1667f6ad93e,0xc76d0f6dc22cb6ea706cad39d2d543e2bb51ef12,1574963833577561.0,yearn.finance,YFI,18,119,76944,375000000000,51296,8025976,deprecated,4400126
1,10783961,2020-09-02 20:20:31,0x4681d7067f99f51bcd4a20a343999760896dffd73d6bd3c29f6b3b1d536e6cfa,44,0x8b3e6cd93de09035d73a611e12b72e3ee00dbbd36abcfae79273389530794416,0x4ca0383fb52bdb931209aad7db5ae1aed286503d,0x0bc529c00c6401aef6d220be8c6ea1667f6ad93e,0xc76d0f6dc22cb6ea706cad39d2d543e2bb51ef12,2.601765611912742e+16,yearn.finance,YFI,18,143,54444,375000000000,21296,7575966,deprecated,4400104
2,10783995,2020-09-02 20:26:39,0x74d934857ca130f34e2fe71b530093152aa1218ba25fb25b313df766d36a0b54,0,0x84aafc045707393fd8f6b3dc0c5504f2f337b9da7c1d4a141f55fa81d1489fcd,0x1d6432aefeae2c0ff1393120541863822a4e6fa7,0x28cb7e841ee97947a86b06fa4090c8451f64c0be,0xc76d0f6dc22cb6ea706cad39d2d543e2bb51ef12,1.4887115006176937e+18,YFLink,YFL,18,36,151421,450000000000,124296,3445782,deprecated,4400070
3,10799344,2020-09-05 04:56:06,0xe23110552fd66e611df5078199195a1df1d590a2fc0724bb29728f3a72084c20,1,0x1ea073b4e9abdea1c4de5a732f49807930c6cb5b33850a5ad6d2c7958ee7f9f8,0x7df4a1d4a8d8390bef36f311252423cce04e5647,0xcbd55d4ffc43467142761a764763652b48b969ff,0xc76d0f6dc22cb6ea706cad39d2d543e2bb51ef12,3.132450657233542e+20,AstroTools.io,ASTRO,18,180,165078,170000000000,124500,8484493,deprecated,4384721
4,10809738,2020-09-06 18:52:55,0x82145f69f8c671edffd3445358a69a77081e40f97ddde1689937b2266663e496,3,0x342f737691bf9fc1fe5117ebf5dad20759c61c1ae21085a70d9b1c06c99cd71c,0xc76d0f6dc22cb6ea706cad39d2d543e2bb51ef12,0x0bc529c00c6401aef6d220be8c6ea1667f6ad93e,0x2fdbadf3c4d5a8666bc06645b8358ab803996e28,2.7592619952704984e+16,yearn.finance,YFI,18,27,168438,100000000000,112844,4708887,deprecated,4374327
5,10809765,2020-09-06 18:58:08,0x18b28a096ae7fd5fc4263581462a181dd4785aa40993e5c8aed70102d6a90b13,4,0x1781c560b5501c5dc4b0a73f1b3fbeacd3fc10af63c1eac219c96d6043a39d3c,0xcb4f983e705caeb7217c5c3785001cb138115f0b,0x45f24baeef268bb6d63aee5129015d69702bcdfa,0xc76d0f6dc22cb6ea706cad39d2d543e2bb51ef12,2.293980030738203e+19,YFValue,YFV,18,38,164862,98000000000,124308,2496120,deprecated,4374300
6,10868659,2020-09-15 19:49:51,0x1945b2db6f114f62977eb763bcbe0c25f0790b4c83f65caaabdf6eb5e8003608,5,0x1be2ad89ea261811ffbeb37792e55ffe489c2a214ae395423436ba91321a9969,0xf152bb74719e9949774a5e944e256963c1c4b4a1,0x54b8c98268da0055971652a95f2bfd3a9349a38c,0xc76d0f6dc22cb6ea706cad39d2d543e2bb51ef12,2.4595834545695674e+17,Printer.Finance,PRINT,18,16,183995,104000000000,141430,1883548,deprecated,4315406
7,10870003,2020-09-16 00:46:10,0xdab56924567d93d2ddc144786a61de87d93e83f2649cd2ba50b9bffe8c27d8d1,6,0xd24ca6fdddb9f9cfd41fe717a952eb5e85d0d34183c35237ef3d7b2a49374b0d,0xd526724ac8e0b3cd181e50d548ed7bf30b8a42be,0x54b8c98268da0055971652a95f2bfd3a9349a38c,0xc76d0f6dc22cb6ea706cad39d2d543e2bb51ef12,1.2959686441834827e+17,Printer.Finance,PRINT,18,66,317831,121000000000,243015,6255537,deprecated,4314062
8,10870562,2020-09-16 02:49:40,0x3278ce721d3969183399101439ca9fdcceba476bddce8cdbd76f0d51d46e398b,11,0xa64dd7cf92f366b5730f4186f48103d6b46c67e944b3dc12506bbbc2ed20d880,0xc76d0f6dc22cb6ea706cad39d2d543e2bb51ef12,0x54b8c98268da0055971652a95f2bfd3a9349a38c,0x0000000000000000000000000000000000000000,5550000000000000.0,Printer.Finance,PRINT,18,165,280278,151000000000,212995,11962427,deprecated,4313503
9,10870562,2020-09-16 02:49:40,0x3278ce721d3969183399101439ca9fdcceba476bddce8cdbd76f0d51d46e398b,11,0xa64dd7cf92f366b5730f4186f48103d6b46c67e944b3dc12506bbbc2ed20d880,0xc76d0f6dc22cb6ea706cad39d2d543e2bb51ef12,0x54b8c98268da0055971652a95f2bfd3a9349a38c,0xd526724ac8e0b3cd181e50d548ed7bf30b8a42be,1.7945e+17,Printer.Finance,PRINT,18,165,280278,151000000000,212995,11962427,deprecated,4313503
