,blockNumber,timeStamp,hash,nonce,blockHash,from,contractAddress,to,value,tokenName,tokenSymbol,tokenDecimal,transactionIndex,gas,gasPrice,gasUsed,cumulativeGasUsed,input,confirmations
0,9471465,2020-02-13 00:40:27,0xe7ab57965eeda77b39d1cebbde386a053fa0e72954fadea6185ee79462e653d2,1,0xd9091250a7efb2ab59ed83db66b88df990a7f810ea7f197df4f023a623c13288,0x0000000000000000000000000000000000000000,0x6b175474e89094c44da98b954eedeac495271d0f,0xc803a98d1b90d15782bc6e4ecdacdb174adbbea5,3e+20,Dai Stablecoin,DAI,18,41,1037339,6000000000,567642,5556423,deprecated,5712460
1,9471479,2020-02-13 00:43:27,0x130ae0cd6cb88c78274c1060ce8c49794606e2aa98c2e345d742213757a3fb49,2,0xa17b7fe13f55bbbed0b32ff2ff9373b98c8f74dcab10cb79e19ef06a085d9374,0xc803a98d1b90d15782bc6e4ecdacdb174adbbea5,0x6b175474e89094c44da98b954eedeac495271d0f,0xf8da494520d086b00e83b4cbfc349ef517ce78a5,3e+20,Dai Stablecoin,DAI,18,120,80627,6000000000,37018,8776508,deprecated,5712446
2,9472380,2020-02-13 04:04:31,0x0c109ef4c1433c7ec765ab2de3673859b69fba66305d508946dbe44c9dae887b,2,0x4643e28a7dab90deac4d0fe47b082c4e4897721afbf253e060750eb5f84eb702,0x5a9748dc182d38acac2d0d9a6283723b0681528b,0x0d8775f648430679a709e98d2b0cb6250d2887ef,0xc803a98d1b90d15782bc6e4ecdacdb174adbbea5,6.9929974711e+20,BAT,BAT,18,12,100000,8000000000,37052,584100,deprecated,5711545
3,9472406,2020-02-13 04:09:07,0xe51d0b8d29ca08417cd71dad649bab0cabe8c2a463384d4eed716c2e752fed65,1954998,0xd57031ef4da9761ae8599f97e1783a3502934e27e808bf0cedf1b85e8cf79950,0x0681d8db095565fe8a346fa0277bffde9c0edbbf,0x0d8775f648430679a709e98d2b0cb6250d2887ef,0xc803a98d1b90d15782bc6e4ecdacdb174adbbea5,3.9514e+20,BAT,BAT,18,7,207128,40000000000,37040,270315,deprecated,5711519
4,9472460,2020-02-13 04:20:47,0x1f21196546870a683eb69c18b45e01616cc0e3b094a4fed0651c02c8702e7a45,5,0xfba6b75e201cedd6a8407cf8636aebdbb82b6af292b1b170f03e59c1da24645e,0xc803a98d1b90d15782bc6e4ecdacdb174adbbea5,0x0d8775f648430679a709e98d2b0cb6250d2887ef,0x3d227760684823614f06655c4cb56fff819b5206,1.094e+21,BAT,BAT,18,76,1002327,6000000000,559656,5839997,deprecated,5711465
5,9472460,2020-02-13 04:20:47,0x1f21196546870a683eb69c18b45e01616cc0e3b094a4fed0651c02c8702e7a45,5,0xfba6b75e201cedd6a8407cf8636aebdbb82b6af292b1b170f03e59c1da24645e,0x0000000000000000000000000000000000000000,0x6b175474e89094c44da98b954eedeac495271d0f,0xc803a98d1b90d15782bc6e4ecdacdb174adbbea5,1e+20,Dai Stablecoin,DAI,18,76,1002327,6000000000,559656,5839997,deprecated,5711465
6,9472465,2020-02-13 04:21:50,0x7f5da0d300bac83f010732b9ac51d1f103607c09f672bf18bd1ed92abe265e99,6,0xc0343fd752fc0654044e99d4d972ee894561e95c089ec14f28a723158ca8fbe4,0x0000000000000000000000000000000000000000,0x6b175474e89094c44da98b954eedeac495271d0f,0xc803a98d1b90d15782bc6e4ecdacdb174adbbea5,3.4e+20,Dai Stablecoin,DAI,18,50,371787,6000000000,215977,2895911,deprecated,5711460
7,9472473,2020-02-13 04:23:07,0x88bd114d040ce7aacd8d3c436e8e83fe0685dccc459485415b2e8fb0cc4ace86,7,0xfc5c493226c8fa527030b649cc9bc559acd11b622ca04aecc9154394b897be0c,0xc803a98d1b90d15782bc6e4ecdacdb174adbbea5,0x6b175474e89094c44da98b954eedeac495271d0f,0xf8da494520d086b00e83b4cbfc349ef517ce78a5,4.4e+20,Dai Stablecoin,DAI,18,90,80627,6000000000,37018,4264850,deprecated,5711452
8,9475712,2020-02-13 16:15:04,0x2262309bb402d298d4df8df32f3bde7cc19c27e4393449d257b05782e3c04ef9,3747878,0x8fd4712263169ca633dff0b805e44fc34f7148cea7506f613f24f586dccb687f,0x3f5ce5fbfe3e9af3971dd833d26ba9b5c936f0be,0xa4e8c3ec456107ea67d3075bf9e3df3a75823db0,0xc803a98d1b90d15782bc6e4ecdacdb174adbbea5,9.54e+20,Loom,LOOM,18,3,207128,40000000000,52113,221996,deprecated,5708213
9,9475734,2020-02-13 16:19:25,0xc2d7bc3a243da58c3c067d7bfcfce15b5cfe21e5c33c54b19f10e26556c118aa,4,0xed751d00eab61505d2ac4ce47887148010a0ebce5f785fc1e93d9503fe6fc6e5,0x5a9748dc182d38acac2d0d9a6283723b0681528b,0xa4e8c3ec456107ea67d3075bf9e3df3a75823db0,0xc803a98d1b90d15782bc6e4ecdacdb174adbbea5,2.473416e+22,Loom,LOOM,18,38,300000,11000000000,22125,2267424,deprecated,5708191
10,9476498,2020-02-13 19:15:24,0xa120b2aa7d77d2c89acd69aa4358a1ce4226a137f26bf88f06273a2c8eaf25b6,3748369,0xb2063bdc2661932886e1f0c46740fa1e800bdb7bebfa3c9040f4b57a0fc3f235,0x3f5ce5fbfe3e9af3971dd833d26ba9b5c936f0be,0xa4e8c3ec456107ea67d3075bf9e3df3a75823db0,0xc803a98d1b90d15782bc6e4ecdacdb174adbbea5,3.5494e+21,Loom,LOOM,18,12,207128,40000000000,37113,331802,deprecated,5707427
11,9476555,2020-02-13 19:26:46,0x2d99207f41b1644edcdbee38bc89f70de93ed281b9e3329f77e74008d16f32fa,11,0x0edb30806fe7ac076a6863a9e2383c21ed98fc6f667c361aaee185368aa76886,0xc803a98d1b90d15782bc6e4ecdacdb174adbbea5,0xa4e8c3ec456107ea67d3075bf9e3df3a75823db0,0x8f8e8b3c4de76a31971fe6a87297d8f703be8570,2.923756e+22,Loom,LOOM,18,71,76066,1000000000,25356,8825592,deprecated,5707370
12,9495509,2020-02-16 17:20:50,0xa6f5d8d3e0c17889f345a4d62fe93fcdb82da61e7f52aeec6a00c73b3d6c8dd6,1780629,0xb40314bc62a14bb4daec90e5f00cf25ab2294fcdb6d1c05f09db72ca06e61df6,0x2b5634c42055806a59e9107ed44d43c426e58258,0xc011a72400e58ecd99ee497cf89e3775d4bd732f,0xc803a98d1b90d15782bc6e4ecdacdb174adbbea5,1.9306091786e+20,Synthetix Network Token,SNX,18,55,209115,32300000000,105010,2156931,deprecated,5688416
13,9495582,2020-02-16 17:37:27,0x2191fc40a529e872202d65418eeedb96ec71d857deef62256b657775eba0743d,14,0x3571bb6a5c434b46ad073f0b0ee68c51fe7243d20f03a29764c0229db636500c,0x0000000000000000000000000000000000000000,0x57ab1e02fee23774580c119740129eac7081e9d3,0xc803a98d1b90d15782bc6e4ecdacdb174adbbea5,2e+19,Synth sUSD,sUSD,18,99,988547,15000000000,967596,8476842,deprecated,5688343
14,9497915,2020-02-17 02:17:56,0xe091c134ae55d9c1d7c951b80198db69bec19c68703541ff8aa3042011518721,154342,0x4fb6548cea5849c882bc4d1987f53733081192399bc5f46ef8abe81e436fa6a1,0xa910f92acdaf488fa6ef02174fb86208ad7722ba,0x58b6a8a3302369daec383334672404ee733ab239,0xc803a98d1b90d15782bc6e4ecdacdb174adbbea5,1.0072294071e+20,Livepeer Token,LPT,18,25,100000,12600000001,52421,1666352,deprecated,5686010
15,9497934,2020-02-17 02:22:17,0x8efa15c26bb623f93ac553c91ccbf1752d00df45d19211df22fc257374c29e3b,17,0x383b0e2223abaf94a82cbdad55f66b556597697b7bf88d7c9d6381a04dff303e,0xc803a98d1b90d15782bc6e4ecdacdb174adbbea5,0x58b6a8a3302369daec383334672404ee733ab239,0x8573f2f5a3bd960eee3d998473e50c75cdbe6828,1.0072294071e+20,Livepeer Token,LPT,18,89,429980,4000000000,317203,6598795,deprecated,5685991
16,9547756,2020-02-24 18:22:04,0x5fcc509593b70d83e63d5182cb888cd0e6f8d73aefd938cb0e1371bba295e31e,18,0xcf078898c6525a3968c2e3c21717924929a664ac9500cfe5fa6f8742740af987,0x0000000000000000000000000000000000000000,0x57ab1e02fee23774580c119740129eac7081e9d3,0xc803a98d1b90d15782bc6e4ecdacdb174adbbea5,6.073904862333514e+17,Synth sUSD,sUSD,18,65,1033345,4000000000,1008652,9513579,deprecated,5636169
17,9594345,2020-03-02 22:18:46,0x00aaa3f13a9bcf7fef714dadb85470a70239dad70019892bc5e121d75201d337,19,0x6659a1f2f95a45025bd86962ff61bedb125cb7efb48f672face5783b4eb54fff,0x0000000000000000000000000000000000000000,0x57ab1e02fee23774580c119740129eac7081e9d3,0xc803a98d1b90d15782bc6e4ecdacdb174adbbea5,1.7668978128216348e+16,Synth sUSD,sUSD,18,72,979303,1000000000,955454,9393948,deprecated,5589580
18,9638395,2020-03-09 16:45:55,0xbe248eff73b54808f005338d026db1551879b33471abcb278fc6903013d845cf,20,0x5bbb0d488e4e886c6f7d8662ec0460b8ff93fa4cb6e7cc237887e10ec5811aef,0x0000000000000000000000000000000000000000,0x57ab1e02fee23774580c119740129eac7081e9d3,0xc803a98d1b90d15782bc6e4ecdacdb174adbbea5,6223780898991950.0,Synth sUSD,sUSD,18,50,979339,15000000000,955490,5227488,deprecated,5545530
19,9657179,2020-03-12 14:17:03,0x5bd7446321f575f533cb1b709f1781b0781fb6639fa7a7dddf21e9d36d2d6d98,1815906,0x56e022393285f8d36efb1bd2086e0f57fda61b189a709f913d20a7d610bef0ce,0x2b5634c42055806a59e9107ed44d43c426e58258,0x6b175474e89094c44da98b954eedeac495271d0f,0xc803a98d1b90d15782bc6e4ecdacdb174adbbea5,1.2008280353e+20,Dai Stablecoin,DAI,18,17,128045,184400000000,52030,1279601,deprecated,5526746
20,9657204,2020-03-12 14:23:52,0xdc88f00c89338419b812cb8d05005d38fc86f3b321c6c2530a71f2cda3290231,1815932,0x907713a5d33b78ed8cf6a730110a195d83a29db391055efe644288a4c62db325,0x2b5634c42055806a59e9107ed44d43c426e58258,0x6b175474e89094c44da98b954eedeac495271d0f,0xc803a98d1b90d15782bc6e4ecdacdb174adbbea5,1.3787769529e+20,Dai Stablecoin,DAI,18,42,105545,200000000000,37030,2227293,deprecated,5526721
21,9657263,2020-03-12 14:36:40,0x2aa9edc03f709e6f33092d15d2ad3ffade2eb79f525183b2e145f231a5d2f522,25,0xa8f76ed7139851c6ffcd5c93ade19870840e5d8167bb041c7ec37e9eae525ed0,0xc803a98d1b90d15782bc6e4ecdacdb174adbbea5,0x6b175474e89094c44da98b954eedeac495271d0f,0x3d227760684823614f06655c4cb56fff819b5206,2.5796049882e+20,Dai Stablecoin,DAI,18,24,350047,144000000000,167519,3019932,deprecated,5526662
22,9660076,2020-03-13 00:52:25,0xfdbe4ef24e0b30a0479129b7fc4fb64d9a0a12238ec1630e1592562b855e4988,1817100,0x7800c9f8ae579519fa8a1750daf15a9765c9905a9d666284ca9085fb4fa522c6,0x2b5634c42055806a59e9107ed44d43c426e58258,0x6b175474e89094c44da98b954eedeac495271d0f,0xc803a98d1b90d15782bc6e4ecdacdb174adbbea5,1.0707406775e+20,Dai Stablecoin,DAI,18,49,128045,136313130000,52030,3825156,deprecated,5523849
