,blockNumber,timeStamp,hash,nonce,blockHash,from,contractAddress,to,value,tokenName,tokenSymbol,tokenDecimal,transactionIndex,gas,gasPrice,gasUsed,cumulativeGasUsed,input,confirmations
0,10393963,2020-07-04 16:21:26,0xbdf1d55caf0d460311c71aaa6abc835dd11fa7461841d78ebd3fa086754fe859,4577789,0x732f3c17febd0a17a1b6f33e8ae8776bf6c9022f0f5934e3b7ab2908c33989d0,0x3f5ce5fbfe3e9af3971dd833d26ba9b5c936f0be,0xf9986d445ced31882377b5d6a5f58eaea72288c3,0xce88733521a340a026c7eb4d1be14b5bc46b4cad,3.08e+20,Elrond,ERD,18,34,207128,56000000000,52130,1835685,deprecated,4790465
1,10394074,2020-07-04 16:48:58,0x94b0c8c50a76fa433b884f6ed18512adfb05d57fd732a706d40aabca139ce8f5,1,0x2dfb336a070d2bdf3ca04404ad98b5234fe324eb38451c324ed5c1513122d3af,0xce88733521a340a026c7eb4d1be14b5bc46b4cad,0xf9986d445ced31882377b5d6a5f58eaea72288c3,0x4b48b44193d81da48523aad87eaaf1e1958c1e5a,3.08e+20,Elrond,ERD,18,66,120128,28000000000,90128,4017491,deprecated,4790354
2,10394138,2020-07-04 17:03:22,0x8a88245a04289041076a9ec1e634ced51f46c62e8ee9677cf0e89016ccefbc91,4577936,0x4e991e8ac9bf13989541e1ba5a5ed44ace705e7b86b4432eb7f4681f6b801232,0x3f5ce5fbfe3e9af3971dd833d26ba9b5c936f0be,0xf9986d445ced31882377b5d6a5f58eaea72288c3,0xce88733521a340a026c7eb4d1be14b5bc46b4cad,2.79981883440561e+24,Elrond,ERD,18,16,207128,50000000000,52166,1093094,deprecated,4790290
3,10394153,2020-07-04 17:06:43,0x8115b1121f385aeb1588dad264e09f97d2dd0959d02042723d1aa81fc4fbcf5e,3,0xad530d00132138997fbe61cffc9b086dd4a35728e67eb89b7a731e1be183f16a,0xce88733521a340a026c7eb4d1be14b5bc46b4cad,0xf9986d445ced31882377b5d6a5f58eaea72288c3,0x4b48b44193d81da48523aad87eaaf1e1958c1e5a,2.799818e+24,Elrond,ERD,18,155,64465,28000000000,49465,10830430,deprecated,4790275
4,10412914,2020-07-07 14:40:49,0x7cb4380103ac794382c4b63b8e1db3e65431f679858266da307f5b3e3040cd6e,4,0x935a23b082c33ccec91fce2a4c71ad51bfc2c0fe68d7461e26d281c657e0c000,0x4b48b44193d81da48523aad87eaaf1e1958c1e5a,0xf9986d445ced31882377b5d6a5f58eaea72288c3,0xce88733521a340a026c7eb4d1be14b5bc46b4cad,2.800126e+24,Elrond,ERD,18,177,55598,37000000000,40598,11555249,deprecated,4771514
5,10414022,2020-07-07 18:39:33,0x0a1b1a0bc1c322e4c744185444b2cf6820334a5a543a19630a3bb37d7365f075,7,0x4ddb98bf3d56b660c2dbc9b37743e38672a324aa099be231c99d91bfcc398cb4,0xce88733521a340a026c7eb4d1be14b5bc46b4cad,0xf9986d445ced31882377b5d6a5f58eaea72288c3,0xdb39bee902542eaf193715852a298aa079c9ed42,2.80012683440561e+24,Elrond,ERD,18,129,78249,33000000000,37166,7967381,deprecated,4770406
6,10771615,2020-08-31 22:56:22,0xd118d39a8f17b9eb5bd614da1638ca59c93f9bf61ccd31ba8e0a7f8a165006eb,9,0x86e3a02707d9db9e9e20b06ba065cce0e059fe83d79e396ecf9f9d5feed7b828,0xf80758ab42c3b07da84053fd88804bcb6baa4b5c,0x57ab1ec28d129707052df4df418d58a2d46d5f51,0xce88733521a340a026c7eb4d1be14b5bc46b4cad,6.578e+19,Synth sUSD,sUSD,18,24,234461,197000000000,195679,1795917,deprecated,4412813
7,10771640,2020-08-31 23:01:45,0xb2c75d56accb18c8eb9e6bacfe054523a801fb3505f563a28a4628f31b04121a,11,0xc98329e2d0b3f0ca63f3835d9210c155026c00ec6bb7ae7ceff9bd083c2d0ff0,0xce88733521a340a026c7eb4d1be14b5bc46b4cad,0x57ab1ec28d129707052df4df418d58a2d46d5f51,0xaad22f5543fcdaa694b68f94be177b561836ae57,6.578e+19,Synth sUSD,sUSD,18,143,214368,197000000000,173381,10519748,deprecated,4412788
8,10771640,2020-08-31 23:01:45,0xb2c75d56accb18c8eb9e6bacfe054523a801fb3505f563a28a4628f31b04121a,11,0xc98329e2d0b3f0ca63f3835d9210c155026c00ec6bb7ae7ceff9bd083c2d0ff0,0xaad22f5543fcdaa694b68f94be177b561836ae57,0x68a118ef45063051eac49c7e647ce5ace48a68a5,0xce88733521a340a026c7eb4d1be14b5bc46b4cad,2.0553746576300182e+17,$BASED,$BASED,18,143,214368,197000000000,173381,10519748,deprecated,4412788
9,10771665,2020-08-31 23:05:37,0x0a107f19caef918c5db1847f9d8afcfabcb158e35741cbe4232c27ba5ac9b0b4,12,0x5ded0c3c9607c02b6318738ae2654b7a342be962618d5ef5dcd8d0fbbebbaf17,0xf80758ab42c3b07da84053fd88804bcb6baa4b5c,0x57ab1ec28d129707052df4df418d58a2d46d5f51,0xce88733521a340a026c7eb4d1be14b5bc46b4cad,9.311919190800491e+20,Synth sUSD,sUSD,18,45,240394,196935433398,191900,11098009,deprecated,4412763
10,10771685,2020-08-31 23:08:49,0x8fb385716847e9b65a29a421f528aeeae710f5eeff6dea36572b28a866b4e919,14,0xdab748800f831557b7b51f904788d9d2ccc598a89da0238fe433bedee941c60b,0xce88733521a340a026c7eb4d1be14b5bc46b4cad,0x57ab1ec28d129707052df4df418d58a2d46d5f51,0xaad22f5543fcdaa694b68f94be177b561836ae57,9.311919190800491e+20,Synth sUSD,sUSD,18,9,197632,196935433398,158405,1077034,deprecated,4412743
11,10771685,2020-08-31 23:08:49,0x8fb385716847e9b65a29a421f528aeeae710f5eeff6dea36572b28a866b4e919,14,0xdab748800f831557b7b51f904788d9d2ccc598a89da0238fe433bedee941c60b,0xaad22f5543fcdaa694b68f94be177b561836ae57,0x68a118ef45063051eac49c7e647ce5ace48a68a5,0xce88733521a340a026c7eb4d1be14b5bc46b4cad,3.3512047222685916e+18,$BASED,$BASED,18,9,197632,196935433398,158405,1077034,deprecated,4412743
12,10778680,2020-09-02 00:53:42,0xaedcfd1c94276a79d2fb26786cbf3de24f58d9bdcdff29d246052b4e70b974ec,18,0xf8a019a2148673ffe0f584716e670e8a4636867f398bae33a7abd5bf8424a71d,0xef8d10369a2c3313dea51c35db64cd7c8667a444,0xce25b4271cc4d937a7d9bf75b2068a7892b9961d,0xce88733521a340a026c7eb4d1be14b5bc46b4cad,1.0596911480228043e+22,Unipump,UPP,18,58,165973,494000000000,125301,5265015,deprecated,4405748
