,blockNumber,timeStamp,hash,nonce,blockHash,from,contractAddress,to,value,tokenName,tokenSymbol,tokenDecimal,transactionIndex,gas,gasPrice,gasUsed,cumulativeGasUsed,input,confirmations
0,10780963,2020-09-02 09:20:22,0xc252e310910ab93fff37959d5dd8f96d1d76ab090e8dfa6cbb6d5109089c60bd,2,0x3327fd1b5569d895d4b5c8f30425f89e6890506df8b6bb5e01a3ff097a4ca4d8,0xce84867c3c02b05dc570d0135103d3fb9cc19433,0x6b3595068778dd592e39a122f4f5a5cf09c90fe2,0xcf78e1fb53fa35d06aee751adae6c25381c6eb82,7.65340632227886e+19,SushiToken,SUSHI,18,158,181492,270000000000,124425,9176532,deprecated,4402857
1,10781078,2020-09-02 09:44:03,0x7dd6151a94519f7cf3a5fdcd46f15fcc23ca2f9018aee0a3d845809ffc60b11a,4,0x45b381f01a874b9f335b0e9055074b5469287057b7a80f04e1605446e13bb111,0xcf78e1fb53fa35d06aee751adae6c25381c6eb82,0x6b3595068778dd592e39a122f4f5a5cf09c90fe2,0xce84867c3c02b05dc570d0135103d3fb9cc19433,7.65340632227886e+19,SushiToken,SUSHI,18,139,196852,270000000000,141928,6399399,deprecated,4402742
2,10781078,2020-09-02 09:44:03,0x7dd6151a94519f7cf3a5fdcd46f15fcc23ca2f9018aee0a3d845809ffc60b11a,4,0x45b381f01a874b9f335b0e9055074b5469287057b7a80f04e1605446e13bb111,0x0000000000000000000000000000000000000000,0xce84867c3c02b05dc570d0135103d3fb9cc19433,0xcf78e1fb53fa35d06aee751adae6c25381c6eb82,9.255566076112337e+18,Uniswap V2,UNI-V2,18,139,196852,270000000000,141928,6399399,deprecated,4402742
3,10781154,2020-09-02 09:59:31,0xf65dd812464d04c6e262ff3cb4c43f0ae722c644cc73a0d8685e439e5ff436f9,5,0xda3f7051386c745de2a05a11118db986b1d0182345789cd9bb13a566117b80e5,0xce84867c3c02b05dc570d0135103d3fb9cc19433,0x6b3595068778dd592e39a122f4f5a5cf09c90fe2,0xcf78e1fb53fa35d06aee751adae6c25381c6eb82,1.1310986740362618e+20,SushiToken,SUSHI,18,12,181492,270000000000,124425,726097,deprecated,4402666
4,10781167,2020-09-02 10:03:12,0x5f2b4a1c4dedce655a9421e1bf2608ff3693de095edc22885c2e0437e1264c34,6,0x692a7c85d87a2750ddf2432fdb10a1f45966b19f91d44fce0a993288f8d0fdb8,0xcf78e1fb53fa35d06aee751adae6c25381c6eb82,0x6b3595068778dd592e39a122f4f5a5cf09c90fe2,0xce84867c3c02b05dc570d0135103d3fb9cc19433,1.1310986740362618e+20,SushiToken,SUSHI,18,140,178429,270000000000,126940,7530757,deprecated,4402653
5,10781167,2020-09-02 10:03:12,0x5f2b4a1c4dedce655a9421e1bf2608ff3693de095edc22885c2e0437e1264c34,6,0x692a7c85d87a2750ddf2432fdb10a1f45966b19f91d44fce0a993288f8d0fdb8,0x0000000000000000000000000000000000000000,0xce84867c3c02b05dc570d0135103d3fb9cc19433,0xcf78e1fb53fa35d06aee751adae6c25381c6eb82,1.3677116372496867e+19,Uniswap V2,UNI-V2,18,140,178429,270000000000,126940,7530757,deprecated,4402653
6,10782694,2020-09-02 15:43:32,0xce9fd691c9c29c3c675e79f569cc155d3a73b131afc101fe87317ddb1467df3f,9,0xecf7c3783903d44a80974e015651938b1c3dd6fcadc267ef4ca6c4858453116c,0xcf78e1fb53fa35d06aee751adae6c25381c6eb82,0xce84867c3c02b05dc570d0135103d3fb9cc19433,0xc2edad668740f1aa35e4d8f227fb8e17dca888cd,2.2932682448609202e+19,Uniswap V2,UNI-V2,18,190,141614,540000000000,126614,11387782,deprecated,4401126
7,10785650,2020-09-03 02:28:43,0x9cc3284aee00f19ca0b249d4e85cc334bb0dfd262a0f3458026c34b5cf9eaccb,10,0xc0c6e9665eee8ff7c78dbdb85ac17630266d980651fdc55526873b04de73da06,0xce84867c3c02b05dc570d0135103d3fb9cc19433,0x6b3595068778dd592e39a122f4f5a5cf09c90fe2,0xcf78e1fb53fa35d06aee751adae6c25381c6eb82,4.425969481142718e+20,SushiToken,SUSHI,18,129,166721,350000000000,124425,8481701,deprecated,4398170
8,10785661,2020-09-03 02:30:42,0x950c2562b1ec1d26766d4dc45c32d7e6ace68dcd994198b820fc5674e9247639,11,0x06b71682de24befaf5edb236040c324cca27f8fa37639b660b8495b5dea4b91d,0xcf78e1fb53fa35d06aee751adae6c25381c6eb82,0x6b3595068778dd592e39a122f4f5a5cf09c90fe2,0xce84867c3c02b05dc570d0135103d3fb9cc19433,4.425951417396228e+20,SushiToken,SUSHI,18,274,197239,350000000000,149438,12042685,deprecated,4398159
9,10785661,2020-09-03 02:30:42,0x950c2562b1ec1d26766d4dc45c32d7e6ace68dcd994198b820fc5674e9247639,11,0x06b71682de24befaf5edb236040c324cca27f8fa37639b660b8495b5dea4b91d,0x0000000000000000000000000000000000000000,0xce84867c3c02b05dc570d0135103d3fb9cc19433,0xcf78e1fb53fa35d06aee751adae6c25381c6eb82,5.951677048163701e+19,Uniswap V2,UNI-V2,18,274,197239,350000000000,149438,12042685,deprecated,4398159
