,blockNumber,timeStamp,hash,nonce,blockHash,from,contractAddress,to,value,tokenName,tokenSymbol,tokenDecimal,transactionIndex,gas,gasPrice,gasUsed,cumulativeGasUsed,input,confirmations
0,10731694,2020-08-25 20:12:31,0xb917f8b4ec41659e06c144b6fc59de3f08827c15c5ccd7070c9dca1c94b75dad,147,0xbe3655d09aa8c63634e5b7039821fba264e4bdfc228c04fb8f9b6137b201f962,0x56195bacc2c12ee648a8073ea3dae5914148aae9,0xc25a3a3b969415c80451098fa907ec722572917f,0xd31e240735afc556674c5263e9145eb1d592aec5,2.1938920060471458e+21,Curve.fi DAI/USDC/USDT/sUSD,crvPlain3andSUSD,18,140,75913,59741176471,35609,12269187,deprecated,4452175
1,10731720,2020-08-25 20:18:35,0x95ffe77661c280121878158db82ce9ffc247803e4d1c76d8f6a40ccd5ff2b263,149,0xc1f8334f65595b76f67900ea0523c3402d87c608208d8a435bcd5e46cb8b864a,0x56195bacc2c12ee648a8073ea3dae5914148aae9,0x075b1bb99792c9e1041ba13afef80c91a1e70fb3,0xd31e240735afc556674c5263e9145eb1d592aec5,6.95093240344501e+17,Curve.fi renBTC/wBTC/sBTC,crvRenWSBTC,18,167,75895,58917647059,35597,12402120,deprecated,4452149
2,10731758,2020-08-25 20:28:30,0xb471e91d05edc9b34bb4d993759d8eda3b9d2b4e243f423b889b442bb52bed2d,151,0x3d3cf51fd8241db8ab9e5c5988941ebc930fdd5e6e93b9f989c430a5d9258cf4,0x56195bacc2c12ee648a8073ea3dae5914148aae9,0xc5be99a02c6857f9eac67bbce58df5572498f40c,0xd31e240735afc556674c5263e9145eb1d592aec5,2387616000635594.0,Uniswap V2,UNI-V2,18,108,76476,58580392157,35984,10530374,deprecated,4452111
3,10731758,2020-08-25 20:28:30,0x012cc19e46add1e2e99e9adc9daddcc478b658d81df45b7136de4042e47f6d96,152,0x3d3cf51fd8241db8ab9e5c5988941ebc930fdd5e6e93b9f989c430a5d9258cf4,0x56195bacc2c12ee648a8073ea3dae5914148aae9,0xaba8cac6866b83ae4eec97dd07ed254282f6ad8a,0xd31e240735afc556674c5263e9145eb1d592aec5,0.0,YAMv2,YAMv2,24,110,41386,58260667341,27591,10703832,deprecated,4452111
4,10731828,2020-08-25 20:43:26,0x105e5fb1afeb35e8e3d67d8a4f10c6169dafda3e446bd5a4588c5c550ef53463,155,0x92c87e3e028193dbd2efa72c8676ca79f176228e87994260a45f8f9678be1520,0x56195bacc2c12ee648a8073ea3dae5914148aae9,0xaba8cac6866b83ae4eec97dd07ed254282f6ad8a,0xd31e240735afc556674c5263e9145eb1d592aec5,7.6788e+25,YAMv2,YAMv2,24,68,76648,58323191853,51099,4111476,deprecated,4452041
5,10732137,2020-08-25 21:50:22,0xb79ebd443eabff6a14702912e0ba2458fa25a588db1027a226944c5759b7b290,3,0xdcea53497d413b9862e0178914e3ef0992e4d64ebb710d6a7710d61e0b96b86e,0xd31e240735afc556674c5263e9145eb1d592aec5,0xc25a3a3b969415c80451098fa907ec722572917f,0xa90996896660decc6e997655e065b23788857849,2.1938920060471458e+21,Curve.fi DAI/USDC/USDT/sUSD,crvPlain3andSUSD,18,118,1000000,60000000000,436239,7535151,deprecated,4451732
6,10732144,2020-08-25 21:52:47,0xd641e613e54bd38da56e81713c1bb629a2af33709b00cce2e15c86689117f07b,5,0x277706264156de7377e6cbf60a37efe8f1b8cf52fa3ea1c0874144cad846e565,0xd31e240735afc556674c5263e9145eb1d592aec5,0x075b1bb99792c9e1041ba13afef80c91a1e70fb3,0x705350c4bcd35c9441419ddd5d2f097d7a55410f,6.95093240344501e+17,Curve.fi renBTC/wBTC/sBTC,crvRenWSBTC,18,183,1000000,60000000000,389748,9111931,deprecated,4451725
7,10732162,2020-08-25 21:58:03,0x2a18a8702890be4e215c88f6a02049f6279de74009dcd4f2d24d5f1dd38e1688,6,0xbc5eeaabbaa7f082abfe1f6628e0895166c028c30bd734658e9ccd9a7b35f679,0xd31e240735afc556674c5263e9145eb1d592aec5,0xc5be99a02c6857f9eac67bbce58df5572498f40c,0xe0624ab7206b847713b03f17602836205593497c,2387616000000000.0,Uniswap V2,UNI-V2,18,32,470980,56000000000,313987,3454633,deprecated,4451707
8,10767747,2020-08-31 09:03:04,0xbe6376ede4c89008be87c064a07262a4c8b9146e96ab3a7a17d97d677b888eca,8,0x20377f1b6a1cc2f25b8642257e74b444357f81a61a6464c90f517a82cec9bc3b,0xe0624ab7206b847713b03f17602836205593497c,0xc5be99a02c6857f9eac67bbce58df5572498f40c,0xd31e240735afc556674c5263e9145eb1d592aec5,2387616000000000.0,Uniswap V2,UNI-V2,18,66,485389,198000000000,244393,3626155,deprecated,4416122
9,10767747,2020-08-31 09:03:04,0xbe6376ede4c89008be87c064a07262a4c8b9146e96ab3a7a17d97d677b888eca,8,0x20377f1b6a1cc2f25b8642257e74b444357f81a61a6464c90f517a82cec9bc3b,0xa67bc713b4258a164028bdf3b221816b32e45f13,0xd46ba6d942050d489dbd938a2c909a5d5039a161,0xd31e240735afc556674c5263e9145eb1d592aec5,95707947362.0,Ampleforth,AMPL,9,66,485389,198000000000,244393,3626155,deprecated,4416122
10,10767767,2020-08-31 09:07:15,0xdffca52e52b4c25a435c194e2d02777e0b5122f98306fa312f0735e0b64b072a,10,0xbb0fc505244bcc82fffa1d6b7817dc117bf35c36fab9310b09af4bf2d93a6af0,0xd31e240735afc556674c5263e9145eb1d592aec5,0xc5be99a02c6857f9eac67bbce58df5572498f40c,0xc2edad668740f1aa35e4d8f227fb8e17dca888cd,2387616000635594.0,Uniswap V2,UNI-V2,18,66,212410,195000000000,126590,4561699,deprecated,4416102
