,blockNumber,timeStamp,hash,nonce,blockHash,from,contractAddress,to,value,tokenName,tokenSymbol,tokenDecimal,transactionIndex,gas,gasPrice,gasUsed,cumulativeGasUsed,input,confirmations
0,10771169,2020-08-31 21:23:57,0x13693c24ec4870b70c98729e04f4aabfcd48e57e2b1e57f690cff36371c8928b,0,0x253194f583a9a378c0b018f806572dfb723c7e661bf99c085d33ff2a1a4b0981,0x55111bad5bc368a2cb9ecc9fbc923296bedb3b89,0x68a118ef45063051eac49c7e647ce5ace48a68a5,0xd366818fa0c9483606bc7bd5cd71359301a57e86,1.1233033905920586e+17,$BASED,$BASED,18,258,167417,198000000000,126595,11686370,deprecated,4413361
1,10773941,2020-09-01 07:34:47,0x1f4c3381a39df5b896eb5a28bcd0afdce2b2eeb9959986e91371010b7ac89e78,3,0xd136f17e528d567471df38986a3e7d7d013213f4ef801cb94624f5f30434e83d,0xd366818fa0c9483606bc7bd5cd71359301a57e86,0x68a118ef45063051eac49c7e647ce5ace48a68a5,0x55111bad5bc368a2cb9ecc9fbc923296bedb3b89,1.1233033905920586e+17,$BASED,$BASED,18,208,168157,401000000000,112588,11143975,deprecated,4410589
2,10880776,2020-09-17 16:23:35,0x4f748854a9083516e8163b64a1c088723de7f8e436833aefeaab4f620950ccba,6,0xd482a4d9b5f61adcf9dad2d4075ae1da74b118aa4008c4a42939213441f141e4,0x090d4613473dee047c3f2706764f49e0821d256e,0x1f9840a85d5af5bf1d1762f925bdaddc4201f984,0xd366818fa0c9483606bc7bd5cd71359301a57e86,4e+20,Uniswap,UNI,18,177,90044,491000000000,81859,12043096,deprecated,4303754
3,10881235,2020-09-17 18:03:06,0x3bdc6072f1b6e84ce807d4b9f8002eb7b93aca7898736ff6d4565a8e9f2642ce,9,0x290181c3346b7ff1d179e08805fcf3d403ad5ecbf2728c13fcacc6b84665cc8c,0xd366818fa0c9483606bc7bd5cd71359301a57e86,0x1f9840a85d5af5bf1d1762f925bdaddc4201f984,0xd3d2e2692501a5c9ca623199d38826e513033a17,1.5e+20,Uniswap,UNI,18,204,152245,493000000000,113123,9647928,deprecated,4303295
4,10881379,2020-09-17 18:32:31,0x3931d52703ea0d3e74e74caf981b0c4edb7edd82d44fbaac448ed719bf631e55,11,0xd10b16aac267173197f1fe90a95610e70c94df45f45d2e7f744bf4b66d7b7619,0xd366818fa0c9483606bc7bd5cd71359301a57e86,0x1f9840a85d5af5bf1d1762f925bdaddc4201f984,0xd3d2e2692501a5c9ca623199d38826e513033a17,1.5e+20,Uniswap,UNI,18,156,152245,493000000000,113123,11801981,deprecated,4303151
5,10883857,2020-09-18 03:50:28,0xf589acd85c0760cb23be7b08f97a710d58188f2bdd63c7110f45ca56f20250c0,13,0x3a156a60b07388938ecb94cc0e27a2fe24ccf7288a08f23886e55376eba856f7,0xd366818fa0c9483606bc7bd5cd71359301a57e86,0x1f9840a85d5af5bf1d1762f925bdaddc4201f984,0xa05a6d56e3c66ef504fc1052a8208923dcf45341,1e+20,Uniswap,UNI,18,175,83259,281000000000,40506,10429143,deprecated,4300673
6,10883887,2020-09-18 03:58:31,0x921d7dde4365cae6fa9c6968f842c21aeb7a5dbe7084e900b82bb27259ef91f4,14,0x118264c5212300640d449e4bcdd12644b1dfda26c0ac4187aa707af5842a2284,0x55111bad5bc368a2cb9ecc9fbc923296bedb3b89,0x68a118ef45063051eac49c7e647ce5ace48a68a5,0xd366818fa0c9483606bc7bd5cd71359301a57e86,1.5807491927252271e+19,$BASED,$BASED,18,125,167417,296000000000,126595,8092885,deprecated,4300643
7,11397850,2020-12-06 07:41:38,0x6b4f11740b8e7f118c7a796a6d82f7646a25cef298806da03909611b69daa604,15,0xce42e21dd957aa3ed001c93aa02fc54dd14e825e084c7a4d8eab8970c99e251b,0x09a3707fd84931591e35c595acb7665a242b3c04,0x0b38210ea11411557c13457d4da7dc6ea731b88a,0xd366818fa0c9483606bc7bd5cd71359301a57e86,7.391343051745006e+17,API3,API3,18,95,231144,25000000000,192427,3764614,deprecated,3786680
8,11967342,2021-03-03 20:02:19,0x2b75cc38932ba16e909c258ce03ea46d025a4f3f80dd3c343a19c1a611e359e7,16,0x5dfd1a18cc2d25c629cbf7f059fa1b52fe9d9f247b52780b0e7da95962e9ca5a,0xc3601f3e1c26d1a47571c559348e4156786d1fec,0x92e187a03b6cd19cb6af293ba17f2745fd2357d5,0xd366818fa0c9483606bc7bd5cd71359301a57e86,2.3540211659673832e+21,Unit Protocol,DUCK,18,198,164560,185900000000,124037,7460080,deprecated,3217188
9,11980660,2021-03-05 21:03:46,0xa05e0b882e2e9efff9568cb91434cd500c6552ec87dc74d2a0272937dfcc07c9,18,0x505601933cc16baa7debd8395c9c08fe98131710da561b68fcaa88b45e125ce1,0xd366818fa0c9483606bc7bd5cd71359301a57e86,0x92e187a03b6cd19cb6af293ba17f2745fd2357d5,0xc3601f3e1c26d1a47571c559348e4156786d1fec,2.3540211659673832e+21,Unit Protocol,DUCK,18,125,224350,130900000000,178222,5559094,deprecated,3203870
