,blockNumber,timeStamp,hash,nonce,blockHash,from,contractAddress,to,value,tokenName,tokenSymbol,tokenDecimal,transactionIndex,gas,gasPrice,gasUsed,cumulativeGasUsed,input,confirmations
0,10198658,2020-06-04 10:12:27,0x4520a03673e2c187f76161dbd5fbd7410393eae45cea0adbfb1d73fd80625308,4446303,0x1b038509741c686095eb5fc17a06dde6bd8e93568f34b6d87206c35f1d22ef70,0x3f5ce5fbfe3e9af3971dd833d26ba9b5c936f0be,0x744d70fdbe2ba4cf95131626614a1763df805b9e,0xd596ed98594347e2064a90082bbc894de5ba6bcf,2.2954979e+22,StatusNetwork,SNT,18,9,207128,54000000000,118711,433571,deprecated,4985887
1,10198689,2020-06-04 10:18:02,0x14969bfdf6afe4265b7315f6bf4f4f47f2299dfbeab2c6c2f97209a4c242f88c,2257079,0xeaf102beabcb28f3fe2d29eca3ce9143c915a17d0861d0bcfc04167300b2ad57,0xd551234ae421e3bcba99a0da6d736074f22192ff,0x0cf0ee63788a0849fe5297f3407f701e122cc023,0xd596ed98594347e2064a90082bbc894de5ba6bcf,8.294678e+21,Streamr (old),XDATA,18,10,207128,54000000000,52691,446677,deprecated,4985856
2,10198731,2020-06-04 10:27:19,0xa4ec4bdf0d6988a68a7c72d7eb9ae4c62fe85e23ff5522dcdefd9ef6857a98ed,2181395,0xac5fd4624939f3593cd99a348b35f417dde8a5dbdb9d823d6dff4daa21430a00,0x564286362092d8e7936f0549571a803b203aaced,0xf629cbd94d3791c9250152bd8dfbdf380e2a3b9c,0xd596ed98594347e2064a90082bbc894de5ba6bcf,3.876024e+21,EnjinCoin,ENJ,18,34,207128,54000000000,51712,1199882,deprecated,4985814
3,10198751,2020-06-04 10:31:02,0x8a4ac3b170c8d09c41d7d9bd42283ffd79f3d25669b8fb5689b565fbbde80684,2181420,0x445714e17e14b3c835758be13fe2777ef595376f616a924d5f5938d238afc94e,0x564286362092d8e7936f0549571a803b203aaced,0xb63b606ac810a52cca15e44bb630fd42d8d1d83d,0xd596ed98594347e2064a90082bbc894de5ba6bcf,10878088000.0,MCO,MCO,8,39,207128,50000000000,52692,1493652,deprecated,4985794
4,10198773,2020-06-04 10:37:41,0x0aea9312570bcd00ae80cbcbe7f7f23d1adf7169076a51e045dc9d7cd1d09c8a,2230893,0x8a2b5f7eec722b7ec171657465cf49a3507b750c1c4199f374b11ef4bb4d41f1,0x0681d8db095565fe8a346fa0277bffde9c0edbbf,0x408e41876cccdc0f92210600ef50372656052a38,0xd596ed98594347e2064a90082bbc894de5ba6bcf,6.528452e+21,Republic,REN,18,32,207128,50000000000,53195,1446823,deprecated,4985772
5,10614491,2020-08-07 19:02:01,0xd9cfe315549b0758fbd88949c0938d05f0b00c455831e1a2a02e8d7876074308,0,0x1b43115eb45af418e950cf00f15b553625b09e3b78aac0194b1082a2c5f691cf,0xd596ed98594347e2064a90082bbc894de5ba6bcf,0xb63b606ac810a52cca15e44bb630fd42d8d1d83d,0x6b3fb186d432ca0c0c90fef1c21c7daa54fb40a7,10878088000.0,MCO,MCO,8,40,68499,67000000000,37692,1468676,deprecated,4570054
6,10665408,2020-08-15 15:12:49,0xe7db209976ac9ed62f096664942c820d527d8af082323f9bd5c8b12a59e98447,445592,0xe243185002b49c24198b57ec869d6c4bff53811a12466aac11beb09080b3af2f,0x46340b20830761efd32832a74d7169b29feb9758,0x514910771af9ca656af840dff83e8264ecf986ca,0xd596ed98594347e2064a90082bbc894de5ba6bcf,1.97e+19,ChainLink Token,LINK,18,77,200000,125000000000,51589,3635507,deprecated,4519137
7,10665630,2020-08-15 16:01:38,0xa554b6b8efe7e17a8fb232f61a75189f19b31b81e17c718719bf571e6e1826d9,1,0x2242dc926f4a287ce1e05d1e9262e9e65c9bd95f67dd17e824958684d7f88850,0x2f9ec37d6ccfff1cab21733bdadede11c823ccb0,0x12b19d3e2ccc14da04fae33e63652ce469b3f2fd,0xd596ed98594347e2064a90082bbc894de5ba6bcf,3857666283989426.0,GRID,GRID,12,215,472855,115000000000,305461,11530359,deprecated,4518915
8,10666126,2020-08-15 17:56:22,0x64e783aceed89de626dbaed2bfd3eb7bb9dba86b412b907669673d2bb7fda980,2177294,0x670761973302b6fda2a4844efbaa803b50b486469f51b0b760db99affe90553f,0x2b5634c42055806a59e9107ed44d43c426e58258,0x2baac9330cf9ac479d819195794d79ad0c7616e3,0xd596ed98594347e2064a90082bbc894de5ba6bcf,2.6800995772359e+23,AdBank,ADB,18,27,127957,128000000000,52275,2249370,deprecated,4518419
9,10713145,2020-08-22 23:51:59,0xcad86552c42ced2c9f1323cda16d5a518e3d89bfe9c6b9ac81d971e9f18ff473,3,0x10a41fa088b271637ddcad23293f506aebd7207fe95b2f1d9b16bd3d87bb80d5,0xd596ed98594347e2064a90082bbc894de5ba6bcf,0x408e41876cccdc0f92210600ef50372656052a38,0x26b76975efd1c6fd5339120bef688b5d30627334,6.528452e+21,Republic,REN,18,209,69153,74000000000,38195,11341491,deprecated,4471400
10,10713161,2020-08-22 23:55:12,0x892f3024dc918725aa9fa5ec607fabdb8bb9ae63dbd6af935ba32e02357a7906,4,0xa10681a624dbf9b5f275935bc9ccd9304cb9d737d62f1aceecf11e970ba608a9,0xd596ed98594347e2064a90082bbc894de5ba6bcf,0x744d70fdbe2ba4cf95131626614a1763df805b9e,0x26b76975efd1c6fd5339120bef688b5d30627334,2.2954979e+22,StatusNetwork,SNT,18,193,154324,74000000000,118711,12243589,deprecated,4471384
11,10713171,2020-08-22 23:57:17,0xb7bb3ccbb0840215d9e7536dcd635c6a8438d9559d8d730f9d51f3af2d5bbe4a,5,0x2a689cfdd8b91b56a690030df4839f6cae3c2a7fdc0aaeb7c1b75cdd6dbdea95,0xd596ed98594347e2064a90082bbc894de5ba6bcf,0xf629cbd94d3791c9250152bd8dfbdf380e2a3b9c,0x26b76975efd1c6fd5339120bef688b5d30627334,3.876024e+21,EnjinCoin,ENJ,18,156,67225,74000000000,36712,6538052,deprecated,4471374
12,10713175,2020-08-22 23:58:59,0xd6d494cf08ca34f9f9230c906d8d21e46c727368122bf21890bcc9dd53c3f3b9,6,0x6ad31c1df2e661a5cff4a109022531f624380a54d02753021325ae4381c8c15f,0xd596ed98594347e2064a90082bbc894de5ba6bcf,0x12b19d3e2ccc14da04fae33e63652ce469b3f2fd,0x26b76975efd1c6fd5339120bef688b5d30627334,3857666283989426.0,GRID,GRID,12,88,67380,74000000000,36831,6391944,deprecated,4471370
13,10713188,2020-08-23 00:02:11,0x03d15919bce467989f4dd96f66fc11037b3d6f442fa0bbf16494d2ff83f3c7db,7,0x2395ac0d7cdad25fc5cfd0c7ecd1b6c42ac5669d442de6b7ac1a43880991295f,0xd596ed98594347e2064a90082bbc894de5ba6bcf,0x2baac9330cf9ac479d819195794d79ad0c7616e3,0x26b76975efd1c6fd5339120bef688b5d30627334,2.6800995772359e+23,AdBank,ADB,18,138,67957,78000000000,37275,7018419,deprecated,4471357
14,10713191,2020-08-23 00:03:27,0xec57217982b0a98bfd3d6f2407d0b05ac79ac5ef1d45e09784b26afe5a7b22c3,8,0xd69d18b0ca2f96342203ccc658a112d7571db500cbc5577bcb611d27ebdc7516,0xd596ed98594347e2064a90082bbc894de5ba6bcf,0x0cf0ee63788a0849fe5297f3407f701e122cc023,0x26b76975efd1c6fd5339120bef688b5d30627334,8.294678e+21,Streamr (old),XDATA,18,70,68498,80000000000,37691,3960542,deprecated,4471354
15,10713199,2020-08-23 00:04:41,0xc00b367051c6ad9fa402f60850e9b76b8c1f6cd8570d03929a160e7a10a50c3b,9,0xd2c70cc72a17f111a9bb43741d664c5843947f1e0a7d1e1ebd853c1a7292cc7b,0xd596ed98594347e2064a90082bbc894de5ba6bcf,0x514910771af9ca656af840dff83e8264ecf986ca,0x26b76975efd1c6fd5339120bef688b5d30627334,1.97e+19,ChainLink Token,LINK,18,203,67065,80000000000,36589,10527066,deprecated,4471346
16,10769524,2020-08-31 15:34:06,0xd9d363cc1c1ecf1dea3e45eeb55d0aaafefee42f48c02ce56e8c7fdcee4d1bde,11,0x186a620ec536058c6547540376424e1f532309260919cc5f574c5db9ac5221ba,0x51fe8e8fa3f9f10288fa8c2aff1400f887d21c42,0x4a527d8fc13c5203ab24ba0944f4cb14658d1db6,0xd596ed98594347e2064a90082bbc894de5ba6bcf,2.0992994264359876e+22,Morpheus Infrastructure Token,MITx,18,76,166149,312000000000,125460,4356195,deprecated,4415021
17,10769545,2020-08-31 15:39:10,0x1c2db82b1ff29685e31452efde71f11c8fd9e57ef533c5c87d086fe64e0b97af,12,0x103fa44e0f2a52b6b0b3dfcbe408264e60d45e5ae15ad9cb1401218dcc5204e0,0xc822d85d2dcedfaf2cefcf69dbd5588e7ffc9f10,0x0417912b3a7af768051765040a55bb0925d4ddcf,0xd596ed98594347e2064a90082bbc894de5ba6bcf,1.147100308380572e+22,Liquidity Dividends Protocol,LID,18,43,177955,321000000000,136025,2752284,deprecated,4415000
18,10769566,2020-08-31 15:43:02,0x93a571e2fa28c4390dab836e841a2229f9625e6360045fc5c154797c640baea6,13,0xec15c6297c6df17331bcdf16bace23ca4c8eebc39cfd73ead3b25d1c4b11d7c6,0xca9d4cbbd22ca8d598f2cd4556e53a4484772daf,0x95172ccbe8344fecd73d0a30f54123652981bd6f,0xd596ed98594347e2064a90082bbc894de5ba6bcf,1.2470406636137632e+21,Meridian Network,LOCK,18,57,171662,321000000000,130393,2652879,deprecated,4414979
19,10769605,2020-08-31 15:50:44,0x708e42114642e58cac559c57dca8d5134be78f0719571af33c5a20cb227ad7fa,14,0x3b9d71295afc9bdeaa3e119d551f78e07391ea0b1cf841567740c616fbf033a2,0xd2e0c4928789e5db620e53af29f5fc7bca262635,0x6f87d756daf0503d08eb8993686c7fc01dc44fb1,0xd596ed98594347e2064a90082bbc894de5ba6bcf,7.129327253467316e+20,UniTrade,TRADE,18,108,165160,321000000000,124575,3867483,deprecated,4414940
20,10769628,2020-08-31 15:57:30,0x74de05357f8934ce1653b0e278eb9e7832621b9d8630a01d6ec8583fbf555f26,15,0x710a5ca4cf4cb068818788b78a228e341bb79f066730fc29a79b6cb0028639ad,0xab3f9bf1d81ddb224a2014e98b238638824bcf20,0x80fb784b7ed66730e8b1dbd9820afd29931aab03,0xd596ed98594347e2064a90082bbc894de5ba6bcf,8.742945988755722e+20,EthLend,LEND,18,247,169720,325000000000,116639,10606437,deprecated,4414917
21,10769678,2020-08-31 16:09:06,0xeafdae286c7c59a328f7545496f361e585fe1d976a01499acd815e8a7b41abc6,16,0x7e5019fa6dd8ebb6aa94eb3227e369e8f7f9596154d9852fe514013cfd057997,0x43ae24960e5534731fc831386c07755a2dc33d47,0xc011a73ee8576fb46f5e1c5751ca3b9fe0af2a6f,0xd596ed98594347e2064a90082bbc894de5ba6bcf,9.43577274372006e+19,Synthetix Network Token,SNX,18,70,216918,328000000000,170893,3863556,deprecated,4414867
