,blockNumber,timeStamp,hash,nonce,blockHash,from,contractAddress,to,value,tokenName,tokenSymbol,tokenDecimal,transactionIndex,gas,gasPrice,gasUsed,cumulativeGasUsed,input,confirmations
0,10774337,2020-09-01 08:59:07,0xdbdb27828acf519d293ce8f57efd538a4d356b589f1bfbc1dc599ef80a775807,227,0x795aa28adca949b0aef68b63fbbd2d8950381d48bf8b969fd94e4e2d4a539d30,0xe121a2434863b854401aad9ce3cdf73cb305d97f,0xdac17f958d2ee523a2206206994597c13d831ec7,0xd671c4d689475caeb0b352fbc20b976bb6623efd,600000000.0,Tether USD,USDT,6,76,84295,413000000000,56197,3900028,deprecated,4409551
1,10774411,2020-09-01 09:14:55,0xeb5011c7cdcd29c3b35d91029cfb4b1f5e25d64cb8dc62df01b49d91a8ed1942,0,0x0961495e906cb4e92861bd04cef3a25d7c91585ef896b20e2e2e917fbacb7010,0xd671c4d689475caeb0b352fbc20b976bb6623efd,0xdac17f958d2ee523a2206206994597c13d831ec7,0x4e45ae448377689609421583976eeab96a939707,600000000.0,Tether USD,USDT,6,142,60000,460000000000,26197,6646919,deprecated,4409477
2,10788919,2020-09-03 14:41:11,0x7ceedd8a4f00e5ba7ede38459ab53c71a06a36bebb597ca701a9f800840c86af,133,0x80c07133a837a0b9fa34b5d05acb99ea9d4b5476c6c12ddea71ea2148a3d7953,0xf62bf872dfaea3ee32225140d59edfad17bdf57c,0x9aeb50f542050172359a0e1a25a9933bc8c01259,0xd671c4d689475caeb0b352fbc20b976bb6623efd,750000000000.0,oinfinance,OIN,8,102,70000,500000000000,57070,6088617,deprecated,4394969
3,10789228,2020-09-03 15:54:14,0x4c28429e9a37c5b62a0f3126dc120d57fc5ed15caecde0ac6487b4cb442a5800,12,0xa789b73ef6f32495a1d97f5c85c51e1b28fa332d09a7f5ad48983306c41031f0,0xd671c4d689475caeb0b352fbc20b976bb6623efd,0x9aeb50f542050172359a0e1a25a9933bc8c01259,0x54d16d35ca16163bc681f39ec170cf2614492517,350000000000.0,oinfinance,OIN,8,18,201377,550000000000,184680,1357320,deprecated,4394660
4,10789228,2020-09-03 15:54:14,0x4c28429e9a37c5b62a0f3126dc120d57fc5ed15caecde0ac6487b4cb442a5800,12,0xa789b73ef6f32495a1d97f5c85c51e1b28fa332d09a7f5ad48983306c41031f0,0x0d4a11d5eeaac28ec3f61d100daf4d40471f1852,0xdac17f958d2ee523a2206206994597c13d831ec7,0xd671c4d689475caeb0b352fbc20b976bb6623efd,2868329180.0,Tether USD,USDT,6,18,201377,550000000000,184680,1357320,deprecated,4394660
5,10789244,2020-09-03 15:57:27,0xb0e96cb27e70c5f8dd5501d0fe7de644e46a17829d3d8432c0032ed7279ab7d4,13,0x6b8bbb76ee7468c15eb5120b5f8038537579abfc142c3055ac1e7e90f059d9d4,0xd671c4d689475caeb0b352fbc20b976bb6623efd,0x9aeb50f542050172359a0e1a25a9933bc8c01259,0x54d16d35ca16163bc681f39ec170cf2614492517,400000000000.0,oinfinance,OIN,8,136,257323,491769459332,216457,9175352,deprecated,4394644
6,10789244,2020-09-03 15:57:27,0xb0e96cb27e70c5f8dd5501d0fe7de644e46a17829d3d8432c0032ed7279ab7d4,13,0x6b8bbb76ee7468c15eb5120b5f8038537579abfc142c3055ac1e7e90f059d9d4,0xb20bd5d04be54f870d5c0d3ca85d82b34b836405,0xdac17f958d2ee523a2206206994597c13d831ec7,0xd671c4d689475caeb0b352fbc20b976bb6623efd,3304719894.0,Tether USD,USDT,6,136,257323,491769459332,216457,9175352,deprecated,4394644
7,10789350,2020-09-03 16:20:54,0x9abea4ee8664337612fa397e51cd9191870e7247393519a5c56ad56dcff6fbab,14,0xc7eedd8d4009671f668d52b7409ada8b46908c02df9b29b59825916b6533c8d3,0xd671c4d689475caeb0b352fbc20b976bb6623efd,0xdac17f958d2ee523a2206206994597c13d831ec7,0xe121a2434863b854401aad9ce3cdf73cb305d97f,6173049074.0,Tether USD,USDT,6,293,61831,500000000000,26221,11921384,deprecated,4394538
8,11471890,2020-12-17 16:58:24,0x8f8504b08252689a6e20e42240567889218c21e63a83bd5053d7c5330e5defc0,717,0xbec5dee9e6dd99eac2bfcb1dbab175ab61fe78d3e5a7c1a8e2e5e050492482dc,0xd152f549545093347a162dce210e7293f1452150,0xc944e90c64b2c07662a292be6244bdf05cda44a7,0xd671c4d689475caeb0b352fbc20b976bb6623efd,6.662316e+22,Graph Token,GRT,18,8,2851606,250000000000,2832223,3220451,deprecated,3711998
9,11472381,2020-12-17 18:53:29,0x881e854904dae52bd0dd448a85bd638777544d96c248a7be3471e7e0c2ea7f1c,20,0x01289b6e57e8af7b5dd1931b8a0b8723b809b2ec247a68e5518060cc45c4dafc,0xd671c4d689475caeb0b352fbc20b976bb6623efd,0xc944e90c64b2c07662a292be6244bdf05cda44a7,0x8338711352cee0d7501650c09a2b012761530c6f,6.662316e+22,Graph Token,GRT,18,110,76731,280000000000,36154,6239323,deprecated,3711507
